T,O,H,L,C,V
1713844800,17.96,18.54,17.82,18.52,1699256
1713931200,18.44,18.75,18.11,18.71,1999344
1714017600,18.62,18.73,18.2,18.42,1541861
1714104000,18.43,18.68,18.33,18.55,2049767
1714363200,18.69,19.04,18.69,18.9,2158900
1714449600,18.84,18.92,18.56,18.61,2340341
1714536000,18.61,19.12,18.59,18.83,2398395
1714622400,19.44,19.89,18.11,19.5,4580564
1714708800,20,20.3,19.41,19.61,3217591
1714968000,19.75,20.79,19.59,20.68,3180132
1715054400,20.69,20.97,20.37,20.4,2438275
1715140800,20.23,20.505,20.08,20.37,2114444
1715227200,20.37,20.68,20.11,20.51,2023526
1715313600,20.41,20.75,20.295,20.42,1333778
1715572800,20.57,21.08,20.47,20.94,1929895
1715659200,21.19,21.56,21.135,21.35,2142318
1715745600,21.49,21.72,21.25,21.65,2641309
1715832000,21.56,21.665,21.17,21.52,1826748
1715918400,21.49,21.98,21.43,21.8,1669097
1716177600,21.8,21.85,21.59,21.77,1238016
1716264000,21.64,21.88,21.63,21.85,1525522
1716350400,21.66,21.98,21.64,21.96,1437782
1716436800,21.87,21.885,21.295,21.35,1679297
1716523200,21.44,21.47,20.9,20.99,1043753
1716868800,21.01,21.16,20.86,20.98,1190903
1716955200,20.83,20.91,20.42,20.57,1447206
1717041600,20.6,21.01,20.52,20.94,1782985
1717128000,21,21.42,20.91,21.33,1980996
1717387200,21.31,21.78,21.09,21.38,1290383
1717473600,21.33,21.455,20.8,20.88,1339101
1717560000,20.93,21.02,20.695,20.96,1027013
1717646400,20.81,21.015,20.55,20.67,952157
1717732800,20.53,20.81,20.32,20.75,900307
1717992000,20.56,20.815,20.36,20.71,1107549
1718078400,20.58,20.66,20.165,20.26,3843072
1718164800,20.81,21.15,20.62,20.84,1833272
1718251200,20.77,20.84,20.465,20.51,1223911
1718337600,20.27,20.455,19.82,20.4,1402136
1718596800,20.31,20.54,19.88,20.35,1418747
1718683200,20.3,20.44,20.21,20.35,1572467
1718856000,20.22,20.54,20.15,20.45,1123162
1718942400,20.61,20.93,20.31,20.84,3375414
1719201600,20.95,21.4399,20.9,21.12,1427125
1719288000,21.13,21.19,20.79,20.79,845666
1719374400,20.61,20.71,20.405,20.63,869724
1719460800,20.59,20.71,20.3802,20.59,873670
1719547200,20.76,21.03,20.515,20.7,2030415
1719806400,20.82,21.01,20.17,20.31,1483376
1719892800,20.16,20.38,20.05,20.12,913768
1719979200,20.18,20.55,20.12,20.31,890360
1720152000,20.25,20.31,19.94,20.11,1887381
1720411200,20.31,20.46,20.12,20.14,1074133
1720497600,20.14,20.292,19.835,19.93,1785829
1720584000,19.93,20.05,19.34,19.92,1938017
1720670400,20.24,20.99,20.15,20.88,1723333
1720756800,21.02,21.44,20.82,21.3,1962256
1721016000,21.36,21.39,20.72,20.73,1024507
1721102400,20.84,21.0498,20.635,20.81,1361767
1721188800,20.6,21.43,20.55,21.16,1809180
1721275200,21.03,21.49,20.87,20.97,1154055
1721361600,20.94,21.18,20.86,20.98,1126580
1721620800,21.14,21.56,20.67,21.54,1292382
1721707200,21.495,21.68,21.09,21.46,1370428
1721793600,21.47,21.94,21.37,21.63,1211395
1721880000,21.85,22.16,21.54,22.07,1862912
1721966400,22.25,22.37,21.67,22.19,987601
1722225600,22.38,22.56,21.99,22.48,1756208
1722312000,22.5,22.61,22,22.27,1301428
1722398400,22.38,22.44,21.752,21.86,1536139
1722484800,21.98,22.13,21.51,21.65,1614849
1722571200,21.36,21.5,20.51,20.91,2064114
1722830400,19.8,20.46,19.46,20.19,3098620
1722916800,19.58,19.9,17.7501,18.65,8378603
1723003200,19.02,19.595,18.625,19.05,2413392
1723089600,19.2,19.7706,18.79,19.56,1828827
1723176000,19.61,20.469,19.35,20.15,1676203
1723435200,20.2,20.245,19.15,19.46,1827057
1723521600,19.64,20.335,19.48,20.29,1180616
1723608000,20.38,20.47,19.795,19.97,1591158
1723694400,20.27,20.67,20.21,20.22,1200949
1723780800,19.95,20.47,19.76,20.35,1720729
1724040000,20.41,20.99,20.19,20.96,1674098
1724126400,20.76,21.31,20.71,20.8,1459387
1724212800,20.85,21.05,20.7,21.03,1681418
1724299200,21.08,21.08,20.78,20.89,1113953
1724385600,21,22.49,20.915,22.36,2945610
1724644800,22.4,23.1,22.27,23.03,1914142
1724731200,22.92,22.98,22.14,22.41,1465400
1724817600,22.21,22.6,22.19,22.47,1105175
1724904000,22.64,22.67,22.26,22.31,1217654
