T,O,H,L,C,V
1715313600,15.5,15.7001,7.77,8.45,25611898
1715572800,9.15,10.85,8.6,9.77,12579137
1715659200,9.85,11.3,9.65,11.17,6670594
1715745600,12,12.1999,9.99,10.27,5041659
1715832000,10.52,10.58,9.63,9.64,2993261
1715918400,9.63,9.78,8.855,9.01,3650811
1716177600,9.04,9.09,7.605,7.76,5590798
1716264000,7.79,8.06,7.12,7.44,4647662
1716350400,7.41,7.48,7.07,7.16,2648455
1716436800,7.2,8.16,7.05,7.59,3848146
1716523200,8.06,10.19,7.85,10.15,12863812
1716868800,11.6,12.4199,10.39,10.79,13093315
1716955200,10.51,11.277,9.8,11.03,4999062
1717041600,11.2,11.6858,10.24,10.28,3195023
1717128000,10.4,10.59,9.8637,10.07,2949457
1717387200,10,10.29,9.01,9.29,4330393
1717473600,9.19,9.5,8.51,8.57,2941556
1717560000,8.68,9.185,8.38,9.09,2664120
1717646400,9.02,9.24,8.4,8.48,2802664
1717732800,8.35,8.55,8.03,8.35,2442508
1717992000,8.3,9.19,8.225,9.05,3144938
1718078400,9.25,9.76,8.97,9.45,2678928
1718164800,9.58,10.75,9.52,10.2,3935060
1718251200,10.24,10.79,9.86,10.21,2621313
1718337600,10.16,10.245,9.2401,9.46,2366092
1718596800,9.42,9.76,9.0603,9.4,1883390
1718683200,9.35,10.1,9.2501,9.89,2387445
1718856000,10.08,10.65,9.22,9.34,3190689
1718942400,9.22,9.23,8.6,9.02,7357887
1719201600,8.75,9.9,8.75,9.52,3328950
1719288000,9.55,10.13,9.22,9.41,3588760
1719374400,9.5,10,8.81,8.94,3001871
1719460800,9,9,8.315,8.56,3357713
1719547200,8.6,8.62,8.23,8.47,2141671
1719806400,8.66,8.66,7.74,8,3585342
1719892800,8,8.18,7.8,8.03,1854002
1719979200,8.15,8.65,7.88,8.25,1753295
1720152000,8.33,8.35,7.47,7.65,3477982
1720411200,7.82,7.82,7.06,7.42,3836254
1720497600,7.4,7.78,7.12,7.68,2518519
1720584000,7.88,8.14,7.5,7.78,3559428
1720670400,8,8.18,7.41,7.51,2969934
1720756800,7.53,9.01,7.47,8.61,8104265
1721016000,8.93,9.06,8.53,8.72,5167629
1721102400,8.95,9.4,8.585,8.81,5352532
1721188800,8.72,9.76,8.72,8.88,6043014
1721275200,9.07,9.29,8.37,8.47,3085021
1721361600,8.32,8.67,8.1398,8.61,1981120
1721620800,8.72,9.17,8.6017,9.01,2965681
1721707200,9.01,9.57,8.8,9.24,2985169
1721793600,9.17,9.37,8.62,8.67,2103841
1721880000,8.7,8.7799,8.155,8.41,2485855
1721966400,8.79,9.3,8.79,9.2,4390516
1722225600,9.43,9.43,8.73,8.79,2423392
1722312000,8.73,9.03,8.6024,8.86,2569399
1722398400,9.03,9.52,8.8404,9.1,9140069
1722484800,9.12,9.15,8.12,8.38,3837238
1722571200,8.12,8.26,7.9,8.19,3071049
1722830400,7.11,7.85,7,7.64,3359017
1722916800,7.79,8.07,7.63,7.88,1831068
1723003200,7.95,7.99,7.43,7.46,1896322
1723089600,7.55,7.58,7.16,7.28,2321229
1723176000,7.31,7.55,7.16,7.49,1580954
1723435200,7.49,7.5,6.84,7.05,2873829
1723521600,7.21,7.535,7.11,7.42,2568547
1723608000,7.35,8.05,7.274,7.61,3209333
1723694400,7.74,7.895,7.39,7.47,2182577
1723780800,7.41,7.56,7.18,7.51,1561899
1724040000,7.63,7.63,7.18,7.27,2418923
1724126400,7.25,7.29,6.75,6.92,3366282
1724212800,6.97,7.255,6.8857,7.09,1677043
1724299200,7.09,7.13,6.76,6.77,1762698
1724385600,6.95,7.22,6.835,7.05,1607147
1724644800,7.05,7.1,6.82,6.95,1425695
1724731200,6.85,6.92,6.71,6.91,989602
1724817600,6.87,6.93,6.18,6.39,2742022
1724904000,6.5,6.53,6.4,6.44,784349
1724990400,6.47,6.48,5.9,5.97,3126364
1725336000,5.83,5.96,5.485,5.59,2123350
1725422400,5.57,6.025,5.45,5.82,1505077
1725508800,5.81,5.905,5.71,5.82,967281
1725595200,5.62,6,5.49,5.59,1614069
1725854400,5.64,5.69,5.35,5.65,1849542
1725940800,5.64,6.1999,5.57,6.09,2856239
1726027200,6.03,6.205,5.81,6.1,1811218
1726113600,6.11,6.34,5.925,6.23,1498685
1726200000,6.44,6.48,6.1202,6.31,1616262
1726459200,6.35,6.47,6.16,6.21,1035320
1726545600,6.34,6.49,6.23,6.3,1171944
1726632000,6.29,6.54,6.0846,6.22,1476284
1726718400,6.57,6.81,6.4223,6.61,2286235
1726804800,7.16,8.44,7,8.41,15079161
1727064000,8.46,8.65,7.95,8.31,5365295
1727150400,8.34,9.23,8.2201,8.31,7171396
1727236800,8.57,8.6862,8,8.23,4065360
1727323200,8.52,8.76,8.08,8.58,4109986
1727409600,8.85,8.86,8.3523,8.84,2514029
1727668800,8.8,8.8,7.95,8.09,2898579
1727755200,8.14,8.71,7.9,8.6,2623047
1727841600,8.435,9.95,8.36,9.5,7684125
1727928000,10.22,10.22,9.22,9.41,5425590
1728014400,9.56,11.29,9.23,11.19,7249588
1728273600,11.07,11.15,10.25,10.54,4965918
1728360000,10.53,10.6,9.38,10,4362407
1728446400,9.87,10.3,9.5,9.6,2838514
1728532800,9.5,9.85,9.26,9.81,2606521
1728619200,9.61,9.69,9.08,9.15,3704421
1728878400,9.155,10.195,9.01,10.04,10855228
1728964800,10.58,12.63,9.5381,11.65,37138690
1729051200,12.82,16.77,12.3,16.54,54401051
1729137600,16.36,16.65,14.11,15.73,28610799
1729224000,15.5,20.64,15.48,18.23,49587671
1729483200,19.37,22.93,18.55,22.31,55878481
1729569600,22.465,22.5,18.4,20.83,48975215
1729656000,19.97,22.4,17.61,18.3,35377125
1729742400,18.99,19.44,17.6,18.06,21673462
1729828800,18.36,20.15,18.11,19.11,22632080
1730088000,19.98,25.3748,19.82,24.5,45075596
1730174400,23.7,25.13,21.68,24.84,26677719
1730260800,26.4,28.12,22.64,22.89,30078081
1730347200,23.06,23.59,21.53,22.46,14574048
1730433600,23.65,24.8,21.31,21.67,20004135
1730696400,19.95,21.21,18.56,21.05,15049406
1730782800,21.74,21.8,19.95,20.58,10478977
1730869200,20.86,22.69,20,21.72,14887169
1730955600,21.81,27.1,21.59,26.56,26205139
1731042000,26,27.75,24.28,24.47,20247667
1731301200,25,25.78,22.65,24.06,12427793
1731387600,23.26,25.09,21.79,22.59,14811299
1731474000,25.48,25.65,22.44,23.08,22046272
1731560400,23.5,24.6,22.82,23.88,16928130
