T,O,H,L,C,V
1713844800,73.71,75.675,73.565,75.215,942143
1713931200,75.13,75.555,74.29,74.71,650043
1714017600,74.78,75.43,73.46,74.35,829136
1714104000,74.32,75.11,73.51,74.46,584139
1714363200,74.4,74.46,71.6,71.91,1206334
1714449600,71.65,73.55,71.475,73.14,1044906
1714536000,72.8,72.8,70.17,72.26,887888
1714622400,73,74.745,72.31,74.62,732363
1714708800,76.59,77.275,76.04,76.8,743830
1714968000,78.51,80.195,78.26,78.68,1196946
1715054400,78.87,80.16,78.87,79.51,688688
1715140800,79.24,80.37,78.05,78.6,728271
1715227200,78.93,79.9,78.64,78.72,671720
1715313600,78.64,78.68,77.36,77.84,575457
1715572800,78.21,79.79,74.25,74.5,1103438
1715659200,75.27,75.67,72.82,73.27,1168686
1715745600,73.53,74.155,72.37,72.62,961200
1715832000,72.66,74.41,72.65,73.51,1098007
1715918400,73.47,73.9,72.19,73.36,930609
1716177600,73.51,74.26,72.63,73.17,892992
1716264000,73.5,75.3,72.5,72.93,1137235
1716350400,72.84,73.95,72.22,73.88,657104
1716436800,73.98,75.56,73.36,75.18,645080
1716523200,75.75,78.57,75.67,78.38,1060349
1716868800,78.6,80.1,77.75,78.92,1172913
1716955200,78.85,80.31,78.58,79.37,595721
1717041600,79.5,81.32,78.805,81.1,868573
1717128000,81.12,82.96,80.47,82.43,1131675
1717387200,82.15,84.56,82.15,83.62,1655757
1717473600,83.41,83.62,81.15,82.04,1655605
1717560000,85,91.0797,84.84,89.83,3172096
1717646400,88.84,89.545,84.1,84.35,1608636
1717732800,84.12,85.74,82.95,83.51,925927
1717992000,82.94,85.08,82.84,84.61,1635115
1718078400,84.44,85.85,83.55,85.2,1002256
1718164800,85.98,86.29,84.67,84.85,766093
1718251200,84.92,85.74,84.48,85.4,609751
1718337600,85.27,88.51,84.93,87.71,3816778
1718596800,89.55,96.53,89.14,95.98,2403653
1718683200,95.94,99.67,95.08,98.04,1866200
1718856000,98.17,100.44,97.61,97.73,1663251
1718942400,97.82,98.65,96.55,98.27,1131963
1719201600,98.77,99.19,97.125,97.82,1003057
1719288000,98.17,99.48,97,98.41,1101776
1719374400,98.26,99.38,97.5,98.31,799196
1719460800,97.01,98.71,96.88,98.34,765786
1719547200,98.75,98.77,96.83,98.17,1438763
1719806400,98.79,99.36,96.96,98.38,1222715
1719892800,98.56,100.2199,97.485,98.32,1344501
1719979200,97.97,98.8,96.8,96.92,754553
1720152000,96.25,99.21,95,98.55,1387368
1720411200,98.49,100.875,96.42,99.86,1786444
1720497600,100.4,100.4,97.84,98.28,847283
1720584000,98.42,99.79,97.76,98.8,907702
1720670400,99.66,101.8,99.43,101.05,1283704
1720756800,101.93,103.64,100.99,101.76,983458
1721016000,101.77,104.98,101.72,103.45,1354854
1721102400,103.34,104.89,102.02,103.97,1014283
1721188800,102.72,104.47,99.99,101.45,1058148
1721275200,101.84,102.7,98.64,101.03,1200438
1721361600,100.29,102.03,100.26,100.55,649335
1721620800,101.02,101.66,98.75,98.96,680985
1721707200,98.96,99.16,97.5,99.08,777777
1721793600,98.16,99.32,96.75,97.08,860911
1721880000,97.18,98.16,95.4597,96.39,697675
1721966400,97.5,98.01,95.66,96,568457
1722225600,96.66,99.05,95.5,98.95,1147481
1722312000,99.02,100.1999,97.77,99.14,929860
1722398400,99.96,99.96,96.975,97.64,740914
1722484800,98.18,99.04,96.21,97.65,592905
1722571200,95.37,96.42,92.52,96.41,1409883
1722830400,92.22,94.8,91.25,93.7,1065703
1722916800,94.52,95.05,93.33,94.19,665421
1723003200,95.07,95.58,90.25,90.63,975413
1723089600,90.55,93.36,90.55,93.02,713660
1723176000,92.4,93,91.43,91.86,717629
1723435200,92.29,92.29,87.71,88.67,1296093
1723521600,88.51,89.9,86.145,87.47,1138547
1723608000,87.84,88.69,86.05,86.23,1083094
1723694400,89.6,94.66,89.56,94.45,2162192
1723780800,93.65,96.03,93.65,95.94,1015070
1724040000,96.21,98.355,96.21,97.37,1102086
1724126400,97.44,97.8,95.88,96.69,738068
1724212800,98.01,99.56,96.81,99.11,736520
1724299200,99.36,99.4,97.16,97.34,471511
1724385600,98.75,99.28,97.04,98.89,748707
1724644800,100.63,100.78,97.52,97.7,944059
1724731200,97.39,97.42,94.43,95.03,1165072
1724817600,94.2,95.405,93.63,94.09,1731428
1724904000,92.06,93.59,86.29,86.9,4290364
1724990400,87.75,90.69,86.54,89.56,2553813
1725336000,89.58,89.73,87.44,89.01,1674948
1725422400,88.41,89.535,87.27,88.75,975483
1725508800,88.93,88.93,87.37,87.74,1004253
1725595200,87.93,88.37,86.6675,87.31,990059
1725854400,87.35,92.58,87.11,92.48,1731062
1725940800,93.21,94.14,91.3,93.47,1349311
1726027200,93.28,96.83,92.66,96.35,1200113
1726113600,96.87,99.26,96.1921,98.16,842781
1726200000,99.06,99.29,97.08,98.17,941540
1726459200,98.57,100.96,97.94,99.18,1183878
1726545600,99.56,101,98.89,99,797944
1726632000,98.7,100.24,96.8009,98.13,795622
1726718400,99.36,99.915,96.65,97.81,745176
1726804800,97.86,99.18,97.03,98.99,1221147
1727064000,99.55,102.09,98.65,101.68,1225296
1727150400,101.27,102.38,100.14,102.06,931886
1727236800,101.78,102,100.1095,100.76,553100
1727323200,101.59,101.79,98.17,98.66,869360
1727409600,99.29,99.29,95.22,96.98,1208655
1727668800,98,99.355,96.56,97.2,837373
1727755200,97.02,97.81,95.345,95.5,806528
1727841600,95.15,96.18,94.545,96.08,706609
1727928000,95.48,96.5,93.82,95.92,818426
1728014400,97.22,99.265,96.9201,97.39,647893
1728273600,96.62,96.885,92.43,93.21,1300145
1728360000,93.21,94.68,92.5308,94.48,666318
1728446400,94.31,94.38,92.25,94.3,1601176
1728532800,94.11,95.33,92.91,95.22,1353754
1728619200,95.4,97.905,94.875,96.09,846913
1728878400,96.27,96.6,92.98,94.65,1194531
1728964800,94.77,96.67,93.98,94.68,725265
1729051200,95.2,96.49,94.425,95.96,678254
1729137600,96.59,96.6699,94.21,94.38,803512
1729224000,94.53,95.96,94.01,94.71,891899
1729483200,94.75,95.18,92.26,93.1,927028
1729569600,92.88,92.88,91.12,91.79,1076246
1729656000,91,91.58,90.145,90.79,794120
1729742400,90.79,91.535,89.18,90.75,1158109
1729828800,91.72,92.23,90.32,90.71,837456
1730088000,90.85,91.27,89.59,89.59,1028374
1730174400,89.5,90.24,88.595,90.06,914681
1730260800,89.7,91.67,89.58,90.9,796481
1730347200,90.81,92.72,90.71,91.83,926972
1730433600,92.45,93.88,91.96,92.98,766234
1730696400,93.01,95.56,93.01,95.5,1072738
1730782800,95.63,96.61,94.08,94.84,950271
1730869200,96.02,96.91,94.235,95.73,1411183
1730955600,95.77,101.12,95.77,99.23,1221683
1731042000,99.09,100.01,98.03,99,943866
1731301200,99.58,99.58,97.525,98.1,963684
1731387600,97.46,97.595,91.62,92.21,1617407
1731474000,92.83,94.95,91.155,92.15,990872
1731560400,92.4,93.565,91.17,92.53,724213
1731646800,92.06,93.26,91.57,91.93,752969
1731906000,91.83,92.065,89.86,90.24,808585
1731992400,89.7,90.6,88.22,89.4,964128
1732078800,89.1,89.3608,86.88,87.56,937754
1732165200,88.65,91.52,87.65,90.75,948132
1732251600,92.87,94.66,92,94.61,1037711
1732510800,96.69,102.83,95.46,100.58,2099189
1732597200,100.31,100.96,98.57,100.9,937821
1732683600,101.09,102.77,100.418,101.09,1246687
1732856400,102.04,102.37,98.86,98.95,639246
1733115600,99.86,100.02,97.8,99.87,891351
1733202000,96.35,98,94.15,97.31,1118438
1733288400,97.38,101.9,97.1,100.31,1263700
1733374800,100.98,101.27,99.16,100.29,802659
1733461200,100.75,102.65,100.38,101.54,1316302
1733720400,101.86,102.52,97.5,98.05,2041335
1733806800,109.25,113.76,106.9,111.02,3750755
1733893200,112.91,115.98,112.35,113.505,1842034
1733979600,113.27,113.615,110.51,111.19,1317258
1734066000,111.38,113.52,110.98,112.77,1719538
1734325200,113,116.175,112.09,114.38,1118275
1734411600,114.29,116.63,113.73,114.94,1325888
1734498000,118.16,118.47,114,114.49,1489773
1734584400,114.68,118.95,113.65,117.63,1492836
1734670800,117.17,120.03,116.35,117.91,1985602
1734930000,117.71,118.25,116.22,117.57,654432
1735016400,117.74,118.94,116.41,118.86,386444
1735189200,118.5,120.01,118.205,119.8,670771
1735275600,119.08,119.425,116.66,117.6,733770
1735534800,115.32,115.77,110.39,110.51,1516558
1735621200,111,111.53,109.348,109.73,1249239
1735794000,110.12,111.92,107.8576,108.27,1165504
1735880400,108.52,108.96,106.17,106.63,1047237
1736139600,106.61,107.245,105.37,106.17,1074931
1736226000,106.26,106.6449,103.175,103.505,1146078
1736312400,103.3,104.85,102.38,104.45,739930
1736485200,102.62,107.53,102.62,106.36,1141961
1736744400,105.5,106.2,100.93,101.25,1666873
1736830800,101.44,101.6,98.36,99.63,965350
1736917200,100.94,101.79,96.52,97,1470675
1737003600,100.96,105.35,100.9,104.48,1781184
1737090000,104.85,107.16,104.2925,106.86,1397592
1737435600,108.13,113.76,108.08,113.66,1546630
1737522000,112.57,113.69,110.396,111.27,1047874
1737608400,110.64,112,109.81,111.96,881839
1737694800,112.07,114.0989,112.07,112.91,528662
1737954000,112.62,113.14,110.25,113.05,655285
1738040400,112.57,115.42,112.03,113.85,547837
1738126800,114.18,114.635,111.885,112.59,435917
1738213200,113.27,115.33,112.86,112.89,672082
1738299600,113,114.445,110.73,111.51,531657
1738558800,107.73,110.48,107.22,107.63,961737
1738645200,105.7,108.06,105.07,105.47,932531
1738731600,105.94,107.45,105.48,107.18,590935
1738818000,107.57,108.43,105.76,107.9,473443
1738904400,107.17,107.17,101.95,104.71,869346
1739163600,104.98,105,101.6,103.25,1004184
1739250000,103.11,105.25,102.58,103.41,747678
1739336400,102.22,104.09,102.05,102.47,693576
1739422800,102.55,106.83,102.43,106.71,713869
1739509200,107.09,109.04,106.03,108.35,1015046
1739854800,108.51,109.62,106.89,109.28,842225
1739941200,108.56,108.825,105.57,106.38,620580
1740027600,105.72,106.235,102.08,102.51,668929
1740114000,102.97,102.97,95.01,96.78,1354623
1740373200,96.48,97.34,94.875,96.27,976886
1740459600,96.93,99.18,96.2,99,1085389
1740546000,99.79,102.7,99.42,100.89,1260705
1740632400,100.98,101.63,97.97,99.14,828300
1740718800,99.66,104.475,99.66,103.51,1268324
1740978000,104.98,106.355,102.9,103.63,1582712
1741064400,102.1,105.36,100.71,103.39,1215978
1741150800,103.47,105.5,101.84,105.38,808587
1741237200,103.94,107.51,103.94,105.25,1086678
1741323600,104.11,104.66,97.4,103.03,1464156
1741579200,102.41,102.87,98.51,98.77,1255949
1741665600,98.33,101.68,97.04,101.08,1249731
1741752000,102.34,103,99.28,102.35,1217712
1741838400,102.44,102.57,99.855,101.24,1010830
1741924800,101.915,102.7,99.3,102.49,810854
1742184000,101.92,103.68,100.12,103.32,1484808
1742270400,102.7,103.04,99.02,99.06,1611047
1742356800,106.455,111.712,103.01,107.94,3534142
1742443200,106.22,109.8,104.92,105.22,1374355
1742529600,104.6,108.37,102.19,106.88,1162727
1742788800,107.4,109.52,107.0001,108.22,1005885
1742875200,108.24,109.8,105.7,106.37,1133675
1742961600,106.72,108.74,105.87,108.17,867813
1743048000,108.17,114.28,107.755,113.07,1300034
1743134400,113.03,113.56,110.16,113.24,923419
1743393600,110.85,116.788,110.16,116.36,1177717
1743480000,115.74,116.545,113.59,114.55,1561620
1743566400,113.82,119.76,113.82,118.2,1718993
1743652800,112.94,118.58,112,117.46,1574117
1743739200,112.89,118.235,111.73,113.29,1966875
