T,O,H,L,C,V
1713844800,15.3,15.78,15.3,15.78,707614
1713931200,15.6,15.88,15.59,15.74,447389
1714017600,15.63,16,15.52,15.94,579861
1714104000,16.08,16.1,15.84,16.05,401883
1714363200,16.09,16.145,15.84,16.07,322363
1714449600,15.7,15.85,15.36,15.39,649044
1714536000,15.46,15.75,15.31,15.49,574092
1714622400,15.43,15.76,15.31,15.6,385404
1714708800,15.72,15.72,15.4,15.44,500397
1714968000,15.72,15.75,15.51,15.62,502595
1715054400,15.6,15.805,15.57,15.79,363693
1715140800,15.64,15.925,15.6,15.87,486380
1715227200,15.98,16.2,15.77,16.13,702669
1715313600,16.36,16.55,16.16,16.34,543963
1715572800,16.28,16.39,15.94,16.11,417365
1715659200,16.14,16.36,16.13,16.35,334399
1715745600,16.53,16.61,16.18,16.44,455388
1715832000,16.43,16.43,16.13,16.3,357999
1715918400,16.5,16.73,16.37,16.65,642539
1716177600,16.72,16.79,16.5,16.77,638385
1716264000,16.61,16.7,16.47,16.59,525258
1716350400,16.47,16.517,16.055,16.18,568573
1716436800,16.18,16.27,16.055,16.09,598725
1716523200,16.29,16.385,16.16,16.24,428078
1716868800,16.48,16.585,16.31,16.4,657216
1716955200,16.26,16.46,16.22,16.24,508565
1717041600,16.29,16.68,16.29,16.48,591520
1717128000,16.6,16.685,16.31,16.65,1190772
1717387200,16.7,16.82,16.5221,16.8,587219
1717473600,16.58,16.58,16.12,16.44,671094
1717560000,16.5,16.71,16.36,16.64,499657
1717646400,16.71,17.37,16.65,17.31,827036
1717732800,16.79,17.0317,16.69,16.69,1382183
1717992000,16.72,17.09,16.44,17.06,1122345
1718078400,16.95,17.0375,16.635,16.71,546917
1718164800,16.9,17.03,16.725,16.77,947284
1718251200,16.72,16.84,16.39,16.44,656745
1718337600,16.49,16.59,16.28,16.37,782588
1718596800,16.21,16.345,15.92,16.33,1056604
1718683200,16.32,16.665,16.22,16.53,1213040
1718856000,16.58,16.7,16.455,16.53,1270903
1718942400,16.53,16.53,16.285,16.43,2984669
1719201600,16.53,16.58,15.36,15.57,2237862
1719288000,15.25,15.69,15.12,15.46,1576533
1719374400,15.31,15.55,15.235,15.37,576718
1719460800,15.52,15.69,15.515,15.52,446219
1719547200,15.56,15.73,15.49,15.58,400447
1719806400,15.68,15.72,15.45,15.47,252555
1719892800,15.58,15.6848,15.4,15.63,570541
1719979200,15.78,16.01,15.72,15.85,348886
1720152000,16.09,16.4,16.08,16.28,482790
1720411200,16.14,16.18,15.91,16.11,421406
1720497600,16.12,16.2,15.86,15.91,501236
1720584000,16.02,16.17,15.91,16.06,500051
1720670400,16.24,16.79,15.87,16.73,1261228
1720756800,16.8,17.29,16.75,17.21,777554
1721016000,17.28,17.61,17.15,17.47,1043475
