T,O,H,L,C,V
1713844800,18.8,19.89,18.8,19.2,63627
1713931200,19.12,19.4,18.588,18.602,34567
1714017600,18.6,18.6,17.088,17.4,105328
1714104000,17.79,20,17.6,19.9,139587
1714363200,20,20.6,19.806,20,99661
1714449600,20.8,23.6,20.8,23,211942
1714536000,23,24,22.608,23.4,132244
1714622400,24,24.2,22.8,24.2,121153
1714708800,23.4,25,23.208,24.6,170574
1714968000,24.8,26,24,25.8,94367
1715054400,25.8,25.8,24,24.2,93781
1715140800,24,24.3,22.6,24,99481
1715227200,24,26.6,23.8,25.2,149114
1715313600,25,25.6,24.4,24.6,47081
1715572800,24.8,26,24.6,25.4,57983
1715659200,25.4,26.8,24.6,24.8,94441
1715745600,24.6,26,24.6,24.8,66839
1715832000,25.6,25.6,24.6,25,44375
1715918400,24.6,25.4,24,25,36704
1716177600,24.6,25,24.2,24.8,35516
1716264000,24.6,24.6,23.2,23.4,111750
1716350400,23.6,24.2,23,23.2,58929
1716436800,20.8,22.6,20.8,22.1,166972
1716523200,22.4,22.6,21.8,22.1,70918
1716868800,22.2,22.2,21.2,21.4,80943
1716955200,21.4,22,20.8,21.2,58729
1717041600,21.4,21.8,21.4,21.4,47739
1717128000,21.4,22,21.2,21.8,39273
1717387200,21.4,22,21.36,21.4,39804
1717473600,20.8,21,20.2,20.4,87713
1717560000,20.4,20.8,19.63,20,168239
1717646400,20.4,21.2,20.2,21,67846
1717732800,20.4,20.8,20.2,20.2,28468
1717992000,20,20.4,19.8,20,49407
1718078400,20,20.172,19.614,19.9,59924
1718164800,20.2,20.6,19.802,19.816,78722
1718251200,20,20,18.8,19.054,93060
1718337600,19.2,19.798,19.018,19.48,88065
1718596800,19.2,20.2,19.2,20,83088
1718683200,19.734,20.2,19.6,19.902,78738
1718856000,19.924,19.998,18.8,18.886,97079
1718942400,18.76,19.296,18.418,18.84,58588
1719201600,19.2,19.532,18.9,19.05,35478
1719288000,19.2,19.402,18.706,19.002,43083
1719374400,18.8,19,18.602,18.74,28103
1719460800,18.724,19.8,18.724,19.336,85810
1719547200,19.05,19.598,18.4239,18.8,106266
