T,O,H,L,C,V
1713844800,18.31,18.82,18.25,18.7,5063581
1713931200,18.69,18.85,18.555,18.78,3226369
1714017600,18.56,18.76,18.26,18.57,4807110
1714104000,18.63,18.83,18.53,18.79,2294565
1714363200,18.89,19.18,18.8205,19.04,5126766
1714449600,18.91,19.24,18.78,18.89,3790686
1714536000,18.84,19.045,18.555,18.65,4710830
1714622400,19.72,19.78,17.9,18.11,7807676
1714708800,18.29,18.29,17.725,17.95,6892899
1714968000,18,18.39,17.91,18.39,4337131
1715054400,17.94,18.3,17.93,18.12,14605541
1715140800,18.09,18.42,18.03,18.41,9065388
1715227200,18.3,18.59,18.03,18.53,6530890
1715313600,18.69,18.85,18.49,18.55,4640712
1715572800,18.6,18.785,18.35,18.39,4389710
1715659200,18.47,18.725,18.435,18.52,4722695
1715745600,18.69,18.98,18.57,18.83,6012324
1715832000,18.84,19.125,18.68,18.88,5433323
1715918400,18.9,19.01,18.75,19,6450946
1716177600,18.81,19.04,18.79,18.81,3407059
1716264000,18.79,18.95,18.72,18.92,5619206
1716350400,18.9,19.1,18.85,18.91,2922121
1716436800,19.15,19.25,18.71,18.83,4512273
1716523200,18.85,19.29,18.85,19.27,4180740
1716868800,19.38,19.61,19.34,19.55,5721979
1716955200,19.35,19.54,19.18,19.23,5874285
1717041600,19.25,19.36,19.135,19.35,3398367
1717128000,19.46,19.48,17.86,17.99,16422337
1717387200,18.04,18.22,17.41,17.77,9693561
1717473600,17.51,17.59,17.155,17.32,11033970
1717560000,17.5,17.5273,17.16,17.29,8447077
1717646400,17.24,17.42,16.71,16.73,8244574
1717732800,16.71,16.86,16.62,16.69,6916301
1717992000,16.73,17.455,16.69,17.38,9851316
1718078400,17.4,17.54,17.16,17.41,6655130
1718164800,17.7,18.035,17.52,17.64,6094905
1718251200,17.6,17.68,17.125,17.34,8626728
1718337600,17.12,17.28,16.865,17.11,7395430
1718596800,17.21,17.435,17.175,17.35,4464253
1718683200,17.43,17.77,17.42,17.72,6553179
1718856000,17.74,17.87,17.5,17.76,5274004
1718942400,17.74,17.74,17.185,17.51,10791010
1719201600,17.52,17.83,17.46,17.66,5586416
1719288000,17.66,17.72,17.41,17.66,5298761
1719374400,17.54,17.89,17.51,17.83,5048728
1719460800,17.84,17.95,17.58,17.9,4877971
1719547200,17.95,18.24,17.73,17.75,15424682
1719806400,17.92,17.99,17.63,17.81,3753229
1719892800,17.74,17.93,17.25,17.54,4474577
1719979200,17.6,17.87,17.49,17.7,1686761
1720152000,17.77,17.775,17.505,17.69,1872345
1720411200,17.16,17.48,16.74,16.9,8100961
1720497600,16.87,17.005,16.735,16.92,6332406
1720584000,16.97,17.26,16.93,17.23,3236341
1720670400,17.57,17.6,17.27,17.46,3825156
1720756800,17.64,17.82,17.4,17.7,3590200
1721016000,17.86,17.93,17.675,17.81,3858477
1721102400,18.05,18.38,17.92,18.37,4663223
1721188800,18.16,18.83,18.14,18.78,7439385
1721275200,18.83,19.22,18.66,19.02,4916571
1721361600,19.08,19.44,18.97,19.27,4926707
1721620800,19.45,19.845,19.3,19.83,3938545
1721707200,19.83,20.13,19.71,19.78,5908759
1721793600,19.73,19.73,19.22,19.35,7836878
1721880000,19.38,19.88,19.11,19.59,5376488
1721966400,19.92,19.98,19.635,19.74,3894787
1722225600,19.77,19.85,19.18,19.35,6785641
1722312000,19.6,19.64,19.01,19.06,4524719
1722398400,19.3,19.49,19.05,19.07,9257589
1722484800,18.75,19.05,16.855,17.18,27981529
1722571200,17.01,17.06,16.19,16.26,15574423
1722830400,15.59,16.095,15.175,15.81,10228728
1722916800,16,16.665,15.95,16.38,10506696
1723003200,16.73,16.9,16.233,16.28,6556330
1723089600,16.52,16.945,16.31,16.89,3836448
1723176000,16.93,17.11,16.775,17.09,3709539
1723435200,17.15,17.24,16.8925,16.94,2895099
