T,O,H,L,C,V
1713844800,18.14,18.7499,18.05,18.62,3467867
1713931200,18.45,18.74,18.33,18.62,2109812
1714017600,18.63,19.1,18.33,18.97,5596975
1714104000,19.29,19.37,18.805,19.02,2535871
1714363200,19.15,19.39,18.75,19.23,4108794
1714449600,18.47,18.9701,18.44,18.44,4523419
1714536000,18.46,19.215,18.37,18.57,4415759
1714622400,18.27,18.62,18.2,18.38,4655460
1714708800,18.41,18.7199,18.14,18.25,3882289
1714968000,18.77,19.07,18.65,18.87,3301782
1715054400,18.8,18.99,18.69,18.9,2466242
1715140800,18.59,19.05,18.49,18.63,4334328
1715227200,19.15,20.9,18.975,20.63,10806910
1715313600,20.86,20.88,20.33,20.35,5211004
1715572800,20.26,20.5299,19.79,19.97,3784759
1715659200,20,20.41,19.94,20.36,3561247
1715745600,20.55,21.08,20.1703,20.81,5909162
1715832000,20.57,20.805,20.28,20.6,4134035
1715918400,21.55,21.78,20.84,21.74,12764082
1716177600,21.96,22.68,21.27,22.45,8065254
1716264000,22.06,22.4799,21.76,22.22,4981994
1716350400,21.94,22.2794,21.24,21.33,7045335
1716436800,21.32,21.46,20.72,20.83,5797404
1716523200,21.05,21.39,20.96,21.04,4357205
1716868800,22.11,22.75,21.9,22.64,6006430
1716955200,22.28,22.4778,22.07,22.15,3330684
1717041600,21.94,22.55,21.94,22.23,2876762
1717128000,22.38,22.5299,21.57,22,3413474
1717387200,21.87,22.0281,21.57,21.71,2931308
1717473600,21.22,21.33,20.15,20.21,5299752
1717560000,20.31,20.67,20.1206,20.6,3420829
1717646400,20.8,21.665,20.66,21.61,4123087
1717732800,20.73,20.73,19.8,19.88,5666944
1717992000,20.03,20.11,19.375,20.06,5175200
1718078400,19.8,20.15,19.53,20.06,2767940
1718164800,20.79,21,20.16,20.29,3722447
1718251200,20.19,20.44,19.595,19.77,3312125
1718337600,20.04,20.1,19.48,19.89,3623219
1718596800,19.73,19.815,19.38,19.62,3723235
1718683200,19.6,20.16,19.41,19.93,3338851
1718856000,20.31,20.895,20.08,20.7,6126056
1718942400,20.51,20.55,20.065,20.32,11672886
1719201600,20.5,20.6299,20.14,20.27,2702265
1719288000,20.11,20.16,19.67,19.78,2578337
1719374400,19.72,20.12,19.51,20.12,2835863
1719460800,20.315,20.58,20.19,20.21,2074906
1719547200,20.45,20.5,19.735,19.88,3058572
1719806400,19.89,20.06,19.555,19.61,2371035
1719892800,19.69,19.93,19.55,19.9,2162734
1719979200,20.55,21.1,20.43,20.92,3070488
1720152000,21.2,21.8,21.11,21.5,4673882
1720411200,21.2,21.55,21.07,21.54,3013091
1720497600,21.54,21.83,21.34,21.49,2643243
1720584000,21.97,22.72,21.85,22.67,3500732
1720670400,23.53,24.11,23.21,24,6440018
1720756800,23.5,24.14,23.42,23.72,3310488
1721016000,23.62,23.7,23.08,23.21,3301652
1721102400,23.53,24.27,23.11,24.18,6156653
