T,O,H,L,C,V
1713844800,61.79,62.56,60.83,60.88,665981
1713931200,61.05,61.98,59.97,60.3,701758
1714017600,59.59,60.09,58.1,60.06,1566189
1714104000,60.32,60.945,59.41,60.72,594302
1714363200,61.07,62.285,60.72,61.03,500655
1714449600,60.61,61.195,58.84,60.55,445654
1714536000,60.76,64.24,60.21,63.71,766795
1714622400,63.83,64.9983,63.11,64.55,503114
1714708800,66.48,67.08,65.46,65.96,620649
1714968000,65.41,66.85,65.315,66.4,505674
1715054400,66.4,67.755,65.86,67.52,556995
1715140800,66.45,68.22,65.81,66.79,467870
1715227200,65,66.48,63.63,65.57,919834
1715313600,65.2,66.71,64.76,65.19,533487
1715572800,65.1,65.77,64.76,65.7,491979
1715659200,66.15,67.5,65.87,67.33,321300
1715745600,68.88,71.71,68.61,71.63,689074
1715832000,71.49,75.83,71.1525,75.45,1140727
1715918400,75.79,75.79,73.98,74.57,688017
1716177600,74.65,76,73.88,75.93,617897
1716264000,75.7,75.7,73.5,73.65,550440
1716350400,73.84,74,71.26,71.36,654155
1716436800,71.34,71.34,68.26,69.27,577112
1716523200,69.72,69.84,68.51,68.76,480352
1716868800,69.9,69.9,67.99,68.7,439691
1716955200,67.66,68.335,67.21,67.92,362562
1717041600,68.58,70.62,67.975,70.21,827232
1717128000,70.87,71.61,69.43,70.27,525672
1717387200,70.98,73.98,70.26,72.24,601855
1717473600,72.61,72.68,70.44,70.94,349304
1717560000,71.49,73.5,70.58,73.44,484916
1717646400,73.1,73.29,72.26,72.51,324989
1717732800,71.89,72.1,70.18,70.97,376485
1717992000,70.49,72.22,69.9,71.88,571022
1718078400,71.19,72.87,71.19,72.58,414582
1718164800,75.01,75.7,73.27,73.93,784079
1718251200,73.68,75.1899,72.88,74.01,287159
1718337600,73.06,73.96,72.56,72.94,347440
1718596800,72.23,73.195,70.785,71.88,548764
1718683200,72.1,72.7999,71.16,72.25,850675
1718856000,71.88,74.81,71.17,72.76,561103
1718942400,73.37,75.06,71.94,74.94,1572161
1719201600,75.36,76.92,74.4401,75.78,1895227
1719288000,75.35,76.67,74.4,74.5,584311
1719374400,74.05,75.34,73,75.05,937470
1719460800,75.18,79.48,74.32,78.77,1918519
1719547200,78.83,79.78,74.23,75.51,2763135
