T,O,H,L,C,V
1713844800,18.75,18.855,18.74,18.83,1095077
1713931200,18.86,18.895,18.76,18.86,819966
1714017600,18.7,18.9,18.62,18.87,947048
1714104000,18.9,18.99,18.9,18.96,896045
1714363200,18.97,19,18.9299,18.98,1010471
1714449600,18.98,19.03,18.96,19.01,998907
1714536000,19.06,19.195,18.96,19.07,1698506
1714622400,19.19,19.25,19.12,19.22,1455071
1714708800,19.32,19.375,19.27,19.35,1315197
1714968000,19.38,19.44,19.36,19.41,1444752
1715054400,19.45,19.46,19.4,19.43,1247550
1715140800,19.43,19.47,19.34,19.47,1409490
1715227200,19.45,19.46,19.27,19.37,1358336
1715313600,19.12,19.14,18.96,19.1,1378937
1715572800,19.1,19.1027,18.99,19.04,1073107
1715659200,19.04,19.06,19.02,19.05,915104
1715745600,19.13,19.14,19.05,19.11,1377189
1715832000,19.14,19.18,19.11,19.14,1077654
1715918400,19.11,19.2,19.1,19.17,973104
1716177600,19.17,19.23,19.17,19.22,1021201
1716264000,19.2,19.28,19.19,19.28,815475
1716350400,19.28,19.3,19.26,19.3,894852
1716436800,19.3,19.31,19.18,19.2,1008130
1716523200,19.2,19.23,19.15,19.19,865144
1716868800,19.25,19.25,19.1701,19.19,793796
1716955200,19.17,19.19,19.075,19.19,1095663
1717041600,19.2,19.22,19.11,19.19,1056159
1717128000,19.2,19.26,19.18,19.26,920400
1717387200,19.32,19.35,19.26,19.33,1664116
1717473600,19.4,19.405,19.33,19.37,1069892
1717560000,19.37,19.4,19.35,19.36,1234635
1717646400,19.35,19.39,19.31,19.38,1435664
1717732800,19.38,19.395,19.315,19.39,940757
1717992000,19.395,19.42,19.3226,19.41,1165837
1718078400,19.4,19.4,19.335,19.38,897962
1718164800,19.4,19.42,19.31,19.36,1651010
1718251200,19.17,19.2,19.07,19.15,1610834
1718337600,19.12,19.15,19,19.05,1333214
1718596800,19,19.03,18.5,18.59,3697719
1718683200,18.64,18.81,18.62,18.77,1923606
1718856000,18.78,18.8,18.71,18.78,1338765
1718942400,18.8,18.83,18.72,18.72,967866
1719201600,18.73,18.75,18.61,18.75,1199416
1719288000,18.8,18.8,18.66,18.77,956103
1719374400,18.7,18.78,18.695,18.78,789072
1719460800,18.8,18.86,18.76,18.79,944038
1719547200,18.81,18.86,18.71,18.81,973145
1719806400,18.83,19.08,18.765,18.99,2157621
1719892800,19.05,19.1,18.99,19.06,1351992
1719979200,19.08,19.1,19.05,19.06,803604
1720152000,19.08,19.105,19.0001,19.07,1620519
1720411200,19.07,19.12,19.06,19.12,1474773
1720497600,19.13,19.14,19.09,19.13,1447167
1720584000,19.14,19.14,19.08,19.1,2053782
1720670400,18.86,18.93,18.83,18.88,1749305
1720756800,18.89,18.92,18.87,18.87,1360425
1721016000,18.9,18.91,18.86,18.9,1678514
1721102400,18.91,18.95,18.87,18.95,1436223
1721188800,18.93,18.97,18.91,18.97,1040550
1721275200,18.98,18.98,18.9,18.97,924298
1721361600,18.99,18.99,18.92,18.94,2012195
1721620800,18.97,18.97,18.93,18.96,1090592
1721707200,18.99,19,18.94,18.98,850913
1721793600,18.95,18.98,18.93,18.97,712579
1721880000,18.98,18.98,18.94,18.95,1044004
1721966400,19,19,18.935,18.97,841937
1722225600,19,19,18.92,18.98,974630
1722312000,18.99,18.99,18.94,18.95,982893
1722398400,18.97,19,18.95,18.99,1299344
1722484800,19,19.07,18.99,19.06,1750748
1722571200,19.05,19.1099,19,19.07,1669150
1722830400,18.69,18.84,18.25,18.71,4140198
1722916800,18.86,18.87,18.745,18.81,1860364
1723003200,18.94,18.94,18.82,18.91,1844720
1723089600,18.94,18.99,18.9,18.93,1670067
1723176000,18.93,18.97,18.85,18.92,1642035
1723435200,18.71,18.74,18.66,18.72,1483883
