T,O,H,L,C,V
1713844800,21.25,22.06,21.23,21.64,36304634
1713931200,22.05,22.25,21.3,21.59,34426476
1714017600,20.82,21.7399,20.66,21.71,26226705
1714104000,22.05,22.67,21.91,22.52,33119766
1714363200,22.75,23.09,22.545,22.83,30330698
1714449600,22.77,22.87,21.95,21.97,30511879
1714536000,21.93,22.83,21.63,22.12,34812852
1714622400,22.6,22.715,22.1,22.55,30396133
1714708800,23.48,23.64,22.91,23.33,55976409
1714968000,24.37,25.355,24.03,25.21,175936565
1715054400,21.99,22.7,21.35,21.4,161061622
1715140800,21.58,21.73,21.06,21.56,67582882
1715227200,21.49,21.58,20.94,21.14,54101937
1715313600,21.27,21.37,20.5,20.6,59845413
1715572800,20.6,21.19,20.6,20.94,37524809
1715659200,20.95,22.07,20.93,21.44,57894354
1715745600,21.73,21.8099,21.185,21.67,39424029
1715832000,21.74,21.87,21.535,21.65,27416677
1715918400,21.78,22.1693,21.56,21.76,30032254
1716177600,21.77,21.77,21.22,21.62,35255258
1716264000,21.34,21.45,21.12,21.24,27953962
1716350400,21.23,21.42,21.08,21.17,25212469
1716436800,21.39,21.5198,20.63,20.72,36887627
1716523200,20.72,21.15,20.65,21.01,22158712
1716868800,21.06,21.22,20.73,21.05,26274188
1716955200,20.77,20.99,20.64,20.94,24834240
1717041600,21.28,21.96,21.02,21.73,47583129
1717128000,21.79,22.2,21.31,21.68,44416074
1717387200,21.7,21.79,21.005,21.32,33876070
1717473600,21.05,22.26,21.04,22.1,41974047
1717560000,22.48,22.98,22.22,22.96,39825392
1717646400,22.98,23.95,22.98,23.79,60400366
1717732800,23.24,23.57,23.06,23.31,37149877
1717992000,22.75,23.16,22.66,23.13,31509278
1718078400,23.06,23.95,22.89,23.85,30601852
1718164800,24.2,24.33,23.57,23.77,38542724
1718251200,23.85,24.14,23.15,23.27,26035051
1718337600,23.15,23.72,22.84,23.57,26594284
1718596800,23.47,25.06,23.45,25.02,54101503
1718683200,25.15,26.025,24.83,25.82,54458580
1718856000,26.44,26.57,25.155,25.56,66702555
1718942400,24.71,26.09,23.53,23.84,69981578
1719201600,23.44,24.3874,23.3,24.16,36477408
1719288000,24.16,24.63,23.9201,24.56,29657245
1719374400,24.47,24.66,24.025,24.1,24331377
1719460800,24.1,25.4,24.05,25.22,37882859
1719547200,25.28,25.57,25.03,25.33,38886441
1719806400,25.48,26.02,25.1421,25.88,33167921
1719892800,25.84,26.43,25.75,25.83,32148242
1719979200,25.96,26.27,25.76,25.85,18433843
1720152000,26,27.25,25.975,27.23,46703729
1720411200,27.93,27.986,26.84,27.7,59611163
1720497600,27.93,28.38,27.23,27.39,53226526
1720584000,27.5,28.47,27.37,28.42,43178528
1720670400,28.49,28.59,26.9,27.64,61546057
1720756800,27.32,28.13,27.28,28.07,30760268
1721016000,28.42,29.3,27.9,28.67,49186345
1721102400,28.18,28.84,27.47,28.67,59330683
1721188800,28,28.87,27.6,28.22,45203461
1721275200,28.42,29.83,28.15,28.64,76485561
1721361600,28.31,29.6,28.27,28.58,49581636
1721620800,28.93,28.97,27.69,28.46,38037812
1721707200,28.34,29.19,28.31,28.81,31134262
1721793600,28.44,28.685,26.58,26.6,48950105
1721880000,26.04,27.288,25.42,26.63,45474613
1721966400,27,27.34,26.77,27.18,27432224
1722225600,27.56,27.8,26.73,27.08,26038842
1722312000,27.25,27.44,25.89,26.37,31819905
1722398400,27.02,27.39,26.88,26.89,29111605
1722484800,27.02,27.535,25.83,26.08,31189607
1722571200,24.75,24.87,23.75,24.74,56061591
1722830400,21.74,24.42,21.23,24.09,88023468
1722916800,27.05,27.42,25.57,26.59,99622681
1723003200,27.07,28.36,26.24,26.32,75975382
1723089600,27.04,29.375,26.69,29.28,96892918
1723176000,29.28,30.36,29.1,30.01,88131106
1723435200,30.22,31.2,29.27,29.38,67890322
1723521600,29.7887,30.8498,29.56,30.39,57294206
1723608000,30.62,31.37,30.33,31,49885641
1723694400,31.31,31.495,30.83,31.22,43407612
1723780800,31.04,32.75,30.98,32.08,64870638
