T,O,H,L,C,V
1713844800,94.39,97.71,93.84,97.66,13105528
1713931200,96.8,99.1,95.64,99.02,13572414
1714017600,99.5,99.9,95.945,96.09,7417723
1714104000,95.8,96.62,94.941,95.02,5391012
1714363200,95.05,95.74,95.03,95.6,3510851
1714449600,95.62,95.86,94.42,94.94,6589225
1714536000,94.64,97.23,94.6304,96.05,6377070
1714622400,96.38,97.99,95.88,97.31,5607868
1714708800,97.47,98.03,96.33,97.4,5611928
1714968000,97.76,97.9,96.65,97.45,4517746
1715054400,98,98.41,97.36,97.53,3960351
1715140800,97.55,98.51,97.18,98.25,5784348
1715227200,98.43,99.48,98.19,99.46,3840359
1715313600,99.6,99.99,99.34,99.66,4149342
1715572800,99.98,100.23,99.025,99.29,3853790
1715659200,99.5,100.1399,99.41,99.84,3292760
1715745600,100,100.64,99.84,100.57,3230563
1715832000,100.71,101.46,100.52,100.66,4417444
1715918400,100.94,100.94,99.8,99.83,5307800
1716177600,99.87,100.47,99.422,99.59,5340322
1716264000,99.9,100.81,99.34,100.23,6199576
1716350400,99.53,101.18,99.21,101.07,4407813
1716436800,100.61,100.61,99.205,99.65,4573188
1716523200,100.24,100.79,99.59,99.93,4053913
1716868800,99.34,100.13,99.0475,100.05,3560149
1716955200,99.85,99.99,99.21,99.6,4465027
1717041600,99.69,99.8,98.96,99.41,3875991
1717128000,99.28,101.52,99.28,101.38,7528798
1717387200,101.24,103.18,100.62,102.96,6332707
1717473600,102.91,104.11,102.56,103.79,5080937
1717560000,103.95,104.235,102.98,104.07,5266737
1717646400,104,104.9,103.53,104.24,4847607
1717732800,103.92,104.35,103.56,103.61,2506958
1717992000,103.55,103.88,102.6,103.68,3821639
1718078400,103.48,103.96,102.58,103.82,3751330
1718164800,104.25,104.31,102.24,102.65,4083643
1718251200,102.67,102.67,101.58,101.98,4264375
1718337600,101.95,102.325,101.51,102.2,5643631
1718596800,101.68,102.2,101.23,102.05,4838144
1718683200,99.33,101.87,99.3067,101.24,5990946
1718856000,101.46,101.735,100.6,101.2,4646060
