T,O,H,L,C,V
1713844800,137.17,144.8,137.17,143.39,283732
1713931200,147.4,157.25,146.5,149.23,533384
1714017600,146.06,148.42,140.28,146.31,351458
1714104000,146.82,149.9,144.3501,148.82,235291
1714363200,150,154.02,145.8746,149.66,241944
1714449600,149.77,150.41,141.38,143,374328
1714536000,183,183.49,159.11,170.01,1093920
1714622400,173.88,174.01,154.8377,160.58,489907
1714708800,162.16,163.736,156.3,159.95,317202
1714968000,161.26,170.13,161.24,161.58,297019
1715054400,161.58,165.24,156.39,157.76,206271
1715140800,156.31,158.94,154,158.12,189450
1715227200,158.15,167.11,156.825,165.36,339804
1715313600,166.98,175.6012,165.631,168.23,394824
1715572800,169.89,171.07,159.745,160.42,302284
1715659200,162.04,164.45,156.34,159.09,242693
1715745600,160.42,168.53,160.42,167.26,220688
1715832000,168.02,168.88,162.37,163.64,181803
1715918400,164.16,165.1099,156.93,158.12,243760
1716177600,158.64,166.4723,158.64,165.15,185327
1716264000,165,191.03,165,187.95,824786
1716350400,187.07,195.38,181.69,194.69,615974
1716436800,196.72,201.2,184.02,184.73,509418
1716523200,186.18,202.36,185.9301,201.27,390341
1716868800,206.16,209.1399,197.21,206.14,413721
1716955200,202.14,206.54,197.3605,204.62,252569
1717041600,206.4,209.13,202.02,205.95,276222
1717128000,205.31,206.9899,177.055,179.86,553152
1717387200,181.75,183.0478,163.8401,171.34,496068
1717473600,167.68,168,153.0232,157.11,536599
1717560000,158.44,163.1203,158.44,160.87,263250
1717646400,160,161.3,154.4417,158.07,208584
1717732800,157,159.59,155,159.03,206823
1717992000,159,172.63,157.97,170.85,465361
1718078400,168.87,172.61,164.086,164.62,307046
1718164800,168.03,178.4102,167.2589,173.15,298974
1718251200,173.65,177.2399,168.07,176.16,193590
1718337600,173.55,173.55,163.59,165.47,195021
1718596800,166.74,170.47,163.59,169.81,209334
1718683200,167.3,167.3,153.41,164.27,386090
1718856000,164.14,166.075,156.52,156.96,292560
1718942400,154.9,156,147.36,153.95,756718
1719201600,153.85,156.7499,151.07,151.39,226949
1719288000,151.44,153.3299,150,151.9,159204
1719374400,150.56,152.2622,144.0676,145.23,345880
1719460800,145.18,148.4,140.33,142.09,510163
1719547200,143.3,146.63,141.13,143.4,820686
1719806400,145.34,146.37,140.5,143.43,356714
1719892800,142.4,146.16,141.7283,144.74,221491
1719979200,146.71,152.0855,145.69,150.65,228964
1720152000,152,153.93,144.73,144.96,292190
1720411200,145.25,151.06,145.2,145.65,254182
1720497600,146,146.81,134.54,137.29,355574
1720584000,138.3,140.64,136.26,140.11,290062
1720670400,143.11,146.965,141.09,142.66,227449
1720756800,143.67,146.89,139.515,142.12,272838
1721016000,143.43,150.64,141,144.53,297233
1721102400,144.53,146,137.688,140.9,427871
1721188800,139.19,139.19,130.63,132.4,613295
1721275200,133.58,134.87,127.01,130.27,401696
1721361600,130.93,135.61,129.16,134,702804
1721620800,136.56,139.3708,132.68,137.64,585845
1721707200,138.8,143.01,137.94,141.06,250510
1721793600,139.79,143.363,135.49,135.61,465328
1721880000,135,136.03,127.41,133.76,367846
1721966400,136.48,140.4,134.05,139.28,238516
1722225600,142.2,144.62,135.16,137.71,317048
1722312000,137.71,141.5,132.41,133.25,565934
1722398400,169.01,188.45,162.01,183.63,1759858
1722484800,181.68,182.075,159.0628,161.11,867776
1722571200,154.77,154.98,147.33,153.46,524510
1722830400,144,160.8499,143,152.13,575958
1722916800,154.03,165,152,163.71,358277
1723003200,168.33,168.64,155.24,155.74,400241
1723089600,161.45,164.79,155.35,164.495,195707
1723176000,164.02,164.76,160,164.62,197516
1723435200,165,168.99,161.85,163.45,193436
1723521600,164.58,165.755,160,162.13,192576
1723608000,161.86,163.9999,154.17,156.67,304299
1723694400,161,170.77,160.03,167,316070
1723780800,166.12,168.58,162.56,168.53,236951
1724040000,169,174,166.0101,171.04,416215
1724126400,177.89,181.97,172.19,173.45,443751
1724212800,173.2,174.24,167.47,173.95,408833
1724299200,175.61,184.81,175.61,178.02,426253
1724385600,178.07,193.58,178.07,192.78,400517
