T,O,H,L,C,V
1713844800,78.34,79.48,78.26,79.32,434045
1713931200,79.88,79.92,78.66,78.9,341148
1714017600,78.41,79.86,77.76,79.28,474748
1714104000,79.06,80.16,78.825,79.73,430153
1714363200,80,80.55,79.15,79.36,595913
1714449600,79.37,79.9,78.48,78.51,796569
1714536000,80,80.265,74.04,77.63,2363790
1714622400,78.54,78.89,76.65,77.3,1255238
1714708800,78.8,79.15,77.32,78.47,801569
1714968000,78.57,79.86,78.5,79.6,801298
1715054400,79.01,79.515,78.08,78.25,595641
1715140800,78.24,78.625,77.03,77.6,725778
1715227200,77.37,77.37,76.45,77.01,880421
1715313600,77.48,78.63,77.08,78.58,957643
1715572800,78.71,78.8,76.69,76.76,590658
1715659200,76.52,77.05,75.73,76.83,753144
1715745600,77.01,78.26,76.8,77.4,818856
1715832000,77.25,78,76.44,76.55,766036
1715918400,76.66,77.1,76.09,76.51,515086
1716177600,76.52,77.27,76.4658,77.21,441934
1716264000,77.27,77.755,76.76,77.13,469879
1716350400,77.05,77.32,76.69,77.1,854877
1716436800,77.65,78.69,77.22,77.49,729932
1716523200,78.13,79.63,77.67,79.25,822374
1716868800,79.65,79.73,77.255,77.37,745131
1716955200,76.79,77.74,76.66,77.7,725272
1717041600,77.3,77.96,76.5,76.68,870005
1717128000,76.82,77.46,74.4,76.15,1063681
1717387200,76.31,76.31,72.51,74.83,1053719
1717473600,74.72,74.835,73.97,74.28,706080
1717560000,74.67,74.81,73.72,74.59,592651
1717646400,74.73,75.42,73.68,74.01,578532
1717732800,74.19,76.4,73.26,74.52,1238288
1717992000,74.09,75.94,73.85,75.3,713919
1718078400,75.13,76.02,73.87,75.59,571664
1718164800,76.19,77.46,76.04,76.94,745627
1718251200,76.84,76.84,75.08,76.39,832066
1718337600,75.65,76.58,75.04,76.31,574118
1718596800,76.23,76.92,75.65,76.82,436297
1718683200,76.65,78.45,76.23,77.74,510471
1718856000,78.47,79.47,78.17,78.63,831257
1718942400,78.55,78.84,77.71,78.09,999655
1719201600,78.32,79.775,78.05,79.49,507795
1719288000,81.45,82,80,81.28,1189532
1719374400,80.77,82.19,80.62,81.18,858773
1719460800,81.4,82.2,80.48,81.99,673949
1719547200,82.45,83.17,81.255,81.81,6002725
1719806400,82.11,82.6,80.18,80.2,731266
1719892800,80.02,80.7,79.55,79.98,926731
1719979200,79.98,80.72,79.44,80.61,246760
1720152000,80.1,80.5224,79.17,79.64,533457
1720411200,79.97,80.36,78.6,78.69,535800
1720497600,78.59,78.8011,77.88,78.13,483600
1720584000,78.38,79.41,78.04,79.4,476628
1720670400,79.9,79.938,78.57,79.42,928333
1720756800,79.88,80.3,78.7,78.87,702741
1721016000,79.35,80,77.775,77.8,788221
1721102400,78.32,80.21,78.29,80.14,826775
1721188800,79.69,79.75,77.01,77.02,724268
1721275200,77.17,77.665,76.67,76.75,601198
