T,O,H,L,C,V
1713844800,50.95,51.87,50.9001,51.8,2076508
1713931200,52.75,52.94,50.57,50.65,2683943
1714017600,49.89,52.41,49.49,52.22,2810049
1714104000,52.71,53.18,51.98,52.95,2273061
1714363200,52.79,53.48,52.08,52.43,2591429
1714449600,52.24,52.85,50.38,50.4,3175673
1714536000,50.33,51.58,49.93,50.13,3977073
1714622400,50.96,51.48,49.45,51.43,1705972
1714708800,52.48,52.86,51.49,52.24,1881586
1714968000,52.71,54.12,52.42,53.95,2601348
1715054400,53.84,54.28,53.13,53.18,2321042
1715140800,52.95,53.97,52.79,53.45,1492589
1715227200,53.77,54.95,53.41,54.11,2918613
1715313600,54.47,54.5,53.6,54.41,1453556
1715572800,54.41,54.83,53.91,54.33,2112915
1715659200,54.14,56.57,54.14,56.41,4215177
1715745600,56.85,59.7488,56.54,59.59,4832518
1715832000,59.5,59.805,58.64,58.85,2185255
1715918400,59.55,60.51,58.8208,59.15,3135545
1716177600,59.33,60.4399,59.14,60.12,2847915
1716264000,58.77,60.2408,58.06,59.91,2698901
1716350400,60.32,60.628,59.81,60.31,2320086
1716436800,62,62.22,59.57,60.01,2913882
1716523200,60.03,61.61,59.78,61.05,3470796
1716868800,62,62.61,61.425,62.52,4826875
1716955200,61.5,63.06,61,63,6409067
1717041600,68.5,68.75,61.6,63.25,7792796
1717128000,63.02,64.51,59.38,60.29,22239149
1717387200,61.53,62.025,58.64,59.8,4024723
1717473600,59.79,60.51,59.27,60.44,2679994
1717560000,61.47,63.58,61.42,63.48,3756070
1717646400,63.23,64.36,62.79,64.04,3600484
1717732800,63.64,65.3,63.3111,64.94,3038921
1717992000,64.39,66.47,63.97,66.1,3328047
1718078400,66.01,66.72,65.16,66.56,3300886
1718164800,65.36,67.55,64.9804,66.89,3485666
1718251200,67.49,68.69,67.16,68.3,2924987
1718337600,68.01,68.87,67.36,67.68,2607086
1718596800,68,68.4157,66.19,67.81,3282453
1718683200,68.12,70.41,67.81,68.35,4756990
1718856000,69.62,70.21,64.7834,65.96,4537854
1718942400,64.49,65.05,63.01,64.48,8842409
1719201600,63.81,64.13,62.027,62.82,4206317
1719288000,63.55,63.71,62.42,62.92,2816200
1719374400,62.7,63.24,62.165,62.71,2574904
1719460800,62.72,65.72,62.26,65.18,2842511
1719547200,65.56,66.45,63.98,64.21,3952209
1719806400,64.3,65.76,63.465,65.51,2744979
1719892800,61,63.02,60.5,62.77,4485282
1719979200,62.8,63.72,62.55,63.69,1918646
1720152000,64.13,64.91,63.26,64.68,2295553
1720411200,65.05,66.09,65.04,65.17,2559715
1720497600,65.68,66.62,65.24,65.88,2410869
1720584000,66.63,67.76,66.21,67.71,2766345
1720670400,67.76,68.34,64.85,65.31,2794605
1720756800,65.34,66.91,64.01,65.2,2113331
1721016000,66,66.42,64.96,65.81,1617039
1721102400,66.07,66.28,63.67,63.94,2430326
1721188800,62.38,62.7,60.44,60.63,2695543
1721275200,61.49,61.5,58.58,59.75,3426071
1721361600,59.63,60.27,58.58,59.1,3317097
1721620800,59.84,61.25,59.52,61.09,2639242
1721707200,61.06,62.18,60.48,61.24,2577143
1721793600,60.14,61.2,58.13,58.32,2722975
1721880000,58.05,58.61,55.75,57.42,3107112
1721966400,58.59,58.97,57.78,58.27,1986928
1722225600,58.66,59.43,58.19,58.2,1723421
1722312000,59.16,59.38,55.2879,56.5,2948554
1722398400,59.42,60.7,58.46,59.93,3723688
1722484800,59.38,60.53,55.945,56.82,2864474
1722571200,54.54,54.86,52.67,54.29,2964628
1722830400,49.79,53.75,49.79,52.86,3260448
1722916800,53.33,54.64,52.49,53.84,1813456
1723003200,54.59,55.14,52.43,52.75,2513448
1723089600,53.95,55.36,53.185,55.24,2231187
1723176000,55.02,56.91,54.99,56.68,2247967
1723435200,56.7,58.05,56.57,57.19,2240055
1723521600,57.96,59.77,57.885,59.59,2182413
1723608000,60.27,60.62,59.53,60.3,2214079
1723694400,61.48,63.1,61.3101,62.54,1937309
1723780800,62.1,62.84,61.41,62.42,1558110
1724040000,62.03,62.3,61.01,61.96,2064497
1724126400,62.06,62.3,61.27,61.55,1591083
1724212800,61.72,62.51,61.3301,62.3,1915231
1724299200,62.25,63.08,60.8,60.95,1856173
1724385600,61.64,62.635,61.12,61.56,2382566
1724644800,61.46,61.96,60.1,60.54,2441808
1724731200,59.27,61.615,59.2649,61.12,3390197
1724817600,60.51,61.09,59.24,59.76,3731030
1724904000,51.01,54.24,50.02,50.32,12409583
1724990400,50.67,51.955,50.495,51.29,5347812
1725336000,50.76,51.25,47.405,48.06,6973358
1725422400,47.41,47.97,46.29,47.39,5267539
1725508800,46.67,47.71,46.41,46.94,4295460
1725595200,46.61,47.11,44.76,45.73,3555444
1725854400,46.3,46.67,45.96,46.39,2519117
1725940800,46.4,47.01,46.01,46.71,2671943
1726027200,46.82,48.1,46.1,47.71,2580986
1726113600,47.72,48.58,47.41,48.26,2319651
1726200000,48.27,49.415,48.26,48.9,2189911
1726459200,48.46,49.685,48.17,49.58,3138221
1726545600,50,50.48,49.52,49.8,2161215
1726632000,50,50.68,49.23,49.28,2305653
1726718400,51.01,51.16,49.44,49.75,3349526
1726804800,49.69,50.995,49.34,50.72,7352633
1727064000,50.79,51.12,50.07,50.19,3141219
1727150400,50.2,50.565,49.56,49.81,2350913
1727236800,49.82,50.59,49.73,50.42,2655133
1727323200,51.31,51.58,50.09,50.45,3950664
1727409600,50.37,50.82,49.13,49.44,2879298
1727668800,49.18,50.24,48.98,50.24,3767228
1727755200,50.05,50.05,48.51,48.77,2052348
1727841600,48.77,50.6,48.77,49.92,2283850
1727928000,49.8,50.6832,49.35,49.76,1825392
1728014400,50.78,51.45,50.03,51.24,2439618
1728273600,51.07,51.63,51,51.32,2253710
1728360000,51.53,52.59,51.01,52.51,1811069
1728446400,52.52,53.295,52.06,53.16,2079181
1728532800,52.59,53.27,52.165,53.09,1702711
1728619200,52.83,53.74,52.61,53.2,2602631
1728878400,53.64,54.6,53.64,53.9,1911605
1728964800,53.97,54.61,52.425,52.59,2103823
1729051200,52.99,54,52.68,53.42,2164663
1729137600,55,56.59,54.29,56.49,4179672
1729224000,56.63,57.43,56.51,57.07,3282799
1729483200,56.94,57.96,56.65,57.56,3012163
1729569600,55.5,55.745,52.53,53.01,5235793
1729656000,52.57,53.38,51.99,52.38,1994588
1729742400,52.6,53.52,52.37,53.45,1364126
1729828800,54.09,54.71,53.9,54.05,1513924
1730088000,54.31,54.64,54.07,54.07,1096212
1730174400,54.16,55.1591,53.77,55.07,1521524
1730260800,54.7,54.97,52.81,53.41,2219781
1730347200,52.7,52.715,49.9,50.05,3029263
1730433600,50.34,51.52,50.26,50.95,1916968
1730696400,51,51.1,49.53,49.72,2402213
1730782800,49.8,51.505,49.78,51.15,1944367
1730869200,53.32,54.24,52.55,54.07,3170581
1730955600,54.34,54.73,53.7,53.93,1740848
1731042000,53.58,53.8583,52.68,52.91,2665902
1731301200,53.29,53.29,52.07,52.62,2012479
1731387600,52.13,52.63,49.84,50.15,5336051
1731474000,51.03,52.9545,45.15,49.87,9654738
1731560400,50.22,50.22,48.99,49.83,1976931
1731646800,49,49.4,47.71,48.19,2354109
1731906000,48.79,49.59,48.58,49.52,2524309
1731992400,48.76,50.25,48.52,49.9,2577738
1732078800,49.9,50.135,48.95,49.78,1308973
1732165200,50.39,52.3,50.105,51.56,1940550
1732251600,52.59,53.05,51.64,51.66,2432066
1732510800,52.49,53.76,52.33,53.74,4356660
1732597200,53.75,54.796,53.5,54.6,2154337
1732683600,54.32,54.49,51.43,52.89,2143529
1732856400,53.2,53.81,52.93,52.99,1011166
1733115600,53.2,54.0899,52.93,53.04,2743174
1733202000,52.72,53.7899,52.56,53.54,5738570
1733288400,62.66,67.95,60.2801,65.35,13257254
1733374800,65.27,66.65,62.49,62.56,6292729
1733461200,63.6,65.97,63.41,64.92,4825818
1733720400,65.19,65.49,62.773,63.81,3174163
1733806800,63.51,63.51,60.03,60.29,3445654
1733893200,61.15,62.87,60.8,62,2757269
1733979600,61.41,62.6,61.2045,62.52,2053534
1734066000,63.68,64.26,62.1418,63.7,3645944
1734325200,63.95,66.99,63.5,66.6,3379362
1734411600,66.22,66.48,64.87,65.76,2888919
1734498000,65.69,66.28,62.53,62.59,3749294
1734584400,62.92,63.64,61.01,62.34,4573306
1734670800,61.8,65.2,61.35,64.4,6531455
1734930000,64.47,65.02,63.37,63.8,2400540
1735016400,63.95,64.75,63.71,64.75,1184729
1735189200,64.8,65.66,64.28,65.4,1820865
1735275600,64.6,65.12,63.22,63.65,1425773
1735534800,62.25,63.27,61.65,62.48,1529801
1735621200,62.76,63.24,61.17,61.43,1877324
1735794000,61.88,63.365,61.105,62.49,1979504
1735880400,62.97,64.33,62.25,64.23,1864755
1736139600,65.33,65.9641,64.25,64.55,2077885
1736226000,65.15,65.15,62.77,62.93,1773446
1736312400,62.6,64.4467,62.3497,64.26,2745062
1736485200,63.47,64.96,62.41,64.73,3861899
1736744400,62.85,63.56,60.62,62.59,2800917
1736830800,63.6,64.15,62.48,63.25,1997856
1736917200,65.04,65.6698,64.28,64.72,2356486
1737003600,65.28,67.2273,65.28,65.42,2607630
1737090000,66.08,66.94,64.9228,66.3,1872764
1737435600,67.2,70.18,67.07,70.08,3545968
1737522000,72,73.67,71.4,72.31,3176753
1737608400,71.05,72.55,70.95,72.37,2088601
1737694800,73,73.59,71.7,72.15,2097924
1737954000,66.3,67.75,63.5,65.29,6294304
1738040400,66.12,67.67,63.44,66.81,2398718
1738126800,67.53,67.9,66.6,67.64,1839339
1738213200,68.83,69.7843,68.16,68.38,1579845
1738299600,69.46,70.18,67.64,67.79,1930421
1738558800,65.85,67.67,64.72,66.78,2311863
1738645200,66.33,68.37,66.22,68.35,1914811
1738731600,68.84,70.73,68.8194,69.96,2000061
1738818000,70.39,70.53,69.12,69.71,1647495
1738904400,70.35,70.7399,68.46,69.07,1939341
1739163600,69.49,71.3,69.01,70.92,1540128
1739250000,69.99,70.13,67.055,67.32,3488026
1739336400,66.23,67.955,65.6332,67.25,2054321
1739422800,67.35,67.92,66.64,67.54,1408535
1739509200,67.54,67.86,66.34,67.8,1475327
1739854800,68.19,68.98,67.41,68.91,1569601
1739941200,68.56,68.893,67.58,67.89,1626101
1740027600,68.1,68.23,65.87,67.8,1666441
1740114000,68.49,69.3376,64.6304,65.07,2739592
1740373200,65.07,65.43,62.375,63.87,2834412
1740459600,62.5,62.68,60.4033,61.3,3535281
1740546000,63,64.16,62.35,62.44,3245143
1740632400,55.18,57.2,52.765,53.2,7853267
1740718800,52.22,54.63,50.9009,52.47,5724622
1740978000,52.77,53.24,49.1192,49.43,4072596
1741064400,48.21,51.02,47.64,50.11,3672008
1741150800,50.12,53.37,50.01,52.2,5109402
1741237200,50.3,50.98,48.34,48.92,4239228
1741323600,48.67,49.49,46.58,49.22,3681801
1741579200,47.88,48.38,46.56,47.9,3928506
1741665600,48.06,49.6999,47.31,48.63,3490397
1741752000,50.32,50.515,48.06,48.22,2454742
1741838400,48.07,48.75,47.07,48.54,2796406
1741924800,49.91,51.85,49.8,50.92,3716127
1742184000,50.61,51.3414,49.9501,50.69,2203941
1742270400,50.31,50.48,48.95,49.87,2380754
1742356800,49.99,52.72,49.34,51.52,2955428
1742443200,50.73,51.8399,50.55,50.79,2003855
1742529600,49.59,51.37,49.28,51.15,4096439
1742788800,52.22,53.45,51.9,52.88,2107358
1742875200,52.68,53.17,52.235,52.97,1768442
1742961600,52.95,53.14,50.51,50.64,2224407
1743048000,49.14,49.8139,48.35,48.44,3322572
1743134400,48.06,48.335,45.73,46,3003158
1743393600,44.46,44.545,43.7,44.27,4276946
1743480000,44.73,45.59,43.96,45.39,3169846
1743566400,44.45,46.485,44.25,46.01,2410637
1743652800,43.44,43.5,40.74,40.85,3300564
1743739200,39.1,39.81,35.93,37.18,5136595
1743998400,34.76,40.12,34.51,38.5,6444803
1744084800,40.17,41.05,37.8,38.69,5061761
1744171200,38.8,45.73,38.7,44.7,5023073
1744257600,43.02,43.4245,40.555,41.92,3298586
1744344000,41.76,41.76,40.27,41.08,3781349
1744603200,43.32,43.33,40.64,41.25,2834673
1744689600,41.19,42.33,41.185,41.95,2245077
1744776000,40.49,41.77,40.18,41.26,2239930
1744862400,41.66,42.2,40.93,41.75,2606917
1745208000,40.87,41.19,39.72,40.21,1804501
