T,O,H,L,C,V
1713844800,26.16,26.27,25.165,25.41,754373
1713931200,25.79,26,24.85,25.21,560814
1714017600,24.66,25.65,23.995,25.49,1024818
1714104000,27,29.27,25.67,28.57,1645869
1714363200,29.4,32.61,29.075,32.14,1861644
1714449600,31.96,32.88,31.7,32.15,1420019
1714536000,32.31,35.47,31.7,34.16,1095092
1714622400,34.73,34.9,33.21,33.62,911659
1714708800,34.73,34.83,32.81,33.01,992559
1714968000,32.96,33.32,32.54,32.96,468720
1715054400,33.16,33.3,31.7,31.79,512539
1715140800,31.13,31.6,30.705,31.14,623773
1715227200,31.14,31.3875,30.79,31.05,822545
1715313600,31.23,32.69,31.01,32.25,590683
1715572800,32.25,33.26,31.48,31.7,922311
1715659200,32.54,33.1347,30.95,31.18,497840
1715745600,32.03,33.79,31.92,33.66,573656
1715832000,33.74,34.32,33.32,34.03,546624
1715918400,33.71,33.94,32.88,33.095,646621
1716177600,38.5,40.69,37.57,40.12,2858822
1716264000,39.92,40.69,38.27,38.85,1357523
1716350400,38.86,39.02,37.21,38.64,1085656
1716436800,38.63,38.63,36.925,37.13,848100
1716523200,37.27,38.14,37.06,37.2,540532
1716868800,37.76,37.76,36.25,36.47,844772
1716955200,35.73,36.4932,34.8,35.03,786455
1717041600,35.41,36.59,35.03,35.81,983239
1717128000,35.99,36.82,35.85,36.36,611732
1717387200,36.02,37.94,35.95,37.43,1411755
1717473600,37.51,38.71,37.22,37.91,550286
1717560000,38.12,38.66,37.57,38,654324
1717646400,38.09,38.17,36.765,36.93,624139
1717732800,36.77,37.29,36.22,36.52,548956
1717992000,36.12,38.27,36.12,37.61,1257965
1718078400,37.18,37.8,36.6,37.69,588025
1718164800,38.96,39.95,36.975,37.67,645832
1718251200,37.6,38.12,36.7,36.9,774672
1718337600,36.45,36.57,35.53,35.81,837667
1718596800,35.67,36.6,35.19,35.4,974799
1718683200,35.42,36.12,34.495,35.62,800126
1718856000,36.2,36.94,32.85,33.29,2190299
1718942400,33.48,36.54,33.48,36.52,3750598
1719201600,36.95,37.64,35.69,35.77,787067
1719288000,36.5,37.32,35.08,35.15,793407
1719374400,35.08,35.35,34.46,35.02,699582
1719460800,35.57,36.22,34.56,34.66,662252
1719547200,29.25,32.41,28.72,30.58,3274380
1719806400,30.56,31.85,30.4,31.17,828351
1719892800,31.1,31.33,29.92,30.39,866163
1719979200,30.92,31.14,30.29,31,362250
1720152000,30.9,31.2,30.145,30.93,519901
1720411200,31.63,32.17,30.99,31.73,512834
1720497600,31.65,32.33,30.875,31.55,612136
1720584000,31.69,32.4,31.42,31.77,387667
1720670400,32.42,33.88,31.87,33.2,603190
1720756800,33.61,34.44,32.76,33.27,584900
1721016000,33.38,33.76,32.53,33.13,666240
1721102400,33.75,34.49,33.67,34.17,794957
1721188800,33.86,34.56,33.3631,34.19,1058492
1721275200,34.07,34.18,32.35,32.81,800516
1721361600,32.98,33.62,32.4101,32.63,537156
1721620800,32.93,33.21,32.54,33.03,501682
1721707200,32.77,33.75,32.77,33.55,322614
1721793600,33.28,34.46,32.89,33.97,456885
1721880000,34.09,34.58,33.545,33.57,994965
1721966400,34.09,34.56,33.62,34.09,574092
1722225600,34.08,34.08,32.18,32.52,478842
1722312000,32.8,33.31,32.2,33.03,653792
1722398400,33.22,34.52,32.76,33.85,377783
1722484800,33.87,34.14,32.375,32.69,477655
1722571200,30.81,32.31,30.4,32.19,434358
1722830400,31.24,31.59,30.31,31,657119
1722916800,31.14,32.83,30.81,32.09,584195
1723003200,32.75,32.75,31.63,31.85,937831
1723089600,31.86,32.53,30.65,32.45,504489
1723176000,29.38,33.23,29.015,31.29,725888
1723435200,31.7,32.03,30.08,31.31,483412
