T,O,H,L,C,V
1713844800,11.3,11.63,11.2,11.6,4805607
1713931200,11.43,11.6,11.25,11.53,6967125
1714017600,11.43,11.54,11.15,11.26,5560444
1714104000,11.22,11.42,11.18,11.25,5225125
1714363200,11.22,11.33,11.015,11.26,5430724
1714449600,11.1,11.19,10.775,10.82,7801555
1714536000,10.82,10.93,10.48,10.5,7443112
1714622400,10.4,10.78,10.18,10.59,14922595
1714708800,10.73,10.745,10.52,10.68,6862023
1714968000,10.73,11.14,10.72,10.97,8510124
1715054400,10.89,11.12,10.865,11,6878640
1715140800,10.87,11.05,10.74,10.77,5116084
1715227200,10.77,11.21,10.77,11.16,8551245
1715313600,11.23,11.29,10.855,10.89,4437147
1715572800,11,11.18,10.9,10.94,6057003
1715659200,11.04,11.12,10.91,11,3091045
1715745600,11.01,11.07,10.74,11.01,4617408
1715832000,11.03,11.11,10.97,11.06,4554556
1715918400,11.12,11.415,11.02,11.31,5640823
1716177600,11.37,11.695,11.3,11.6,5227995
1716264000,11.59,11.68,11.45,11.47,4337511
1716350400,11.32,11.38,10.875,10.98,4868916
1716436800,11.05,11.15,10.71,10.74,5207187
1716523200,10.83,10.9,10.69,10.8,4103903
1716868800,10.96,11.09,10.86,11,4681893
1716955200,10.9,10.955,10.54,10.56,7669586
1717041600,10.52,10.67,10.52,10.58,4520103
1717128000,10.6,11.04,10.6,11.02,8701223
1717387200,11.03,11.03,10.27,10.4,6353350
1717473600,10.27,10.3,10,10.18,7611553
1717560000,10.21,10.495,10.16,10.35,9257257
1717646400,10.33,10.38,10.16,10.35,4896649
1717732800,10.22,10.395,10.19,10.22,5957466
1717992000,10.29,10.545,10.165,10.42,8348451
1718078400,10.28,10.485,10.16,10.41,5221058
1718164800,10.65,10.72,10.4,10.44,4164419
1718251200,10.36,10.425,9.985,10.1,5754129
1718337600,10.04,10.05,9.775,9.83,7913001
1718596800,9.8,9.98,9.68,9.91,7111265
1718683200,9.91,10.06,9.84,9.86,9065585
1718856000,9.86,10.14,9.835,10.01,7023011
1718942400,10.04,10.11,9.885,10.1,42674585
1719201600,10.18,10.425,10.04,10.36,5955172
1719288000,10.27,10.3703,10.23,10.31,4210056
1719374400,10.27,10.29,10,10.09,6276487
1719460800,10.18,10.225,10.02,10.16,4467544
1719547200,10.31,10.43,10.225,10.36,16327631
1719806400,10.41,10.47,10.08,10.09,5137477
1719892800,10.175,10.38,10,10.06,6422697
1719979200,10.11,10.235,10.01,10.13,3902576
1720152000,10.03,10.1,9.87,9.91,5183971
1720411200,9.93,10,9.705,9.74,6422177
1720497600,9.7,9.83,9.51,9.78,9130181
1720584000,9.76,9.91,9.7,9.81,4484382
1720670400,9.86,10.23,9.8002,10.19,6238209
1720756800,10.34,10.375,10.18,10.25,4387004
1721016000,10.26,10.61,10.105,10.49,9382205
1721102400,10.42,10.89,10.255,10.85,9706266
1721188800,10.87,11.27,10.87,11,8632121
1721275200,11.04,11.105,10.7,10.71,7258407
1721361600,10.35,10.49,10.23,10.38,8399934
1721620800,10.42,10.46,10.16,10.22,8077776
1721707200,10.17,10.22,10,10.18,9059520
1721793600,10.19,10.34,9.91,9.93,10742113
1721880000,10.04,10.515,9.75,10.44,13129218
1721966400,10.41,10.57,10.14,10.43,10483108
1722225600,10.36,10.465,10.125,10.17,5438643
1722312000,10.13,10.695,10.094,10.65,8640435
1722398400,10.77,11.07,10.76,10.99,9672833
1722484800,10.94,11.01,10.03,10.21,7261854
1722571200,9.97,9.99,9.53,9.67,7936312
1722830400,9.19,9.265,8.9,8.92,11419125
1722916800,8.92,9.02,8.68,8.7,8499400
1723003200,8.89,9.05,8.64,8.65,6130939
1723089600,8.7,8.95,8.645,8.87,5294155
1723176000,8.84,9.115,8.84,8.97,8747311
1723435200,9.08,9.12,8.91,8.94,3575365
1723521600,8.9,8.915,8.73,8.79,4621470
1723608000,8.87,8.925,8.705,8.75,3956231
1723694400,8.92,9.125,8.92,9.03,4810222
1723780800,8.98,9.15,8.91,9.13,6579714
1724040000,9.16,9.505,9.15,9.44,9172437
1724126400,9.43,9.48,9.04,9.06,5502558
1724212800,9.25,9.2598,8.91,9.11,5976156
1724299200,9.08,9.22,8.995,9.02,3571835
1724385600,9.12,9.49,9.09,9.31,7871932
1724644800,9.51,9.66,9.36,9.4,4646398
1724731200,9.35,9.3698,9.165,9.22,4545334
1724817600,9.09,9.19,9.031,9.07,6183445
1724904000,9.17,9.49,9.055,9.35,5913533
1724990400,9.19,9.31,9.06,9.21,6754551
