T,O,H,L,C,V
1713844800,18.4,18.83,18.29,18.51,1021534
1713931200,18.73,19.11,18.515,18.73,1104547
1714017600,18.62,18.92,18.24,18.87,1455058
1714104000,19.21,19.5881,18.475,18.52,1469937
1714363200,18.52,18.91,18.36,18.56,1336109
1714449600,18.38,18.59,18.15,18.29,1127719
1714536000,18.37,18.82,18.25,18.57,593289
1714622400,19.2,20.07,18.81,19.88,1272219
1714708800,19.89,20.01,19.41,19.5,1511925
1714968000,19.5,19.7,19.17,19.59,900953
1715054400,19.5,20.04,19.41,19.91,2190342
1715140800,19.87,20.105,19.7108,19.91,801932
1715227200,20.2,20.99,20.2,20.9,1021874
1715313600,21,21.49,20.56,20.67,693198
1715572800,20.88,21.26,20.72,20.98,704995
1715659200,20.77,20.77,20.3,20.71,935197
1715745600,20.8,20.9,20.46,20.87,673799
1715832000,21,21.53,20.94,21.47,1038014
1715918400,21.36,21.57,21.165,21.3,1340802
1716177600,21.29,21.34,20.47,20.51,1632225
1716264000,20.51,21.0491,20.4,20.51,1706373
1716350400,20.5,20.63,20.185,20.45,1211407
1716436800,20.18,20.55,19.76,20.04,1059518
1716523200,19.85,20.07,19.85,19.99,1018880
1716868800,19.94,20.19,19.58,19.9,754552
1716955200,19.5,20.1,19.281,19.94,942129
1717041600,19.61,20.04,19.43,19.63,2004827
1717128000,19.34,19.61,19.16,19.32,1423675
1717387200,19.75,19.75,19.13,19.4,677364
1717473600,19.4,19.5,19.02,19.15,727107
1717560000,19.41,19.96,19.3,19.48,1363011
1717646400,19.52,20.35,19.51,20.16,916395
1717732800,19.86,20.57,19.86,19.94,913340
1717992000,19.91,20.4899,19.53,20.33,852327
1718078400,20.41,20.49,20.08,20.12,1104055
1718164800,20.34,20.41,20.04,20.17,1019799
1718251200,20.18,20.77,19.86,20.02,818906
1718337600,19.97,20.44,19.73,20.1,2132572
1718596800,20.12,20.315,19.2,19.52,1232251
1718683200,19.41,20.04,19.41,19.78,928342
1718856000,19.99,20.297,19.48,19.65,1411864
1718942400,19.59,20.04,19.53,19.76,1495097
1719201600,19.96,20.45,19.96,20.26,1282406
1719288000,20.12,20.41,19.73,19.8,992289
1719374400,19.92,20.12,19.85,20.03,1007590
1719460800,19.94,19.98,19.36,19.39,1213683
1719547200,19.63,19.87,19.24,19.73,1864278
1719806400,19.94,20.14,19.675,19.7,1293224
1719892800,19.77,19.95,19.67,19.79,721130
1719979200,19.88,20.65,19.83,20.38,739840
1720152000,20.2,20.2,19.66,19.72,1631471
1720411200,19.62,19.62,19.095,19.3,1775232
1720497600,19.39,19.91,19.39,19.76,1950410
1720584000,19.81,20.33,19.56,20.13,951441
1720670400,20.31,20.6,20.15,20.18,1541081
1720756800,20.33,20.59,20.315,20.45,1031590
1721016000,20.27,20.35,19.46,19.77,1572290
1721102400,19.65,20.14,19.6,19.86,1281549
1721188800,19.69,20.07,19.44,19.52,1110965
1721275200,19.58,19.74,18.93,18.93,1200137
1721361600,18.92,19.4,18.8,19.24,953157
1721620800,19.24,19.58,19.1248,19.43,885942
1721707200,19.25,19.5,19.17,19.25,704926
1721793600,19.03,19.46,19.0101,19.1,529545
1721880000,19.09,19.415,18.95,19.12,796224
1721966400,19.31,19.81,19.11,19.81,605552
1722225600,19.81,20.1,19.72,19.87,1179664
1722312000,19.77,20.09,19.54,19.7,566482
1722398400,20.05,20.38,19.82,20.31,947118
1722484800,20.34,20.41,19.59,19.59,1097461
1722571200,19.55,19.55,19.1,19.17,762174
1722830400,18.37,19.09,18.13,19.08,1085322
1722916800,19.08,19.78,19.055,19.5,945474
1723003200,19.83,19.99,19.44,19.46,1328217
1723089600,19.66,20.17,19.66,20.12,830478
1723176000,20.19,20.415,20,20.35,1191011
1723435200,20.52,20.72,20.385,20.69,849169
1723521600,20.75,21.13,20.66,21.11,1439672
1723608000,22.34,23.98,22.08,23.7,3374805
1723694400,23.83,23.99,23.49,23.71,2374622
1723780800,23.93,24.72,23.81,24.5,3119087
1724040000,24.5,24.515,23.94,24.48,1589985
1724126400,24.48,25,24.25,24.94,3269175
1724212800,24.7,25.14,23.86,24.84,1767492
1724299200,24.67,25.3,24.65,25.2,1706180
1724385600,25.08,25.28,24.73,25.02,1648340
1724644800,24.95,25.82,24.39,25.81,2074308
1724731200,25.73,25.92,25.48,25.72,830332
1724817600,25.62,25.98,25.41,25.6,1457137
1724904000,25.85,26.055,25.64,25.9,1808971
1724990400,26.01,26.5,25.93,26.49,1849617
1725336000,26.27,26.27,25.42,25.59,1386862
1725422400,25.46,25.55,24.65,25.06,2253006
1725508800,25.12,25.12,24.39,24.5,2508404
1725595200,24.5,24.8,24.3,24.46,1643182
1725854400,24.3338,25.39,24.31,24.83,1655290
1725940800,24.53,24.96,24.34,24.81,1347371
1726027200,24.81,25.25,24.605,25.24,1303979
1726113600,25.29,25.38,24.78,24.91,1057904
1726200000,25.38,25.38,24.78,25.08,690278
1726459200,25.08,25.27,24.89,24.92,636990
1726545600,24.93,25.26,24.85,25.15,993903
1726632000,25.27,25.36,24.925,24.99,874329
1726718400,25.5,26.145,25.1,26.14,1091872
1726804800,26.05,26.24,25.49,25.76,1445080
1727064000,25.96,26.35,25.65,25.95,1183369
1727150400,27.04,27.6,26.75,27.58,2349644
1727236800,27.29,27.5,26.52,26.69,2333961
1727323200,26.54,28.875,26.39,28.46,7958302
1727409600,28,29.69,27.99,29.58,4013098
1727668800,30.59,31.815,29.54,29.81,3314915
1727755200,30,31.1,29.735,30.86,2671759
1727841600,32.23,33.195,31.8701,33.16,3435151
1727928000,31.7,32.32,31.15,31.92,2067973
1728014400,32.51,33.18,32.19,33.16,992988
1728273600,33.6,33.72,31.43,32.5,1772156
1728360000,31,31.86,30.51,31.12,2004770
1728446400,30.31,31.85,30.01,31.54,1652377
1728532800,31.97,32.7,31.86,32.47,1268013
1728619200,32.27,33.25,32.02,33.03,1343394
1728878400,32.95,33.48,32.56,32.97,1150158
1728964800,32.33,32.73,30.84,31.3,1397360
1729051200,31.84,32.895,31.4016,32.5,916658
1729137600,32.38,32.42,31.61,32.03,727381
1729224000,33.3,34.92,32.78,33.37,1556324
1729483200,32.9,33.61,32.45,33.3,1163845
1729569600,33.8,34.59,33.42,34.31,2621346
1729656000,34.59,34.86,33.715,33.85,2280928
1729742400,33.93,34.16,33.05,33.46,862485
1729828800,33.3,35.02,33.3,34.82,2229427
1730088000,34.61,34.98,34.14,34.98,759192
1730174400,35,35.23,34.07,34.12,1215829
1730260800,33.53,33.93,32.28,33.64,975448
1730347200,33.47,33.5,32.54,32.81,1040638
1730433600,33.01,33.41,32.45,32.58,971755
