T,O,H,L,C,V
1714017600,38.6,40,35.935,37,18580399
1714104000,38.3,38.88,35.88,38,5101628
1714363200,36.17,36.94,34.9,35,2873665
1714449600,35,35.1,32,32.02,4722234
1714536000,32.18,33.63,31.96,32.84,4473577
1714622400,33.02,34.22,32,33.91,859597
1714708800,34.54,34.95,32.03,32.75,1125659
1714968000,32.81,34.87,31.98,34.87,1305970
1715054400,34.59,35.3,33.44,33.77,1150890
1715140800,33.47,33.7499,33.22,33.57,704974
1715227200,33.42,33.83,32.81,33.6,506306
1715313600,33.9,34.53,33.47,33.52,611243
1715572800,33.34,33.73,32.67,32.79,488699
1715659200,33.2,34.2719,32.8797,33.98,687713
1715745600,34.18,34.89,33.72,34.36,568572
1715832000,34.4,35.71,34.11,34.86,743422
1715918400,34.86,36.57,34.51,36.57,1090462
1716177600,36.7,37.4,35.515,36.07,1097615
1716264000,36.1,36.2081,35.0501,35.38,451707
1716350400,35.46,35.9399,33.8,33.97,654706
1716436800,34.22,34.3806,32.65,32.76,782107
1716523200,32.82,34.26,32.82,33.56,475851
1716868800,33.85,34.5376,32.265,32.46,694215
1716955200,32.2,33.28,31.8387,33.02,593485
1717041600,32.75,32.91,29.4,30.26,1200128
1717128000,30.7,30.98,29.2406,30.48,1187716
1717387200,30.5,31.67,30.5,30.81,642449
1717473600,30.54,31.8,30.4,30.75,607277
1717560000,31.02,31.47,30.4,31.4,422362
1717646400,32,33.67,31.75,33.28,1136879
1717732800,33.28,34.13,32.6798,33.83,656188
1717992000,33.88,36.19,33.87,35.76,955975
1718078400,35.62,36.4099,35.09,35.26,1896793
1718164800,36.57,36.9,31.691,32.12,4066561
1718251200,32.76,33.44,30.78,31.11,1273721
1718337600,30.49,32.55,29.65,32.5,1254998
1718596800,32.21,32.27,30.81,31.07,922210
1718683200,30.99,31.16,30.52,30.65,553075
1718856000,30.57,30.57,29.52,29.67,1188427
1718942400,29.94,30.25,28.34,28.65,3284628
1719201600,28.54,30.51,28.35,30.16,1111013
1719288000,29.98,30.96,29.51,30.37,631924
1719374400,30.05,30.54,29.12,29.72,877604
1719460800,29.48,30.73,29.23,30.65,550203
1719547200,30.65,31.5,30.11,30.66,1610365
1719806400,31.01,31.5,29.75,30,1118543
1719892800,30.15,30.52,29.54,29.9,730890
1719979200,30.3,30.72,29.9,29.93,1159568
1720152000,30,32.8,30,32.76,1627793
1720411200,32.64,32.99,31.85,32.01,792130
1720497600,32.22,33,31.45,32.65,1038493
1720584000,32.9,33.22,32.16,33.19,571206
1720670400,33.51,34.12,32.8,32.99,814846
1720756800,33,33.89,32.52,33.85,582388
1721016000,34.47,35.46,34.09,34.29,1226457
1721102400,34.36,34.6225,33.73,34,1082135
1721188800,33.48,34.86,33.3,34.74,842699
1721275200,34.95,35.2499,33.575,34,735130
1721361600,34,34.42,33.32,33.86,761378
1721620800,34,34.56,33.511,34.54,329414
1721707200,34.56,36.425,34.32,36.41,807822
1721793600,36.09,36.475,34.61,35,1019011
1721880000,34.65,35.4758,33.66,34.42,860882
1721966400,35,35.27,34.04,34.71,541545
1722225600,35,36.16,34.53,34.6,589072
1722312000,34.64,36.845,34.64,36.61,1029660
1722398400,36.93,38.5,36.76,37.2,1156013
1722484800,37.14,37.46,34.52,34.58,1199155
1722571200,33.88,33.94,30.81,31.05,1166820
1722830400,28.99,30.75,28.6,30.05,1197929
1722916800,30.81,31.065,29.6601,30.96,866709
1723003200,31.59,31.86,30.71,31.09,944497
1723089600,31.47,32.03,30.28,31.49,561433
1723176000,31.26,32.46,30.97,31.75,648337
1723435200,31.75,31.94,31.01,31.29,351793
1723521600,31.98,32.73,31.52,32.11,604076
1723608000,32.3,32.59,31.69,31.71,815156
1723694400,32.11,33.645,32,33.62,1265959
1723780800,33.66,34.86,33.15,33.41,968987
1724040000,33.75,36.365,33.75,35.86,1205689
1724126400,35.76,36.25,35.39,35.95,467751
1724212800,36.2,36.72,35.16,36.36,901814
1724299200,36.5,36.96,36,36.17,737432
1724385600,36.23,37,34.8,34.95,799511
1724644800,35.45,35.86,34.94,35.59,603895
1724731200,35.53,35.9,35.18,35.42,372190
1724817600,35.17,35.255,33.45,34.21,741186
1724904000,34.43,35.2,33.64,33.77,454589
1724990400,34,34.99,34,34.82,1415743
1725336000,34.32,35.0779,32.77,32.86,623205
1725422400,32.61,33.41,31.835,32.63,570654
1725508800,32.61,32.97,32.01,32.14,636226
1725595200,32.18,32.62,30.64,30.72,1042332
1725854400,31,32.43,30.84,32.06,3111609
1725940800,29.85,31.75,29.18,31.58,4098537
1726027200,30.96,33.9,30.58,33.5,5368063
1726113600,31.955,32.24,30.24,30.75,5274145
1726200000,30.93,31.005,30.09,30.5,3276274
1726459200,31.49,31.74,30.76,31.38,3128407
1726545600,31,32.45,30.3651,32.24,3435185
1726632000,31.9,32.23,31.1,31.54,2978421
1726718400,32.29,33.13,32.18,32.7,3312408
1726804800,32.25,33.72,31.92,33.29,10241878
1727064000,32.89,33.61,32.66,33.37,1282237
1727150400,33.62,33.82,33.19,33.55,1321991
1727236800,33.62,33.6726,31.09,31.52,2894703
1727323200,31.58,31.9293,30.35,31.74,2684717
1727409600,31.75,32.33,31.05,31.96,2537966
1727668800,31.96,32.39,31.26,32.15,2021556
1727755200,31.93,31.95,30.67,31.36,2016201
1727841600,31.25,31.71,30.36,31.39,1326724
1727928000,31.27,32.89,31.01,32.6,1896447
1728014400,32.86,33.3,32,33.19,2560077
1728273600,32.95,33.2,32.53,32.95,1160551
1728360000,33,35.09,32.73,34.63,3615150
1728446400,34.84,36,34.62,35.99,2612820
1728532800,35.62,38.9325,35.62,38.71,4592241
1728619200,38.73,40.36,38.47,39.54,3456094
1728878400,39.55,39.91,38.9034,39.26,1383334
1728964800,39.26,40.04,38.93,39.13,1576543
1729051200,39.32,39.42,38.29,38.87,965336
1729137600,39,40.75,38.62,39.48,1859291
1729224000,39.71,41.33,39.17,39.54,2251062
1729483200,39.66,39.98,38.16,38.52,1256381
1729569600,38.52,38.92,37.65,38.61,1705848
1729656000,38.3,38.5608,37.38,37.69,784991
1729742400,37.79,39.12,37.67,38.91,1081221
1729828800,39.34,40.79,39.11,39.4,1519623
1730088000,39.4,41,39.4,40.58,1002802
1730174400,41.07,43.95,40.8016,42.6,2972267
1730260800,42.73,42.99,41.5,42.6,1226049
1730347200,42.71,42.96,41.05,41.26,864993
1730433600,41.44,41.94,41.02,41.38,1110624
1730696400,41,42.15,40.98,41.52,870636
1730782800,41.5,42.4482,41.18,41.55,667722
1730869200,42.99,44.13,42.81,43.29,1280536
1730955600,43.6,44.98,43.3,44.47,1286668
1731042000,44.3,45.09,43.8,44.76,1492269
1731301200,45.22,45.9,43.48,44.32,1014779
1731387600,43.95,44.999,43.6285,44.81,951375
1731474000,45,45.6086,43.65,44.58,1406397
1731560400,44.52,45.16,43.44,44.5,836468
1731646800,44.07,44.68,42.0101,43.24,1627446
1731906000,43.61,44.29,43.0796,43.83,750142
1731992400,43.26,44.28,42.5,44.21,756284
1732078800,45,45.49,43.76,45.15,924140
1732165200,46,49.73,46,49.12,1848321
1732251600,49.38,51.58,49.37,51.05,1713535
1732510800,51.08,52.75,49.85,50.39,2102987
1732597200,50.27,51.3,49.7702,50.02,979282
1732683600,50.06,50.77,48.9376,49.66,717695
1732856400,50.07,51.9888,50.06,50.82,518425
1733115600,51.1,51.8,49.275,49.43,1107223
1733202000,48.69,51.17,48.15,50.93,1277193
1733288400,51.51,54,51.32,52.62,2278543
1733374800,52.3,54.9,52.02,53.66,3940398
1733461200,65.68,72.66,62.06,64.63,17262390
1733720400,63.94,70.18,63.35,69.79,5866236
1733806800,69.5,73.9,67.65,69.23,3889170
1733893200,69.71,72.08,69.41,70.42,2477467
1733979600,70,74.99,70,74.19,2703300
1734066000,71.145,72.695,69.68,72.18,5634743
1734325200,71.95,75.79,71.8,75.51,4061988
1734411600,75,75.2205,71.87,72.97,3890088
1734498000,72.7,72.912,67.05,68.05,5415424
1734584400,68.84,70.4158,65.1,66.98,5121344
1734670800,64.88,67.83,63.85,66.12,8305854
1734930000,66.56,67.94,65.08,67.17,2451551
1735016400,66.91,69.64,64.3,67.93,1724387
