T,O,H,L,C,V
1713844800,132.56,137.55,132.415,136.67,2649883
1713931200,136.71,138.13,136.25,136.73,3002612
1714017600,139.25,140.94,136.63,137.47,5711330
1714104000,139.26,140.77,138.25,140.59,2759875
1714363200,141,143.6167,139.07,143.36,2664933
1714449600,142.34,142.34,139.46,139.63,2947302
1714536000,138.5,139.35,134.72,137.52,4288929
1714622400,139.11,139.25,136.32,137.38,2378379
1714708800,138.68,140.94,137.99,138.21,2091140
1714968000,139.59,143.29,139.4,143.25,2586680
1715054400,142.71,143.93,141.55,141.59,1656983
1715140800,140.18,141.73,140.0342,141.68,1287917
1715227200,140.95,142.39,140.36,141.74,1195870
1715313600,143,143,140.43,141.04,1154438
1715572800,142,142.8,140.725,140.84,1221005
1715659200,142.03,142.03,140.09,140.8,5311690
1715745600,141.59,141.59,139.2,140.64,1782922
1715832000,141,144.339,140.41,142.86,2658620
1715918400,143.16,143.9458,141.325,141.92,1286606
1716177600,143.3,150.9,143.3,147.7,3493745
1716264000,146.86,150.83,146.37,150.75,2466512
1716350400,150.27,150.8583,146.57,147.37,2191230
1716436800,147.82,148.86,145.16,146.31,2464379
1716523200,147,149.59,147,148.43,1870512
1716868800,148.58,150.33,147.8,150.13,1771578
1716955200,148.36,148.59,146.45,147.96,1455352
1717041600,147.92,149,146.67,147.49,1392477
1717128000,147.87,148.81,143.95,147.68,3423108
1717387200,148.25,151.16,146.67,150.97,1850835
1717473600,150.46,155.83,150.345,155.16,2601994
1717560000,155.78,156.93,154.62,156.33,1698166
1717646400,155.86,156.8699,153.17,154.55,1412749
1717732800,154.15,155.89,153.63,154.57,996756
1717992000,153.53,156.37,153.53,155.4,1178280
1718078400,154.6,154.93,152.28,153.19,1113908
1718164800,155,157.58,154.8822,157.48,1489862
1718251200,156.65,157.185,153.53,155.28,1197440
1718337600,153.56,153.7277,146.0301,148.5,3806958
1718596800,147.32,149.38,144.55,149.12,2348556
1718683200,150.2,151.53,148.55,151.48,1326731
1718856000,150.87,151.18,148.87,150.21,1341446
1718942400,149.62,151.2,148,151.12,2066752
1719201600,152.79,155.64,150.77,154.52,2174599
1719288000,156.11,161.68,154.01,160.73,3758608
1719374400,160,161.57,158.86,161.4,2391288
1719460800,161.62,161.69,158.4918,160.21,1417260
1719547200,160.5,162.5,158.9,159.43,2830399
1719806400,159.75,160,154.52,156.47,1915826
1719892800,156.07,157.72,154.935,156.61,1384022
1719979200,156.5,156.74,154.8786,155.38,1442431
1720152000,156,157.05,154.47,156.78,1235535
1720411200,157.88,162.93,157.6,160.83,2247594
1720497600,160,163.665,159.96,163.13,1930540
1720584000,164,164.68,160.47,162.68,1874216
1720670400,161,163.23,157.79,163.18,2993747
1720756800,164,166.66,163.95,166.4,2062621
1721016000,167,167.92,164.21,167.72,1744937
1721102400,168.1,172.6399,168.09,172.08,1893748
1721188800,170.1,170.34,164.46,164.46,2627339
1721275200,165.7,166.85,163.06,164.19,1651581
1721361600,165.97,169,165.93,168.29,1505646
1721620800,167.24,169.52,165.5001,168.53,2016345
1721707200,168.24,173.37,168.13,170.73,2160133
1721793600,169.59,171,163.87,164.51,2383509
1721880000,163.5,163.745,151.93,152.02,6499228
1721966400,154.65,156.65,152.05,153.56,3435885
1722225600,154.8,156.47,151.66,155.14,2939108
1722312000,156.24,157.87,155.06,156.94,2431080
1722398400,159.28,161.86,155.67,156.72,3418068
1722484800,157.81,157.93,145.5,148.09,4464092
1722571200,143.5,143.715,136.8308,138.85,4926693
1722830400,132.73,140.15,130.08,139.77,4038440
1722916800,145.9,153.7,145.585,150.26,5832914
1723003200,152.8,155.9,147.0501,147.53,4281039
1723089600,149.7,156.17,149.5,155.9,3313338
1723176000,155.53,159.08,155.02,155.75,3638727
1723435200,155.75,157.98,153.4009,153.86,2958579
1723521600,155.01,155.509,151.85,154.58,1647997
1723608000,154.69,155.9,150.33,152.71,1719972
1723694400,155.46,160.605,154.29,160.26,2303171
1723780800,159.93,160.16,157.49,157.8,1637377
1724040000,158.4,161.82,157.8,161.43,1654120
1724126400,160.8,161.25,157.61,158.84,2012605
1724212800,159.43,159.75,156.21,158.12,2178246
1724299200,158.97,159.41,156.51,157.89,1405949
1724385600,158.49,163.47,158,163.08,1794756
1724644800,163.09,163.09,161.43,162.05,1192983
1724731200,162,169.47,161.17,169.02,2073254
1724817600,166.65,168.11,165.19,166.94,1409019
1724904000,168.71,169.06,166.46,166.84,974403
1724990400,168.2,168.92,161.1,164.62,2604784
1725336000,162.39,163.74,158.72,159.65,2209283
1725422400,159,160.8766,157.35,158.77,1299688
1725508800,158.65,161.61,157.61,158.02,1167696
1725595200,159.2,161.39,155.2,156.55,1747229
1725854400,158.32,161.765,158.32,160.26,1905493
1725940800,160.31,160.52,154.08,158.3,2146695
1726027200,158.38,162.85,156.01,162.15,1752589
1726113600,164.85,166.88,162.485,165.57,1807053
1726200000,166.46,169.63,165.7,167.96,1379820
1726459200,170,173.4,168.815,169.74,2078337
1726545600,171.28,171.75,167.86,168.4,1507633
1726632000,168.6,171.5,168,168.55,1308012
1726718400,172,173,168.94,171.56,1882881
1726804800,171.01,174.48,170.96,174.05,2649406
1727064000,173.7,176.135,172.66,175.9,1590158
1727150400,177,179.75,174.51,179.63,2050817
1727236800,178.89,179.14,176.2701,177.41,1582676
1727323200,180,184.41,179.29,182.81,2150831
1727409600,182.74,182.82,177.43,177.54,2389093
1727668800,178.21,179.35,171.56,177.36,2357667
1727755200,177.56,178.2,170.83,173.23,2045246
1727841600,170.98,175.12,170.24,174.96,1067847
1727928000,173.5,175.45,172.12,173.16,1141026
1728014400,177,180.11,176,179.44,1435726
1728273600,178.55,181.82,178.34,179.79,1128755
1728360000,181,184.88,180.52,183.39,1322531
1728446400,188.29,193.215,186.8001,193.03,2861015
1728532800,191.12,195.12,191.11,193.59,1588568
1728619200,194.4,196.07,194.1,195.69,2234867
1728878400,196.25,197.94,193.72,196.78,1579114
1728964800,199.69,204.37,198.5,202.42,2851209
1729051200,202.49,203.35,200.61,201.74,1366077
1729137600,203.15,204.3599,200.915,201.21,1344423
1729224000,201.55,201.61,198.14,199.94,1457808
1729483200,199.09,200.89,198.25,199.91,1138452
1729569600,199.6,203.91,198.6,203.35,1082389
1729656000,201.81,202.73,199.67,201.14,1480152
1729742400,202.32,204.2199,200.3669,203.05,1183316
1729828800,202.76,203.5123,199.425,200.91,979773
1730088000,206,207.6999,201.48,203.52,2835239
1730174400,197.855,214.12,197.25,210.1,4125697
1730260800,208,211.4333,207.07,208.36,3411534
1730347200,209,212.9099,206.19,206.35,2432977
1730433600,206.41,206.9,202,202.06,1692427
1730696400,201.27,204.825,200.0201,204.39,1515676
1730782800,206,210.96,205.3432,210.77,1438478
1730869200,220.19,227.12,220.19,226.64,3377835
1730955600,223.99,224.32,220.44,220.52,1781069
1731042000,221.79,228.08,221.07,225.27,1786765
1731301200,230,234.96,226.2,234.82,1973743
1731387600,234,237.68,231.68,237.42,2221374
1731474000,235.85,238.1,232.61,234.25,1850039
1731560400,235,236.42,231.52,233.01,1404234
1731646800,232.48,234.2476,230.48,231.49,1738322
1731906000,230.99,233.3,227.75,231.76,1410642
1731992400,227.17,234.9,225.3,234.67,1387317
1732078800,234.15,238.69,234.09,235.87,1883432
1732165200,235.85,239.39,235.38,237.57,1403505
1732251600,237.5,242.1999,237.06,241.49,1727904
1732510800,242.33,244.27,238.1101,240.39,2433551
1732597200,241.5,245.91,240.99,244.5,1615693
1732683600,244.15,245.28,240.78,241.62,1103081
1732856400,241.4,245,241.37,244.06,787029
1733115600,246.86,249.52,244.2401,246.41,1833127
1733202000,247.5,248.88,243.6812,245.9,1226232
1733288400,246.01,250.016,245.2568,249.74,1507998
1733374800,252,255.7,250.33,251.14,2242302
1733461200,253.85,258.21,251.69,258.09,1896459
1733720400,257.95,258.7,243.79,247.14,2438550
1733806800,250.54,254.63,243.71,245.66,2301820
1733893200,248.08,249.9999,245.2,245.52,2019358
1733979600,246.56,248.095,243.53,244.15,1725965
1734066000,244.2,246.98,243.11,245.17,1931702
1734325200,247.5,249.7099,241.45,243,2008955
1734411600,240.96,243.445,238.14,242.07,1929475
1734498000,242.07,242.8599,229.0335,229.53,2321833
1734584400,233.29,235.75,227.9,230.76,2312152
1734670800,236.84,241.365,234.665,238.43,6309192
1734930000,238,238.79,232.5584,237.87,1240508
1735016400,238.53,240.71,236.831,240.3,514097
1735189200,238.32,239.3383,236.5,237.76,988094
1735275600,235.7,235.7,231,232.71,1102050
1735534800,228.37,235.7099,227.56,232.75,2178016
1735621200,231.94,234.99,230.1298,230.69,1217114
1735794000,231.54,233.59,227.54,229.02,1438530
1735880400,230.03,230.5,223.66,228.94,2733279
1736139600,231,232.59,227.31,228.41,1541855
1736226000,227.97,228,220.45,225.33,1784166
1736312400,224.52,228.17,223.18,227.22,2141231
1736485200,224.16,230.4647,222.29,226.95,2505993
1736744400,222.95,228,222.935,227.23,1877634
1736830800,229.65,230.4,226.29,229.73,1996042
