T,O,H,L,C,V
1713844800,247.05,251.94,244.1,248.56,508975
1713931200,247.51,253.07,244.43,251.85,469661
1714017600,243.03,243.84,236.75,243.37,787291
1714104000,243.71,252.75,243.71,248.91,478529
1714363200,251.84,258.1049,250.7673,255.76,712375
1714449600,252.11,255.17,247,247.05,333338
1714536000,246.19,254.22,239.5,245,615014
1714622400,249,262.63,245.01,262.01,693636
1714708800,271.88,281.17,271.88,275.05,936752
1714968000,278,282.44,275.46,280.78,659972
1715054400,281.18,288.42,278.05,278.44,461936
1715140800,273.2,278.92,270.47,278.76,492627
1715227200,279.64,294.34,278.625,294.14,598380
1715313600,295.31,298.36,285.365,290.97,530826
1715572800,294.87,305.5,290.21,292.25,738344
1715659200,299.48,304.12,290.51,290.69,555112
1715745600,300.38,305.4,293.66,296.66,582856
1715832000,294.35,295.58,286.46,286.69,465128
1715918400,285.76,287.0299,277.6401,278.41,467658
1716177600,277.75,284.335,275.2,279.93,486133
1716264000,278.01,279.11,271.35,274.05,445004
1716350400,279,279.53,253.9,254.31,1000790
1716436800,255,255.84,244.89,248.5,1021365
1716523200,247.98,256.48,244.73,254.71,661130
1716868800,256.51,258.48,248.251,250.64,533352
1716955200,246.2,255.35,245.0301,252.59,526798
1717041600,256.37,268.5,256.37,263.67,788477
1717128000,265.64,272.32,259.85,271.93,716446
1717387200,276.9,278.47,273.0801,275.01,586512
1717473600,271.2,276,267.371,269.43,498081
1717560000,270.18,282.65,270,282.58,468189
1717646400,279.33,281.75,272.19,279.25,539200
1717732800,272.15,275.17,266.9,268.51,611367
1717992000,267.29,274.21,264.35,273.92,618161
1718078400,272.84,278.78,267.23,278.61,580649
1718164800,292.77,301.18,284.15,285.54,782995
1718251200,286.33,290.1,276,277.05,1436509
1718337600,233,242.57,225,229.73,3994420
1718596800,227.01,233.92,224.0001,231.48,1579219
1718683200,230.35,231.87,220.25,220.51,1416822
1718856000,218,221.64,212.5,217.83,1242727
1718942400,217.1,221.34,214.35,215.97,979015
1719201600,218.13,230.7,217.43,223.28,1124399
1719288000,223.28,223.945,212.43,214.92,992908
1719374400,214.82,221.88,214.27,219.19,592214
1719460800,234.02,240.98,228.51,239.3,1743949
1719547200,242.43,248.61,238.17,244.44,1174779
1719806400,244.5,244.5,234.38,238.67,622740
1719892800,241.64,250,239.81,249.5,644185
1719979200,248.9,248.9,240.4,240.72,320070
1720152000,241.86,246.48,238.02,238.02,498179
1720411200,239.75,247.75,239.75,242,644099
1720497600,242.31,243.93,233.14,237.89,611608
1720584000,241,246.52,238.58,245.3,326195
1720670400,258.11,268.83,255.395,266.92,1063139
1720756800,267.4,282.6299,267.4,274.62,901324
1721016000,274,279.99,268.01,276.21,587558
1721102400,280.14,295.76,277.56,294.26,780902
1721188800,288.6,294.8999,285.91,286.15,652678
1721275200,285.31,294.575,270.01,273.76,652459
1721361600,272.63,278.9099,270.5,272.84,358919
1721620800,272.52,273.65,255.33,257.69,839040
1721707200,257.12,260.23,253.33,259.74,467005
1721793600,258.37,263.58,252.815,253.49,520413
