T,O,H,L,C,V
1713844800,11.11,12.17,11.04,11.85,49371628
1713931200,11.8,12.65,11.71,11.88,49637542
1714017600,11.15,12.13,10.88,12.11,38061743
1714104000,11.95,12.44,11.81,11.93,23771837
1714363200,11.322,11.63,10.97,11.08,23723802
1714449600,10.65,10.9,10,10.11,33121327
1714536000,9.85,10.62,9.65,9.82,28804533
1714622400,10.22,10.44,9.81,10.3,22138619
1714708800,10.65,11.09,10.28,10.42,22794899
1714968000,10.63,11.17,10.59,10.77,28399981
1715054400,10.62,10.6399,10.01,10.17,17144418
1715140800,9.942,10.36,9.775,10.35,15022887
1715227200,10.14,10.46,10.1,10.28,11683907
1715313600,10.3,10.36,9.19,9.2,22421273
1715572800,9.51,9.77,9.4,9.5,12079808
1715659200,9.31,9.8673,9.24,9.78,13969835
1715745600,10.15,10.4,9.755,10.38,18179774
1715832000,10.18,10.41,9.93,10,12932736
1715918400,10.2,10.63,9.95,10.06,16089441
1716177600,10.17,11.03,9.885,10.96,24445944
1716264000,11.01,11.29,10.525,10.61,21370821
1716350400,10.6,11.34,10.55,10.79,20288052
1716436800,10.94,10.98,9.93,9.97,18215862
1716523200,10.08,10.6175,9.962,10.37,14857379
1716868800,10.42,10.88,10.21,10.34,20147255
1716955200,10.265,10.43,9.9838,10,14135008
1717041600,10.1,10.67,9.97,10.05,23448537
1717128000,10.24,10.29,9.515,9.74,24296447
1717387200,10.03,10.23,9.56,9.65,19602330
1717473600,9.67,10.17,9.52,9.67,26245160
1717560000,9.81,9.86,8.8095,9.65,41068539
1717646400,9.45,10.39,9.44,10.16,34641850
1717732800,10.17,10.51,9.71,9.72,21534333
1717992000,9.66,10.01,9.47,9.895,15844496
1718078400,9.65,10.02,9.045,9.99,24437019
1718164800,10.36,10.99,10.195,10.64,30289768
1718251200,10.61,11.21,10.47,10.98,20246691
1718337600,10.95,11.02,10.265,10.53,16812102
1718596800,10.41,11.02,10.18,10.91,18687466
1718683200,10.49,10.87,10.4,10.66,17176741
1718856000,10.99,11.16,10.33,10.42,26189882
1718942400,10.09,10.13,9.46,9.55,32541486
1719201600,9.2,9.59,8.96,9.21,21871452
1719288000,9.38,9.6,9.14,9.2,20297230
1719374400,9.13,9.51,9.01,9.03,20045587
1719460800,9.23,9.38,9.03,9.12,14652556
1719547200,9.17,9.2,8.96,9.14,31572032
1719806400,9.36,10.04,9.36,9.95,29211332
1719892800,9.91,9.99,9.68,9.72,16261437
1719979200,9.392,9.7,9.35,9.57,10714945
1720152000,9.16,9.64,9.04,9.64,19688848
1720411200,9.78,10.05,9.3,9.4,20760775
1720497600,9.45,9.49,8.92,9.14,20285318
1720584000,9.21,9.33,9.03,9.16,15041277
1720670400,9.49,9.7,9.24,9.31,22220038
1720756800,9.39,9.92,9.37,9.805,22468584
1721016000,10.33,11.69,10.24,11.48,45399355
1721102400,11.43,12.875,11.25,12.7,45170638
1721188800,12.36,13.09,11.7718,12.42,33442576
1721275200,12.72,12.825,10.86,10.95,35483208
1721361600,11.122,12.11,10.88,12.03,26982702
1721620800,12.25,12.45,11.605,12.24,25489190
1721707200,12.02,12.44,11.465,11.59,20403308
1721793600,11.79,12.08,11.19,11.32,26974659
1721880000,10.97,11.27,10.64,10.73,19742951
1721966400,11.35,11.7397,10.99,11.2,19906633
1722225600,11.62,11.93,10.5803,10.63,23078848
1722312000,10.69,10.75,10.28,10.37,12538810
1722398400,10.6,10.8253,10.16,10.19,19332092
1722484800,10.1,10.26,9.3,9.32,25911712
1722571200,9.27,9.4588,8.44,8.57,25183153
1722830400,7.39,8.51,7.25,8.31,27482600
1722916800,8.51,8.62,8.05,8.41,16261564
1723003200,8.61,8.63,7.61,7.64,19183390
1723089600,8.02,8.46,7.775,8.29,16550142
1723176000,8.26,8.3739,8.03,8.06,12830742
1723435200,7.85,7.985,7.52,7.61,16904897
1723521600,7.65,8,7.53,7.84,14088302
1723608000,7.95,7.99,7.57,7.65,13438288
1723694400,7.72,8.05,7.65,7.68,17139868
1723780800,7.705,8.146,7.68,7.99,17141769
1724040000,8.01,8.17,7.8,8.05,15242797
1724126400,8.2,8.3097,7.86,8.04,14599186
1724212800,8.08,8.38,7.97,8.35,18416104
1724299200,8.34,8.385,8.02,8.05,13114032
1724385600,8.08,8.52,7.98,8.5,20932582
1724644800,8.5,8.55,8.21,8.36,13839086
1724731200,8.2,8.28,7.8,7.9,16531341
1724817600,7.82,7.875,7.53,7.64,11679920
1724904000,7.79,8.02,7.61,7.68,11626307
1724990400,7.72,7.76,7.52,7.53,14246339
1725336000,7.48,7.48,6.71,6.78,19636743
1725422400,6.69,7.05,6.615,6.85,11131742
1725508800,6.78,6.94,6.63,6.69,12122596
1725595200,6.79,6.82,6.355,6.38,14843954
1725854400,6.58,6.85,6.39,6.81,15313229
1725940800,6.84,7.28,6.6,7.24,13679285
1726027200,7,7.19,6.7,7.09,15510878
1726113600,7.13,7.16,6.97,7.03,11228412
1726200000,7.07,7.3,6.95,7.2,15070111
1726459200,6.99,7.09,6.83,6.96,12058851
1726545600,7.09,7.28,6.97,7.1,12657611
1726632000,7.08,7.57,7.01,7.17,18980242
1726718400,7.57,7.62,7.1621,7.22,25236628
1726804800,7.21,7.255,6.94,7.19,27477964
1727064000,7.19,7.4,7.11,7.33,16549413
1727150400,7.36,7.54,7.16,7.53,16585094
1727236800,7.53,7.73,7.4,7.44,17570612
1727323200,7.69,8.0475,7.52,7.77,23942519
1727409600,8,8.07,7.695,7.84,16598059
1727668800,7.56,7.62,7.35,7.42,13260777
1727755200,7.4,7.45,6.98,7.08,14987112
1727841600,7.08,7.3658,7.014,7.25,12494614
1727928000,7.19,7.44,7.15,7.43,11312007
1728014400,7.58,7.86,7.45,7.85,20294711
1728273600,8.05,8.52,7.9,8.16,34911758
1728360000,7.98,8.22,7.87,8.16,21403428
1728446400,8.14,8.21,7.76,7.82,18864072
1728532800,7.77,7.87,7.61,7.74,13501139
1728619200,7.78,8.44,7.75,8.41,20035653
1728878400,8.66,8.91,8.43,8.74,30168548
1728964800,8.71,9.13,8.59,8.77,22863007
1729051200,8.991,9.12,8.784,9.08,17126399
1729137600,8.92,9.46,8.76,9.2,21264045
1729224000,9.39,9.95,9.38,9.86,23257595
1729483200,9.75,9.765,9.38,9.74,17448228
1729569600,9.59,9.965,9.3,9.92,15335813
1729656000,9.78,9.875,9.4,9.77,19160252
1729742400,10,10.4479,9.88,10.19,23849705
1729828800,10.23,10.2794,9.6109,9.64,22731209
1730088000,10.02,10.7,9.93,10.56,31325377
1730174400,10.85,11.19,10.72,10.87,28045188
