T,O,H,L,C,V
1713844800,3.58,3.78,3.575,3.68,5609680
1713931200,3.73,3.78,3.62,3.69,6095203
1714017600,3.66,3.685,3.56,3.65,5236162
1714104000,3.67,3.775,3.65,3.77,5016457
1714363200,3.81,3.83,3.73,3.8,3869197
1714449600,3.82,3.8351,3.71,3.76,7577561
1714536000,3.76,3.98,3.72,3.85,9613338
1714622400,3.9,3.955,3.81,3.95,6283341
1714708800,4,4.08,3.96,4,5417240
1714968000,4.06,4.12,4.025,4.06,8227083
1715054400,3.9,3.99,3.655,3.97,17275471
1715140800,3.88,4.12,3.82,4.1,9529392
1715227200,4.128,4.3,4.11,4.26,7792433
1715313600,4.1,4.2,3.975,4.11,9940200
1715572800,4.16,4.46,4.15,4.16,10483204
1715659200,4.24,4.58,4.24,4.56,20583411
1715745600,4.6,4.64,4.315,4.34,11808231
1715832000,4.34,4.445,4.22,4.24,5501699
1715918400,4.24,4.3,4.18,4.25,4909704
1716177600,4.29,4.435,4.235,4.4,5456604
1716264000,4.38,4.53,4.35,4.46,5936252
1716350400,4.47,4.4895,4.28,4.34,4592586
1716436800,4.36,4.38,4.18,4.22,5007321
1716523200,4.25,4.268,4.18,4.21,5153828
1716868800,4.25,4.47,4.24,4.39,7648444
1716955200,4.31,4.32,4.15,4.18,6190245
1717041600,4.28,4.38,4.1715,4.33,5056701
1717128000,4.32,4.415,4.22,4.37,6454335
1717387200,4.4,4.45,4.26,4.33,4725074
1717473600,4.28,4.31,4.23,4.28,4188512
1717560000,4.33,4.44,4.26,4.44,4798638
1717646400,4.38,4.44,4.32,4.37,3247744
1717732800,4.31,4.44,4.28,4.44,4053558
1717992000,4.38,4.62,4.335,4.56,7097452
1718078400,4.55,4.6,4.41,4.57,6532693
1718164800,4.71,4.94,4.62,4.64,7816271
1718251200,4.695,4.705,4.5101,4.55,4704539
1718337600,4.5,4.525,4.33,4.39,4803287
1718596800,4.35,4.375,4.195,4.34,7195189
1718683200,4.585,4.99,4.54,4.91,19721320
1718856000,4.935,4.965,4.67,4.8,12331665
1718942400,4.81,5.1,4.72,5.01,22081206
1719201600,5.08,5.16,4.75,4.83,11430276
1719288000,4.81,4.84,4.66,4.74,6000201
1719374400,4.68,4.8,4.67,4.76,4750625
1719460800,4.79,4.92,4.76,4.86,4011825
1719547200,4.9,4.95,4.705,4.8,15030062
1719806400,4.78,4.8,4.5,4.54,7074427
1719892800,4.51,4.65,4.49,4.61,5351873
1719979200,4.63,4.73,4.61,4.62,2711688
1720152000,4.65,4.88,4.64,4.88,4684030
1720411200,4.97,5.1195,4.92,4.97,5084109
1720497600,4.97,5.085,4.91,5.08,4808148
1720584000,5.15,5.245,5.03,5.13,5289343
1720670400,5.22,5.35,5.15,5.33,7586807
1720756800,5.39,5.68,5.38,5.65,11371348
1721016000,5.59,5.765,5.36,5.72,8167875
1721102400,5.825,5.84,5.51,5.63,10333659
1721188800,5.45,5.605,5.34,5.45,10461493
1721275200,5.5,5.55,5.1901,5.26,6243974
1721361600,5.26,5.36,5.15,5.2,3317965
1721620800,5.25,5.37,5.18,5.34,4040321
1721707200,5.33,5.5199,5.3,5.4,4069513
1721793600,5.31,5.465,5.19,5.21,4038488
1721880000,5.12,5.4,5.09,5.25,5001933
1721966400,5.34,5.46,5.3,5.4,4424524
1722225600,5.42,5.5,5.2802,5.32,3932544
1722312000,5.34,5.395,5.16,5.26,4324909
1722398400,5.3,5.45,5.21,5.24,5100743
1722484800,5.24,5.25,4.89,4.96,7307544
1722571200,4.71,4.86,4.65,4.81,8456408
1722830400,4.25,4.7401,4.2,4.66,7152084
1722916800,4.81,4.86,4.625,4.715,4073573
1723003200,4.82,4.82,4.55,4.58,4765710
1723089600,4.68,4.93,4.63,4.77,7105058
1723176000,5.35,5.59,5.2,5.37,17827847
1723435200,5.41,5.54,5.18,5.39,7080554
1723521600,5.25,5.3,5.03,5.23,12138628
1723608000,5.27,5.35,5.16,5.18,4493585
1723694400,5.25,6.04,5.25,5.83,23961792
1723780800,6.27,7.1,5.92,6.56,74179892
1724040000,6.78,7.36,6.47,7.19,46576573
1724126400,7.25,7.258,6.6,6.65,27622924
1724212800,6.7,7.27,6.22,7,26839916
1724299200,7,7.26,6.83,6.84,22202441
1724385600,6.99,7.07,6.7624,6.96,14731078
1724644800,6.96,6.97,6.51,6.74,13359443
1724731200,6.59,6.6,6.11,6.12,16090534
1724817600,6.02,6.25,5.96,6.09,12833299
1724904000,6.19,6.47,6.14,6.23,8084109
1724990400,6.24,6.49,6.22,6.27,8159281
1725336000,6.2,6.25,5.995,6.06,6921286
1725422400,6.02,6.47,6.02,6.34,9643748
1725508800,6.29,6.34,6.04,6.08,6214629
1725595200,6.11,6.2,5.74,5.81,9211303
1725854400,5.9,6.275,5.88,6.14,9619920
1725940800,6.14,6.17,5.96,6.15,6175742
1726027200,6.18,6.6987,6.15,6.68,13295217
1726113600,6.68,7.05,6.63,6.86,13988565
1726200000,6.96,7.47,6.91,7.46,13806136
1726459200,7.47,7.526,7.17,7.37,13219562
1726545600,7.45,7.51,7.07,7.17,9184991
1726632000,7.15,7.5,7.1,7.12,11804502
1726718400,7.33,7.3701,7,7.17,10540491
1726804800,7.15,7.72,7.13,7.47,22836028
1727064000,7.63,7.67,7.465,7.56,12454711
1727150400,7.58,7.615,7.275,7.59,9793424
