T,O,H,L,C,V
1713844800,24.2,26.02,24.06,25.14,859072
1713931200,25.69,25.82,24.74,25.09,559826
1714017600,24.4,24.96,23.35,23.83,1247373
1714104000,24.01,24.76,23.49,24.36,1034630
1714363200,24.55,25.5515,24.43,24.7,640595
1714449600,24.42,25.31,24.06,24.13,1064650
1714536000,24.15,26.97,23.9215,25.8,1167144
1714622400,26.19,26.34,25.25,25.58,558573
1714708800,26.68,27.34,26.075,26.45,641653
1714968000,26.73,26.85,25.74,26.33,693907
1715054400,26.74,26.74,24.9547,25.39,682086
1715140800,25.49,26.18,25.0454,26.06,804094
1715227200,26.3,27.49,26.2,27.1,1235116
1715313600,26.4,27.2,25.65,25.96,1162942
1715572800,26.04,26.7,25.68,26.02,783775
1715659200,26.61,29.1,26.4,28.91,1798074
1715745600,29.29,30.54,28.4,29.51,1680704
1715832000,29.32,29.47,28.49,28.72,1074988
1715918400,28.83,29.583,28.41,29.5,895645
1716177600,30.01,30.55,29.17,29.24,1271039
1716264000,29,29.7378,28.75,29.51,724718
1716350400,29.4,30.84,29.3,29.62,921321
1716436800,29.71,30,27.38,27.47,1399049
1716523200,27.66,28.385,27.01,27.45,658439
1716868800,27.92,27.92,25.02,26.32,1720118
1716955200,25.76,27.0997,25.55,26.61,794013
1717041600,27.19,27.6,26.61,27.06,765979
1717128000,27.11,27.7099,26.35,26.86,933139
1717387200,27.07,27.4101,26.16,26.91,667530
1717473600,26.75,27.89,26.4,27.7,980845
1717560000,27.79,28.83,27.19,27.94,572999
1717646400,27.84,27.97,26.01,26.04,738658
1717732800,25.56,27.1798,25.3,26.6,916825
1717992000,26.15,27.34,25.85,27.11,1130230
1718078400,26.7,29.55,26.44,28.92,2068781
1718164800,35.655,39.25,34.51,38.36,10169692
1718251200,38.24,40.4,37.05,39.96,2814817
1718337600,39.95,42,38.76,39.64,4730728
1718596800,39.34,41.48,38.86,39.6,1780005
1718683200,39.13,39.89,38.04,38.33,1903242
1718856000,38.06,38.29,36.91,37.61,2844896
1718942400,38.33,40.5,38,39,4228965
1719201600,38.74,40,38.39,39.66,1111431
1719288000,39.72,40.84,38.91,38.95,1232228
1719374400,38.74,40.02,38.17,39.91,907024
1719460800,39.83,41,39.33,40.54,1452596
1719547200,40.56,41.5,40.01,40.85,7725022
1719806400,40.72,41.4,40.05,41.28,1188892
1719892800,41.28,41.865,38.66,38.8,1383628
1719979200,38.56,38.94,36.77,37.21,952935
1720152000,36.95,39.185,36.63,39,1013568
1720411200,39.33,39.39,38.0537,38.62,723891
1720497600,38.76,40.56,38.36,40.37,1016844
1720584000,40.49,42.79,40.27,42.53,1555918
1720670400,43.095,44.675,42.84,44.31,1812226
1720756800,44.98,45.19,43.81,44.8,1282698
1721016000,44.95,45.86,44.01,45.62,2385048
1721102400,46.39,47.05,46,46.68,1231920
1721188800,45.79,46.955,44.38,45.13,1599091
1721275200,45.51,46.49,43.62,44.77,1310354
1721361600,45.17,45.48,44.21,45.12,911376
1721620800,45.34,46.425,45.2,46.3,1536897
1721707200,45.9,47.01,45.07,45.96,1090516
1721793600,45.27,46.05,44.48,44.65,794709
1721880000,44.76,46.56,44.09,44.72,1407607
1721966400,45.54,48.29,45.0901,48.14,1005018
1722225600,48.49,48.8012,45.73,46.43,840106
1722312000,46.86,47.37,45.1659,45.3,682584
1722398400,45.97,46.0799,44.31,45.58,960570
1722484800,45.85,46.47,44.32,44.57,930924
1722571200,41.63,42.17,39.65,41.27,1543828
1722830400,37.1,42.36,37.04,42.2,1687707
1722916800,42.5,44.6,41.47,43.81,864473
1723003200,45,45.265,41.08,41.11,786995
1723089600,41.59,42.2,39.74,41.87,688074
1723176000,47.37,47.5,43.01,46.95,2487267
1723435200,46.66,46.9,43.2245,44.48,1333275
1723521600,44.87,45.5,44.1,44.99,957920
1723608000,42.89,43.37,40.5401,42.85,1004813
1723694400,44,45.97,44,45.49,3104634
1723780800,45.52,45.53,44.32,44.98,1486086
1724040000,44.99,45.63,44.2,45.4,1812573
1724126400,45.09,45.32,43.57,44.87,587802
1724212800,44.81,46,42.9,45.02,1584100
1724299200,45.35,45.35,42.77,42.855,5107372
1724385600,43.18,43.94,42.37,43.52,616900
1724644800,43.76,44.43,42.88,44.18,654375
1724731200,43.76,43.97,43.165,43.72,388439
1724817600,44.5,45,43.24,43.63,604895
1724904000,43.92,44.3,42.52,42.64,735926
1724990400,42.96,44.61,42.31,44,1095332
1725336000,43.36,43.4,39.615,40.99,1862897
1725422400,40.56,42.39,40.24,41.71,610976
1725508800,41.4,41.85,40.15,40.76,534603
1725595200,40.77,41.1843,39.3509,40.46,901490
1725854400,41,42,40.5,40.76,772871
1725940800,41,41.75,40.56,40.79,729637
1726027200,40.46,41,39.755,40.54,850778
1726113600,40.81,41.75,40.13,41.31,1010877
1726200000,41.27,42,41.09,41.71,1692011
1726459200,42.18,42.45,41.14,41.75,994317
1726545600,42.1,42.51,41.69,42.19,1560895
1726632000,42.24,45.25,42.19,44.63,4715519
1726718400,45.57,46.08,45.06,45.65,3635441
1726804800,45.85,46.0892,44.05,44.48,4998430
1727064000,44,44.51,43.13,43.5,2014852
1727150400,44.3,44.67,42.77,44,1910377
1727236800,44,46.54,43.44,45.95,2619721
1727323200,46.27,46.9397,41.01,42.17,2165975
1727409600,42.39,43.18,41.5801,42.33,911904
1727668800,42.12,46.35,42,45.93,1205231
1727755200,45.66,48.63,45.16,48.51,1425091
1727841600,48.37,49.41,46.56,47.12,1283580
1727928000,47.43,48.72,46.27,47.05,1272885
