T,O,H,L,C,V
1713844800,7.11,7.59,7.11,7.56,1133851
1713931200,8,8.3,7.99,8.01,1055774
1714017600,7.82,8.29,7.82,8.25,289406
1714104000,7.81,8.26,7.81,8.26,379099
1714363200,8.13,8.34,8.13,8.32,246040
1714449600,8.06,8.37,8.06,8.19,178935
1714536000,8.27,8.35,8.13,8.2,159202
1714622400,8.265,8.42,8.265,8.37,244987
1714708800,8.2,8.71,8.2,8.64,245429
1714968000,8.81,8.81,8.61,8.77,143593
1715054400,8.35,8.568,8.33,8.365,237732
1715140800,8.1,8.17,8.072,8.15,687910
1715227200,8.134,8.134,7.99,8.09,847087
1715313600,7.85,8.182,7.85,8.14,663057
1715572800,8.35,8.35,8.11,8.185,770293
1715659200,8.176,8.42,8.13,8.41,280502
1715745600,8.3,8.8,8.3,8.775,226784
1715832000,8.82,8.82,8.34,8.51,214657
1715918400,8.45,9.08,8.45,8.6475,139842
1716177600,8.63,8.67,8.45,8.65,335776
1716264000,8.45,8.874,8.45,8.695,132219
1716350400,8.3,8.7,8.3,8.65,989174
1716436800,8.88,9.14,8.88,8.98,3664087
1716523200,9.368,9.368,9,9.27,956042
1716868800,9.598,9.62,9.27,9.55,237327
1716955200,9.5,9.5,9.11,9.16,247204
1717041600,9.18,9.33,9.01,9.2,183206
1717128000,9.58,9.58,9.09,9.12,242071
1717387200,9,9.358,9,9.3,218259
1717473600,9.04,9.59,9.04,9.25,275409
1717560000,9.05,9.68,9.05,9.68,323951
1717646400,9.505,9.68,9.505,9.55,627662
1717732800,9.56,9.56,9.31,9.4,171516
1717992000,9.14,9.61,9.14,9.61,133897
1718078400,9.26,9.69,9.26,9.4,192268
1718164800,9.302,9.65,9.302,9.51,134497
1718251200,9.8,9.92,9.51,9.87,536455
1718337600,9.9,9.98,9.85,9.96,216435
1718596800,9.66,10.08,9.66,10.04,151542
1718683200,9.56,10.04,9.56,9.97,300444
1718856000,9.78,10.1,9.59,9.6075,183925
1718942400,9.5,9.67,9.5,9.58,94945
1719201600,9.28,9.5,9.2,9.23,263789
1719288000,9.31,9.48,9.2,9.48,155956
1719374400,9.33,9.67,9.2,9.32,151813
1719460800,9.18,9.43,9.18,9.33,111443
1719547200,9.34,9.59,9.172,9.52,182917
1719806400,9.55,9.55,9.18,9.251,458848
1719892800,9.3775,9.4,9.25,9.4,236620
1719979200,9.5,9.93,9.5,9.92,265549
1720152000,10,10.17,9.8,10.1,147151
1720411200,10.31,10.31,10.2,10.22,128420
1720497600,10.2,10.35,10.03,10.11,167076
1720584000,10.14,10.4,10.11,10.36,161013
1720670400,10.36,10.68,10.14,10.24,292082
1720756800,9.72,10.3,9.72,10.29,157872
1721016000,10.536,10.536,10.02,10.02,106139
1721102400,10,10.24,10,10.19,184874
1721188800,10,10.19,9.65,9.75,528478
1721275200,9.52,9.74,9.46,9.62,308284
1721361600,9.88,9.88,9.69,9.71,137245
1721620800,9.75,9.9,9.7405,9.86,377028
1721707200,9.31,9.89,9.31,9.75,2602072
1721793600,9.6,9.87,9.25,9.37,1298646
1721880000,8.6,8.6,8.15,8.32,544840
1721966400,7.9,8.1,7.9,8.01,389969
1722225600,7.9,8.3,7.9,8.16,501240
1722312000,7.98,8.15,7.76,7.8,956394
1722398400,8.15,8.62,8.15,8.6,871214
1722484800,8.13,8.13,7.43,7.4905,310467
1722571200,6.81,7.18,6.81,7.1,444673
1722916800,7.3,7.59,7.285,7.46,1121392
1723003200,7.82,7.82,7.295,7.3,695633
1723089600,7.5,7.69,7.4,7.67,1013556
1723176000,7.18,7.57,7.18,7.57,1363523
1723435200,7.34,7.81,7.34,7.56,566423
1723521600,7.21,7.79,7.21,7.63,268156
1723608000,7.46,7.69,7.46,7.6145,216547
1723694400,7.846,8.15,7.75,8.08,335537
1723780800,8.22,8.32,8.22,8.3,178218
1724040000,8.63,8.63,8.12,8.4,277749
