T,O,H,L,C,V
1713844800,55.25,59.46,54.8739,59.17,426428
1713931200,60.81,62.4,58.13,60.02,479617
1714017600,59.01,62.99,55.56,62.66,231220
1714104000,63.53,65.3899,60.2826,64.4,318962
1714363200,65.13,67.45,62.262,66.81,367259
1714449600,67,70.09,65.56,69.65,685360
1714536000,84.68,86.57,68.0439,69.91,2256554
1714622400,67,67.1101,53.72,56.85,1594639
1714708800,57.64,58.97,52.37,56.29,786688
1714968000,56.25,58.67,55.4201,56.62,475324
1715054400,56.6,63.1799,55.7092,62.97,872562
1715140800,62,64.48,61.81,62.48,365602
1715227200,62.19,70.64,60.951,70.34,838063
1715313600,70.75,71.0277,63.42,63.86,534021
1715572800,64.6,65.912,62,62.95,375074
1715659200,63,66.52,60.65,61.04,356776
1715745600,62.83,65.5247,59.61,61.37,479542
1715832000,62.21,62.5,58.77,61.81,306207
1715918400,63.1,70.34,61.2009,65.58,614179
1716177600,66,67.32,63.31,63.78,282305
1716264000,64.99,65.59,60.33,62.22,284611
1716350400,61.74,64.285,60.43,60.76,252178
1716436800,60.18,60.4,55.5433,55.91,388219
1716523200,56,57.39,55.06,55.5,222843
1716868800,55.5,56.225,54.14,55.5,339218
1716955200,55.41,57.0726,53.2887,53.53,279699
1717041600,53.36,54.3,51.2385,52.19,177565
1717128000,53.25,53.91,48.79,50.84,498665
1717387200,50.94,51.87,47.43,48.05,361178
1717473600,48.03,50.3,47.6832,49.61,248184
1717560000,50.86,53.1589,50.615,51.49,259322
1717646400,51.5,51.5799,48.58,49.37,277233
1717732800,48.68,51.74,47.77,49.45,233731
1717992000,49.29,50.57,48.2,48.59,189542
1718078400,48.21,48.5386,45.43,47.8,250457
1718164800,49.89,50.65,44.44,44.86,289014
1718251200,44.49,45.93,43.05,44.09,518043
1718337600,42.92,44.16,41.7,42.395,225627
1718596800,42.4,45.74,41.13,45.61,312703
1718683200,43.84,46.69,43.475,43.78,225749
1718856000,43.79,44,41.73,42.47,222130
1718942400,42.49,45.04,41.68,45.03,223685
1719201600,45.12,45.69,42.205,44.18,253696
1719288000,44.36,46.22,43.305,46.05,337667
1719374400,46.05,49.065,45.7,46.9,365529
1719460800,46.82,51.8,46.2101,50.74,369625
1719547200,50.23,52.0973,49.753,51.61,1623619
1719806400,51.45,54.25,50.7501,51.48,384642
1719892800,50.87,54.28,50.04,53.77,233772
1719979200,53.81,56.4,53.81,54.47,319948
1720152000,55.88,56.334,52.5,55.64,267004
1720411200,56.82,63.34,56.39,60.12,547224
1720497600,60.86,68,59.57,66.45,599624
1720584000,66.1,67.45,60.1391,61.92,459477
1720670400,62,65.99,61.11,63.3,293002
1720756800,63.58,69.645,63.445,69.41,457164
1721016000,69.6,76.65,69,76.11,475246
1721102400,76.98,81.09,75.0401,80.97,383465
1721188800,78.82,83.08,76.01,79.41,479457
1721275200,81.93,86.01,77.42,79.08,472665
1721361600,79.07,82.3,76.672,77.03,191019
1721620800,78,78.1775,72.39,75.66,332243
1721707200,74.95,79.63,73.7501,74,219374
1721793600,72.5,73.1486,69.3801,70,188732
1721880000,70.38,72,65.18,66.28,367311
1721966400,69.78,69.78,65.3,67.85,190601
1722225600,68.52,71.36,66.28,67.06,208156
1722312000,67,69.715,63.1303,63.4,211970
1722398400,63.95,64.46,60.02,60.23,270509
1722484800,61.26,61.36,54.2601,57.74,515903
1722571200,54.09,57.9869,53.42,56.41,330055
1722830400,51.24,55.29,50.51,53.73,235291
1722916800,54.6,56.4,52.45,55.26,324738
1723003200,56.79,57,53.29,53.5,413753
1723089600,48.42,49.37,40.83,42.99,935317
1723176000,43.12,46.88,42.5001,46.14,458224
1723435200,46.46,48.4699,45.89,46.7,283638
1723521600,46.46,48.675,45.36,46.09,350957
1723608000,46.75,48.205,45.88,46.63,316625
1723694400,46.94,48.0192,45.14,45.39,340247
1723780800,45.21,49.2,45.05,49,351606
1724040000,48.8,51.35,47.55,48.94,278556
1724126400,48.85,49.53,46.57,47.11,154031
1724212800,47.82,47.82,45.7962,46.94,207796
1724299200,46.57,47.44,43.74,44.76,163250
1724385600,45.03,47.1899,44.3,46.96,190194
1724644800,46.88,47.6,44.8491,45.56,140700
1724731200,45.32,46.0399,44.02,44.72,133857
1724817600,44.54,44.99,41.62,41.88,230947
1724904000,41.95,44.79,41.95,43.81,152199
1724990400,43.81,44.78,42,43.36,151197
1725336000,42.07,42.92,39.8,40.53,251457
1725422400,40.4,41.94,39.79,40.36,131232
1725508800,40.33,40.67,39,40.09,218552
1725595200,39.96,40.52,38.06,38.25,219972
1725854400,38.11,39,37.26,37.59,290086
1725940800,37.85,37.85,35.66,35.83,395654
1726027200,35.73,36.88,35.23,36.34,351014
1726113600,36.59,37.23,34.04,37.17,456593
1726200000,37.71,40.8,37.52,40.36,309069
1726459200,40.49,42.2256,39.74,40.19,261636
1726545600,40.75,43.38,40.36,40.96,261202
1726632000,40.74,41.39,38.88,39.44,184732
1726718400,40.51,41.44,39.59,40.28,120911
1726804800,40.21,41.2,39.12,39.64,181272
1727064000,39.64,40.8,37.79,37.99,176280
1727150400,37.9,39.54,36.95,39.45,184552
1727236800,39.54,39.9808,38.17,38.5,114401
1727323200,39.32,39.32,37.91,39.09,157793
1727409600,38.97,39.735,37.14,37.55,218016
1727668800,37.11,39.45,37.11,37.78,171675
1727755200,37.76,38.155,37.16,37.74,175726
1727841600,37.58,39.54,37.58,39.31,108668
1727928000,38.71,39.14,36.92,39.06,135542
1728014400,39.69,40.48,38.5,39.88,151532
1728273600,39.84,40.065,37.5,37.78,248493
1728360000,37.81,38.41,37.3322,37.58,135484
1728446400,37.51,38.94,37.0002,38.2,201516
1728532800,38.29,45.2,37.64,44.5,722003
1728619200,44.74,46.7299,40.53,42.74,570793
1728878400,42.64,43.84,41.64,42.23,179988
1728964800,42.13,43.27,40.89,42.29,184409
1729051200,42.23,43.18,41.2403,42.69,174473
1729137600,42.64,43.425,40.9,42.07,172665
1729224000,42.02,42.29,40.14,40.15,165172
1729483200,40.06,40.1,38.17,38.26,198742
1729569600,37.56,39.8,36.87,39.73,262455
1729656000,39.75,40.41,38.1,39.22,158000
1729742400,39.69,40.6,38.32,38.83,108944
1729828800,38.88,39.7,37.74,37.81,149861
1730088000,38.45,40.8495,37.898,40.47,222300
1730174400,40.41,40.98,38.63,39.57,169975
