T,O,H,L,C,V
1713844800,164.39,168.74,164.39,166.79,396912
1713931200,167.64,168.445,163.1,164.23,377785
1714017600,161.96,163.7,160.215,161.97,357825
1714104000,162.9,165.23,160.75,164.11,285168
1714363200,164.48,166.48,163.745,166.27,358849
1714449600,164.67,166.39,160.53,161.37,419689
1714536000,161.18,162.75,158.81,160.21,412808
1714622400,162,163.62,156.73,162.54,421101
1714708800,165.74,166.85,162.795,165.08,302756
1714968000,167.08,169.03,165.7,168.85,607335
1715054400,152,162.905,152,157.19,1305400
1715140800,156.66,160.89,156.5,157.37,426257
1715227200,157.82,162.755,157.45,161,327245
1715313600,161.53,162.59,158.9347,161.19,273204
1715572800,162.27,163.57,161.53,162.27,309964
1715659200,162.9,163.64,159.92,162.3,277056
1715745600,164.72,167.57,164.12,167.06,344531
1715832000,167.01,167.01,159.82,160.2,409217
1715918400,160.57,161.7706,159.33,159.68,234064
1716177600,159.64,161.82,159.09,160.17,218921
1716264000,159.43,160.015,157.66,157.85,207723
1716350400,157.36,158.73,156,158.4,383946
1716436800,160.39,160.39,149.23,149.82,753158
1716523200,150.65,152.48,146.75,149.53,626778
1716868800,150,150.18,144.08,146.06,446975
1716955200,144.41,145.84,142.7,143.55,351606
1717041600,143.68,147,143.65,146.65,445986
1717128000,147.62,149.73,145.65,149.54,476741
1717387200,151,151.21,142.23,146.29,453233
1717473600,143.04,145.1,139.68,140.13,321699
1717560000,140.96,142.95,139.778,142.71,407577
1717646400,142.52,143.33,136.445,140.14,514187
1717732800,138.94,141.76,138,141.32,458335
1717992000,140.22,143.37,140.175,142.55,340697
1718078400,141.09,143.31,140.83,141.76,357288
1718164800,146.73,151.8,145.33,145.51,920172
1718251200,145.05,145.94,141.05,142.74,273597
1718337600,140,140,134.51,138.52,542724
1718596800,138.41,140.9,136.78,139.58,407272
1718683200,140.2,143.99,139.53,142.53,379906
1718856000,142.22,142.65,139.77,140.4,228485
1718942400,140.69,141.15,138.335,141.12,507895
1719201600,141.86,145.16,139.22,142.6,578622
1719288000,141,141.555,136.58,137.65,389506
1719374400,136.59,137.925,134.96,136.83,400128
1719460800,136.48,137.14,134.185,136.43,475576
1719547200,136.08,138.33,133.54,135.22,855654
1719806400,136.29,136.99,131.82,132.18,433943
1719892800,132.6,134.69,130.94,133.86,409465
1719979200,135.17,136.44,134.085,135.65,212571
1720152000,134.84,134.84,132.59,132.76,273661
1720411200,133.41,136.83,133.41,135.97,402287
1720497600,135.97,135.97,132.56,133.53,337606
1720584000,134.56,137.94,133.55,137.42,314761
1720670400,140.3,142.0699,139.31,141.53,319050
