T,O,H,L,C,V
1713844800,7.56,7.92,7.55,7.7,5111318
1713931200,8.15,8.27,7.89,7.94,7206016
1714017600,7.57,7.885,7.48,7.84,4382391
1714104000,7.86,8.1391,7.68,8.12,4394004
1714363200,8.3,8.545,8.09,8.2,4108531
1714449600,8.06,8.2625,7.8,7.82,3849743
1714536000,7.75,8.75,7.73,8.34,5750340
1714622400,8.47,8.79,8.3,8.79,3872734
1714708800,9.24,9.4,8.7,8.84,3982474
1714968000,8.93,9.21,8.82,8.94,3367010
1715054400,8.9,9.05,8.57,8.79,3214942
1715140800,8.56,8.765,8.43,8.59,2585142
1715227200,8.6,8.69,8.46,8.64,2983618
1715313600,9.05,9.34,8.22,8.6,7288262
1715572800,9.42,10.396,9.06,9.48,15407565
1715659200,9.73,10.56,9.7,10.05,10177578
1715745600,10.34,10.665,9.68,10.01,6873234
1715832000,10.05,10.11,9.43,9.51,4872789
1715918400,9.5,9.58,9.17,9.42,4735549
1716177600,9.43,9.81,9.25,9.78,3494664
1716264000,9.63,9.8,9.385,9.51,3026433
1716350400,9.52,9.56,9.22,9.36,3605220
1716436800,9.55,9.5598,8.84,9.03,6738940
1716523200,9.1,9.31,8.9731,9.16,3414274
1716868800,9.32,9.62,8.87,8.99,4574685
1716955200,8.745,8.75,8.36,8.58,5740988
1717041600,8.72,8.92,8.6,8.87,3384268
1717128000,8.93,9.2,8.22,8.28,6518092
1717387200,8.39,8.86,8.32,8.59,4637922
1717473600,8.56,8.755,8.4,8.41,2975443
1717560000,8.42,9.135,8.27,9.09,4848535
1717646400,9,9.22,8.7202,9.01,3394252
1717732800,8.76,8.935,8.4201,8.51,3878100
1717992000,8.45,8.68,8.33,8.62,3237127
1718078400,8.5,8.67,8.265,8.58,3110115
1718164800,8.95,9.49,8.9425,9.3,6213809
1718251200,9.33,9.6,9.1201,9.44,3069077
1718337600,9.24,9.41,9.165,9.26,2881354
1718596800,9.2,9.475,9.11,9.37,3248203
1718683200,9.33,9.99,9.24,9.7,4452855
1718856000,9.59,9.66,8.94,9.15,3966747
1718942400,9.1,9.22,8.62,8.85,8714510
1719201600,8.88,9.7,8.87,9.34,6476084
1719288000,9.45,9.865,9.3,9.38,5198736
1719374400,9.3,9.47,8.745,8.76,5641575
1719460800,7,7.6,6.75,7.575,28265718
1719547200,7.57,7.7,7.1501,7.5,22314534
1719806400,7.53,7.95,7.39,7.46,8152214
1719892800,7.43,7.435,7.04,7.16,6257665
1719979200,7.23,7.57,7.12,7.35,3235019
1720152000,7.36,7.405,7.21,7.32,3478549
1720411200,7.38,7.56,7.32,7.4,3873219
1720497600,7.4,7.45,7.16,7.44,4329728
1720584000,7.48,7.51,7.145,7.23,5155681
1720670400,7.44,7.85,7.44,7.68,8441426
1720756800,7.79,8.61,7.78,8.36,10190691
1721016000,8.41,8.44,8.11,8.2,5263227
1721102400,8.4,8.665,8.29,8.6,4967548
1721188800,8.32,8.735,8.18,8.35,3965836
1721275200,8.35,8.48,7.825,7.87,3919823
1721361600,7.89,7.96,7.59,7.61,3080634
1721620800,7.72,8.19,7.5,8.14,4178082
1721707200,8.03,8.71,7.92,8.58,4152690
1721793600,8.35,8.51,7.79,7.81,3761616
1721880000,7.8,8.56,7.68,8.05,5124255
1721966400,8.25,8.49,8.14,8.35,2956466
1722225600,8.36,8.48,7.92,8.19,3471551
1722312000,8.21,8.32,7.88,7.95,2399120
1722398400,8,8.63,7.84,8.2,5049806
1722484800,8.18,8.18,7.25,7.34,6015513
1722571200,7.03,7.2,6.82,7.02,5507865
1722830400,6.17,7.005,6.1,6.77,6592141
1722916800,6.902,7.02,6.605,6.71,4470407
1723003200,7.1,7.11,6.36,6.37,7073327
1723089600,6.5,6.82,6.42,6.64,7414660
1723176000,6.83,7.03,6.25,6.29,8675382
1723435200,6.25,6.29,5.96,6.03,5862074
1723521600,6.09,6.59,6.01,6.54,7239232
1723608000,6.66,6.67,6.245,6.28,4826831
1723694400,6.47,6.75,6.465,6.69,4996122
1723780800,6.73,6.819,6.61,6.74,5045733
1724040000,6.76,7.18,6.53,7.15,4909662
1724126400,7.17,7.31,6.97,7.16,3871637
1724212800,7.17,7.66,7.13,7.62,5058584
1724299200,7.7,7.705,7.32,7.35,5219294
1724385600,7.46,7.8423,7.26,7.81,6388142
1724644800,7.89,8.165,7.78,7.89,3784993
1724731200,7.8,7.94,7.46,7.61,3739802
1724817600,7.59,7.59,7.16,7.37,3663301
1724904000,7.52,7.81,7.34,7.41,3333620
1724990400,7.53,7.6,7.195,7.28,3562967
1725336000,6.46,6.78,5.94,6.07,13369695
1725422400,6.05,6.225,5.885,6.1,5711898
1725508800,6.14,6.325,6.04,6.17,3483158
1725595200,6.16,6.3,5.895,5.92,4577882
1725854400,5.95,6.13,5.91,6.12,3985992
1725940800,6.16,6.32,6.055,6.32,3088622
1726027200,6.18,6.51,6.17,6.45,2941765
1726113600,6.44,6.635,6.25,6.5,3443686
1726200000,6.6,6.755,6.44,6.57,3757771
1726459200,6.56,6.67,6.4012,6.65,3011422
1726545600,6.73,7.035,6.73,6.76,4154380
1726632000,6.81,7.405,6.81,6.91,6071893
1726718400,7.16,7.24,6.9,6.94,4634361
1726804800,6.86,6.9,6.7118,6.8,17167995
1727064000,6.74,6.8,6.63,6.67,3540179
1727150400,6.72,6.95,6.6833,6.84,2869087
1727236800,6.86,7.12,6.81,6.89,3265539
1727323200,7,7.175,6.8,7.17,6577633
1727409600,7.23,7.3,6.965,6.98,3615037
1727668800,6.89,7.095,6.59,6.59,5324668
1727755200,6.51,6.58,6.07,6.17,7272839
1727841600,6.19,6.41,6.07,6.11,4763902
1727928000,6.08,6.18,6.04,6.06,4308067
1728014400,6.15,6.34,6.07,6.11,3848206
1728273600,6.12,6.19,6.03,6.18,3491840
1728360000,6.18,6.49,6.14,6.44,3770790
1728446400,6.49,6.63,6.09,6.15,5736428
1728532800,6.09,6.21,5.95,6.18,4983748
1728619200,6.11,6.67,6.06,6.62,5395959
1728878400,6.64,6.81,6.515,6.72,3608517
1728964800,6.72,6.766,6.49,6.67,2579735
1729051200,6.75,7.07,6.71,7.01,4525108
1729137600,7.1,7.1,6.54,6.55,4856603
1729224000,6.57,6.95,6.57,6.94,3633879
1729483200,6.935,6.94,6.5901,6.76,3966083
1729569600,6.7,6.79,6.56,6.61,2843522
