T,O,H,L,C,V
1713844800,20.43,21.415,20.38,21.18,3995342
1713931200,21.49,21.725,21.21,21.57,3276459
1714017600,21.03,21.265,20.775,21.2,2312228
1714104000,21.5,21.78,21.39,21.56,1988678
1714363200,21.77,21.92,21.285,21.7,2215066
1714449600,21.42,21.695,21.11,21.13,2694442
1714536000,21.3,22.21,21.19,21.44,3193817
1714622400,21.55,21.64,21.07,21.5,3170659
1714708800,21.91,21.98,21.17,21.25,3120780
1714968000,21.21,21.76,21.21,21.69,2611685
1715054400,21.5,21.775,21.195,21.67,2278491
1715140800,21.06,21.44,20.69,20.96,4177086
1715227200,20.75,21.28,20.75,21.21,2819604
1715313600,21.38,21.42,20.945,21.11,2498277
1715572800,21.34,21.765,21.2,21.56,2850950
1715659200,21.65,22.07,21.36,21.59,3991182
1715745600,22,22.34,21.725,22.31,3153752
1715832000,22.23,22.525,22.16,22.17,2925255
1715918400,22.21,22.3,21.67,21.89,3305927
1716177600,21.97,22.74,21.89,22.67,3059108
1716264000,22.33,22.835,22.33,22.55,3021919
1716350400,22.6,22.76,22.09,22.19,2025630
1716436800,22.54,22.69,21.71,21.72,2818014
1716523200,21.71,22.025,21.51,21.62,2608035
1716868800,21.67,21.67,20.74,20.9,4911005
1716955200,20.5,21.01,20.3309,20.72,5383701
1717041600,20.27,20.34,19.235,19.42,9631106
1717128000,14.77,17.18,14.33,16.83,29085975
1717387200,16.97,17.7,16.895,17.22,8781798
1717473600,17.54,17.73,17.13,17.21,6236619
1717560000,17.44,17.64,16.61,17.34,7720364
1717646400,17.25,17.465,16.92,17.24,6217940
1717732800,17.21,17.38,17.065,17.18,3340959
1717992000,17.09,18.17,17.04,17.69,6035002
1718078400,17.6,17.74,17.26,17.48,4507793
1718164800,17.96,18.725,17.9,18.1,5644901
1718251200,18.19,18.44,17.9675,18.41,4090215
1718337600,18.38,18.62,18.262,18.46,4716774
1718596800,18.38,18.58,17.91,18.43,3417177
1718683200,18.43,18.595,18.125,18.16,3959064
1718856000,18.14,18.25,17.8,17.96,3142350
1718942400,17.85,18.35,17.71,18.33,9616573
1719201600,18.23,18.85,18.15,18.79,3856753
1719288000,18.87,19.2701,18.748,18.82,3916426
1719374400,18.76,19.235,18.56,19.17,2935413
1719460800,19.235,21.04,19.2,20.74,7208717
1719547200,20.84,21.28,20.71,21.05,7794034
1719806400,21.09,21.16,20.22,20.36,6131966
1719892800,20.31,20.63,20.17,20.46,2656051
1719979200,20.45,20.64,20.06,20.15,1706016
1720152000,20,20.395,19.9,20.35,3091449
1720411200,20.22,20.48,19.92,20.36,3538885
1720497600,20.42,20.54,19.45,19.76,4198666
1720584000,19.79,20.05,19.46,19.99,3598469
1720670400,20.38,20.73,20.0325,20.23,5868558
1720756800,20.34,20.695,20.08,20.34,5353969
1721016000,20.96,21.835,20.56,21.72,8558818
1721102400,21.93,22.235,21.485,21.88,5143187
1721188800,21.43,21.59,20.85,21.1,5161642
1721275200,21.15,21.2,20.0601,20.14,4102913
1721361600,22.45,22.49,20.765,21.72,15846348
1721620800,22.87,24.795,22.75,23.18,22546761
1721707200,23.3,24.62,23.22,24.43,13574004
1721793600,24.26,24.6364,23.39,23.41,10746487
1721880000,23.51,24.21,23.0203,23.11,7823287
