T,O,H,L,C,V
1713844800,5.23,5.385,5.2,5.36,1602065
1713931200,5.31,5.41,5.31,5.37,1719111
1714017600,5.36,5.535,5.32,5.49,2707995
1714104000,5.59,5.64,5.54,5.63,2314363
1714363200,5.64,5.74,5.56,5.66,2147255
1714449600,5.49,5.595,5.4525,5.46,2616386
1714536000,5.53,5.7199,5.515,5.58,3038032
1714622400,5.52,5.68,5.42,5.54,3081892
1714708800,5.54,5.6,5.39,5.43,2253729
1714968000,5.56,5.68,5.56,5.62,1947394
1715054400,5.6,5.67,5.56,5.62,1565104
1715140800,5.55,5.7,5.52,5.6,1568459
1715227200,5.66,5.745,5.635,5.72,1667681
1715313600,5.8,5.8,5.64,5.66,1465704
1715572800,5.6,5.6775,5.59,5.63,1233283
1715659200,5.67,5.69,5.55,5.6,1445894
1715745600,5.67,5.73,5.56,5.7,1429845
1715832000,5.7,5.735,5.63,5.69,1603464
1715918400,5.79,5.91,5.76,5.91,2113115
1716177600,5.91,6.03,5.82,6.01,1848350
1716264000,5.95,6.07,5.91,6.06,3875881
1716350400,6,6.025,5.85,5.9,4007679
1716436800,5.86,5.8999,5.72,5.77,2305747
1716523200,5.86,5.87,5.765,5.8,863015
1716868800,5.93,5.9499,5.83,5.86,1243455
1716955200,5.78,5.805,5.7,5.71,1068119
1717041600,5.71,5.775,5.681,5.71,1038330
1717128000,5.73,5.79,5.61,5.68,3182286
1717387200,5.7,5.705,5.58,5.68,1896423
1717473600,5.62,5.62,5.41,5.47,1731896
1717560000,5.47,5.58,5.4101,5.55,1611272
1717646400,5.55,5.72,5.55,5.68,1627210
1717732800,5.5,5.541,5.33,5.35,3049239
1717992000,5.39,5.4,5.3,5.4,1693214
1718078400,5.34,5.38,5.295,5.38,1618592
1718164800,5.48,5.535,5.34,5.42,2387817
1718251200,5.38,5.45,5.27,5.33,2546462
1718337600,5.42,5.45,5.315,5.44,2462126
1718596800,5.39,5.45,5.33,5.39,1738716
1718683200,5.36,5.49,5.33,5.45,1594449
1718856000,5.47,5.52,5.43,5.48,2688599
1718942400,5.48,5.48,5.36,5.41,4385069
1719201600,5.44,5.475,5.4,5.43,1406610
1719288000,5.39,5.44,5.36,5.42,3203115
1719374400,5.35,5.42,5.345,5.36,1268899
1719460800,5.42,5.465,5.37,5.39,1520218
1719547200,5.44,5.5,5.36,5.44,2283840
1719806400,5.42,5.495,5.395,5.4,746058
1719892800,5.41,5.52,5.4,5.5,1725466
1719979200,5.56,5.68,5.56,5.62,707865
1720152000,5.58,5.715,5.58,5.63,1544009
1720411200,5.56,5.61,5.495,5.6,1430006
1720497600,5.59,5.64,5.56,5.58,3187688
1720584000,5.65,5.6995,5.63,5.68,1510404
1720670400,5.8,5.85,5.65,5.77,1700716
1720756800,5.76,5.76,5.705,5.75,2261919
1721016000,5.75,5.7953,5.69,5.71,1008862
1721102400,5.72,5.87,5.7,5.87,2693849
1721188800,5.86,5.905,5.75,5.75,2384315
1721275200,5.78,5.85,5.695,5.84,2477755
1721361600,5.7,5.845,5.67,5.8,1491658
1721620800,5.76,5.8,5.71,5.76,833980
1721707200,5.76,5.78,5.71,5.76,696947
1721793600,5.75,5.87,5.72,5.72,1340598
1721880000,5.56,5.67,5.54,5.6,1283618
1721966400,5.64,5.66,5.59,5.6,1255122
1722225600,5.63,5.645,5.55,5.63,999389
1722312000,5.64,5.69,5.6,5.65,731210
1722398400,5.76,5.8,5.71,5.75,1349798
1722484800,5.76,5.77,5.55,5.63,1096483
1722571200,5.63,5.87,5.445,5.49,2078947
1722830400,5.11,5.18,4.92,5.12,2591953
1722916800,5.1,5.22,5.05,5.18,1258983
1723003200,5.24,5.26,5.04,5.04,1153597
1723089600,5.09,5.165,5.03,5.09,1225923
1723176000,5.14,5.15,5.0801,5.15,1061143
1723435200,5.15,5.33,5.15,5.28,1907275
1723521600,5.26,5.36,5.26,5.32,1345474
1723608000,5.29,5.31,5.23,5.29,968517
1723694400,5.34,5.36,5.24,5.33,827093
1723780800,5.39,5.47,5.35,5.47,1394290
1724040000,5.45,5.558,5.45,5.52,929262
1724126400,5.57,5.64,5.56,5.6,1064666
1724212800,5.58,5.63,5.525,5.62,1204339
1724299200,5.54,5.56,5.46,5.48,1457007
1724385600,5.54,5.6,5.51,5.58,2216374
1724644800,5.63,5.69,5.595,5.68,1825494
1724731200,5.62,5.7,5.585,5.68,1414016
1724817600,5.58,5.66,5.53,5.63,2364823
1724904000,5.64,5.82,5.64,5.79,2128745
1724990400,5.81,5.92,5.775,5.86,4431530
1725336000,5.77,5.8,5.57,5.61,4516808
1725422400,5.58,5.67,5.54,5.54,1887340
1725508800,5.61,5.65,5.53,5.53,1353124
1725595200,5.52,5.55,5.38,5.4,2126257
1725854400,5.43,5.535,5.4,5.49,1415326
1725940800,5.5,5.65,5.465,5.64,2039857
1726027200,5.63,5.645,5.57,5.64,1346833
1726113600,5.74,6.06,5.74,6.02,3285768
1726200000,6.07,6.265,6.055,6.22,4487516
1726459200,6.22,6.29,6.19,6.24,3077317
1726545600,6.22,6.27,6.12,6.15,2513081
1726632000,6.14,6.265,5.98,6,4235157
1726718400,6.16,6.16,5.96,6.03,2760198
1726804800,6.09,6.32,6.09,6.21,3721611
1727064000,6.21,6.32,6.2,6.23,1988040
1727150400,6.31,6.3783,6.24,6.32,3413215
1727236800,6.29,6.356,6.27,6.31,2642499
1727323200,6.31,6.335,6.24,6.25,2468428
1727409600,6.26,6.26,6.03,6.09,2575723
1727668800,6.04,6.07,5.925,6,2089774
1727755200,6.07,6.095,6.01,6.05,2530363
1727841600,6.05,6.135,5.94,6.03,2893542
1727928000,5.98,6.02,5.9,5.95,2079875
1728014400,5.93,6.015,5.86,5.89,2723401
1728273600,5.85,5.85,5.75,5.79,3215422
1728360000,5.82,5.8299,5.7301,5.81,3872789
1728446400,5.77,5.78,5.69,5.71,3127203
1728532800,5.71,5.84,5.66,5.83,2224948
1728619200,5.88,6,5.85,5.89,1624788
1728878400,5.88,5.94,5.83,5.9,929896
1728964800,5.89,5.9,5.78,5.85,3511398
1729051200,5.91,5.98,5.835,5.87,2536469
1729137600,5.92,5.92,5.84,5.88,2511257
1729224000,5.99,6.14,5.76,6.02,8064197
1729483200,6.1,6.2,5.97,6.12,7355678
1729569600,6.18,6.5,6.17,6.48,4990893
1729656000,6.41,6.4699,6.32,6.4,3009338
1729742400,6.47,6.47,6.21,6.3,4275535
1729828800,6.25,6.2877,6.14,6.16,2665227
1730088000,6.16,6.22,5.98,6.07,4454800
1730174400,6.12,6.185,6.06,6.11,3956053
1730260800,6.11,6.11,5.95,6.06,2404812
1730347200,5.95,6.089,5.91,6.05,4435601
1730433600,6.11,6.2151,6.06,6.09,4432949
1730696400,6.12,6.2263,6.0607,6.18,2968400
1730782800,6.22,6.34,6.2001,6.32,3251902
1730869200,6.01,6.25,5.98,6.16,4307665
1730955600,6.25,6.38,6.1,6.33,5221617
1731042000,6.19,6.23,5.71,5.77,8589703
1731301200,5.59,5.62,5.4,5.47,4770364
1731387600,5.4,5.5,5.385,5.4,3462785
1731474000,5.42,5.46,5.34,5.37,2799336
1731560400,5.38,5.54,5.35,5.49,3632546
1731646800,5.52,5.55,5.36,5.36,1697249
1731906000,5.53,5.58,5.48,5.54,2424646
1731992400,5.57,5.67,5.5295,5.66,2610331
1732078800,5.64,5.7,5.6013,5.68,2856006
1732165200,5.73,5.82,5.69,5.8,3785886
1732251600,5.85,5.905,5.775,5.85,3468253
1732510800,5.63,5.86,5.6,5.82,4097651
1732597200,5.8,5.8297,5.74,5.8,2275168
1732683600,5.88,5.9,5.8,5.83,2258148
1732856400,5.85,5.89,5.7745,5.79,1406989
1733115600,5.73,5.76,5.59,5.62,3479502
1733202000,5.69,5.83,5.675,5.76,2113073
1733288400,5.71,5.84,5.71,5.76,2865429
1733374800,5.78,5.845,5.7,5.77,3345771
1733461200,5.74,5.77,5.53,5.56,2915627
1733720400,5.72,5.88,5.68,5.7,4183660
1733806800,5.77,5.85,5.65,5.66,2840490
1733893200,5.68,5.885,5.66,5.86,3616597
1733979600,5.74,5.8,5.67,5.69,3474590
1734066000,5.63,5.67,5.52,5.62,4248878
1734325200,5.65,5.65,5.5,5.6,3940320
1734411600,5.5,5.66,5.5,5.61,3296365
1734498000,5.61,5.62,5.35,5.36,2826159
1734584400,5.42,5.47,5.33,5.36,3497986
1734670800,5.38,5.5,5.36,5.39,6427391
1734930000,5.34,5.41,5.33,5.39,4296737
1735016400,5.43,5.45,5.39,5.45,1634886
