T,O,H,L,C,V
1713844800,196.06,200.17,195.61,198.3,773094
1713931200,196.1,199.97,195.19,199,808784
1714017600,197.05,198.82,195.32,197.93,789851
1714104000,197.4,199.79,195.835,196.23,644235
1714363200,198.55,201.9,198.03,201.89,780451
1714449600,192.12,198.435,185.89,186.12,2540056
1714536000,188.7,194.53,183.64,189.12,1685848
1714622400,190.4,194.27,187.54,193.87,1094173
1714708800,196.47,200.71,192.81,193.09,1072792
1714968000,193.86,194.1099,189.91,192.59,881408
1715054400,194.25,197.699,193.655,196,962913
1715140800,195.22,197.72,194.85,197.22,769672
1715227200,197.96,201.225,196.46,198.48,827530
1715313600,198.69,198.69,195.87,197.51,714224
1715572800,199.79,200,196.33,198.03,719232
1715659200,200.2,200.26,197.77,199.1,1017811
1715745600,204.42,208.225,201.63,202.36,1247777
1715832000,202.06,206.28,200.94,202.87,825561
1715918400,202.75,202.885,198.35,199.38,853268
1716177600,199.63,200.2,196.2,198.41,858871
1716264000,198.41,199.61,196.965,198.37,599145
1716350400,196.88,197.42,192.56,193.77,1016005
1716436800,193.04,193.515,188.58,188.79,730863
1716523200,188.59,189.7,187.72,188.09,500632
1716868800,188.93,192.01,186.23,187.29,790335
1716955200,186.02,187.52,185.44,186.38,781227
1717041600,188.02,193.495,187.49,193.2,1065308
1717128000,194.87,197.95,193.95,196.68,1592560
1717387200,197.09,200.4,196.3501,196.76,681639
1717473600,196.76,200.235,195.9101,198.63,741896
1717560000,198.8,198.87,196.18,196.89,504308
1717646400,195.83,197.3,194.7,195.37,438197
1717732800,191.12,193.71,188.88,193.39,785997
1717992000,192.67,194.32,191.07,193.16,988232
1718078400,192.98,195.79,192.24,192.35,903038
1718164800,199.92,202.86,195.17,196.29,1198660
1718251200,196.6,198.285,195.2,197.01,952714
1718337600,195.78,198.11,194.95,195.96,596314
1718596800,195,195,190.325,191.19,619511
1718683200,191.2,193.48,190.5,191.19,530571
1718856000,190.17,191.3847,189.32,190.78,540930
1718942400,191.28,195.18,190.58,194.63,1193645
1719201600,194.89,199.53,194.565,197.17,721427
1719288000,196.32,196.41,191.46,192.67,553531
1719374400,191.29,193.8,190.4588,193.57,746700
1719460800,193.2,196.95,192.25,196.95,879812
1719547200,197.61,198.79,195.06,196.3,1463509
1719806400,194.83,195.81,189.47,189.78,956911
1719892800,191.29,191.29,187.06,189,1232349
1719979200,189.96,193.48,189.215,192.18,474519
1720152000,192.31,192.32,189.07,190.83,666493
1720411200,191.59,194.65,190.91,193.96,655049
1720497600,193,196.22,192.1,195.53,714117
1720584000,197.2,197.21,191.79,195.19,572432
1720670400,199.75,209.9,199.26,209.86,1495808
1720756800,210.85,215.47,210.3,212.83,1345152
1721016000,210.01,212.08,208.0374,210.26,888746
1721102400,212.7,213.53,209.9,213.06,776760
1721188800,212.91,214.79,211.18,214.22,651714
1721275200,210.46,215.16,210.1,211.25,802743
1721361600,211.64,212.07,208.15,209,768504
1721620800,209.89,211.02,207.64,208.82,477762
1721707200,208.64,209.97,206.901,207.33,533674
1721793600,208.65,209.32,204.57,205.45,678085
1721880000,207.02,212.545,206.81,211.07,1341450
1721966400,214.47,215.69,211.265,214.71,911889
1722225600,214.85,218.15,213,217.82,1996126
1722312000,211.64,220.98,211.64,217.94,1939867
1722398400,219.45,222.84,217.88,219.54,1191515
1722484800,219.56,227.36,219.34,227.16,1170793
1722571200,232.16,237.24,228.275,229.73,1866518
1722830400,229.11,230.35,220.2482,221.11,1930135
1722916800,219.24,222.92,218.51,220.32,1049846
1723003200,219.46,220.87,214.63,214.98,1018269
1723089600,213.62,217.37,212.75,216.89,454181
1723176000,216.99,216.99,212.83,212.91,735452
1723435200,213.86,216.37,212.58,216.18,811824
1723521600,217.39,219.36,216.34,218.56,470739
1723608000,217.56,219.57,216.41,217.87,465180
1723694400,216.6,216.785,213.905,214.77,977363
1723780800,216.4,218.515,215.86,218.17,656390
1724040000,217.93,219.34,217.4,218.31,333361
1724126400,218.43,219.76,217.96,219.49,310503
1724212800,219.58,219.58,217.41,219.3,372487
1724299200,218.16,219.54,217.51,218.37,510515
1724385600,219.03,228.03,219.03,227.28,991835
1724644800,228.06,229.9,226.72,227.54,509569
1724731200,225.56,228.89,225.54,228.51,408363
1724817600,228.82,229.345,226.51,227.67,592724
1724904000,227.09,227.625,223.045,226.54,793158
1724990400,226.96,229.005,224.69,226.66,1081888
1725336000,225.83,233.65,225.83,230.81,709224
1725422400,231.76,235.41,230.22,233.22,737094
1725508800,235.27,236.99,232.51,233.37,960321
1725595200,234.15,238.82,233.535,238.51,1312844
1725854400,237.48,241.83,236.015,239.83,1052904
1725940800,240.44,243.75,239.9,242.53,847417
1726027200,239.72,242.34,236.8129,241.84,751544
1726113600,241.92,242.23,237.815,239.85,763380
1726200000,241.51,243.48,239,242.95,450274
1726459200,244.95,247.45,244.5,245.09,1059637
1726545600,244.33,246.66,243.56,245,651290
1726632000,246,246.91,239.77,239.91,609014
1726718400,239.68,240.82,232.18,238.29,776179
1726804800,236.58,239.6,235.48,239.47,1177092
1727064000,240.51,242.6,238.24,240.53,639290
1727150400,239.67,242.52,238.44,241.98,660325
1727236800,242.26,243.79,238.37,239.33,484304
1727323200,239.64,239.64,234.44,236.26,790794
1727409600,238.53,239.26,236.65,238.64,709274
1727668800,239.29,240.86,238.01,240.7,828529
1727755200,241.17,243.54,238.17,242.64,816798
1727841600,239.82,243.12,238.78,241.97,739137
1727928000,240.94,241.58,237.62,239.91,880696
1728014400,234.2,237.05,230.355,235.37,1139052
1728273600,233.44,238,232.7,237.71,901646
1728360000,237.95,239.87,236.34,238.62,627473
1728446400,237.59,238.7,233.89,235.47,627339
1728532800,234.68,237.36,231.16,233.23,656524
1728619200,234.25,235.07,231.78,233.51,533731
1728878400,233.6,240.29,233.2,239.82,546216
1728964800,242,249.72,241.32,249.31,3295448
1729051200,250.27,252.64,248.015,248.75,893765
1729137600,246.81,248.21,244.13,247.2,677469
1729224000,247.7,248.89,245.66,247.47,512095
1729483200,247.03,248.62,241.38,243.47,569255
1729569600,240.2,244.675,240.2,241.46,754658
1729656000,241.7,244.42,241.245,243.69,495982
1729742400,242.85,246.32,242.85,246.07,787502
1729828800,247.03,247.04,241.65,241.79,599069
1730088000,243.48,245.17,239.32,239.94,1324250
1730174400,241,241.6,231.25,231.75,1363466
1730260800,232.54,236.86,230.2,231.88,821904
1730347200,229.25,233.21,228.54,229.47,803517
1730433600,228.67,231.37,225.21,225.59,720215
1730696400,228.43,230.09,225.97,228.77,785363
1730782800,227.29,229.28,225.2,228.36,682258
1730869200,216.58,221.285,212.39,218.75,2237326
1730955600,220,222.36,217.75,221.58,1860241
1731042000,223.26,224.83,222.02,223.92,1332330
1731301200,222.64,224.32,219.52,220.19,1077530
1731387600,219.65,220.12,215.46,219.6,1153820
1731474000,224.08,224.08,217.79,218.51,735548
1731560400,215.59,220.49,215.11,218.47,1275642
1731646800,218.9,221.96,217.53,221.09,889861
1731906000,218.16,221.8,218.16,221.61,857917
1731992400,221.77,222.98,219.17,219.47,615312
1732078800,218.26,220.01,217.87,218.94,566396
1732165200,217.86,219.93,217.25,219.43,688565
1732251600,220.84,222.41,220.09,220.66,579295
1732510800,223.7,227.81,221.865,225.98,1012974
1732597200,226.03,227.71,224.755,226.59,644367
1732683600,228.5,229.68,227.8,228.51,396072
1732856400,228.75,228.88,226.01,226.25,351601
1733115600,226.05,226.07,222.165,222.94,644263
1733202000,222.94,225.235,222.495,223.09,644129
1733288400,222.5,223.45,218.27,220.81,872417
1733374800,219.77,221.98,218.47,221.58,622580
1733461200,222.81,222.92,216.09,220.38,1072271
1733720400,220.38,225.06,220.38,223.26,866855
1733806800,222.37,222.37,216.395,217.38,933082
1733893200,217.92,218.235,214.51,216.21,899382
1733979600,216.11,218.24,215.12,216.05,730804
1734066000,215.01,216.03,213.075,214.28,609570
1734325200,212.29,214.415,211.66,212.28,813796
1734411600,212.36,213.74,207.84,208.99,779478
1734498000,206.9,209.01,200.89,201.06,1356925
1734584400,200.04,201.41,197.16,198.24,1819601
1734670800,200,204.58,199.77,203.57,2458429
1734930000,202.61,203.43,200.6,203.28,1108959
1735016400,202.2,203.25,200.92,202.56,438293
1735189200,202.25,204.11,200.94,204,591978
1735275600,201.89,205.52,201.89,203.2,653472
1735534800,203.34,203.59,200.8933,203.32,658848
1735621200,205.37,205.85,201.615,203.8,696667
1735794000,205.06,205.3007,200.08,200.4,513751
1735880400,201.41,202.97,199.3101,201.8,525857
1736139600,200.9,202.78,198.5,198.93,811172
1736226000,198.51,200.19,195.61,195.89,761066
1736312400,195.64,199.95,193.405,199.71,1131071
1736485200,195.08,195.89,192.55,192.76,1108894
1736744400,193.08,195.26,192.61,194.96,846120
1736830800,194.69,197.375,194.22,195.02,853471
1736917200,200.4,200.9,196.85,197.23,1021009
1737003600,197.88,205,197.88,204.18,1188338
1737090000,205.53,205.53,203.34,203.61,697679
1737435600,204.82,207.41,203.32,204.36,670925
1737522000,202.51,203.695,198.17,198.4,996522
1737608400,198.36,198.74,195.08,198.69,576710
1737694800,198.38,199.11,196.23,196.83,673529
1737954000,205.4,208.45,203.37,207.94,1022689
1738040400,207.35,207.35,201.0401,201.67,815151
1738126800,202,202.5,196.76,198.1,738016
1738213200,200.85,202.145,197.46,199.14,709109
1738299600,198.1,201.56,197.1,197.56,769360
1738558800,196.96,199.24,195.99,197.73,812827
1738645200,196.93,198.32,195.21,197.54,676211
1738731600,199.84,203.79,197.48,203.48,822456
1738818000,204.33,205.14,203.6,205,620389
1738904400,204.37,206.79,203.68,205.82,778996
1739163600,206.99,207.51,203.71,206.31,556272
1739250000,206.41,209.39,205.6,209.24,526309
1739336400,205.6,208.935,204.1284,208.63,588642
1739422800,209.68,209.68,207.47,208.12,441004
1739509200,209.9,211.12,205.3,205.37,486835
1739854800,204.38,206.66,203.5701,206.4,537545
1739941200,206.21,208.55,204.7,207.77,696763
1740027600,207.48,210.3,206.29,210.03,485440
1740114000,209.8,215.01,209.52,213,1132676
1740373200,213.1,215.6,210.8,212.84,1171739
1740459600,220.5,225.38,217.34,219.17,1779010
1740546000,217.91,220.225,214.71,215.49,761909
1740632400,213.13,218.36,213.03,218.2,666275
1740718800,219.96,220.27,216.24,217.9,1093981
1740978000,216.86,222.43,216.86,221.51,629561
1741064400,223.16,227.96,218.66,219.35,957986
1741150800,215.66,221.27,215.66,220.38,792239
1741237200,220.8,220.8,214.73,218.74,826763
1741323600,219.99,225.97,219.99,223.73,1520934
1741579200,224.67,227.59,223.0001,224.91,1453519
1741665600,224.41,226.5,220.01,220.42,1536439
1741752000,218.55,219.685,213.7,216.48,755395
1741838400,216.37,216.98,212.01,214.56,939297
1741924800,215.38,219.51,214.47,218.23,1282831
1742184000,219.22,223.65,218.91,220.9,926996
1742270400,220.37,223.77,218.95,223.15,750946
1742356800,221.19,223.18,217.73,219.79,794452
1742443200,220.06,221.61,218.455,220.97,632846
1742529600,221.41,223.16,219.09,221.64,1208709
1742788800,220.66,222.27,217.62,218.69,747347
1742875200,217.25,217.25,213.46,214.31,809388
1742961600,215.28,216.37,213.41,214.7,394488
1743048000,215.17,217.68,214.505,216.38,558115
1743134400,218.26,218.26,215.61,216.84,533764
1743393600,218.75,222.79,217.855,220.01,1209485
1743480000,219.86,222.295,217.6,220.42,670943
1743566400,219.37,220.695,217.34,219.34,708043
1743652800,224.74,234.85,224.425,230.87,1610247
1743739200,231.595,234.42,219.76,219.91,2220141
1743998400,203.45,219.91,203,214.43,1982319
1744084800,217.21,217.21,206.41,208.57,1736687
