T,O,H,L,C,V
1713844800,15.81,16.17,15.75,16.14,701944
1713931200,15.93,16.1,15.855,16.03,599602
1714017600,15.84,16.025,15.795,15.86,702083
1714104000,15.96,16.12,15.905,16,491838
1714363200,16.06,16.1,15.98,16.06,345747
1714449600,15.96,15.96,15.545,15.63,601506
1714536000,15.66,15.78,15.485,15.63,567238
1714622400,15.78,15.83,15.43,15.71,993740
1714708800,16.08,16.09,15.815,15.87,866235
1714968000,15.81,16,15.7,15.72,1211807
1715054400,15.87,15.95,15.72,15.82,1065882
1715140800,15.69,15.895,15.61,15.68,1043335
1715227200,15.23,15.44,15.04,15.38,820338
1715313600,15.4,15.42,15.095,15.11,957832
1715572800,15.36,15.395,15.171,15.18,540115
1715659200,15.3,15.41,15.28,15.36,621255
1715745600,15.33,15.39,15.205,15.35,668541
1715832000,15.48,15.66,15.39,15.53,669713
1715918400,15.39,15.505,15.31,15.35,569070
1716177600,15.15,15.38,15.105,15.19,460320
1716264000,15.19,15.19,14.86,14.98,653993
1716350400,14.72,14.74,14.465,14.49,776664
1716436800,14.51,14.605,14.3501,14.54,523439
1716523200,14.61,14.79,14.55,14.59,447680
1716868800,14.54,14.62,14.315,14.46,793373
1716955200,14.35,14.4399,14.28,14.34,481295
1717041600,14.35,14.49,14.32,14.39,322776
1717128000,14.17,14.18,13.95,14.15,785710
1717387200,14.09,14.165,13.97,14.03,375059
1717473600,13.97,14.225,13.87,14.1,1176124
1717560000,14.15,14.91,14.13,14.74,1321883
1717646400,14.93,15.01,14.67,14.71,1052669
1717732800,14.35,14.355,13.88,13.88,753537
1717992000,13.75,14.03,13.75,14.01,256599
1718078400,14.05,14.13,13.98,14.02,420701
1718164800,14.07,14.07,13.49,13.56,1160557
1718251200,13.68,13.9,13.46,13.86,1045846
1718337600,13.75,13.98,13.675,13.92,695892
1718596800,13.77,13.855,13.67,13.75,551290
1718683200,13.24,14.73,13.24,13.3,2023378
1718856000,13.43,13.57,13.1,13.27,1416677
1718942400,13.71,13.845,13.68,13.78,1104222
1719201600,14.13,14.41,14.11,14.36,1110272
1719288000,14.51,14.52,14.14,14.19,695235
1719374400,13.93,13.985,13.805,13.82,844377
1719460800,13.74,13.92,13.165,13.52,1461971
1719547200,13.32,13.58,13.11,13.45,774665
1719806400,13.5,14.15,13.5,13.81,1064812
1719892800,13.82,13.9,13.63,13.75,491760
1719979200,14.09,14.355,13.975,14.34,918681
1720152000,14.89,14.99,14.6799,14.95,1597310
1720411200,14.93,15.25,14.93,15.13,1325051
1720497600,15.42,15.585,15.35,15.48,2333098
1720584000,15.65,15.785,15.46,15.63,3361730
1720670400,15.71,15.74,15.42,15.42,2776114
1720756800,15.43,15.455,15.17,15.27,2767777
1721016000,15.07,15.19,14.95,15.01,601484
1721102400,14.95,15.07,14.79,15.02,1179939
1721188800,14.92,15.33,14.88,15.2,744374
1721275200,15.04,15.08,14.62,14.74,714125
1721361600,14.82,15.32,14.65,15.16,5784576
1721620800,15.52,15.92,15.52,15.71,2513464
1721707200,15.55,15.74,15.52,15.71,1533882
1721793600,15.66,15.69,15.37,15.64,1417101
1721880000,15.65,15.66,15.365,15.46,1466738
1721966400,15.3,15.4,15.135,15.4,1116629
1722225600,15.37,15.43,15.165,15.43,1045528
1722312000,15.34,15.64,15.295,15.63,1131862
1722398400,15.6,15.81,15.52,15.63,1281064
1722484800,15.9,16.07,15.6,15.69,1328550
1722571200,15.77,15.77,15.49,15.74,2081594
1722830400,15.13,15.51,15.13,15.42,1473206
1722916800,15.74,15.91,15.7,15.82,1667122
1723003200,16.1,16.335,16.04,16.32,1912436
1723089600,16.5,16.64,16.3,16.57,2029754
1723176000,17.2,17.71,17.13,17.69,2416441
1723435200,17.79,17.85,17.465,17.75,1727875
1723521600,17.75,18.09,17.75,18.03,2530546
1723608000,18.18,18.3599,18.115,18.24,2388486
1723694400,18.16,18.245,17.94,18.03,2566758
1723780800,18.19,18.21,17.99,18.1,1324849
1724040000,18.2,18.22,17.91,18.09,1446657
1724126400,17.99,18.26,17.965,18.23,1358250
1724212800,18.24,18.275,18.015,18.17,915879
1724299200,17.85,17.955,17.43,17.47,1815463
1724385600,17.63,17.875,17.51,17.66,835479
1724644800,17.66,17.955,17.58,17.59,1162962
1724731200,17.6,17.61,17.42,17.52,676234
1724817600,17.36,17.46,17.3,17.32,1436992
1724904000,16.93,16.975,16.69,16.93,1197691
1724990400,16.62,16.86,16.62,16.79,1277341
1725336000,16.92,17.015,16.78,16.79,777066
1725422400,16.78,17.11,16.78,16.98,1181704
1725508800,17.06,17.17,16.94,17.14,1390974
1725595200,17.23,17.28,16.88,16.95,834911
1725854400,16.78,17.025,16.77,17.01,859985
1725940800,17.02,17.235,17,17.11,1328918
1726027200,17.07,17.09,16.72,16.81,592907
1726113600,16.65,16.84,16.59,16.78,681566
1726200000,17.05,17.19,17.02,17.06,788951
1726459200,17.26,17.54,17.26,17.49,987494
1726545600,17.45,17.625,17.41,17.56,736526
1726632000,17.63,17.88,17.53,17.67,1205660
1726718400,17.83,17.83,17.55,17.62,606064
1726804800,17.42,17.43,17.05,17.23,2222498
1727064000,16.98,17.09,16.81,16.9,682072
1727150400,17.23,17.33,16.895,17,1104008
1727236800,17.01,17.02,16.645,16.72,859753
1727323200,16.9,16.975,16.725,16.77,1025038
1727409600,16.77,16.795,16.52,16.56,811658
1727668800,16.47,16.61,16.4101,16.54,1178860
1727755200,16.67,16.71,16.46,16.5,657402
1727841600,16.73,16.78,16.56,16.58,993315
1727928000,16.25,16.32,16.075,16.21,697898
1728014400,16.15,16.19,16.08,16.18,974811
1728273600,16.58,16.655,16.275,16.34,1129235
1728360000,16.18,16.35,16.15,16.33,943513
1728446400,16,16.185,15.88,15.95,1648045
1728532800,15.88,15.95,15.805,15.9,1153663
1728619200,15.7,15.77,15.58,15.76,1782621
1728878400,15.88,16.18,15.775,16.15,1274409
1728964800,16.09,16.215,16.04,16.17,1187868
1729051200,15.97,16.33,15.97,16.25,1351633
1729137600,16.07,16.39,16.04,16.36,1174560
1729224000,16.45,16.46,16.065,16.07,791793
1729483200,16.1,16.25,16.01,16.2,563984
1729569600,16.09,16.19,15.94,16.01,662739
1729656000,15.87,15.92,15.705,15.85,1245903
1729742400,15.74,15.98,15.625,15.91,1391155
1729828800,15.9,16.21,15.83,15.99,851385
1730088000,16.21,16.27,16.04,16.06,666501
1730174400,16.05,16.265,15.95,15.99,658822
1730260800,16,16.165,15.93,16.05,640167
1730347200,15.95,16.035,15.89,15.89,997108
1730433600,15.81,15.86,15.225,15.23,711861
1730696400,15.8,15.91,15.71,15.73,967814
1730782800,15.55,15.94,15.54,15.9,934714
