T,O,H,L,C,V
1713844800,96,100.5,95.97,99.99,684899
1713931200,100.01,101.195,99.17,99.54,524723
1714017600,98.11,101.8,97.08,101.38,718045
1714104000,102.91,105.81,101.87,104.88,1191812
1714363200,105.23,106.39,103.45,105.8,844609
1714449600,104.51,106.375,103.875,105.85,677777
1714536000,105.03,106.14,102.47,103.33,1047628
1714622400,105.5,108.73,101.46,104.94,1886519
1714708800,106.96,109.48,106.96,107.47,998288
1714968000,107.28,111.2895,104.69,105.62,1156393
1715054400,105.8,108,104.4547,105.15,913917
1715140800,103,104.475,101.59,102.76,902303
1715227200,102.64,105.5,101.31,105.07,753143
1715313600,104.2,106.59,102.02,103.28,866639
1715572800,104.36,104.36,100.7501,102.08,658106
1715659200,102.63,105,102.63,102.77,853383
1715745600,104.17,105.5,102.44,102.83,520662
1715832000,102.29,103.56,101.285,101.46,536004
1715918400,101.45,101.61,99.11,99.16,483083
1716177600,99.16,100.75,98.51,99.59,476427
1716264000,99.21,100.46,97.89,99.37,601684
1716350400,99.2,99.2,96.57,97.21,686432
1716436800,97.59,97.59,95.02,96.14,708418
1716523200,97.02,98.59,95.84,97.51,525297
1716868800,97.6,97.944,95.16,95.87,857525
1716955200,95,96.08,93.245,95.03,615258
1717041600,95.63,96.07,93.12,94.3,849606
1717128000,94.92,95.08,91.33,94.89,763958
1717387200,94.9,95.18,89.59,92.57,1358450
1717473600,92.46,92.58,90.39,91.68,703287
1717560000,92.34,96.64,91.12,96.59,950050
1717646400,96.3,96.67,93.32,93.4,673375
1717732800,93.07,93.44,91.68,92.18,400967
1717992000,91.36,93.06,91.15,91.93,711800
1718078400,91.22,91.63,90.2401,90.87,682283
1718164800,92.68,94.77,92.05,92.74,622694
1718251200,93.81,94.48,91.89,92.99,811059
1718337600,91.71,92.03,88.64,89,792252
1718596800,89.5,93.71,88.4301,93.54,956853
1718683200,92.71,93.315,89.65,90.86,725064
1718856000,90.9,92.27,89.405,89.82,691321
1718942400,89.74,89.92,87.45,89.01,1060897
1719201600,88.59,89.17,87.21,88.26,722437
1719288000,88.34,88.805,87.06,87.6,598487
1719374400,87.24,89.4,86.89,89.22,749424
1719460800,88.58,89.1,87.16,88.04,438324
1719547200,88.33,90.495,87.42,90,1809902
1719806400,91.08,92.5,85.775,86.57,1300408
1719892800,86.15,87.05,85.33,85.38,925593
1719979200,85.7,86.74,84.77,85.9,391351
1720152000,85.46,87.095,85.385,86.35,588813
1720411200,87.34,88,86.375,86.7,676284
1720497600,86.47,86.99,84.38,84.73,1086006
1720584000,84.82,85.2,82.5771,84.9,677026
1720670400,86.54,87.0659,84.41,84.45,968114
1720756800,85.29,86.225,83.21,84.73,823973
1721016000,85.43,87.45,85.25,86.18,958515
1721102400,86.44,88.22,84.67,87.97,1113141
1721188800,87.5,91.08,85.81,86.31,954952
