T,O,H,L,C,V
1713844800,11.15,11.55,11.12,11.38,1142912
1713931200,11.31,11.46,11.11,11.27,1168146
1714017600,11.22,11.61,11.01,11.32,721160
1714104000,11.33,11.65,11.22,11.4,737652
1714363200,11.55,11.64,11.2908,11.38,933579
1714449600,11.28,11.4,11.13,11.2,1567281
1714536000,11.1,11.47,11.03,11.27,1100711
1714622400,11.19,11.225,10.75,10.91,1637483
1714708800,11.25,11.48,11,11.02,1039496
1714968000,11.08,11.385,11.07,11.29,744480
1715054400,11.3,11.59,11.25,11.47,1151330
1715140800,11.4,11.49,11.17,11.215,1094601
1715227200,11.24,11.4,11.2,11.33,4487440
1715313600,11.33,11.38,10.86,11.04,942183
1715572800,11.06,11.43,10.935,11.38,1196078
1715659200,11.52,11.66,11.3,11.4,796956
1715745600,11.55,11.57,11.23,11.41,554260
1715832000,11.39,11.48,11.34,11.41,482913
1715918400,11.42,11.545,11.22,11.29,467493
1716177600,11.26,11.32,11.09,11.09,456310
1716264000,10.9,11.02,10.85,10.89,653385
1716350400,10.91,11.31,10.85,11.25,1160573
1716436800,11.22,11.35,11.01,11.19,800776
1716523200,11.22,11.25,11.06,11.2,922520
1716868800,11.26,11.29,10.885,11.04,799951
1716955200,10.92,11.02,10.815,10.94,923075
1717041600,10.97,11.18,10.92,11.09,693692
1717128000,11.14,11.21,10.955,11.18,1962729
1717387200,11.24,11.55,11.21,11.46,1491351
1717473600,11.46,11.735,11.31,11.64,947853
1717560000,11.74,11.99,11.5,11.98,941194
1717646400,11.97,12.55,11.856,12.5,927480
1717732800,12.36,12.545,12.11,12.18,1067673
1717992000,12.03,12.185,11.7926,11.94,1055825
1718078400,11.96,12.245,11.84,12.13,1618575
1718164800,12.35,12.3629,11.945,11.99,985596
1718251200,11.93,12.01,11.62,11.7,856039
1718337600,11.61,11.66,11.44,11.59,758168
1718596800,11.58,11.62,11.285,11.36,620562
1718683200,11.35,11.51,11.3,11.34,703977
1718856000,11.3,11.675,11.23,11.58,944276
1718942400,11.67,12.05,11.635,12.01,1363770
1719201600,12.05,12.26,11.89,11.9,886815
1719288000,11.88,11.94,11.77,11.93,858687
1719374400,11.87,12.01,11.65,11.83,2258592
1719460800,11.82,11.975,11.62,11.9,1503116
1719547200,11.96,11.98,11.61,11.87,2883487
1719806400,11.87,12.0086,11.455,11.58,929558
1719892800,11.57,11.8,11.52,11.63,826138
1719979200,11.71,11.71,11.53,11.65,299638
1720152000,11.71,11.89,11.62,11.75,496359
1720411200,11.75,11.92,11.67,11.9,639558
1720497600,11.88,11.9,11.64,11.88,799084
1720584000,11.93,11.93,11.41,11.68,765070
1720670400,11.87,12.64,11.82,12.19,1359146
1720756800,12.26,12.49,12.1,12.36,705796
1721016000,12.42,12.54,12.13,12.22,538848
1721102400,12.3,13.03,12.25,12.9,936529
1721188800,12.88,13.41,12.78,13.35,869520
1721275200,13.32,13.565,13.075,13.24,948588
1721361600,13.27,13.46,13.01,13.09,714444
1721620800,13.17,13.35,12.775,13.14,581884
1721707200,13.22,13.42,12.97,13.33,855620
1721793600,13.35,13.67,13.22,13.38,918131
1721880000,13.29,13.85,13.29,13.6,833072
1721966400,13.69,14.05,13.54,13.8,571467
1722225600,13.72,13.86,13.595,13.62,811989
1722312000,13.72,14,13.57,13.59,1669642
1722398400,13.6,14.1,13.485,13.87,1032279
1722484800,13.81,13.94,13.59,13.63,842996
1722571200,13.6,13.6,13.115,13.22,1527759
1722830400,12.95,14.98,12.95,14.22,2949525
1722916800,14.26,14.87,14.23,14.7,1890230
1723003200,14.75,14.9,14.305,14.39,1384922
1723089600,14.53,14.76,14.38,14.67,821831
1723176000,14.66,14.66,14.26,14.55,1371837
1723435200,14.53,14.53,14.16,14.29,1068953
1723521600,14.26,14.95,14.03,14.93,1093149
1723608000,14.95,14.95,14.41,14.72,723891
1723694400,14.84,14.96,14.52,14.75,1148176
1723780800,14.76,14.975,14.675,14.97,699910
1724040000,15.17,15.69,14.67,14.93,693926
1724126400,14.94,15.1,14.755,14.9,664539
1724212800,14.94,15.46,14.875,15.36,861600
1724299200,15.4,15.46,15.08,15.19,760187
1724385600,15.25,15.46,15.11,15.42,555526
1724644800,15.45,15.77,15.39,15.62,1800805
1724731200,15.6,15.77,15.23,15.64,1534173
1724817600,15.48,15.57,15.1,15.19,1175206
1724904000,15.2,15.53,15.15,15.51,727947
1724990400,15.62,15.62,15.15,15.44,736631
1725336000,15.34,15.53,15.27,15.36,821232
1725422400,15.32,15.525,15.22,15.41,1177862
1725508800,15.51,16.71,15.45,16.48,7535705
1725595200,16.52,16.61,15.61,15.65,1942638
1725854400,15.85,17.08,15.66,16.8,8129105
1725940800,16.69,16.835,16.07,16.13,2762052
1726027200,16.08,16.27,15.83,16.19,897319
1726113600,16.16,16.57,16.01,16.48,1032315
1726200000,16.47,16.86,16.47,16.8,965600
1726459200,16.8,16.99,16.75,16.91,1165137
1726545600,16.92,16.97,16.5,16.66,677439
1726632000,16.6,16.95,16.5,16.74,629920
1726718400,16.98,16.99,16.53,16.55,788013
1726804800,16.47,16.705,16.41,16.66,1572569
1727064000,16.66,16.76,16.44,16.64,594833
1727150400,16.65,16.99,16.59,16.83,1168884
1727236800,16.84,16.84,16.41,16.59,1165399
1727323200,16.82,16.8201,16.34,16.59,1467450
1727409600,16.64,16.86,16.51,16.76,1106055
1727668800,16.78,16.87,16.54,16.7,1326332
1727755200,16.69,16.75,16.22,16.27,894162
1727841600,16.23,16.23,15.96,16.09,808205
1727928000,16.06,16.2758,15.55,15.58,2324430
1728014400,15.7,15.82,15.58,15.8,1171701
1728273600,15.72,15.75,15.33,15.46,1094843
1728360000,15.33,15.57,15.29,15.4,977064
1728446400,15.41,15.47,15.28,15.36,829939
1728532800,15.23,15.27,14.97,15.2,703499
1728619200,15.19,15.37,15.18,15.32,558984
1728878400,15.35,15.58,15.19,15.41,640644
1728964800,15.39,15.67,15.34,15.38,1027475
1729051200,15.41,16.005,15.345,15.91,1143645
1729137600,15.87,15.9886,15.71,15.77,612947
1729224000,15.8,16.03,15.79,16,543417
1729483200,15.92,16.18,15.55,15.62,626319
1729569600,15.52,15.64,15.38,15.48,551155
1729656000,15.49,15.675,15.425,15.5,812644
1729742400,15.56,15.68,15.45,15.46,596802
1729828800,15.5,15.59,15.31,15.39,449483
1730088000,15.5,15.88,15.47,15.83,702001
1730174400,15.71,16.01,15.635,15.92,664899
1730260800,15.82,16.01,15.67,15.83,659810
