T,O,H,L,C,V
1713844800,71.11,74.52,70.2677,74.31,663781
1713931200,73.59,74.41,70.47,71.35,745886
1714017600,70.38,73.29,69.48,73.14,584158
1714104000,74.95,79.21,72.02,73.66,834088
1714363200,73.42,75.1,71.79,74.99,378404
1714449600,75.17,75.455,72.87,73.03,493537
1714536000,73.18,74.9699,72.61,73.27,303264
1714622400,73.96,75.33,73.49,74.98,363085
1714708800,76,76.72,75.01,75.33,317281
1714968000,75.81,77.0795,75.5903,76.99,264270
1715054400,76.4,77.56,75.83,76.58,253902
1715140800,76.77,77.7,76.55,77.06,265706
1715227200,76.86,77.92,76.5,77.55,207060
1715313600,78,79.56,77.26,77.79,287660
1715572800,78,78.8856,76.1,76.24,302199
1715659200,76.61,77.7,76.61,77.12,189351
1715745600,77.32,78.4,76.8185,77.04,220278
1715832000,77.1,77.4572,76.1,76.77,225752
1715918400,77.35,78.49,76.17,76.27,261240
1716177600,75.96,77.34,75.27,75.33,320386
1716264000,75.01,76.38,74.1795,76.04,249751
1716350400,75.86,76.59,73.5,73.96,313299
1716436800,74.66,74.76,72.85,73.6,383962
1716523200,74,75.14,73.6,75.05,238693
1716868800,74.12,74.9799,71.85,72.25,403160
1716955200,70.89,72.745,68.61,72.46,359534
1717041600,73,73.3772,71.69,72.3,394612
1717128000,72.5,74.8,72.21,74.67,409353
1717387200,80.005,81.795,77.63,79.41,1011915
1717473600,80.89,84.58,78.38,78.63,968077
1717560000,79.14,82.185,78.2167,80.79,429674
1717646400,81.1,82.19,78.28,78.33,410416
1717732800,78.01,79.6294,77.5,78.59,379894
1717992000,78.2,78.99,75.77,76.02,511001
1718078400,75.42,76.42,74.58,75.96,293883
1718164800,77.7,79.95,77.7,79.42,325253
1718251200,79.04,79.2,77.36,77.96,260696
1718337600,76.28,77.037,74.71,76.78,392071
1718596800,76.8,79.02,75.885,78.98,351641
1718683200,78.94,81.56,78.72,81.42,391490
1718856000,81.25,81.79,79.075,79.76,312966
1718942400,79.75,80.29,77.73,79.44,1251643
1719201600,79.51,80.93,79.48,80.15,287715
1719288000,80.16,81.31,79.5,81.23,201537
1719374400,80.51,81.276,79.54,80.61,268340
1719460800,81,82.1,80.75,81.85,349321
1719547200,81.91,83.25,81,82.07,525004
1719806400,82.37,82.76,79.63,81.71,289986
1719892800,81.65,82.38,80.74,82.1,191818
1719979200,82.23,82.74,81.59,82.74,192155
1720152000,82.73,82.9799,80.67,81.95,201760
1720411200,82.75,84.125,82.27,83.6,312677
1720497600,83.86,84.675,83.41,83.91,228264
1720584000,84.26,84.51,82.74,83.75,208069
1720670400,83.19,83.78,80.03,83.6,429624
1720756800,83.6,84.14,82.3601,83.43,251173
1721016000,84.26,86.4599,83.89,84.39,382339
1721102400,85.32,87.86,85,87.62,364688
1721188800,86.88,87.57,83.85,84.18,586009
1721275200,84.14,85.385,81.21,82.535,368695
1721361600,82.96,83.3284,81.72,82.36,257382
1721620800,82.22,84.65,81.68,84.35,389745
1721707200,84.53,86.58,84.25,86.25,299195
1721793600,85.97,86.99,81.83,83.13,626878
1721880000,82.88,86.25,82.51,84.48,474211
1721966400,85.06,86.4,76.295,76.74,947488
1722225600,76.82,79.72,76.475,78.64,534578
1722312000,79.19,81.455,77.24,77.61,466837
1722398400,78.32,81.81,78.2,79.94,402342
1722484800,79.95,81.18,75.53,76.22,399184
1722571200,73.76,73.79,70.7401,71.81,459446
1722830400,65.61,69.92,64.61,68.08,533550
1722916800,69.11,73.11,68.32,72.32,492973
1723003200,73.77,74.29,70.325,70.45,314802
1723089600,71.89,73.54,71.09,73.38,247818
1723176000,73.46,73.9161,72.24,72.94,234831
1723435200,72.73,73.29,71.86,72.16,304213
1723521600,72.58,73.345,72.34,72.97,271460
1723608000,73.48,73.95,72.06,72.13,237712
1723694400,74.07,75.99,73.41,74.42,319633
1723780800,74.42,74.765,72.09,72.49,552243
1724040000,72.85,74.185,72.5,73.93,344582
1724126400,73.74,73.9199,72.55,73.14,232770
1724212800,73.5,74.68,73.1704,74.44,218770
1724299200,74.45,75.2597,73.735,74.41,192197
1724385600,74.95,76.68,74.72,76.29,214125
1724644800,76.46,76.865,75.25,75.68,318608
1724731200,75.68,76.1,75,75.46,203508
1724817600,75,75.69,74.345,74.38,170814
1724904000,75.09,76.69,74.8215,75.87,203638
1724990400,76.34,77.67,76.015,77.54,226480
1725336000,76.76,77.47,75.24,75.3,293742
1725422400,74.98,75.83,74.097,74.84,140426
1725508800,75.35,76.9999,74.805,75.41,339385
1725595200,75.15,76.45,75.04,75.48,301230
1725854400,76.25,77.215,75.59,75.93,391617
1725940800,76.18,76.44,74.11,74.71,387888
1726027200,74.09,74.91,72.7,74.45,332278
1726113600,75.45,76.4379,73.91,75.4,398498
1726200000,76.85,79.06,76.4,78.26,474559
1726459200,78.39,79.73,78,79.62,260987
1726545600,80,81.485,78.375,78.87,438567
1726632000,79,81.535,78.56,80.01,287423
1726718400,82,83.18,80.47,81.02,398144
1726804800,80.63,82.26,79.4755,81.89,999244
1727064000,82.07,83,81.3101,82.205,219418
1727150400,82.02,84.025,82.02,83.59,220264
1727236800,83.91,84.29,81.91,82.06,423410
1727323200,84,84.84,82.45,83.9,648669
1727409600,84.07,85.23,82.6401,84.28,320531
1727668800,83.82,85.3,83.56,85.02,287550
1727755200,84.62,84.99,82.9906,83.98,221653
1727841600,83.41,85.13,83,84.73,217453
1727928000,84.39,85.31,82.81,83.51,160202
1728014400,84.17,86,83.87,85.17,339048
1728273600,85.02,86.2482,84.51,85.58,235860
1728360000,86.61,87.8,86.21,86.57,307928
1728446400,87.16,88.89,86.74,87.35,299170
1728532800,86.24,88.73,86,88.68,308944
1728619200,88.68,91.49,88.68,91.32,272024
1728878400,91.96,93.01,91.19,92.74,311946
1728964800,93.25,93.8951,92.06,92.6,329851
1729051200,93,96.82,93,96.12,369273
1729137600,96.22,96.65,94.48,94.63,463121
1729224000,94.7,96.4662,93.405,95.79,241876
1729483200,95.03,96.19,94.87,95.58,229434
1729569600,95.33,95.8368,94.75,94.81,198213
1729656000,93.92,94.56,92.64,93.32,314679
1729742400,93.53,94,92.27,92.81,334450
1729828800,93.3,94.495,92.93,94.01,294315
1730088000,95.2,96.17,94.76,94.82,233040
1730174400,94.3,96.7,93.745,95.92,387779
1730260800,95.21,97.66,95.21,96.53,379721
1730347200,96,97.99,95.09,95.2,579521
1730433600,99.43,103.4899,97,101.33,691431
1730696400,100.55,101.27,98.0001,99.24,513597
1730782800,100.44,105.99,100.44,104.23,502387
1730869200,110.98,113.62,109.32,112.42,639329
1730955600,112.01,115.0346,110.97,111.57,414630
1731042000,110.68,113.2715,110.5,112.9,414331
1731301200,114.15,116.47,113.77,114.16,377904
1731387600,113.97,115.4366,111.2,112.27,423757
1731474000,113,114.475,111.73,111.97,273702
1731560400,112.57,113.36,110.06,110.81,302914
1731646800,111.19,112.86,109.59,111.33,316732
1731906000,111.69,112.19,109.2601,109.5,261607
1731992400,107.36,110.41,106.01,109.89,258646
1732078800,109.34,110.13,107.3,108.98,215893
1732165200,109.86,110.73,108.86,109.56,236454
1732251600,109.58,112.19,109.38,111.9,256016
1732510800,112.87,116.065,112.87,114.19,426849
1732597200,113.84,115.83,113.84,115.11,309500
1732683600,115.9,117.51,112.69,113.96,237619
1732856400,115.81,115.81,114.18,114.74,162493
1733115600,114.22,115.89,113.3901,114.43,407432
1733202000,114.78,115.99,110.55,112.19,480254
1733288400,113.03,114.34,111.97,113.33,225608
1733374800,114.78,116.79,113.15,113.27,267350
1733461200,113.92,114.525,109.03,109.58,351508
1733720400,109.71,110.5517,105.15,106.2,328345
1733806800,106.82,108.45,106.22,106.93,380511
1733893200,108.15,110.43,107.53,109.51,409008
1733979600,109.26,110.2026,107.07,107.24,263628
1734066000,107.45,107.72,105.9,106.6,247045
1734325200,106.67,106.67,102.2046,105.42,410461
1734411600,104.88,105.42,102.64,103.33,309066
1734498000,103.64,105.3,98.37,99.4,392330
1734584400,101.07,102.99,100.31,102.38,419219
1734670800,100.51,103.15,100.4058,101.8,1687417
1734930000,101.52,102.6,100.05,102.17,262005
1735016400,102.17,103.39,101.64,103.33,82613
1735189200,102.38,104.255,102,103.77,157435
1735275600,102.33,102.87,100.62,101.26,145462
1735534800,100.34,101.68,98.87,100.75,246721
1735621200,100.93,102.22,99.89,100.13,286619
1735794000,100.28,102.07,99.86,101.08,231406
1735880400,101.35,103.73,99.65,103.73,285895
1736139600,104.33,107.56,104.33,107.51,360350
1736226000,107.65,108.94,104.06,107.84,396183
1736312400,107.07,111.09,105.6,111.04,410806
1736485200,111.04,113.04,109.36,111.08,327549
1736744400,108.83,108.99,103.7736,106.52,344481
1736830800,107.2,110.09,106.95,109,320083
1736917200,110.5,111.485,109.05,109.9,199169
1737003600,110.04,110.2875,108.635,108.97,400835
1737090000,110.8,110.8,109.07,109.29,260488
1737435600,110.98,114.905,110.49,114.8,310295
1737522000,116.53,117.068,114.1148,116.06,408038
1737608400,115.67,116.28,113.68,114.22,255423
1737694800,113.42,114.7312,111.4961,114.11,211857
1737954000,112.5,114.4,111.125,113.51,346826
1738040400,112.49,115.29,110.22,114.7,264621
1738126800,114.97,119.36,114.71,115.83,482225
1738213200,115.64,117.51,112,116.76,494535
1738299600,122,135.5699,120.02,120.92,1206147
1738558800,116.51,120.67,113.15,118.19,609787
1738645200,119.27,121.5533,118.16,118.96,380814
1738731600,118.96,119.96,117.1313,118.3,554354
1738818000,119,119.77,114.85,116.17,371010
1738904400,116.31,117.73,115.47,116.76,296745
1739163600,116.81,116.81,111.335,113.32,576729
1739250000,112.23,113.36,109.46,110.16,314933
1739336400,108.42,111.95,107.02,110.82,363573
1739422800,110.57,112.8214,105.975,108.79,431180
1739509200,108.98,110.32,108.15,110.27,235565
1739854800,110.35,111.8475,103.3,104.23,658907
1739941200,102.77,103.825,100.82,100.94,451827
1740027600,100.8,101.68,99.22,101.01,578878
1740114000,102.79,102.79,96.03,96.65,456269
1740373200,97.88,98.59,95.82,96.25,459489
1740459600,96.44,98.55,95.9,97.86,606886
1740546000,98.34,101.35,98.34,100.68,565373
1740632400,100.84,101.34,97.62,97.94,366811
1740718800,97.5,99.4,97.1,98.91,397201
1740978000,99.44,101.47,95.205,96.45,418773
1741064400,93.26,93.99,89.05,91.19,766620
1741150800,91.49,93.5,90.95,92.91,466449
1741237200,91.69,92.23,88.58,89.14,506727
1741323600,88.33,89.23,85.35,88.07,645533
1741579200,85.5,85.705,80.37,81.46,832730
1741665600,81.46,85.17,80.76,83.48,683568
1741752000,84.95,86.09,81,82.99,654683
1741838400,83.17,84.71,81.15,83.9,461691
1741924800,84.6,87.6,83.535,87.33,466757
1742184000,86.04,89.1,86.025,88.37,491693
1742270400,87.74,87.89,85.16,86.81,610199
1742356800,86.82,91,86.6801,90.45,456716
1742443200,88.48,91.3,88.48,90.39,401823
1742529600,88.93,91.6079,88.42,91.12,2060307
1742788800,93,95.85,92.615,95.59,656187
1742875200,95.96,96.81,93.95,94.16,406131
1742961600,94.24,94.715,92.13,93.32,310542
1743048000,93.13,93.13,90.46,90.65,359528
1743134400,90.74,90.745,87.53,88.76,410795
1743393600,86.47,87.9,83.9,87.37,534270
1743480000,86.6,88.46,85.1067,88.1,434238
1743566400,85.9,91.02,85.83,90.83,373325
1743652800,84.43,86,83.15,84.52,518535
1743739200,79.7,81.55,76.8047,80.23,647032
1743998400,76.13,84.39,74.7044,79.64,689620
1744084800,84.35,85.195,78.14,79.41,596390
1744171200,78.96,92.18,78.72,90.29,737005
1744257600,86.92,87.3,83.24,84.67,431568
1744344000,84.59,86.465,83.15,86.31,362544
1744603200,88.05,88.05,84.685,85.1,332805
1744689600,85.02,87.9,85.02,85.48,543757
1744776000,86,86.67,83.72,85.71,356572
1744862400,85.61,86.61,84.5,85.38,300637
1745208000,84.07,85.07,82.1423,83.45,296170
