T,O,H,L,C,V
1713844800,67.62,69.35,67.62,68.58,449108
1713931200,68.17,68.94,68.17,68.52,394159
1714017600,67.49,68.27,66.695,67.66,641121
1714104000,68.19,68.19,66.91,67.75,627536
1714363200,68.21,69.87,68.02,68.46,792821
1714449600,68.27,69.24,67.32,68.54,1914560
1714536000,70,73.38,64.57,68.24,1746474
1714622400,67.55,69.4,66.615,68.67,861523
1714708800,70.56,70.94,69.475,70.54,937423
1714968000,71.71,72.61,70.58,71.43,604626
1715054400,71.55,72.05,68.8602,69.21,705184
1715140800,67.76,68.28,66.41,66.54,1033496
1715227200,66.84,68.79,66.62,68.23,1139121
1715313600,67.82,68.72,67.02,68.68,619386
1715572800,69.39,70.29,68.7501,69.76,805915
1715659200,70.56,71.3,69.82,70.82,714032
1715745600,71.89,72.02,69.3,69.44,623368
1715832000,69.14,69.53,68.5,69.24,602020
1715918400,69.21,69.44,68.035,68.19,535056
1716177600,68.46,69.56,68.2,69.06,504149
1716264000,68.72,69.14,67.67,68.1,664642
1716350400,67.51,68.53,65.96,66.44,929644
1716436800,65.99,66.24,64,64.95,1288192
1716523200,65.69,65.91,65.15,65.51,440765
1716868800,65.71,66.69,64.555,64.68,728121
1716955200,64,65.99,63.965,65.7,1082937
1717041600,66.03,67.56,66.03,66.94,855718
1717128000,67.13,69.7499,66.79,69.69,824732
1717387200,68.58,68.76,62.71,64.3,1670154
1717473600,63.6,64.42,62.76,63.78,751722
1717560000,64,65.56,63.31,65.31,1470880
1717646400,65.52,68.46,64.19,67.53,1451179
1717732800,66.05,68.48,65.65,68.21,836042
1717992000,67.46,69.22,67.32,67.81,1261660
1718078400,67.39,68.29,66.85,68.16,579201
1718164800,70.03,71.05,67.18,67.57,839954
1718251200,67.33,68.2,66.26,67.82,505428
1718337600,67.01,68.18,65.47,66.38,563302
1718596800,65.7,65.99,63.95,64.41,1165454
1718683200,64.41,65.41,63.93,64.4,611288
1718856000,64.02,65.0768,63.5189,64.38,593107
1718942400,64.35,67.84,64.062,67.04,4216998
1719201600,66.78,67.66,66.315,67.06,1109291
1719288000,67.08,67.1915,65.16,65.87,612280
1719374400,65.88,67.15,65.51,66.89,698294
1719460800,67,67.22,65.88,66.85,597463
1719547200,66.93,66.99,64.66,65.06,1844064
1719806400,65.06,65.79,63.46,63.49,773752
1719892800,63.63,64.4,62.87,63.35,854235
1719979200,63.62,65.1684,63.47,63.51,360309
1720152000,63.13,63.13,61.84,62.71,616603
1720411200,63,63.7,62.02,62.19,580814
1720497600,62.23,62.49,60.92,61.06,509467
1720584000,61.6,62.13,60.06,61.29,768139
1720670400,62.85,64,62.02,63.85,1025895
1720756800,63.59,65.325,63.49,63.55,970605
1721016000,63.36,63.785,61.86,62.03,1080122
1721102400,62.19,66.96,62.19,66.7,1603869
1721188800,66.05,67.67,65.75,67.24,1044276
1721275200,67.29,70,66.74,67.17,844976
1721361600,67.16,67.35,65.28,67.19,638495
1721620800,67.8,69.35,66.11,69.18,643870
1721707200,68.61,69.46,67.67,68.79,759337
1721793600,68.72,69.23,66.49,66.64,642445
1721880000,66.38,69.06,65.6501,68.32,593896
1721966400,69.84,71.15,69.465,70.61,1076704
1722225600,70.65,71.3,69.67,70.42,641144
1722312000,70.54,71.31,69.41,70.24,827283
1722398400,73,82.11,73,78.6,3960123
1722484800,78.5,79.7299,74.925,75.22,2209061
1722571200,73.64,73.64,70.32,71.66,1168588
1722830400,68.2,71.41,67.98,70.71,1495390
1722916800,70.55,72.57,69.26,70.55,798083
1723003200,71.86,72.8,68.32,68.61,710432
1723089600,69.27,70.87,69,70.81,742073
1723176000,71.06,71.06,69.365,70.11,384365
1723435200,69.75,70.74,68.79,68.94,462742
1723521600,69.25,71.01,68.54,70.88,622750
1723608000,70.91,71.24,69.25,70.45,605263
1723694400,71.81,72.95,70.6,72.59,958372
1723780800,72.27,73.51,71.3601,72.28,604346
1724040000,72.28,72.75,71.7,72.37,442992
1724126400,72.24,72.5499,71.1,71.89,580460
1724212800,72.32,72.53,70.35,70.99,1184508
1724299200,71,71.41,69.77,69.98,718562
1724385600,69.9,72.72,69.54,71.78,412975
1724644800,72.2,73.05,71.65,72.32,549586
1724731200,71.73,71.97,69.665,71.09,702984
1724817600,70.53,71.72,70.53,70.69,937882
1724904000,70.92,71.91,70.18,71.03,329357
1724990400,71.2,71.78,69.77,70.98,454129
1725336000,70.01,70.7,69.21,70.54,537129
1725422400,70.34,71.7,69.84,69.88,424930
1725508800,70.1,70.21,68.75,68.88,796191
1725595200,68.84,69.26,67.68,67.82,440128
1725854400,67.9,68.43,67.33,67.43,527684
1725940800,67.4,68.01,66.81,67,518021
1726027200,66.64,67.3,65.45,66.35,558973
1726113600,66.42,67.03,65.36,66.46,585942
1726200000,67.23,70.165,67.195,69.74,624516
1726459200,69.76,70.8,68.93,70.52,511526
1726545600,70.87,72.12,70.06,71.83,370930
1726632000,72.09,75.14,71.8107,72.75,704041
1726718400,74.53,75.16,73.555,74.55,594182
1726804800,74.41,74.75,73,73.88,1464347
1727064000,73.94,78.34,73.475,77.92,1542874
1727150400,78.63,81.49,78.21,81.21,1241680
1727236800,81.62,81.62,80.2801,80.84,878765
1727323200,82,83.69,82,83.5,701059
1727409600,84.04,86.01,83.71,85.52,757187
1727668800,85.57,87.48,84.94,86.7,842326
1727755200,86.5,88.35,86.1049,86.71,968960
1727841600,86.7,87.39,85.7,87.11,622578
1727928000,86.58,87.4,86,86.55,693271
1728014400,87.5,87.575,83.04,83.36,759655
1728273600,83.19,84.79,82.54,84.07,703684
1728360000,83.56,85.38,83.46,85.3,497320
1728446400,85.01,85.93,84.045,85.19,578525
1728532800,85,86.49,84.23,84.99,462923
1728619200,85.22,86.5,84.6575,86.37,593727
1728878400,85.52,88.09,85.19,87.76,675664
1728964800,87.41,89.77,87.2197,89.01,695719
1729051200,90,91.09,89.58,89.8,583979
1729137600,90,90.01,88.72,89.46,408918
1729224000,89.44,90.5,88.37,90.14,440880
1729483200,90.17,90.555,89.26,89.84,386372
1729569600,89.03,89.32,85.86,86.75,526117
1729656000,86.22,87.82,86.13,86.59,328093
