T,O,H,L,C,V
1713844800,3.48,3.925,3.48,3.73,1754697
1713931200,3.74,3.8,3.56,3.59,1282702
1714017600,3.52,3.62,3.44,3.55,1407270
1714104000,3.63,3.9,3.52,3.86,1389104
1714363200,3.88,4.06,3.855,3.88,1457591
1714449600,3.88,4.06,3.845,3.93,1738105
1714536000,3.92,4.99,3.9,4.7,5653111
1714622400,4.68,4.68,3.95,4.06,3013687
1714708800,4.08,4.5,4.06,4.39,1862563
1714968000,4.4,4.57,4.32,4.47,1326982
1715054400,4.6,5.35,4.5,5.31,4802569
1715140800,5.29,5.39,4.94,4.96,2724963
1715227200,5.01,5.1582,4.645,4.78,2083819
1715313600,4.77,4.99,4.6,4.65,1781959
1715572800,4.6,5.08,4.51,4.8,2065715
1715659200,4.88,5.12,4.68,4.685,1667094
1715745600,4.81,4.8899,4.41,4.49,1836454
1715832000,4.47,4.64,4.41,4.51,1323617
1715918400,4.54,4.63,4.425,4.44,1180801
1716177600,4.43,4.57,4.425,4.54,963026
1716264000,4.52,4.61,4.35,4.39,1416219
1716350400,4.5,4.54,4.3,4.39,1191776
1716436800,4.41,4.43,4.25,4.32,1982758
1716523200,3.51,3.95,3.2,3.38,9177875
1716868800,3.38,3.38,2.1,2.39,13548499
1716955200,2.34,3.05,2.3,2.935,7866746
1717041600,2.85,11.25,2.64,10.92,31992340
1717128000,9.07,9.5,7.515,8.685,34333160
1717387200,9.84,9.94,8.72,8.84,22654986
1717473600,8.49,8.56,7.25,7.305,8205779
1717560000,7.32,8.08,7.21,8.04,5369452
1717646400,7.95,8.35,7.68,8.13,3322766
1717732800,7.96,8.475,7.61,7.72,3073112
1717992000,7.62,8.07,7.54,7.98,3120567
1718078400,7.9,8.1,7.52,7.54,2681423
1718164800,7.83,8.4,7.68,8.25,4355243
1718251200,8.22,8.468,7.99,8.09,1875109
1718337600,7.96,8.48,7.96,8.39,1870845
1718596800,8.39,8.77,7.6,7.9,3427474
1718683200,8,8.03,7.55,7.94,2174636
1718856000,7.94,8.22,7.73,7.8,2498439
1718942400,7.79,8.15,7.71,7.93,8348134
1719201600,8,8.4676,7.9,8,2822245
1719288000,7.93,8.49,7.91,8.01,2528126
1719374400,7.97,8.18,7.66,7.77,2164944
1719460800,7.77,7.94,7.65,7.87,1519471
1719547200,7.9,8.05,7.63,7.8,4583653
1719806400,7.84,8.31,7.81,8.14,2155909
1719892800,8.14,8.19,7.53,7.54,2668976
1719979200,7.7,7.74,6.78,6.89,2153379
1720152000,7.11,7.34,6.9,7.24,1973562
1720411200,7.3,7.62,7.23,7.55,1908486
1720497600,7.56,7.925,7.41,7.84,1394037
1720584000,7.89,8.32,7.89,8.29,2011149
1720670400,8.39,8.72,8.24,8.68,2611945
1720756800,8.74,8.8,8.355,8.55,1658241
1721016000,8.47,9.69,8.39,9.47,3345512
1721102400,9.53,9.78,9.06,9.12,2986560
1721188800,8.901,9.36,8.8,9.31,1897730
1721275200,9.51,10.05,9.41,9.75,2212419
1721361600,10.04,10.04,8.71,8.785,1977779
1721620800,8.89,10.09,8.8,9.96,2172853
1721707200,9.87,10.196,9.65,10.09,1447805
1721793600,9.99,10.398,9.902,9.98,1329888
1721880000,10.02,10.52,9.93,10.49,1502404
1721966400,10.65,11.69,10.6,11.55,3202033
1722225600,11.55,11.9,10.62,10.78,1937869
1722312000,10.9,11.5,10.44,10.69,1245762
1722398400,10.85,11.29,10.51,10.8,2579967
1722484800,10.84,11.07,10.53,10.66,1290088
1722571200,10.06,10.42,9.55,10.415,1915388
