T,O,H,L,C,V
1713844800,18.935,19.02,18.907,19.01,22183
1713931200,18.96,19.02,18.9,19.02,14331
1714017600,18.78,19.12,18.71,19.11,78455
1714104000,19.85,20.21,19.85,20.13,51558
1714363200,20.22,20.49,20.22,20.47,18748
1714449600,20.83,20.83,20.5,20.55,27222
1714536000,20.6,21.01,20.56,20.56,11032
1714622400,20.94,20.94,20.57,20.73,10418
1714708800,21.026,21.3,20.98,21.29,15004
1714968000,21.6325,21.67,21.515,21.57,27555
1715054400,21.65,21.7,21.39,21.43,28328
1715140800,23.73,24.1987,23.71,24.195,79150
1715227200,25.12,25.45,25.01,25.16,34371
1715313600,26.29,26.35,25.76,26.03,59281
1715572800,25.96,26.18,25.72,25.9,51457
1715659200,26.15,26.22,25.93,26.03,88167
1715745600,27.16,27.94,27.16,27.82,90584
1715832000,27.66,27.71,27.27,27.39,203986
1715918400,27.44,27.44,27.08,27.19,19047
1716177600,26.7,26.76,26.16,26.29,46516
1716264000,25.51,26,25.45,25.97,73296
1716350400,25.94,26.06,25.63,25.74,33595
1716436800,26.5,26.66,26.22,26.35,53296
1716523200,26.91,27.7,26.91,27.7,106617
1716868800,29.105,29.19,28.76,29.01,52927
1716955200,27.98,27.98,27.62,27.88,39144
1717041600,28.165,28.22,28.05,28.05,14948
1717128000,27.69,27.78,26.74,27.1,100826
1717387200,27.66,27.77,27.31,27.52,28090
1717473600,25.93,26.14,25.19,26.1,42507
1717560000,25.98,26.1,25.7525,26.1,22113
1717646400,25.47,25.47,24.93,25.13,38439
1717732800,24.59,24.9,24.59,24.67,28832
1717992000,24.55,25.31,24.45,25.22,18952
1718078400,24.96,25.1,24.81,25.08,19317
1718164800,25.94,26.08,25.74,25.94,17707
1718251200,25.5,25.5,24.96,25.02,24674
1718337600,24.72,24.84,24.38,24.81,18999
1718596800,24.81,25.1,24.58,25.1,44658
1718683200,25.17,25.59,25.17,25.44,22757
1718856000,26,26.7588,26,26.65,11057
1718942400,25.44,25.5,24.95,25.24,16419
1719201600,26.25,26.4,26.07,26.18,18868
1719288000,26,26.16,25.85,26.12,26281
1719374400,26.1025,26.15,25.94,26.12,16892
1719460800,26.28,26.4292,26.17,26.42,15558
1719547200,25.89,26.2,25.83,25.865,12815
1719806400,25.81,26,25.8,25.924,10887
1719892800,27.01,27.13,26.65,26.97,29584
1719979200,27.4,28.04,27.35,28.01,17014
1720152000,28.6,28.6,28.34,28.53,181587
1720411200,28.98,29.01,28.87,29.01,12607
1720497600,28.98,28.98,28.64,28.82,29625
1720584000,29.13,29.54,29.13,29.54,24641
1720670400,29.88,30.16,29.81,30.09,26484
1720756800,29.95,30.2983,29.87,30.11,34751
1721016000,28.99,29.03,28.5,28.5,39510
1721102400,28.82,29.16,28.69,29.1,36170
1721188800,27.85,28.185,27.6,27.74,77048
1721275200,27.52,27.52,26.794,26.93,46397
1721361600,27.59,27.68,27.5,27.66,13642
1721620800,28.41,28.41,28.105,28.28,19960
1721707200,28.1,28.51,28.1,28.4,14705
1721793600,27.81,28.226,27.69,27.69,18534
1721880000,26.7,27.12,25.91,26.89,49180
1721966400,27.31,27.65,27.29,27.45,150397
1722225600,27.6,27.625,27.09,27.28,15970
1722312000,27.97,27.99,27.23,27.42,37025
1722398400,28.67,29.19,28.62,28.95,85667
1722484800,28.39,28.76,27.93,28,20593
1722571200,26.23,26.4292,25.95,26.4175,28846
1722916800,26.06,27.07,26.06,26.66,43753
1723003200,26.82,27.02,26.11,26.11,28252
