T,O,H,L,C,V
1713844800,32.68,33.98,32.4,33.81,1986241
1713931200,33.37,34.4,33.13,34.34,1095983
1714017600,34.47,35.44,34.42,34.62,1213558
1714104000,34.24,34.74,34.23,34.4,611141
1714363200,34.52,34.65,34.07,34.25,543851
1714449600,34.66,37.09,34.15,36.45,2578379
1714536000,36.29,36.96,35.88,36.75,1371791
1714622400,36.75,37.12,36.48,37.03,909960
1714708800,37.21,37.5,36.63,37.34,789358
1714968000,37.36,37.63,36.39,36.77,853672
1715054400,36.94,37.58,36.94,37.3,716056
1715140800,37,37.57,37,37.3,521765
1715227200,37.36,37.6,36.91,37.58,556997
1715313600,37.59,38.42,37.585,37.71,723264
1715572800,37.65,38.22,37.49,38.14,422194
1715659200,38.25,38.825,37.69,37.85,599617
1715745600,37.97,37.97,36.91,37.15,710878
1715832000,37.27,37.64,36.98,37.5,537333
1715918400,37.43,37.55,36.85,37.53,908347
1716177600,37.48,37.99,37.23,37.74,601542
1716264000,37.73,37.87,37.18,37.79,573759
1716350400,37.63,37.77,37.44,37.49,507405
1716436800,37.42,37.51,36.99,37.12,532718
1716523200,37.31,37.315,36.93,37.21,436440
1716868800,37.12,37.52,36.47,36.96,541581
1716955200,36.8,37.08,36.66,36.74,486941
1717041600,37.11,37.96,36.96,37.63,665888
1717128000,37.58,38.57,37.58,38.49,607666
1717387200,38.48,38.84,37.6,37.75,758383
1717473600,37.77,37.785,37.12,37.56,614318
1717560000,37.56,37.565,37.14,37.35,348419
1717646400,37.22,37.55,37.06,37.1,321274
1717732800,36.92,37.4,36.79,37.18,422382
1717992000,36.87,36.88,35.96,36.74,491673
1718078400,36.55,37.05,36.13,37.03,505951
1718164800,37.27,37.27,36.64,36.75,777781
1718251200,36.67,36.82,36.34,36.6,427159
1718337600,36.67,36.94,36.33,36.42,506164
1718596800,36.47,36.59,35.89,36.09,707074
1718683200,35.95,36.66,35.74,36.5,633226
1718856000,36.34,36.78,36.173,36.29,541273
1718942400,36.26,37.07,36.17,36.94,1283620
1719201600,37.04,37.3,36.59,36.76,915147
1719288000,36.86,37.43,36.35,37.02,1006607
1719374400,36.73,36.91,36.1,36.16,1284168
1719460800,38.27,38.44,35.23,35.69,1761461
1719547200,35.79,36.33,35.53,36.13,1687447
1719806400,36.11,36.4,35.42,35.77,817601
1719892800,36.19,36.19,35.46,35.8,813649
1719979200,35.65,35.96,35.44,35.87,422812
1720152000,35.85,36.36,35.62,36.22,910875
1720411200,36.22,36.43,35.87,35.96,799463
1720497600,35.91,36.05,35.58,35.84,731283
1720584000,35.9,36.29,35.81,36.19,695280
1720670400,36.32,37.05,36.2,36.66,847150
1720756800,37.04,37.24,36.61,36.66,684558
1721016000,36.82,37.27,36.19,36.58,1382287
1721102400,36.86,37.32,36.46,37.18,834959
1721188800,37.3,38.08,36.72,37.01,1133656
1721275200,36.95,37.87,36.715,37.21,1458274
1721361600,37.44,37.44,35.57,35.89,828486
1721620800,35.79,35.79,34.05,34.95,1465372
1721707200,34.95,35.25,33.48,33.55,1498800
1721793600,33.58,34.15,33.33,33.45,1125753
1721880000,33.7,33.99,33.15,33.16,1394113
1721966400,33.41,33.96,33.35,33.77,1160664
1722225600,34.03,34.605,33.93,34.49,877538
1722312000,34.22,34.43,33.975,34.08,575271
1722398400,34.29,34.49,33.85,33.92,916328
1722484800,33.87,34.46,33.75,34.03,854717
1722571200,33.76,34.27,33.6,34.14,1549309
1722830400,33.89,34.04,32.21,32.22,1207757
1722916800,32.24,32.46,31.82,32.11,891329
1723003200,32.34,32.62,32.09,32.34,669829
1723089600,32.38,32.74,31.86,32.02,613915
1723176000,32,32.775,31.64,32.57,732968
1723435200,32.44,32.595,31.89,32.2,875434
1723521600,32.33,32.74,32.14,32.53,569519
1723608000,32.5,33.495,32.5,33,603412
1723694400,33.51,33.87,33.06,33.27,911778
1723780800,33.29,33.73,32.59,32.96,785511
1724040000,33.07,33.14,32.61,32.76,1014810
1724126400,32.68,32.805,32.225,32.47,669738
1724212800,33,33.075,32.61,32.89,758159
1724299200,32.81,32.855,31.79,31.86,839602
1724385600,32.05,32.41,31.89,31.96,912209
1724644800,32.22,32.35,31.61,31.7,762437
1724731200,31.84,32.39,31.58,32.17,1143918
1724817600,32.23,32.235,31.52,31.78,961567
1724904000,31.9,31.9,31.25,31.31,965382
1724990400,31.41,31.68,31.3,31.59,849906
1725336000,31.4,32.559,31.36,32.29,1155258
1725422400,32.2,32.849,32.2,32.75,1002406
