T,O,H,L,C,V
1713844800,32.53,33.9214,31.79,32.64,4529111
1713931200,33.59,33.93,32.655,33.9,2794688
1714017600,33.46,35.0955,33.29,34.7,1990618
1714104000,35,35.93,34.21,35.77,1651387
1714363200,36,37.08,35.2603,37.05,2260521
1714449600,36.68,38.45,36.53,37.62,3074547
1714536000,36.69,39.09,36.22,37.64,2623999
1714622400,38.36,38.76,36.75,38.68,2295785
1714708800,39.29,39.69,38.65,39.01,1399483
1714968000,39.48,39.92,39.02,39.71,1181060
1715054400,39.88,40.19,39.42,39.81,1151956
1715140800,39.73,41.36,39.51,40.85,1609428
1715227200,40.92,41.11,38.37,39,1741636
1715313600,39.28,40.04,39.09,39.59,1098654
1715572800,39.6,39.87,38.57,38.64,1028134
1715659200,38.75,40.13,38.51,39.4,1158891
1715745600,39.92,40.365,38.52,39.96,1170682
1715832000,39.93,40.76,39.79,39.84,906346
1715918400,39.92,40.82,39.77,39.95,817472
1716177600,40.07,40.59,39.48,40.21,825214
1716264000,39.54,41.62,39.5,40.62,1587730
1716350400,40.91,41.33,39.62,39.88,953540
1716436800,40.8,40.96,38.7,39.38,1016488
1716523200,40.01,40.71,39.77,40.25,536769
1716868800,40.74,41.39,40.18,40.54,875795
1716955200,40.37,42.61,40.01,40.59,1406994
1717041600,40.25,40.7099,38.21,38.91,1651224
1717128000,39.2,40,38.18,38.89,2092334
1717387200,40.33,40.5644,37.71,38.18,1820598
1717473600,37.94,38.1,37.01,37.38,2239516
1717560000,37.92,38.83,37.5,38.68,2310477
1717646400,44.33,46.86,37.51,37.98,6638688
1717732800,30.17,31.9961,27.52,31.18,11935475
1717992000,31.31,33.15,30,31.97,3627064
1718078400,31.57,32.5299,30.615,31,2301820
1718164800,31.56,32.23,30.06,30.37,3164449
1718251200,30.38,30.51,29.33,29.72,2548591
1718337600,29.09,29.78,28.8852,29.53,1300916
1718596800,29.53,30.85,29.41,30.75,1289347
1718683200,30.7,30.7001,29.32,29.5,1583075
1718856000,29.44,29.75,28.98,29.48,1049937
1718942400,29.3,30.365,28.88,30.14,2211301
1719201600,29.86,30.13,29.27,29.34,991880
1719288000,29.43,30.08,28.97,29.76,931747
1719374400,29.75,30.62,29.28,29.47,2056186
1719460800,29.51,29.54,28.29,28.69,1589396
1719547200,28.95,30.4,28.95,29.88,3923016
1719806400,29.93,31.51,29.44,31.5,1513615
1719892800,31.62,32.86,31.315,32.79,1390368
1719979200,33.03,33.11,32.08,32.28,708202
1720152000,32.39,33.62,32.12,33.02,865109
1720411200,33.28,34.31,33.16,33.82,1703269
1720497600,34.07,34.5,33.3,33.7,1096870
1720584000,34.13,35.28,33.7101,35.14,947553
1720670400,35.65,37.47,35.58,36.9,2133512
1720756800,36.22,37,35.51,35.86,2453801
1721016000,36.28,36.92,35.03,36.45,1736690
1721102400,36.66,36.81,34.93,36.33,1490615
1721188800,35,35.08,32.5,33.04,2407123
1721275200,33.51,33.75,31.85,32.46,1348444
1721361600,32.33,32.33,31.34,31.66,1284409
1721620800,32.44,33.14,31.57,33.05,1283470
1721707200,32.49,33.89,32.34,33.41,749739
1721793600,32.53,33.34,32.03,32.11,960668
1721880000,32.21,32.21,28.64,28.91,4252799
1721966400,29.53,31.03,29.29,30.99,1733151
1722225600,31.62,32.1,31.185,31.65,1054340
1722312000,31.81,31.94,30.04,30.16,1549813
1722398400,31.15,32.68,30.83,31.72,2071033
1722484800,31.56,31.865,29.99,30.81,1796534
1722571200,29.35,31.07,29.26,30.49,1477526
1722830400,28,29.34,27.56,28,2864526
1722916800,28.09,29.42,27.675,28.79,1581791
1723003200,29.69,29.89,27.25,27.61,1355740
1723089600,28.25,29.675,27.865,29.64,1973116
1723176000,29.39,30.41,29.2006,30.25,1481295
1723435200,30.28,30.69,29.45,30.08,1403171
1723521600,30.56,33.74,30.5194,33.34,2208007
1723608000,34,34.04,32.59,33.42,1444921
1723694400,34.52,36.28,34.32,35.96,1447394
1723780800,35.9,36.58,35.55,35.9,1144220
1724040000,35.94,36.03,34.8301,36,1082121
1724126400,35.81,36.6,35.38,36.34,779288
1724212800,36.89,37.21,36.04,36.44,1206842
1724299200,36.59,36.83,35.24,35.3,931280
1724385600,36.17,36.93,35.68,36.91,1314162
1724644800,36.89,37.55,36.3811,37.03,1115332
1724731200,36.66,38.515,36.02,38.16,2476546
1724817600,40.5,42.75,37.51,42.43,5826192
1724904000,42.4,43.92,41.95,43.53,3069362
1724990400,44.39,45.21,43.55,43.82,2381263
1725336000,42.8,43.29,41.415,41.58,1868259
1725422400,41.03,43.38,40.67,42.48,1542460
1725508800,41.56,43.13,41.21,42.17,1699931
1725595200,42.58,42.66,39.15,39.46,1729815
1725854400,39.5,41.15,39.48,40.11,1274193
1725940800,40.39,40.44,38.69,39.35,848054
1726027200,39.57,40.88,39.1,40.7,1402098
1726113600,40.76,41.56,40.32,40.59,912324
1726200000,41.17,41.79,40.8,41.63,1056914
1726459200,41,41.44,39.56,40.06,964486
1726545600,40.76,42.755,40.44,42.47,1348064
1726632000,42.47,45.04,42.18,44.03,2373141
1726718400,45.61,47.49,44.345,46.09,3706301
1726804800,46.14,46.69,45.5,46,5623999
1727064000,46.12,46.25,44.3,46.22,1161182
1727150400,46.87,47.81,46.33,47.6,1332448
1727236800,47.36,48.24,46.92,47.47,1153184
1727323200,49.2,49.53,46.7,47.4,1528353
1727409600,47.5,47.6689,45.88,46.35,824137
1727668800,45.57,46.69,44.65,45.66,1507809
1727755200,45.53,45.68,41.92,42.08,2184874
1727841600,41.85,43.31,40.59,41.06,2896908
1727928000,40.56,41.18,39.435,40.58,2067425
1728014400,41.35,42.7,41.275,41.68,1615611
1728273600,41.27,43.42,41.27,43.36,2283734
1728360000,43.69,44.22,42.4,42.43,1329325
1728446400,42.52,43.045,40.63,41.14,1557907
1728532800,40.85,42.62,40.74,42.57,1831036
1728619200,42.38,44.605,42.15,44,1130909
1728878400,44.39,45.65,44.061,45.38,1341175
1728964800,45.28,46.04,43.645,44.14,1528845
1729051200,44.86,45.795,43.36,45.02,1051807
1729137600,45.77,46.769,43.95,43.96,1557573
1729224000,44.13,44.5699,41.94,43.88,1375641
1729483200,43.875,44.397,43.04,43.95,726258
1729569600,43.84,45.37,43.47,44.07,930220
1729656000,43.85,45.39,43.74,44.8,748235
1729742400,44.82,45.02,43.9,44.11,979577
1729828800,44.55,46.19,43.9001,45.47,1037580
1730088000,45.56,46.315,44.895,44.97,652544
1730174400,44.73,48.09,44.5109,47.76,1533865
1730260800,46.85,48.15,46.1083,46.84,1088792
1730347200,46.17,46.26,44.02,44.19,1439704
1730433600,44.47,45.82,44.33,44.54,815389
1730696400,44.4,44.8,43.07,43.92,556076
1730782800,43.94,47.24,43.75,47.04,1230746
1730869200,48.11,49.8498,47.55,47.74,1270725
1730955600,48.26,50.62,48.005,50.58,1358125
1731042000,50.86,52.98,50.25,52.82,1206421
1731301200,52.81,53.22,49.9,50.68,1031939
1731387600,50.36,50.72,48.57,49.22,652420
1731474000,49.03,50.2,48.41,49.01,1018298
1731560400,49.52,50.5,47.0839,47.33,1126158
1731646800,46.92,46.92,43.3,44.1,1881679
1731906000,43.78,46.2,43.78,45.84,857177
1731992400,45.26,48.11,45.185,47.24,1144767
1732078800,47.5,49.26,46.3201,49.17,773167
1732165200,49.37,52.25,49.37,50.9,1219676
1732251600,50.8,52.17,49.9,50.89,1613782
1732510800,52.37,53.74,51.5,53.44,3896707
1732597200,63.5,66.64,57.51,63.11,6885047
1732683600,62.75,65.12,61.4,64.2,2766536
1732856400,64.69,65.33,62.75,64.04,1113717
1733115600,64.61,64.97,61.74,62.68,1752521
1733202000,62.79,67,61.34,66.95,1812406
1733288400,68,70.27,66.05,69.1,2497611
1733374800,66.46,68.1955,64.62,65.38,2198098
1733461200,65.8,67.32,63,66.12,6944777
1733720400,65.3,66.25,62.52,64.94,5414519
1733806800,63.98,65.08,61.46,62.9,3407134
1733893200,63.31,64.54,61.29,64.11,1334875
1733979600,64.01,65.96,63,64.54,1207362
1734066000,66.05,68.9599,64.74,65.15,2039799
1734325200,66.05,68.87,65.7201,68.27,2022437
1734411600,67.915,67.915,64.13,65.73,2191453
1734498000,66.71,67.02,61.73,62.92,1584956
1734584400,63.41,64.17,62.29,63.58,1538238
1734670800,62.33,65.73,62.26,63.55,3671350
1734930000,64.2,64.66,62,62.88,1055694
1735016400,63.85,64.75,63.16,64.49,350851
1735189200,63.95,66.28,63.13,65.67,751149
1735275600,65.01,65.15,62.1,63.33,1011189
1735534800,62.02,63.02,61.14,61.7,870175
1735621200,62.36,62.8,61.19,61.85,804192
1735794000,62.53,63.4278,61.37,62.1,1006027
1735880400,63.2,66.31,62.72,66.13,1773543
1736139600,68,68.2487,66.44,67.49,1185387
1736226000,67.61,68.8,64.5,65.15,1101360
1736312400,64,67.66,63.59,67.6,1305321
1736485200,65.9,66.78,63.9592,66.15,1503362
1736744400,64.01,66.22,63.15,65.35,1002836
1736830800,67.1,67.83,64.37,64.48,936006
1736917200,66.94,73.96,66.22,72.51,4270844
1737003600,72.66,72.87,67.7,68.93,3401476
1737090000,71.5,75.7527,70.64,75,2812384
1737435600,76.23,77.24,73.78,77.15,1643400
1737522000,78.89,79.5225,75.17,75.995,1694438
1737608400,74.88,76.59,74,75.91,1316269
1737694800,75.75,75.93,72.96,73.02,1055540
1737954000,65.495,66,53.25,57.33,5370398
1738040400,58.225,61.18,57.751,61.11,2704270
1738126800,61.22,61.3101,58.7,60.3,1724387
1738213200,62.47,67.93,62.415,67.69,2460331
1738299600,68.32,69.12,64.84,66.96,2342030
1738558800,63.24,65.57,62.31,63.46,1519079
1738645200,63.54,66.3,63.54,66.22,1923327
1738731600,66.19,67.845,64.6,66.46,1121269
1738818000,66.25,66.5,60.17,60.5,2730879
1738904400,58.56,58.9522,50.57,54.51,7260275
1739163600,39.99,40.3,36,37.6,19354373
1739250000,37.19,38.22,35.965,38.18,5847295
1739336400,36.9,37.665,35.91,36.65,4107638
1739422800,36.93,37.515,36.13,36.73,2409963
1739509200,36.87,37.43,36.1101,37.38,2182462
1739854800,37.47,37.76,36.25,37.05,2337228
1739941200,37.34,38.09,37.03,37.89,2514949
1740027600,37.99,39.86,37.91,38.71,2637309
1740114000,38.925,39.4,37.07,37.1,2267594
1740373200,37.01,37.47,35.2659,36.67,1992422
1740459600,36.5,37.43,35.69,36.82,1527560
1740546000,37.52,39.23,37.3,38.88,2385011
1740632400,39.7,39.7,34.95,35.06,2066427
1740718800,34.725,38.595,34.25,38.19,3175269
1740978000,38.71,38.9,34.96,35.58,2369457
1741064400,35.43,37.22,34.6,36.05,2129978
1741150800,36.41,37.28,35.5099,36.84,1481081
1741237200,35.26,36.14,32.26,32.33,2839000
1741323600,32.54,33.55,29.9807,33.5,4056944
1741579200,32.6,33.3367,31.03,31.44,2823592
1741665600,32.35,33.18,31.535,32.2,2927257
1741752000,33.56,34.31,32.35,33.85,2956686
1741838400,33.74,33.83,32.19,32.71,3298105
1741924800,37.26,39.78,35.45,39.6,8103943
1742184000,39.94,40.595,38.14,39.43,3619522
1742270400,39.54,39.75,38.01,38.65,2176495
1742356800,38.97,42.34,38.7,41.61,3184942
1742443200,40.99,41.72,40.38,40.64,2596205
1742529600,39.67,40.16,39.11,39.62,3375576
1742788800,40.39,41.4899,40.16,40.34,1470094
1742875200,40.2,40.53,39.41,40.07,1768922
1742961600,39.82,40.2,38.07,38.69,1513425
1743048000,37.92,38.6,36.9104,36.95,1889323
1743134400,36.55,36.86,34.62,35.05,2156136
1743393600,33.79,34.65,32.54,34.4,2855509
1743480000,34.795,35.13,33.56,34.86,2320736
1743566400,33.8,37.36,33.76,36.62,1691853
1743652800,33.57,34,29.56,29.71,4204895
1743739200,27.82,28.23,25.17,28.01,3816682
1743998400,26.01,31.1,25.59,28.31,3018061
1744084800,30.285,30.56,24.715,25.86,4084937
1744171200,26.22,30.71,25.4,29.98,4553833
1744257600,28.72,29.1399,26.58,27,3226893
1744344000,27,27.245,25.54,26.6,3042508
1744603200,27.675,28.31,26.425,27,2464746
1744689600,26.93,28.08,26.93,27.3,1593863
1744776000,26,26.63,25.4,25.99,2808702
1744862400,26.09,26.8,25.75,26.24,1919586
1745208000,25.23,25.74,24.05,24.34,2504958
