T,O,H,L,C,V
1713844800,62.35,62.78,61.68,62.55,540854
1713931200,62.84,63.51,62.39,62.93,468029
1714017600,63.03,63.28,61.58,62.79,454389
1714104000,63.47,64.68,63.255,63.84,694943
1714363200,63.92,65.0999,63.92,64.95,598295
1714449600,64.49,64.7027,63.12,64.28,1288966
1714536000,64.05,64.74,63.8,64.12,1232059
1714622400,64.81,65.67,64,65.12,1060502
1714708800,65.18,66.99,65.06,66.08,918174
1714968000,66.64,67.16,65.88,65.98,1156672
1715054400,66.18,67.27,65.55,66.93,1016459
1715140800,66.45,67.47,65.96,67.03,1559098
1715227200,70.17,72.5,69,71.35,3892546
1715313600,71.88,72.57,70.52,71.84,1433578
1715572800,72.21,72.465,69.755,70.38,1015732
1715659200,70.5,71.57,70.43,71.4,545225
1715745600,71.71,73.97,71.61,72.13,1585526
1715832000,72.85,74.65,72.245,73.2,1651660
1715918400,72.99,74.77,72.84,74.46,910769
1716177600,74.71,77.43,74.58,76.26,1122778
1716264000,76.31,77.75,75.8,77.41,1316781
1716350400,78,78.9,74.77,75.19,1131428
1716436800,75.64,76.2099,74.56,75.16,858331
1716523200,75.64,77.14,75.17,76.88,474118
1716868800,77.38,77.67,74.425,74.89,1366594
1716955200,74.86,76.42,74.65,75.46,700571
1717041600,75.31,77.62,75.31,76.31,798744
1717128000,76.39,76.985,75.17,76.62,545350
1717387200,76.81,78.785,76.76,77.43,1121327
1717473600,76.83,78.09,75.84,76.12,1365925
1717560000,76.59,79.02,76.345,79.01,1207002
1717646400,79.4,80.42,75.3277,75.93,1513608
1717732800,75.93,76.49,74.43,75.8,1220294
1717992000,74.94,75.95,73.36,75.25,1163738
1718078400,75.58,75.79,74.44,75.28,783257
1718164800,76,77.84,75.62,77.29,853903
1718251200,77.4,79.625,76.27,78.89,1066171
1718337600,77.88,78.93,77.25,78.32,472119
1718596800,78.66,80.81,78.46,79.9,904855
1718683200,79.82,80.19,79.1,79.49,572543
1718856000,79.67,80.25,77.1701,77.73,752774
1718942400,77.91,79.19,77.0443,79.09,827876
1719201600,79.05,80.04,78,78.68,784055
1719288000,78.44,79.26,76.7,77.25,1112562
1719374400,77.03,78.86,76.46,77.2,762325
1719460800,77.57,78,75,76.01,1005937
1719547200,76.1,76.91,74.97,75.15,5079488
1719806400,75.33,78.13,74.9,77.18,1392502
1719892800,76.69,77.21,75.16,75.22,676704
1719979200,75.22,76.4,74.72,75.68,440513
1720152000,75.87,76.5,73.1118,73.93,1008500
1720411200,74.1,74.6083,73.13,73.93,826098
1720497600,74.05,74.3999,70.64,70.85,2172297
1720584000,71,71.72,70.4401,71.42,888097
1720670400,72,73.45,71.76,73.28,1037009
1720756800,73.49,74.71,73.3,73.84,946605
1721016000,73.83,74.95,73.05,73.57,974490
1721102400,74,74,72.545,73.84,1222524
1721188800,73.46,73.82,71.18,71.88,1169102
1721275200,72.19,73.48,71.16,72,630083
1721361600,72.16,72.5088,71.201,71.27,671786
1721620800,71.71,72.89,71.09,71.84,995961
1721707200,72.88,73.7,71.52,71.81,995238
1721793600,71.43,72.96,70.82,71.22,692517
1721880000,71.25,72,70.03,70.89,1035501
1721966400,71.76,73.78,71.445,73.74,1140520
1722225600,74.54,77.2,74.0979,76.66,1467806
1722312000,76.98,77.7299,76.02,76.83,1176719
1722398400,77.71,78.09,76.31,76.85,625275
1722484800,77.5,78.32,76.15,76.27,1015775
1722571200,74.67,75.44,71.1,75.29,1651111
1722830400,69.65,74.245,69.65,72.89,1107713
1722916800,72.96,74.55,72.51,73.71,596381
1723003200,75,75,72.31,72.99,1507352
1723089600,80.23,86.65,79,85.36,7140353
1723176000,88,91.43,87.2,87.64,3697541
1723435200,88.17,91.33,87.72,89.96,1581079
1723521600,91.69,91.76,89.52,89.94,1329928
1723608000,90.75,90.75,88.45,89.15,1184547
1723694400,89.65,91.5,89.2,91.4,1321184
1723780800,91.3,92.105,90.5,91.08,1223045
1724040000,91.08,91.6,89.51,90.39,850339
1724126400,90.52,91.05,88.93,89.21,751773
1724212800,89.34,92.47,88.87,91.35,1202479
1724299200,91.32,92.39,90.05,90.15,642827
1724385600,90.51,90.525,88,89.85,900171
1724644800,90,90.4899,88.74,89.3,637559
1724731200,88.25,91.9698,88,90.55,1635332
1724817600,90.11,91.81,89.29,89.72,774773
1724904000,89.37,94.19,89.02,91.91,1575142
1724990400,92.47,95.9,92.47,95.82,2090478
1725336000,96.05,96.73,93.03,95.17,2169732
1725422400,96.5,98.3299,95.5,98.12,2597522
1725508800,97.7,98.54,96.69,97.34,2130642
1725595200,97.2,98.085,94.0532,94.7,1548194
1725854400,95.51,97.15,94.3012,96.63,1230781
1725940800,97,98.29,94.995,96.3,697116
1726027200,96.18,99.26,95.11,99.01,1604973
1726113600,100,102.17,99.5,101.8,2010538
1726200000,101.76,104.13,101.58,103.24,1112468
1726459200,103.47,104.5,102.74,103.56,708864
1726545600,103.92,104.5,101.91,103.47,1075111
1726632000,103.21,106.26,102.76,104.99,865077
1726718400,107.8,108.68,104.57,106.86,985796
1726804800,106.97,107.57,105.14,105.77,1357280
1727064000,106.22,106.22,103.53,104.86,770854
1727150400,106.55,107.8899,105.6223,106.39,1166663
1727236800,106.5,106.9,105.51,105.96,1076461
1727323200,106.69,106.69,104.19,106,778508
1727409600,105.66,106.64,105.51,106,1304366
1727668800,107,108.985,106.92,108.71,1383222
1727755200,109,109.97,106.68,107.94,1098071
1727841600,106.66,107.94,104.53,107.57,1071683
1727928000,107.93,109.41,107.16,109.05,1078618
1728014400,110,110.96,108.28,109.72,767623
1728273600,109.1,109.88,107.9,108.31,478883
1728360000,108.3,110.24,107.84,109.62,746506
1728446400,109.41,110.2899,108.77,109.27,850465
1728532800,108.58,109.13,108.01,108.2,586148
1728619200,108.1,108.67,107,107.3,1362893
1728878400,107.41,107.73,104.78,107.65,1619399
1728964800,107.42,109.07,107.25,107.93,874807
1729051200,108.13,108.59,104.91,105.12,1398899
1729137600,105.57,106.38,104.0001,106.07,1279045
1729224000,106.43,109.68,106.22,108.95,1317605
1729483200,108.79,110.18,108.29,109.86,868565
1729569600,108.8,110.67,108.57,109.48,763706
1729656000,111.16,112.65,107.95,109.53,1138075
1729742400,110.23,110.35,107.69,107.79,630320
1729828800,110.39,110.79,108.72,109.32,917211
1730088000,110,111.8,109.5,111.13,992201
1730174400,110.74,111.75,110.1,110.49,783477
1730260800,110.22,112.93,110.17,110.92,1804171
1730347200,100.62,100.65,90.2,92.21,7576832
1730433600,94.01,96.95,89.1,89.12,4760236
1730696400,89.85,92,89.616,91.25,2430962
1730782800,91.63,94.63,91.63,94,2158572
1730869200,89.16,92.63,85.95,92.1,4648512
1730955600,91.6,96.73,91.465,95.95,2875669
1731042000,97.89,104.42,97.58,104.29,2945103
1731301200,105.42,105.75,101.47,104.27,2384658
1731387600,104.51,104.9599,100.48,101.71,1323799
1731474000,102.94,103.43,101.1,102.11,1283128
1731560400,102.41,102.5601,100.03,101.3,789737
1731646800,100.32,101.39,100,100.88,957833
1731906000,100.64,100.94,98.1001,99.46,1415217
1731992400,98.62,100.6459,98.34,98.88,950823
1732078800,98.58,98.615,94.33,95.22,2240951
1732165200,94.66,100.67,92.37,100.44,2182057
1732251600,100,100.095,96.32,98.34,1810423
1732510800,99.25,103.6803,99.25,102.71,1447396
1732597200,102.14,102.245,98.47,99.27,989349
1732683600,99.9,99.95,97.45,98.07,907500
1732856400,98.8,100.83,98.39,100.55,325162
1733115600,100.28,102.7,98.3,98.33,874705
1733202000,98.37,99.97,98.34,98.87,629046
1733288400,99.91,106.59,99.395,105.45,1918138
1733374800,102.77,104.46,100.74,101.67,2000246
1733461200,103.225,104.22,99.16,100.87,1098258
1733720400,101.56,102.63,98.05,100.21,1082250
1733806800,98.96,101.895,98.96,99.43,845965
1733893200,100.62,103.36,99.67,101.63,818796
1733979600,101.51,102.44,100.56,101.04,778444
1734066000,101.25,102.95,99.1,99.67,634062
1734325200,100.94,103.18,99.72,101.66,877170
1734411600,100.87,103.56,99.98,100.89,623123
1734498000,100.39,100.885,94.19,94.92,2098690
1734584400,95.78,97.88,94.54,95.18,978042
1734670800,93.46,97.67,92.88,95.32,1620962
1734930000,95.35,96.875,94.5,95.97,596614
1735016400,95.71,98,95.71,97.9,351456
1735189200,97.11,99.62,96.2,98.54,480894
