T,O,H,L,C,V
1713844800,11.29,11.685,11.14,11.39,26017908
1713931200,11.325,11.48,10.96,11.08,32755892
1714017600,10.63,11.545,10.54,11.4,75962215
1714104000,14.48,14.94,13.78,14.55,159811902
1714363200,14.35,14.87,14.03,14.49,54071594
1714449600,14.48,15.36,14.3807,15.05,56020022
1714536000,15.1,16.1988,14.93,15.86,46923032
1714622400,16.02,16.31,15.71,16.3,28833549
1714708800,16.53,16.53,16.04,16.25,23896834
1714968000,16.39,16.97,16.09,16.84,32504082
1715054400,16.78,17.29,16.735,17.14,24966211
1715140800,16.39,16.98,16.33,16.74,31749037
1715227200,16.71,16.76,16.115,16.55,36751751
1715313600,16.58,16.6,15.84,16.01,26519469
1715572800,15.98,16.08,15.66,15.76,28884245
1715659200,15.71,15.89,15.38,15.62,29757469
1715745600,15.975,16.275,15.53,16.21,27499591
1715832000,16.03,16.175,15.75,16.02,21863050
1715918400,16.01,16.255,15.93,16.05,12200017
1716177600,16.17,16.65,16.17,16.43,22173591
1716264000,16.25,16.252,15.52,15.63,19987384
1716350400,15.66,15.92,15.5512,15.91,12894445
1716436800,15.96,15.97,15.12,15.18,16728675
1716523200,15.33,15.4897,15.15,15.22,9988932
1716868800,15.25,15.48,15.1738,15.32,13320758
1716955200,15.03,15.405,14.92,15.16,13769730
1717041600,15.15,15.39,14.81,15.17,14760927
1717128000,15.32,15.34,14.9,15.02,20044017
1717387200,15.37,15.44,15.11,15.32,18039003
1717473600,15.15,15.32,14.79,14.89,16105053
1717560000,15.125,15.38,15.075,15.2,21285672
1717646400,15.1,15.4,14.94,15.2,14519176
1717732800,15.2,15.61,14.95,15.59,27041466
1717992000,15.39,15.575,15.05,15.19,19258326
1718078400,15.13,15.6,15.0002,15.6,20771947
1718164800,15.8,16.173,15.7,15.87,16021620
1718251200,15.85,15.95,15.46,15.61,14274589
1718337600,15.51,15.69,15.33,15.59,8575941
1718596800,15.49,16.05,15.22,15.84,21176087
1718683200,15.7,16.04,15.49,15.8,16584117
1718856000,15.76,15.82,15.17,15.39,17256560
1718942400,15.38,15.595,15.25,15.51,27673879
1719201600,15.51,15.79,15.46,15.67,21115185
1719288000,15.92,16.77,15.68,16.71,24567176
1719374400,16.46,16.85,16.31,16.77,12905882
1719460800,16.88,17.03,16.56,16.57,12048443
1719547200,16.5,16.76,16.33,16.61,19872004
1719806400,16.43,16.53,15.63,16.02,17432472
1719892800,16.06,16.36,15.7,16.26,11636797
1719979200,16.25,16.4,15.57,15.75,11493237
1720152000,15.72,16.42,15.57,16.38,14257116
1720411200,16.44,16.5584,16.06,16.5,11438927
1720497600,16.5,16.87,16.45,16.75,12049768
1720584000,16.78,17.32,16.55,16.84,24202957
1720670400,16.88,17.33,16.11,16.37,23400895
1720756800,16.18,16.38,15.66,16.18,14584701
1721016000,16.42,16.515,15.985,16.21,12002019
1721102400,16.36,16.47,15.68,16.14,21440874
1721188800,15.74,15.75,14.35,14.57,36770413
1721275200,14.76,14.9079,14.34,14.57,14723733
1721361600,14.51,14.7399,14.36,14.4,12221198
1721620800,14.59,14.91,14.56,14.78,10957532
1721707200,15.16,15.35,14.31,14.33,22477921
1721793600,13.99,13.99,13.49,13.58,19952184
1721880000,13.57,13.78,13.08,13.45,18876310
1721966400,13.65,13.72,13.245,13.33,18301720
1722225600,13.5,13.55,13.2,13.35,17491461
1722312000,13.31,13.34,12.83,13.09,29735841
1722398400,13.15,13.6,13.055,13.32,27560980
1722484800,13.81,13.95,12.71,12.81,62367527
1722571200,10.13,10.42,9.3,9.36,124970577
1722830400,8.51,8.97,8.3,8.71,52149372
1722916800,9,9.01,8.52,8.64,47097413
1723003200,8.74,9.05,8.29,8.29,37159119
1723089600,8.43,9.01,8.35,8.94,30984569
1723176000,8.92,9.11,8.83,9.05,26475850
1723435200,9.06,9.24,8.95,9.02,15243063
1723521600,9.08,9.54,9.08,9.23,21013837
1723608000,9.36,9.4,8.935,9.03,22886013
1723694400,9.18,9.43,9.14,9.3,20618175
1723780800,9.19,9.285,9.03,9.23,28183360
1724040000,9.28,9.52,9.25,9.5,17486088
1724126400,9.44,9.61,9.36,9.47,16341355
1724212800,9.5197,9.54,9.35,9.48,17946341
