T,O,H,L,C,V
1713844800,7.24,7.59,7.22,7.58,40321465
1713931200,7.605,7.68,7.46,7.6,39726804
1714017600,7.42,7.6,7.26,7.59,47658775
1714104000,7.698,7.9,7.58,7.87,88630965
1714363200,7.37,7.45,7,7.045,149660202
1714449600,6.88,6.89,6.61,6.78,78411585
1714536000,6.7,7.18,6.65,6.92,68347682
1714622400,7.03,7.11,6.8603,6.99,45473407
1714708800,7.13,7.24,6.88,6.96,56617990
1714968000,7.055,7.27,7.03,7.16,50016583
1715054400,7.12,7.19,7.03,7.06,31025582
1715140800,6.98,7.085,6.9298,7.05,29637553
1715227200,7.08,7.13,6.99,7.06,22463501
1715313600,7.05,7.09,6.92,6.94,29080764
1715572800,7.03,7.32,7,7.11,55263991
1715659200,7.21,7.64,7.2,7.47,74991926
1715745600,7.63,7.63,7.21,7.27,35185386
1715832000,7.23,7.3,7.11,7.12,28904975
1715918400,7.15,7.42,7.12,7.28,36606010
1716177600,7.25,7.29,7.17,7.19,20605837
1716264000,7.15,7.2,7.05,7.08,24500732
1716350400,7.06,7.14,6.97,7.02,28018418
1716436800,7.04,7.0696,6.77,6.83,53003945
1716523200,6.87,7,6.87,6.92,21665889
1716868800,6.99,7.05,6.87,6.89,31435871
1716955200,6.78,6.85,6.685,6.85,26240367
1717041600,6.84,6.93,6.81,6.91,21911384
1717128000,6.95,6.9895,6.76,6.9,28216946
1717387200,6.97,6.99,6.75,6.77,31596695
1717473600,6.75,6.86,6.71,6.72,27546410
1717560000,6.77,6.94,6.72,6.91,32036469
1717646400,6.9,7.09,6.84,7.08,26131014
1717732800,6.92,7.05,6.865,6.99,26082307
1717992000,6.9,7.07,6.88,7.03,20847992
1718078400,7,7.0384,6.9,7,20066558
1718164800,7.17,7.4277,7.05,7.07,57027262
1718251200,7.1,7.13,6.77,6.8,51888311
1718337600,6.71,6.765,6.43,6.46,75483405
1718596800,6.46,6.4897,6.3,6.46,45193317
1718683200,6.46,6.6,6.39,6.42,28420218
1718856000,6.42,6.45,6.26,6.32,31396869
1718942400,6.3,6.35,6.2,6.32,34537249
1719201600,6.32,6.57,6.3,6.54,32286939
1719288000,6.54,6.54,6.41,6.45,19627212
1719374400,6.4,6.48,6.36,6.46,18400195
1719460800,6.41,6.54,6.36,6.54,18808011
1719547200,6.6,6.65,6.53,6.61,30002049
1719806400,6.6,6.67,6.415,6.43,30828129
1719892800,6.43,6.48,6.29,6.45,26977368
1719979200,6.48,6.55,6.415,6.52,15364303
1720152000,6.48,6.51,6.38,6.47,15639660
1720411200,6.485,6.53,6.35,6.35,22763728
1720497600,6.35,6.38,6.15,6.38,40564828
1720584000,6.42,6.62,6.32,6.57,37482305
1720670400,6.8,6.93,6.68,6.77,46656277
1720756800,6.89,7,6.81,6.97,37128344
1721016000,7.06,7.43,7.01,7.33,57035736
1721102400,7.44,7.82,7.345,7.75,63079536
1721188800,7.572,7.91,7.572,7.84,65800505
1721275200,7.87,8.06,7.49,7.53,56454345
1721361600,7.5,7.61,7.31,7.47,33123268
1721620800,7.59,7.6399,7.33,7.54,38964561
1721707200,7.5,7.66,7.42,7.43,23486310
1721793600,7.33,7.5,7.09,7.1,34636123
1721880000,7,7.41,7,7.27,35574208
1721966400,7.48,7.5,7.29,7.41,29482394
1722225600,7.46,7.52,7.23,7.33,65272596
1722312000,7.58,7.95,7.1,7.42,90519348
1722398400,7.48,7.83,7.26,7.54,66168200
1722484800,7.57,7.66,7.07,7.16,50282641
1722571200,6.9,6.95,6.59,6.65,63300907
1722830400,6.03,6.79,6.01,6.54,65657369
1722916800,6.62,6.62,6.3901,6.43,41670336
1723003200,6.6,6.75,6.31,6.32,32106723
1723089600,6.46,6.71,6.41,6.64,27594767
1723176000,6.62,6.73,6.55,6.64,19048609
1723435200,6.62,6.67,6.47,6.48,26316830
1723521600,6.5,6.65,6.49,6.64,26015023
1723608000,6.75,6.78,6.56,6.61,22578398
1723694400,6.74,6.96,6.69,6.91,36188885
1723780800,6.9,7.08,6.89,7,24474919
1724040000,7.11,7.5,7.09,7.46,51562156
1724126400,7.39,7.515,7.28,7.37,42987573
1724212800,7.4,7.4351,7.13,7.3,38849717
1724299200,7.32,7.34,7.18,7.19,29843227
1724385600,7.21,7.56,7.185,7.52,52448438
1724644800,7.61,7.79,7.5503,7.67,31511436
1724731200,7.58,7.89,7.54,7.77,27703678
1724817600,7.7,7.73,7.4,7.49,33583076
1724904000,7.65,8.3,7.64,8.03,84954499
1724990400,8.11,8.23,7.81,7.99,40858722
1725336000,7.89,7.9199,7.48,7.53,43359244
1725422400,7.41,7.76,7.41,7.48,34795214
1725508800,7.55,7.64,7.24,7.26,37429487
1725595200,7.29,7.4,6.92,7.01,46372027
1725854400,7.04,7.21,7.01,7.08,33004176
1725940800,7.16,7.1691,6.75,7.05,57932189
1726027200,7.02,7.35,6.9501,7.31,42877801
1726113600,7.29,7.51,7.24,7.46,39131929
1726200000,7.52,7.74,7.52,7.74,45043875
1726459200,7.74,8.08,7.63,8.06,44920354
1726545600,8.2,8.28,8.06,8.12,49071838
1726632000,8.1,8.53,8.04,8.11,63736848
1726718400,8.44,8.46,8.13,8.19,58745554
1726804800,8.135,8.22,8.01,8.05,36453863
1727064000,8.12,8.13,7.91,7.92,31399960
1727150400,7.96,7.97,7.58,7.83,47198613
1727236800,7.85,7.88,7.71,7.73,26123115
1727323200,7.83,7.87,7.68,7.76,27429422
1727409600,7.82,8.095,7.82,7.95,33376696
1727668800,7.9,8.07,7.81,7.86,28440030
1727755200,7.88,7.9,7.6125,7.63,34573654
1727841600,7.6,7.83,7.57,7.79,27871219
1727928000,7.75,7.86,7.654,7.83,28728989
1728014400,8.03,8.405,7.9,8.39,58166244
1728273600,8.36,8.52,8.16,8.27,40480647
1728360000,8.32,8.6,8.255,8.41,40451847
1728446400,8.41,8.66,8.3,8.59,32950114
1728532800,8.51,8.76,8.4605,8.63,46015048
1728619200,8.65,9.07,8.63,9.01,42833262
1728878400,9.62,10.07,9.375,10.04,116449940
1728964800,10.16,10.49,10.03,10.18,87195410
1729051200,10.23,10.325,9.91,10.04,48044999
1729137600,10.01,10.03,9.62,9.87,50293893
1729224000,9.91,10.18,9.8813,10.18,31400300
1729483200,10.26,10.54,10.19,10.4,50814314
1729569600,10.32,10.62,10.32,10.58,36501749
1729656000,10.55,10.65,10.175,10.42,38130439
1729742400,10.91,11.3,10.78,10.93,72141305
1729828800,11.21,11.34,10.89,10.99,58331288
1730088000,11.21,11.315,11.02,11.19,69753444
1730174400,10.75,10.8,9.77,10.47,164917905
1730260800,10.47,11.5,10.46,11.22,95149868
1730347200,11.16,11.325,10.88,11.17,59129216
1730433600,11.21,11.22,10.81,11.04,41742291
1730696400,10.88,11.13,10.6309,10.91,41321658
1730782800,10.96,11.55,10.95,11.42,53857819
1730869200,12.07,12.195,11.63,11.81,63197660
1730955600,11.915,12.14,11.85,11.9,55627554
1731042000,12,13.01,11.935,13.01,83464239
1731301200,13.61,14.44,13.57,14.11,106393392
1731387600,13.49,14.01,13.37,13.82,61124963
1731474000,13.955,14.28,13.39,13.5,55166032
1731560400,13.61,13.73,13.01,13.4,46251405
1731646800,13.22,13.695,13.08,13.63,48186516
1731906000,13.8,14.3,13.7,13.93,47656478
1731992400,13.76,14.43,13.67,14.42,38330651
1732078800,14.65,14.885,14.29,14.67,45618836
1732165200,14.86,15.55,14.67,15.01,60802783
1732251600,15.27,15.75,15.08,15.6,50055444
1732510800,16.088,16.0899,15.52,15.7,49778730
1732597200,15.5,15.84,15.245,15.49,38184378
1732683600,15.67,16.16,15.57,16.12,48218577
1732856400,16.36,16.61,16.17,16.41,31524910
1733115600,16.49,16.61,15.74,15.91,52367861
1733202000,15.89,16.15,15.62,15.88,43795796
1733288400,16.13,16.43,15.89,16.32,40638344
1733374800,16.01,16.2,15.62,15.65,50857038
1733461200,15.77,16.05,14.85,16.02,57220505
1733720400,15.68,15.96,15.23,15.57,59642768
1733806800,15.49,16.12,15.135,15.29,49585530
1733893200,15.5,16,15.16,15.94,47600810
1733979600,15.92,16.48,15.73,15.9,48071031
1734066000,16.04,16.36,15.79,16.25,41622262
1734325200,16.535,17.04,16.2,16.88,55457617
1734411600,17.15,17.17,16.17,16.66,53985223
1734498000,16.89,17.19,14.932,15.24,76625679
1734584400,15.72,15.99,14.92,15.03,44149617
1734670800,14.72,15.53,14.58,15.35,52746555
1734930000,15.5,15.79,15.165,15.63,34576414
1735016400,15.73,16.03,15.57,16.02,15731458
1735189200,15.98,16.68,15.88,16.6,36916834
1735275600,16.39,16.465,15.78,15.98,31003009
1735534800,15.57,15.88,15.42,15.63,31035972
1735621200,15.79,15.9,15.35,15.4,29262469
1735794000,15,15.11,13.75,14.13,76412574
1735880400,14.3,14.855,14.12,14.84,40925325
1736139600,15.2,15.48,14.89,15.29,32859034
1736226000,15.31,15.6189,14.71,14.91,38956313
1736312400,14.64,14.84,14.325,14.55,28712107
1736485200,14.2,14.2799,13.81,14.15,33470073
1736744400,13.64,14.085,13.6,14.07,32197109
1736830800,14.3,14.86,14.23,14.5,34100836
1736917200,15.36,15.55,14.99,15.51,38873135
1737003600,15.7,16.38,15.57,16.3,43586866
1737090000,16.42,16.73,16.18,16.5,40433589
1737435600,17,18.1,16.89,17.9,67982565
1737522000,18.06,18.06,17.265,17.59,51349809
1737608400,17.4,18.21,17.28,18.03,43826738
1737694800,18.15,18.42,17.86,17.92,55232024
1737954000,15.93,16.98,15.55,16.08,107334178
1738040400,16.12,16.25,15.22,16.17,51829116
1738126800,16.1,16.34,15.76,15.99,41382730
1738213200,16.25,16.67,16.11,16.44,35552175
1738299600,16.44,16.57,15.59,15.78,48036634
1738558800,14.98,15.77,14.89,15.4,42780645
1738645200,15.49,15.62,15.2,15.29,29013192
1738731600,15.24,15.56,15.2201,15.49,27793214
1738818000,15.53,15.55,14.68,14.8,46886868
1738904400,14.9,15.28,14.83,14.91,32161415
1739163600,15.03,15.4,15,15.13,30509885
1739250000,14.99,15.25,14.79,14.83,30455228
1739336400,14.58,14.85,14.42,14.77,33663622
1739422800,14.96,15.355,14.775,15.19,35543251
1739509200,15.41,16.42,15.24,16.21,63312396
