T,O,H,L,C,V
1713844800,12.23,12.375,12.19,12.3,383762
1713931200,12.25,12.28,12.055,12.19,1870013
1714017600,12.16,12.18,11.86,11.89,743960
1714104000,11.87,12.15,11.73,12.08,638341
1714363200,12.11,12.2,11.925,12.01,477983
1714449600,11.95,11.95,11.75,11.78,479370
1714536000,11.61,12.31,11.54,12.1,591647
1714622400,12.24,12.24,11.835,11.91,725796
1714708800,12.03,12.28,11.89,12.09,596205
1714968000,12.23,12.33,12.17,12.25,347430
1715054400,12.29,12.31,12.13,12.17,697838
1715140800,12.18,12.37,12.145,12.37,390054
1715227200,12.38,12.62,12.38,12.52,384747
1715313600,12.54,12.65,12.54,12.56,286563
1715572800,12.6,12.6,12.45,12.49,386011
1715659200,12.56,12.66,12.51,12.62,279534
1715745600,12.67,12.705,12.585,12.67,262337
1715832000,12.72,12.78,12.61,12.68,289006
1715918400,12.76,12.815,12.695,12.79,289511
1716177600,12.8,12.9,12.7,12.75,535032
1716264000,12.71,13.08,12.71,13.06,482698
1716350400,13,13.5,12.955,13.45,685901
1716436800,13.45,13.47,13.254,13.3,659450
1716523200,13.21,13.3593,12.815,12.97,664997
1716868800,12.98,13.155,12.91,13.05,856936
1716955200,12.95,12.95,12.8,12.85,573552
1717041600,12.9,13.115,12.9,13.04,629219
1717128000,13.14,13.205,13.025,13.15,730171
1717387200,13.22,13.22,12.895,12.94,597197
1717473600,12.83,12.95,12.735,12.79,373818
1717560000,12.82,12.92,12.655,12.84,507165
1717646400,12.82,12.855,12.6,12.72,338618
1717732800,12.72,12.89,12.61,12.64,487289
1717992000,12.52,12.73,12.48,12.66,497189
1718078400,12.59,12.59,12.39,12.44,465237
1718164800,12.64,12.6947,12.515,12.59,543929
1718251200,12.53,12.53,12.14,12.23,492726
1718337600,12.14,12.27,12.02,12.04,417794
1718596800,12,12.345,11.92,12.28,431320
1718683200,12.32,12.605,12.31,12.58,669185
1718856000,12.5,12.695,12.335,12.58,948572
1718942400,12.61,12.78,12.44,12.73,1314943
1719201600,12.81,12.82,12.35,12.36,706373
1719288000,12.3,12.36,12.22,12.3,653242
1719374400,12.28,12.28,12.035,12.17,579455
1719460800,12.19,12.35,12.185,12.3,840913
1719547200,12.43,12.46,12.17,12.2,5850120
1719806400,12.24,12.4,12.095,12.17,559263
1719892800,12.04,12.265,12.04,12.21,346972
1719979200,12.19,12.195,12.005,12.01,214159
1720152000,12,12.145,11.955,12.09,339415
1720411200,12.17,12.39,12.115,12.13,396164
1720497600,12.09,12.18,11.955,11.99,287596
1720584000,12.05,12.16,12.02,12.13,246943
1720670400,12.33,12.65,12.2307,12.58,386770
1720756800,12.67,12.81,12.59,12.63,378835
1721016000,12.74,12.93,12.67,12.81,758514
1721102400,12.92,13.41,12.92,13.38,719581
1721188800,13.33,13.735,13.25,13.54,941724
1721275200,13.47,13.82,13.43,13.54,512705
1721361600,13.53,13.53,13.22,13.24,369994
1721620800,13.29,13.5,13.1924,13.38,382998
1721707200,13.37,13.91,13.37,13.82,430588
1721793600,13.8,13.94,13.705,13.73,463909
1721880000,13.84,14.235,13.81,14.16,474916
1721966400,14.35,14.55,14.185,14.38,474341
1722225600,14.34,14.41,14.15,14.24,305244
1722312000,14.34,14.7,14.335,14.65,411556
1722398400,14.63,14.67,14.365,14.37,823273
1722484800,14.5,14.54,14.12,14.29,659169
1722571200,14,14.665,13.84,14.6,562223
1722830400,14.29,14.355,13.9,14.15,722763
1722916800,14.1,14.27,13.98,14.07,630633
1723003200,14.2,14.255,14,14.05,501326
1723089600,14.06,14.4729,14.06,14.46,306253
1723176000,14.49,14.57,14.25,14.56,413069
1723435200,14.64,14.86,14.35,14.37,249841
1723521600,14.43,14.575,14.43,14.52,248264
1723608000,14.6,14.64,14.45,14.54,304944
1723694400,14.71,14.78,14.465,14.66,361433
1723780800,14.68,14.96,14.64,14.71,700564
1724040000,14.73,14.86,14.53,14.59,316582
1724126400,14.59,14.62,14.41,14.5,273428
1724212800,14.57,14.7,14.42,14.59,353960
1724299200,14.61,14.735,14.605,14.73,275986
1724385600,14.83,15.16,14.765,14.94,462745
1724644800,15.07,15.1102,14.78,14.78,372522
1724731200,14.8,14.89,14.7678,14.85,229227
1724817600,14.83,14.96,14.77,14.89,226314
1724904000,14.99,15.1,14.8053,15.01,387035
1724990400,15.14,15.15,14.88,14.99,299121
1725336000,14.88,14.99,14.57,14.62,394677
1725422400,14.64,14.79,14.54,14.56,227403
1725508800,14.65,14.67,14.44,14.47,445640
1725595200,14.46,14.51,14.16,14.18,305273
1725854400,14.2,14.395,14.14,14.17,367849
1725940800,14.13,14.25,13.83,14.02,395642
1726027200,13.88,13.93,13.7,13.85,355343
1726113600,14,14.055,13.86,13.94,307675
1726200000,14.09,14.19,13.98,14.07,307817
1726459200,14.11,14.26,14.09,14.17,407130
1726545600,14.23,14.4,14.09,14.1,356850
1726632000,14.1,14.34,14.05,14.18,391722
1726718400,14.4,14.4,14.145,14.25,291812
1726804800,14.2,14.51,14.2,14.25,1345077
1727064000,14.24,14.35,14.062,14.12,273180
1727150400,14.09,14.13,13.98,14.08,281885
1727236800,14.09,14.73,14.09,14.56,485670
1727323200,14.62,14.747,14.45,14.46,305261
1727409600,14.3,14.63,14.275,14.44,1828408
1727668800,14.47,14.51,14.2,14.34,506760
1727755200,14.29,14.46,14.06,14.1,286486
1727841600,14.12,14.24,13.92,13.97,299582
1727928000,13.87,13.93,13.68,13.69,302528
1728014400,13.83,13.99,13.72,13.95,415342
1728273600,13.84,13.84,13.02,13.17,708146
