T,O,H,L,C,V
1713844800,301.13,319.3,298.5,303.31,11386186
1713931200,301.35,305.64,278.14,281.23,8241547
1714017600,275.67,291.375,271.65,289.02,3711405
1714104000,292.65,294,284.84,289.59,2477228
1714363200,289.01,290.91,284.23,286.24,1845597
1714449600,287,288.45,280.37,280.44,1258095
1714536000,280.66,290.88,280.66,284.54,1671864
1714622400,287.515,294.39,283.39,294.17,1627972
1714708800,294.81,298.82,292.04,296.07,1503922
1714968000,298,300.04,294.62,299.48,1395052
1715054400,296.54,299.83,294.76,298.05,1332258
1715140800,297.55,303.295,296.17,298.65,2108727
1715227200,298.88,301.37,294.2623,298.66,844749
1715313600,300.21,303.656,293.08,294.6,943896
1715572800,294.65,295.41,287.17,289.71,898844
1715659200,287.72,291.535,286.205,290.12,917898
1715745600,298.85,303.07,295.39,303.04,2013583
1715832000,302.54,304.92,297.86,298.12,1316061
1715918400,299.95,302.87,298.12,302.82,893624
1716177600,303,312.69,303,308.21,1487473
1716264000,304.85,307.98,302.375,304.93,1028925
1716350400,306,306.69,295.71,298.76,1376846
1716436800,302.92,305.82,296.98,300.51,1013271
1716523200,298,309.64,298,308.16,1165619
1716868800,307,311.9999,306,310.29,1080814
1716955200,307.71,309.155,304.1,307.52,1102964
1717041600,305.45,307.235,301.59,304.69,704206
1717128000,301.89,304.65,292.21,296.78,1478286
1717387200,313.01,317,307.355,313.62,2279225
1717473600,312.64,326.76,310.5,326.68,3484818
1717560000,326.55,331.08,322.55,324.75,1822724
1717646400,325,328.63,318.1,319.51,1229189
1717732800,318.99,319.05,307.67,308.21,2137706
1717992000,309.46,312.16,305.3656,309,1547978
1718078400,319,319.375,306.08,310,1808771
1718164800,311,316.11,309.29,315.49,1139403
1718251200,313.14,314.8365,300.79,306.01,2135640
1718337600,307.23,316.7,305.85,313.02,2047135
1718596800,312.67,317.4519,310.88,311.22,1326030
1718683200,310,312.31,305.4901,309.9,1218652
1718856000,311.64,317.3,310.65,313.89,1476162
1718942400,311.71,319.04,308.4,317.74,1399924
1719201600,317.74,319.5,310.67,314.99,1485067
1719288000,317.91,322.73,312.615,321.28,1040853
1719374400,320,321.9999,316.19,318.96,1245607
1719460800,319.29,324.56,314.24,315.38,1492581
1719547200,315.39,317.99,306.21,313.79,4934951
1719806400,313.64,314.42,306.81,313.84,1080524
1719892800,314.02,316.645,309.43,315.55,913308
1719979200,315.3,316.08,311.01,314.8,661797
1720152000,315,317.09,313.53,316.85,939759
1720411200,321.94,322,309.01,313.71,1733408
1720497600,315.26,315.43,310.64,311.55,1448723
1720584000,308,312.31,304.85,304.99,2220271
1720670400,312.73,314.02,297.11,300.98,2288379
1720756800,302.13,307.44,300.39,302.27,1244537
1721016000,302.27,308.12,299.4,302.15,1145499
1721102400,303.78,304.87,294.85,298.5,1424739
1721188800,294.79,299.38,290.87,294.74,1982063
1721275200,296.66,298.32,288.07,290.16,1817298
1721361600,292.23,298.38,290.5,295.09,1782350
1721620800,298,300.72,290.13,295.45,3118196
1721707200,339.5,343.4,326.5,330.79,6654226
1721793600,333.62,346.23,328.76,336.52,5691169
1721880000,336.82,341,324.08,328.95,2716343
1721966400,330.42,331.37,320.2,321.88,1986644
