T,O,H,L,C,V
1713844800,168.79,173.59,168.79,170.6,207842
1713931200,169.57,173.755,169.57,171.12,193871
1714017600,168.03,171.6,167.02,169.43,225462
1714104000,180,183.33,174.64,178.96,369697
1714363200,179.22,182.89,178.2,182.47,238084
1714449600,180.36,182.4994,173.57,173.87,381052
1714536000,175.7,183.06,174.28,178.97,233719
1714622400,180.07,182.2,177.12,182.07,223381
1714708800,185,185,179.475,182.41,186854
1714968000,183.8,189.21,183.8,188.97,184319
1715054400,189,193.61,187.14,192.68,199466
1715140800,190.48,192.7,187.1,188.13,169672
1715227200,188.87,194.616,188.87,193.52,167604
1715313600,194.67,195,191.87,192.45,164396
1715572800,194.35,195.14,191.54,192.6,110974
1715659200,195.73,197.3,193.42,195.64,114357
1715745600,198,199.345,196.465,198.67,148614
1715832000,198.17,198.665,194.695,196.05,144082
1715918400,196.82,198.31,195.505,196.09,134370
1716177600,195.09,200.4422,195.09,199.42,152631
1716264000,198.03,198.43,194.16,194.64,138067
1716350400,194.38,196.31,189.28,192.76,137472
1716436800,193.92,195.58,191.86,193.36,127859
1716523200,193.86,194.57,191.11,193.86,173808
1716868800,194.62,195.85,190.71,191.94,163565
1716955200,189.59,194.35,189.58,191.68,147870
1717041600,191.66,191.735,187.49,188.45,129061
1717128000,189.11,189.7,184.92,188.09,169591
1717387200,189.9,189.9,185.73,185.92,161158
1717473600,185.01,186.875,184.83,186.135,125232
1717560000,187.35,192.28,187.35,190.26,105198
1717646400,189.62,192.69,187.71,187.96,148067
1717732800,186.02,187.75,182.88,183.63,214152
1717992000,181.83,185.495,181.78,183.46,163420
1718078400,181.68,184.95,181.1,183.7,176913
1718164800,188.35,190.48,186.92,187.87,139737
1718251200,187.83,187.83,183.55,183.77,122705
1718337600,181.71,186.085,181.18,184.13,152494
1718596800,182.72,186.78,181.85,185.8,139247
1718683200,185.11,185.11,181.86,182.08,172459
1718856000,180.78,182.735,180.1,181.89,163614
1718942400,182.39,186.5,180.225,186.13,455403
1719201600,185.58,187.35,183.915,185.62,128350
1719288000,185.66,186.56,184.35,184.99,157766
1719374400,184.26,186.535,184.26,184.64,169789
1719460800,185.98,188.955,185.72,187.85,173637
1719547200,189.71,191.335,185.903,188.16,493983
1719806400,188.19,190.09,184.63,189.1,205087
1719892800,190.35,195,189.26,192.68,185727
1719979200,192.02,192.73,189.93,190.37,94135
1720152000,189.79,191.29,187.585,190.44,95387
1720411200,192.18,192.83,189.82,189.85,145086
1720497600,189.3,190.15,185.18,185.94,124791
1720584000,186.81,189.33,184.83,188.75,156167
1720670400,192.66,195.5943,188.91,193.19,173655
1720756800,195.45,200.58,194.955,200.55,195953
1721016000,201.09,205.22,200.63,202.72,234707
1721102400,205.27,210.05,203.68,209.42,245801
1721188800,207.24,210.95,205.13,206.97,363027
1721275200,206.83,208.28,203.2,205.45,235456
1721361600,205.65,207.18,201.91,202.24,346456
1721620800,204.16,207.03,201.51,206.68,147815
1721707200,206.19,211.87,206.19,208.65,209222
1721793600,206.93,211.25,204.94,205.36,194816
1721880000,206.65,209.315,202.7,205.62,294729
1721966400,210.85,216.005,208.144,209,282430
