T,O,H,L,C,V
1713844800,14.11,15.13,14.025,14.79,750562
1713931200,14.83,14.94,14,14.09,430236
1714017600,13.6,14.17,13.6,13.96,945666
1714104000,14.05,14.705,13.88,14.53,498572
1714363200,14.6,15.1,14.6,14.89,501560
1714449600,14.7,15.07,14.55,14.67,627441
1714536000,14.66,15.38,14.57,14.96,1083392
1714622400,15.22,15.29,14.71,15.1,675817
1714708800,15.67,15.825,15.01,15.35,895930
1714968000,15.5,15.51,14.82,15.06,466296
1715054400,15,15.15,13.96,14.69,587922
1715140800,14.1,14.82,13.94,14.5,614212
1715227200,14.63,15.16,14.38,14.55,620396
1715313600,14.25,14.3725,13.19,13.35,802961
1715572800,13.43,14.46,13.39,13.64,720010
1715659200,13.91,14.5,13.645,14.01,461506
1715745600,14.4,14.67,13.84,14.04,969841
1715832000,14.03,14.48,13.65,14.32,812701
1715918400,14.43,14.52,11.6701,12.49,2030256
1716177600,12.52,12.905,12.19,12.52,728352
1716264000,12.42,12.81,12,12.27,888302
1716350400,12.19,12.83,11.65,11.71,974114
1716436800,11.8,11.8,10.705,10.79,1142332
1716523200,10.86,11.2347,10.63,10.67,728773
1716868800,10.83,10.9152,10.17,10.33,950928
1716955200,10.02,10.3165,9.17,9.21,1594694
1717041600,9.29,9.4,8.93,9.39,1242347
1717128000,9.47,10.13,9.32,9.39,1243946
1717387200,9.57,10.14,9.29,9.48,765845
1717473600,9.58,10.07,9.21,9.8,656651
1717560000,9.89,10.1,9.69,9.83,636736
1717646400,9.81,9.95,9.37,9.43,557797
1717732800,9.27,9.83,9.2001,9.51,460762
1717992000,9.27,9.65,8.92,9.63,702932
1718078400,9.53,9.87,9.15,9.7,730818
1718164800,10.11,10.22,9.1528,9.39,1373424
1718251200,9.88,9.88,9.22,9.43,972032
1718337600,9.27,9.47,8.86,9.45,896074
1718596800,9.37,9.37,8.61,8.78,1511721
1718683200,8.75,8.805,8.31,8.49,950556
1718856000,8.38,8.47,7.95,8.3,1375375
1718942400,8.37,8.69,8.26,8.45,4032014
1719201600,8.92,9.14,8.22,8.41,1022941
1719288000,8.37,8.42,8.05,8.07,670606
1719374400,7.99,8.05,7.64,7.84,914303
1719460800,7.81,8.47,7.57,8.36,1186192
1719547200,8.46,8.63,8.17,8.33,4402973
1719806400,8.29,8.56,8.06,8.13,707845
1719892800,8.05,8.07,7.58,7.63,526359
1719979200,7.62,8.07,7.62,7.77,367156
1720152000,7.71,7.83,7.53,7.74,378255
1720411200,7.89,8.26,7.81,7.87,709066
1720497600,7.91,8.02,7.63,7.88,545303
1720584000,7.94,8.28,7.88,8.27,544553
1720670400,8.5,8.94,8.48,8.93,644174
1720756800,9.11,9.42,8.8,9.1,633820
1721016000,9.24,9.42,9,9.21,714554
1721102400,9.37,9.5,9.11,9.31,754151
1721188800,9.15,9.152,8.74,8.95,747230
1721275200,8.95,9.29,8.58,8.75,690925
1721361600,8.79,8.93,8.5,8.71,634449
1721620800,8.73,9.25,8.685,9.22,1095040
1721707200,9.22,9.57,9.12,9.2,484660
1721793600,9.1,9.4,8.81,8.84,922988
1721880000,8.9,9.71,8.55,9.45,1291720
1721966400,9.55,9.86,9.22,9.28,640930
1722225600,9.24,9.44,8.985,9.15,501269
1722312000,9.18,9.45,9.055,9.18,634878
1722398400,9.25,9.47,8.86,9.08,577349
1722484800,9.05,9.34,8.925,9.06,628873
1722571200,8.7,8.86,8.55,8.71,742588
1722830400,8.08,8.46,7.91,8.39,814323
1722916800,8.5,8.92,8.3,8.52,467343
1723003200,8.77,8.84,8.06,8.25,592353
1723089600,8.27,8.84,8.03,8.17,608165
1723176000,8.3,8.75,8.3,8.45,567492
1723435200,8.5,9.86,8.335,9.48,1293802
1723521600,9.42,9.8,9.15,9.71,876192
1723608000,9.8,9.95,9.09,9.21,607177
1723694400,9.46,9.585,9.25,9.38,645316
1723780800,9.33,9.485,9.09,9.32,498265
