T,O,H,L,C,V
1713844800,21.11,21.64,20.76,21.64,413947
1713931200,21.65,21.65,20.77,20.8,339060
1714017600,20.95,20.96,20.4,20.7,155328
1714104000,20.5901,21.49,20.59,21.16,372289
1714363200,21.6,21.61,21.265,21.5717,491102
1714449600,21.59,21.76,21.05,21.32,641445
1714536000,22.04,22.4,21.69,22.13,503258
1714622400,22.4,23.025,22.23,22.9473,546196
1714708800,23.02,23.02,22.57,22.81,276742
1714968000,22.985,22.985,22.68,22.83,164531
1715054400,22.8,23.025,22.53,22.63,296486
1715140800,22.87,22.87,22.31,22.7,218685
1715227200,22.8,23.2283,22.36,23.15,247342
1715313600,23.25,23.35,22.65,22.72,261773
1715572800,23.33,23.33,21.977,22.1835,311268
1715659200,22.5,22.7,21.69,21.71,291297
1715745600,22.17,22.24,21.7,22.0499,204630
1715832000,22.21,22.21,21.9,22.08,208589
1715918400,22.23,22.82,22.23,22.5,321529
1716177600,22.62,23.25,22.57,22.7,554471
1716264000,22.74,22.86,22.45,22.716,371436
1716350400,23,23,21.82,21.83,380730
1716436800,21.8,22.32,21.04,21.3425,547390
1716523200,21.18,22.14,21.18,21.63,131334
1716868800,21.65,22.17,21.4,22.09,2362022
1716955200,22.11,22.11,21.11,21.26,367272
1717041600,21,21.47,20.65,20.65,407023
1717128000,20.66,21.23,20.5,20.6,2316025
1717387200,20.5,21,20.195,20.3969,380658
1717473600,20.27,20.5,19.75,19.76,520717
1717560000,19.77,20.49,19.2,19.25,853091
1717646400,19.3,20.14,19.28,19.4301,435909
1717732800,19.35,19.5,18.58,18.62,566311
1717992000,18.52,19.33,18.52,19.08,521248
1718078400,19.145,19.24,18.24,18.61,712911
1718164800,18.9,19.02,18.77,18.93,390078
1718251200,18.95,19.71,18.8,18.95,279669
1718337600,18.95,19.4,18.8,19,169355
1718596800,19.21,19.96,19.05,19.32,1414083
1718683200,19.54,20.47,19.32,20.45,811642
1718856000,20.54,20.6,20,20.2,530718
1718942400,20,20.45,19.32,19.89,472581
1719201600,20,20,19.29,19.34,399422
1719288000,19.3,19.375,18.4457,18.67,1162127
1719374400,18.6,19.19,18.6,18.85,319312
1719460800,18.86,19.4,18.84,19.33,298286
1719547200,19.4,19.5,18.55,18.57,308342
1719806400,18.55,18.96,18.51,18.82,485881
1719892800,19,19.065,18.5299,18.8,417799
1719979200,19.05,19.4073,18.96,19.3,170053
1720152000,19.3,19.89,18.89,19.7,397135
1720411200,19.8,19.88,19.4,19.705,357607
1720497600,19.72,19.94,19.48,19.92,185519
1720584000,19.995,20.65,19.68,20.36,889808
1720670400,20.5899,20.59,20.32,20.33,252973
1720756800,20.46,20.57,20.33,20.52,228845
1721016000,20.25,20.44,19.69,19.9299,529637
1721102400,19.94,19.94,19.21,19.34,280423
1721188800,19.1,19.65,18.7,18.905,326169
1721275200,19.02,19.02,18.07,18.17,670562
1721361600,18.2,18.69,18.03,18.265,297289
1721620800,18.36,18.6,18.09,18.48,250683
1721707200,18.45,18.48,18.08,18.39,531450
1721793600,18.525,18.525,17.585,17.7,486737
1721880000,17.61,18,16.88,17.44,701118
1721966400,17.52,18.36,17.52,18.03,381497
1722225600,18.14,18.2,17.68,17.83,247884
1722312000,17.78,18.09,17.55,17.9001,238223
1722398400,18.15,19.6,18.14,18.76,600556
1722484800,18.78,18.92,17.84,17.9,659849
1722571200,17.93,18,16.88,17.2798,1135134
1722916800,17,17.55,16.9,17.45,379701
1723003200,17.8,18.09,17.45,17.8,346133
1723089600,18.22,18.39,17.83,18.25,279229
1723176000,18.45,18.45,17.56,17.7,205123
1723435200,17.48,18,17.04,17.05,303800
1723521600,17.17,17.79,17.17,17.66,159972
1723608000,17.4,18.19,17.4,17.77,255992
1723694400,17.86,17.9,17.38,17.41,353287
1723780800,17.42,17.6199,17.02,17.1,423370
1724040000,17.01,17.45,16.638,16.8599,1983694
1724126400,17.01,17.28,16.86,17.0815,328147
1724212800,17,17.32,17,17.32,246468
1724299200,17.5,17.5,17.33,17.4287,15796
1724385600,18.46,18.97,18.34,18.72,742959
1724644800,19,19.23,18.58,18.77,359200
1724731200,19.02,19.02,18.04,18.77,345499
1724817600,18.85,18.85,17.91,18.3887,240712
1724904000,18.28,18.85,17.83,18,225246
1724990400,18.02,18.42,17.91,18.29,120683
1725336000,17.7,18,17.25,17.34,410134
1725422400,17.25,18.205,17.2076,18.18,416584
1725508800,17.9658,18.24,17.39,17.67,265866
1725595200,17.637,17.68,16.69,16.85,988699
1725854400,17.1,17.22,16.86,17.12,442055
1725940800,17.12,17.64,17.1,17.31,298230
1726027200,17.25,18.26,17.1,18.02,550185
1726113600,17.82,18.5,17.75,17.91,347314
1726200000,18.15,18.15,17.27,17.52,317551
1726459200,17.515,18.1,17.32,18.01,184003
1726545600,18.04,18.2,17.55,17.8101,188870
1726632000,17.85,18.1,17.4,17.6,216368
1726718400,18,18.27,17.87,18.185,311928
1726804800,18.59,18.95,18.1,18.8213,626700
1727064000,18.99,19.633,18.83,19.61,804313
1727150400,20,20,19.49,19.7495,494878
1727236800,20.25,20.25,19.37,19.86,433525
1727323200,20,20,19.67,19.8499,451531
1727409600,19.5,20,19.444,19.71,644478
1727668800,19.4407,19.715,19.275,19.365,375578
1727755200,19.5534,20,19.47,19.89,269970
1727841600,19.89,20.2,19.7,20.15,228059
1727928000,20.08,20.28,19.91,20.2,180603
1728014400,20.25,20.33,19.98,20.31,150541
1728273600,20.3,20.35,19.92,20.257,365105
1728446400,20.45,20.45,20.08,20.1095,169498
1728532800,20,20.08,19.58,19.633,263759
1728619200,19.9,19.9,19.35,19.62,292388
1728878400,19.75,20.03,19.32,19.95,138575
1728964800,19.85,19.95,19.38,19.44,335838
1729051200,19.72,20.48,19.72,20.19,514927
1729137600,20.5,20.5,20.015,20.03,466919
1729224000,20.48,20.51,20.03,20.07,322912
1729483200,20.38,20.43,19.8,19.89,370486
1729569600,19.9,20.32,19.71,20.14,437027
1729656000,20.09,20.35,19.25,19.5,400728
1729742400,20,20,19.17,19.37,259006
1729828800,19.45,19.45,18.92,19.04,443243
1730088000,19.76,19.76,18.53,19.0799,276589
1730174400,19.15,19.15,18.29,18.33,476253
1730260800,18.3,18.8432,18.16,18.5599,406661
1730347200,18.4,18.8,18.234,18.4899,269325
1730433600,18.44,18.68,17.8228,17.95,343961
1730696400,17.995,18.04,17.19,17.48,682465
1730782800,17.48,17.7,17.38,17.59,304314
1730869200,18.2,18.2,17.4,17.85,321621
1730955600,18.18,18.4,17.67,17.717,487618
1731042000,17.6,18.1,17.19,17.259,299115
1731301200,17.22,17.47,16.783,16.98,670017
1731387600,17.6,18.42,16.98,18.37,648924
1731474000,18.21,18.635,17.9,18.12,280960
1731560400,18.34,18.5,18.03,18.1535,287827
1731646800,18.45,19.63,18.15,18.75,531719
1731906000,19.76,19.76,18.85,18.91,343684
1731992400,19.3,19.47,18.9,19.44,232005
1732078800,19.55,19.55,18.81,18.9001,242614
1732165200,18.9,19.25,18.61,19.19,250881
1732251600,19.15,19.15,18.35,18.7,267919
1732510800,18.35,18.7,18.08,18.5501,394892
1732597200,18.27,18.6,17.7601,17.82,463253
1732683600,17.95,18.16,17.73,18.0601,289456
1732856400,18.105,18.38,17.99,18.07,292083
1733115600,17.9,18.145,17.54,17.7901,272247
1733202000,18.07,18.44,17.55,18.4201,310113
1733288400,18.45,18.73,17.89,18.2401,229683
1733374800,17.94,18.27,17.8201,18.024,264485
1733720400,18.54,18.65,17.7,17.87,504140
1733806800,17.8,18.255,17.5,17.91,304110
1733893200,17.91,18.205,17.4,17.855,268248
1733979600,17.86,18.04,17.5801,17.98,295853
1734066000,18.17,18.17,17.58,17.6495,291150
1734325200,17.51,18.03,17.03,17.06,790306
1734411600,17.05,17.24,16.75,17.01,503415
1734498000,17.17,17.17,16.51,16.769,550142
1734584400,16.69,16.81,16.22,16.3368,693349
1734670800,16.24,16.68,15.9,16.4,454582
1734930000,16.28,16.54,16.1,16.23,495574
1735016400,16.1,16.25,16.09,16.12,243415
1735189200,16.8,16.8,15.99,16.038,211562
1735275600,16.05,16.47,16,16.4,404757
1735534800,16.45,16.6,16.15,16.38,494083
1735621200,16.38,17.31,16.38,17.28,561850
1735794000,17.3,18,17.15,17.9,478666
1735880400,18,18.12,17.42,17.86,429309
1736139600,17.85,18.2,17.1401,17.29,495861
1736226000,17.25,17.5,16.61,16.72,352489
1736312400,16.66,16.94,16.22,16.83,341001
1736485200,16.5,16.96,16.5,16.785,224326
1736744400,16.24,17.1799,16.24,17.03,297914
1736917200,16.81,17.33,16.81,17.27,209273
