T,O,H,L,C,V
1713844800,20.87,21.15,20.87,21.14,773725
1713931200,20.9,21.13,20.86,21.04,455292
1714017600,20.75,21.19,20.75,20.98,77053
1714104000,21.16,21.21,20.7,21.07,173216
1714363200,21.48,21.55,21.36,21.45,68404
1714449600,20.78,21.3111,20.78,21.24,25078
1714536000,21.19,21.45,20.97,21.36,29926
1714622400,21.46,21.7425,21.46,21.66,56711
1714708800,21.82,21.9425,21.66,21.89,50411
1714968000,22.05,22.08,21.34,22.01,24490
1715054400,22.37,22.68,22.37,22.56,38550
1715140800,22.625,22.83,22.625,22.79,28538
1715227200,22.37,22.979,22.37,22.97,33052
1715313600,23.11,23.37,22.99,23.0792,17171
1715572800,22.93,23.14,22.7918,22.97,45777
1715659200,23.27,23.5,23.24,23.46,27547
1715745600,23.73,23.9405,23.73,23.89,28416
1715832000,23.79,23.93,23.6627,23.84,49409
1715918400,23.48,23.68,23.48,23.585,29453
1716177600,23.56,23.64,23.46,23.46,93681
1716264000,23.26,23.36,23.26,23.35,33648
1716350400,23.26,23.506,23.26,23.37,30848
1716436800,22.99,23.12,22.695,22.77,151335
1716523200,22.58,22.73,22.54,22.57,28845
1716868800,22.83,22.88,22.65,22.74,32907
1716955200,22.34,22.34,21.9026,22,114256
1717041600,22.2,22.31,21.99,22.27,98659
1717128000,22.67,23.07,22.48,22.81,45783
1717387200,23.11,23.2,23.01,23.15,162318
1717473600,22.81,23.47,22.81,23.45,57808
1717560000,23.01,23.34,23.01,23.305,44285
1717646400,23.25,23.342,23.1,23.19,30521
1717732800,23,23.12,22.88,22.98,23212
1717992000,23,23.31,22.98,23.1575,29850
1718078400,22.82,22.99,22.8,22.99,54401
1718164800,23.31,23.3199,22.94,23.09,38351
1718251200,23.09,23.18,23.05,23.15,40766
1718337600,22.8,22.93,22.74,22.93,33337
1718596800,22.42,22.59,22.25,22.46,80035
1718683200,23.11,23.31,23.01,23.147,41986
1718856000,23.56,23.76,23.54,23.75,32404
1718942400,23.665,23.67,23.345,23.49,37144
1719201600,23.65,23.75,23.39,23.61,36930
1719288000,23.5,23.63,23.42,23.63,31165
1719374400,23.23,23.37,23.176,23.26,39564
1719460800,23.015,23.09,22.9,22.97,34488
1719547200,22.97,23.03,22.75,22.99,43535
1719806400,23.36,23.36,22.93,23.18,31364
1719892800,23.04,23.13,22.94,23.04,67630
1719979200,23.26,23.6,22.95,23.57,30270
1720152000,24.05,24.18,24,24.18,30101
