T,O,H,L,C,V
1713844800,5.11,5.49,5.11,5.365,4498844
1713931200,5.34,5.475,5.31,5.47,2676126
1714017600,5.5,5.535,5.28,5.52,3836578
1714104000,5.58,5.63,5.47,5.57,2902127
1714363200,5.53,5.7,5.435,5.63,2992926
1714449600,5.48,5.605,5.36,5.36,6062658
1714536000,5.4,5.52,5.26,5.38,2646425
1714622400,5.33,5.4275,5.295,5.4,1929607
1714708800,5.4,5.5,5.31,5.34,2883916
1714968000,5.46,5.59,5.37,5.4,2273959
1715054400,5.38,5.46,5.36,5.44,2383990
1715140800,5.37,5.46,5.295,5.33,3025393
1715227200,5.42,5.575,5.11,5.41,6801773
1715313600,5.5,5.59,5.22,5.23,2950492
1715572800,5.23,5.43,5.17,5.18,4038576
1715659200,5.26,5.43,5.2,5.41,2388531
1715745600,5.48,5.54,5.32,5.44,3738676
1715832000,5.4,5.5,5.32,5.41,1947901
1715918400,5.51,5.79,5.48,5.75,6303521
1716177600,5.76,5.94,5.63,5.86,3963292
1716264000,5.78,5.83,5.64,5.67,2033201
1716350400,5.63,5.67,5.48,5.52,2943108
1716436800,5.51,5.54,5.32,5.33,2295464
1716523200,5.43,5.48,5.355,5.425,2370865
1716868800,5.51,5.61,5.31,5.36,3808240
1716955200,5.3,5.35,5.21,5.22,2558750
1717041600,5.23,5.36,5.215,5.27,1869936
1717128000,5.3,5.39,5.205,5.34,4451484
1717387200,5.38,5.39,5.15,5.16,2109275
1717473600,5.08,5.1,4.69,4.71,4115787
1717560000,4.83,5.085,4.775,4.93,3586475
1717646400,5,5.295,4.94,5.24,2780898
1717732800,5.02,5.16,4.97,5.01,2737380
1717992000,5.01,5.14,4.92,5.14,2509784
1718078400,5.12,5.1314,4.95,4.99,2879093
1718164800,5.15,5.18,4.915,4.94,2725468
1718251200,4.92,5.01,4.73,4.735,1629278
1718337600,4.81,4.81,4.625,4.63,3918166
1718596800,4.6,4.66,4.55,4.58,2638158
1718683200,4.55,4.655,4.51,4.57,3086491
1718856000,4.57,4.73,4.56,4.61,2398988
1718942400,4.64,4.64,4.48,4.53,6324966
1719201600,4.6,4.68,4.56,4.6,2368614
1719288000,4.6,4.61,4.43,4.43,2709216
1719374400,4.42,4.57,4.36,4.57,3055607
1719460800,4.59,4.63,4.525,4.54,2415122
1719547200,4.57,4.635,4.49,4.51,31436173
1719806400,4.55,4.66,4.46,4.48,2661591
1719892800,4.46,4.585,4.35,4.46,4669483
1719979200,4.55,4.76,4.53,4.73,6388303
1720152000,4.74,4.88,4.71,4.71,2711178
1720411200,4.69,4.73,4.575,4.69,1734444
1720497600,4.69,4.715,4.57,4.6,1797656
1720584000,4.67,4.87,4.67,4.87,1912523
1720670400,5,5.13,4.94,5.11,3996014
1720756800,5.08,5.23,5.055,5.11,3080735
1721016000,5.15,5.35,5.07,5.26,2409117
1721102400,5.34,5.54,5.27,5.54,2633899
1721188800,5.53,5.62,5.405,5.5,2944797
1721275200,5.51,5.59,5.31,5.35,2571912
1721361600,5.18,5.375,5.17,5.31,2113844
1721620800,5.27,5.355,5.21,5.34,1897887
1721707200,5.31,5.385,5.25,5.37,1994510
1721793600,5.42,5.57,5.37,5.38,2103298
1721880000,5.22,5.515,5.2,5.46,3021993
1721966400,5.57,5.59,5.425,5.49,1936518
1722225600,5.48,5.54,5.34,5.44,1957730
1722312000,5.49,5.57,5.43,5.5,2177160
1722398400,5.55,5.705,5.52,5.57,2557138
1722484800,5.45,5.5,4.835,4.9,4951175
1722571200,4.91,5.0501,4.72,4.805,3060353
1722830400,4.52,4.655,4.4,4.53,3340820
1722916800,4.55,4.56,4.375,4.51,3576404
1723003200,4.55,4.59,4.32,4.35,2314163
1723089600,4.4,4.615,4.39,4.51,2711043
1723176000,4.62,4.64,4.495,4.54,1838398
1723435200,4.59,4.73,4.57,4.62,2011315
1723521600,4.64,5.05,4.62,5,2552527
1723608000,5,5,4.76,4.88,1734299
