T,O,H,L,C,V
1713844800,15.27,15.84,15.22,15.78,4193566
1713931200,15.79,15.86,15.42,15.83,4356983
1714017600,15.41,15.7,15.16,15.57,4721279
1714104000,15.75,16.38,15.75,16.35,6294173
1714363200,16.52,16.59,16.095,16.19,2726208
1714449600,16,16.145,15.57,15.6,3448688
1714536000,15.58,15.91,15.245,15.74,3861062
1714622400,15.97,16.29,15.63,16.27,3072258
1714708800,16.59,17.04,16.565,16.73,3397552
1714968000,16.9,17.09,16.765,16.8,2842300
1715054400,16.76,17,16.68,16.87,3041687
1715140800,16.6,17.025,16.54,16.97,2618217
1715227200,16.8,16.86,16.35,16.7,3759795
1715313600,16.93,16.99,16.5,16.6,2667478
1715572800,16.8,16.94,16.56,16.65,6179648
1715659200,15.27,15.4899,14.57,15.3,20786166
1715745600,15.44,15.64,14.9,14.985,6799217
1715832000,15,15.055,14.6725,14.77,5135854
1715918400,14.82,14.84,14.46,14.63,5175379
1716177600,14.58,14.87,14.3,14.85,5818808
1716264000,14.81,15.23,14.74,15.17,6521747
1716350400,15.02,15.155,14.35,14.36,7948439
1716436800,14.42,14.435,14.09,14.29,6320149
1716523200,14.47,14.805,14.22,14.29,6770194
1716868800,14.34,14.52,14.11,14.32,6188867
1716955200,14.11,14.145,13.83,13.87,4789314
1717041600,13.94,14.03,13.83,13.89,2536986
1717128000,13.95,14,13.635,13.84,3662700
1717387200,13.86,13.92,13.36,13.58,4134043
1717473600,13.4,13.49,13.1015,13.36,7735926
1717560000,13.49,13.59,13.04,13.22,4469153
1717646400,13.57,13.77,13.51,13.53,5972386
1717732800,13.31,13.45,13.225,13.24,4258330
1717992000,13.05,13.17,13.01,13.13,3375764
1718078400,13.04,13.11,12.64,12.75,7947793
1718164800,13.115,13.21,12.655,12.72,9114425
1718251200,12.75,12.86,12.36,12.39,5820719
1718337600,12.28,12.32,12,12.14,4991836
1718596800,12.03,12.14,11.87,11.94,4453659
1718683200,11.91,11.91,11.5742,11.72,6267604
1718856000,11.7,12.01,11.5101,11.95,9308766
1718942400,11.93,11.94,11.62,11.72,6764541
1719201600,11.82,12.02,11.665,11.81,5852192
1719288000,11.75,12.07,11.7,11.94,6161489
1719374400,11.79,11.86,11.64,11.8,5117992
1719460800,11.85,12.09,11.75,12.07,4390770
1719547200,12.06,12.09,11.8,11.99,6765390
1719806400,12.02,12.05,11.62,11.73,4513497
1719892800,11.74,11.82,11.63,11.79,2343084
1719979200,11.84,12.24,11.83,12.11,2271520
1720152000,12.09,12.45,12.03,12.34,4206196
1720411200,12.72,13.12,12.635,13.03,5514389
1720497600,13.03,13.355,12.98,13.21,4787541
1720584000,13.34,13.415,13.085,13.21,4022899
1720670400,13.44,13.535,13.19,13.42,4872328
1720756800,13.54,13.7,13.42,13.47,5028908
1721016000,13.52,13.61,13.22,13.41,4096753
1721102400,13.48,13.69,13.43,13.66,3292288
1721188800,13.56,13.74,13.42,13.62,4402640
1721275200,13.54,13.55,12.885,12.91,5400422
1721361600,12.91,13.269,12.82,12.95,5883975
1721620800,13.07,13.49,12.96,13.43,5518564
1721707200,13.29,13.77,13.28,13.58,4922209
1721793600,13.44,13.51,13.15,13.17,4865850
1721880000,13.17,13.665,13.14,13.34,5316164
1721966400,13.52,13.78,13.465,13.5,4746073
1722225600,13.57,13.79,13.32,13.41,3963158
1722312000,13.49,13.5421,12.745,13.03,5060307
1722398400,13.19,13.41,13.04,13.12,3924852
1722484800,13.08,13.3,12.67,12.75,5262407
1722571200,12.35,12.63,12.24,12.48,6319676
1722830400,11.47,12.26,11.41,12.22,6696005
1722916800,12.31,12.44,11.995,12.11,5292957
1723003200,12.35,12.4,12.12,12.18,3589286
1723089600,12.28,12.72,12.24,12.71,3718013
1723176000,12.69,13.22,12.63,13.19,6384912
1723435200,13.27,13.31,12.77,12.86,3766761
1723521600,13.09,13.325,12.9501,13.2,4959649
1723608000,13.4,13.54,13.21,13.35,7038889
1723694400,13.79,14.72,13.75,14.06,13209176
1723780800,14.02,14.685,13.94,14.44,8106132
1724040000,14.6,14.89,14.445,14.87,6169373
1724126400,14.85,15.081,14.735,14.82,4161950
1724212800,14.78,14.825,14.15,14.23,7840756
1724299200,14.26,14.36,13.76,13.8,4841052
1724385600,13.87,14.05,13.71,13.94,3644518
1724644800,13.95,14.24,13.65,13.7,3574780
1724731200,13.67,13.84,13.44,13.48,3209809
1724817600,13.33,13.42,12.81,13.02,5126129
1724904000,13.14,13.385,12.985,13.19,7531373
1724990400,13.29,13.56,13.06,13.26,39905887
1725336000,13.08,13.255,12.66,13.11,8484753
1725422400,13.05,13.14,12.56,12.61,5160989
1725508800,11.31,11.98,11.02,11.8,10898272
1725595200,11.81,11.85,11.24,11.33,5187563
1725854400,11.39,11.43,11.06,11.18,3604341
1725940800,11.2,11.325,11.075,11.29,3069959
1726027200,11.27,11.99,11.26,11.92,4985396
1726113600,11.96,12.3,11.705,11.9,4317516
1726200000,12.1,12.32,12.065,12.24,5376652
1726459200,12.25,12.46,12.245,12.39,2625812
1726545600,12.42,12.52,12.21,12.31,2820096
1726632000,12.37,12.64,12.14,12.29,2927560
1726718400,12.6,12.63,12.29,12.35,2289280
1726804800,12.24,12.2699,11.29,11.3,8161711
1727064000,11.25,11.35,11.105,11.11,3760134
1727150400,11.28,11.405,11.07,11.21,3496957
1727236800,11.15,11.1606,10.845,10.89,3505189
