T,O,H,L,C,V
1713844800,98.2,101.935,97.55,101.55,210646
1713931200,102.59,105,100,100.97,263687
1714017600,98.26,102.32,97.97,102.2,305580
1714104000,102.48,106.15,102.26,105.89,285260
1714363200,106.43,106.73,103.565,105.75,322367
1714449600,105.34,105.72,101.18,101.6,326475
1714536000,102.02,102.9245,99.04,99.16,238968
1714622400,99.16,101.8971,98.39,100.65,331455
1714708800,102.79,104.8,101.05,101.15,222220
1714968000,102.24,105.76,102.0601,105.37,615664
1715054400,109.53,123.99,107,122,979562
1715140800,122,128.58,119.6177,125.68,760487
1715227200,126.26,127.555,124,125.16,484426
1715313600,126.46,129.25,125.02,128.87,399329
1715572800,131.44,131.44,127.7,128.08,497052
1715659200,127.9,128.82,124,127.33,450479
1715745600,129.56,136.1,128.26,135.55,598662
1715832000,135.55,137.63,129.67,130.01,486823
1715918400,130.71,131.49,127.4,128.86,341169
1716177600,130.36,131.76,128.4878,131.2,243830
1716264000,129.74,131.93,128.64,130.56,271958
1716350400,130,131.29,125.45,126.61,295463
1716436800,128.14,128.99,124.73,125.43,304296
1716523200,126.99,128.285,126.33,126.47,264990
1716868800,127.43,128.249,121.22,121.87,349222
1716955200,120.16,122.26,118.6,121.23,274913
1717041600,122.2,125.9266,120.725,124.09,226631
1717128000,125.15,128.53,120.49,122.87,335525
1717387200,124.37,125.39,115.25,117.46,382771
1717473600,116.03,116.245,110.86,112.58,653794
1717560000,113.57,116.74,111.2,116.53,336613
1717646400,116.01,119.89,115.188,115.82,346651
1717732800,115,115.73,112.33,112.73,341129
1717992000,112.14,115.77,111,114.88,388898
1718078400,114,115.45,112.7,114.03,286096
1718164800,117.35,122.58,114.3,119.18,359994
1718251200,119,121.5086,116.66,118.43,224029
1718337600,116.2,117.3,113.19,116.33,233060
1718596800,116,119.425,115.18,119.25,191996
1718683200,119.05,123.4,117.78,122.68,275561
1718856000,122.55,124.34,116.735,117.75,261336
1718942400,117.31,117.31,111.42,116.22,500603
1719201600,116.15,116.6701,113.7728,116.18,250171
1719288000,116.81,118.01,114.1944,117.76,283699
1719374400,116.37,118.42,115.55,118.15,317761
1719460800,118.8,120.13,115.2,119.33,358654
1719547200,121.31,124.5,116.29,118.34,759148
1719806400,118.3,118.3,113.2152,114.76,318605
1719892800,114,115.92,112.5,112.96,311111
1719979200,113.56,117.2,112.99,116.53,132844
1720152000,116.39,116.56,112.6406,113.7,150374
1720411200,115,116.85,112.865,113.03,200706
1720497600,113.07,113.8584,111.06,111.08,191694
1720584000,112.2,114.33,111.25,113.75,216044
1720670400,116.92,118.78,114.78,117.21,320251
1720756800,119.46,123.821,118.38,122.39,356514
1721016000,124.71,130.8865,124.15,129.27,416553
1721102400,129.25,130.57,125,129.46,410465
1721188800,127.53,128.55,111.2,111.3,651986
1721275200,112.52,118.7262,112.52,116.39,473543
1721361600,116.65,117.745,114.78,116.02,727543
1721620800,117.26,122.57,116.7697,121.86,288415
1721707200,121.77,125.4,119.47,124.48,240896
1721793600,124.26,125.14,112.63,113.09,414399
1721880000,113.26,115.63,108.55,110.06,475816
1721966400,114.19,116.2796,113.4,115.28,196649
1722225600,116.68,118.88,112.53,113.39,204085
1722312000,114.62,116.5,109.42,110.1,281059
1722398400,113.97,119.35,112.91,116.36,298106
1722484800,116.49,118.5142,107.34,109.98,606369
1722571200,105,106.76,101.21,104.9,671154
1722830400,94.83,104.81,93.5,102.56,819807
1722916800,111.18,113.96,103.01,106.15,756010
1723003200,109.46,110,101.83,103.96,465865
1723089600,106.93,108.38,104.35,107.91,309965
1723176000,108.39,109.83,104.25,104.56,293213
1723435200,104.46,105.79,102.71,105.6,268890
1723521600,106.71,109.555,104.71,108.6,286014
1723608000,109.96,110.799,107.16,110.59,244925
1723694400,113.1,116.45,113.07,114.67,335460
1723780800,114.52,115.0532,110.815,111.93,227813
1724040000,112,113.92,109.92,113.62,209934
1724126400,113,114.57,109.15,111.31,237173
1724212800,111.4,114.9648,110.95,114.82,186962
1724299200,114.68,115.475,112.3,113.68,137624
1724385600,114.62,119.03,114.12,118.1,220449
1724644800,119.64,119.76,116.98,118.57,154457
1724731200,117.78,118.275,116.31,117.41,172765
1724817600,116.91,118.73,115.45,116.52,178937
1724904000,117.41,122,116.46,119,159550
1724990400,120.42,121.21,117.36,119.53,277210
1725336000,117.8,118.63,106.81,107.06,407181
1725422400,106.07,109.66,105.26,109.44,288058
1725508800,108.97,110,106.3005,109.27,187508
1725595200,109.68,111.75,108.09,109.12,326463
1725854400,109.99,111.75,107.888,109.95,216101
1725940800,110.42,111.85,108.8,111.29,243115
1726027200,111.56,118.27,111.4355,117.13,246023
1726113600,117.79,123.49,116.87,123.17,316563
1726200000,125.48,128,123.94,127.1,232590
1726459200,127.09,129.58,125.86,128.81,188559
1726545600,129.9,132.01,127.47,130.35,212989
1726632000,131,139.275,131,134.94,433191
1726718400,138.99,148.03,136,147.62,623795
1726804800,148.77,152,147.07,148.16,864765
1727064000,149.25,151.5,145.13,148.9,317665
1727150400,148.29,149.42,144.32,145.67,296147
1727236800,145.63,147.9,145.05,145.94,245263
1727323200,149.27,149.672,145.67,145.84,372299
1727409600,146.41,147.93,142.56,143.26,223920
1727668800,143.25,145.64,140.25,145.02,224642
1727755200,143.87,144.6,141.49,142.94,179130
1727841600,141.48,146.815,140.05,146.08,155349
1727928000,145.19,147.372,142.35,144.87,137714
1728014400,148.52,148.78,143.62,148.05,147731
1728273600,146.62,150,145.7618,147.54,149893
1728360000,148.52,152.3702,148.29,151.14,267777
1728446400,150.75,154.38,149.39,154.09,225146
1728532800,151.5,155.62,148.6087,155.35,292371
1728619200,154.11,157.37,154.11,157.1,159424
1728878400,157.97,160.575,156.6428,159.67,248087
1728964800,158.34,159.9,151.47,156.11,282724
1729051200,158.12,166.85,157.89,166.23,404957
1729137600,167,170.5,164.95,165.4,304055
1729224000,165.32,166.5661,159.04,159.84,643189
1729483200,159.7,166.48,159.7,164.03,428836
1729569600,162.13,164.13,160.0402,160.57,734533
1729656000,159.42,162.8341,155.31,157.13,268095
1729742400,158.13,159.0975,153.25,153.36,199043
1729828800,155.41,156.6353,148.52,150.66,638184
1730088000,150.67,154.19,148.5,152.58,367036
1730174400,152.25,156.3,150.55,156.13,268761
1730260800,154.93,158.4,153.18,153.47,250145
1730347200,152.13,155.399,149.15,154.45,244458
1730433600,155.51,157.627,153,153.66,242079
1730696400,151.32,155.02,150.48,151.54,246732
1730782800,152.97,158.99,152.705,157.22,270745
1730869200,171.99,176.22,169.19,175.42,529286
1730955600,157.88,175.6,149.01,174.31,826453
1731042000,175.61,194.0675,175.0545,193.61,482787
1731301200,198.01,201.2698,189.34,194.7,413432
1731387600,192.8,197.72,188.4,191.5,414961
1731474000,193.99,196,186.28,186.65,251156
1731560400,185,187.755,180.945,182.39,318540
1731646800,182.33,182.8099,178.6954,180.03,375533
1731906000,181.37,188.53,180.47,185.75,324106
1731992400,183.02,193.38,183.02,192.97,296381
1732078800,193.36,193.92,187.86,189.43,297190
1732165200,191.97,198.83,190.625,197.41,308817
1732251600,198.62,199.5599,194.3,196.51,285784
1732510800,199.04,200,194.63,196.33,480284
1732597200,194.5,203.49,191.26,199.03,759800
1732683600,198.03,201.99,191.65,195.41,632073
1732856400,196.75,200.25,194.35,194.45,319842
1733115600,195.61,200.91,193.4726,194.28,423408
1733202000,193.5,197.92,193.4,195.54,309148
1733288400,196.83,200.08,195.22,198.82,290888
1733374800,197.5,201.3299,191.58,194.66,386713
