T,O,H,L,C,V
1713844800,26.61,27.88,26.58,27.22,233114
1713931200,27.55,27.95,27.14,27.31,190354
1714017600,26.85,27.54,26.4708,27.52,588865
1714104000,27.98,28.165,27.35,27.54,335568
1714363200,27.53,28.16,27.32,27.42,386376
1714449600,27.26,28.57,27.26,28.04,366043
1714536000,27.71,28.77,27.71,28.23,247015
1714622400,28.63,28.63,26.28,26.81,318207
1714708800,27.19,27.72,26.04,26.45,277658
1714968000,26.45,26.72,26,26.67,231527
1715054400,26.76,28.08,26.21,27.64,381823
1715140800,27.6,27.61,26.39,26.91,575731
1715227200,24.19,24.19,20.01,21.1,4692275
1715313600,21,22.4,20.51,21.82,2410918
1715572800,22.25,23.96,22.21,22.59,946987
1715659200,22.95,22.95,20.99,21.34,882291
1715745600,21.42,21.87,20.41,20.52,877837
1715832000,20.84,21.26,20.01,20.91,612916
1715918400,21,21.14,20.21,20.71,1102133
1716177600,20.69,22.36,20.08,20.15,760919
1716264000,20.07,20.98,19.15,19.26,690278
1716350400,19.14,20.09,18.85,19.39,685438
1716436800,19.7,21.28,19.43,20.15,1158984
1716523200,20.37,20.6,19.81,19.97,412416
1716868800,19.39,20.39,19.2,19.5,592310
1716955200,19.6,19.715,19.02,19.16,389620
1717041600,19.68,19.99,19.3,19.57,338222
1717128000,19.6,20.89,19.44,20.32,650399
1717387200,20.36,20.9,19.61,20.11,372158
1717473600,19.87,20.11,19,19.01,715509
1717560000,18.95,18.95,18.2,18.45,720345
1717646400,18.31,19.27,18.24,19.17,409300
1717732800,19.14,19.97,18.531,18.62,494866
1717992000,18.6,19.17,18.26,18.5,466371
1718078400,18.54,18.54,17.68,18.16,721522
1718164800,18,18.785,18,18.44,310021
1718251200,18.44,18.78,18.14,18.3,410880
1718337600,18.17,18.495,17.66,17.77,521003
1718596800,18.32,18.35,17.27,18.05,831706
1718683200,18.18,18.51,17.46,17.54,524822
1718856000,17.4,18.145,17.1,17.5,689001
1718942400,17.42,17.94,17.3,17.79,1289465
1719201600,17.75,17.86,16.81,16.93,554300
1719288000,16.81,17.77,16.56,17.22,648142
1719374400,17.22,17.3716,16.88,17.16,281177
1719460800,17.05,19.47,16.85,18.73,1447079
1719547200,18.67,18.87,17.83,18.34,809891
1719806400,18.35,19.37,18.3,18.73,498026
1719892800,18.57,18.57,17.78,18,519785
1719979200,18.11,18.165,17.48,17.98,316842
1720152000,17.96,18.53,17.8633,18.53,272089
1720411200,18.55,19.3,18.23,18.54,449720
1720497600,18.44,19.2,17.931,19.2,398017
1720584000,19.48,20.13,19.28,19.66,748072
1720670400,19.65,21,19.65,20.95,693769
1720756800,21,22.83,20.61,21.71,1621829
1721016000,21.31,21.9,20.93,21.25,938734
1721102400,21.68,22.25,21.68,22.02,973765
1721188800,21.91,22.52,21.32,21.67,437800
1721275200,21.75,22.28,21.46,21.73,597569
1721361600,22,22,20.55,21.38,385744
1721620800,22.22,22.45,21.16,21.58,540634
1721707200,21.53,22.15,21.35,21.52,554016
1721793600,21.44,21.92,21.18,21.75,630754
1721880000,21,21.145,18.985,19.79,2313150
1721966400,20.05,20.44,19.4401,19.6,333056
1722225600,19.6,20.055,19.2,19.48,838742
1722312000,19.48,20.095,19.02,19.92,530552
1722398400,20.09,20.79,19.5,20.68,354455
1722484800,20.6,20.905,19.145,19.54,558870
1722571200,19.25,19.51,18.41,19.21,510406
1722830400,18.31,19.3,18.0233,18.79,600852
1722916800,18.5,21.4,17.94,19.87,997820
1723003200,20.21,20.89,19.455,19.62,535297
1723089600,19.63,20.3825,19.52,20.18,321387
1723176000,19.96,20.48,19.6,20.39,177415
1723435200,20.28,20.55,19.765,19.92,117144
1723521600,20.24,20.93,19.93,20.7,410263
