T,O,H,L,C,V
1713844800,13.48,13.48,13.11,13.19,390636
1713931200,12.85,13.7399,12.85,13.13,101161
1714017600,13.44,13.44,13.08,13.19,138532
1714104000,13.176,13.44,12.86,12.98,231190
1714363200,13.114,13.114,12.98,13.08,198770
1714449600,12.51,12.96,12.51,12.82,173308
1714536000,12.955,13.02,12.9,12.92,52069
1714622400,12.8715,13.09,12.8715,13.09,100307
1714708800,12.969,13.19,12.92,13.19,93416
1714968000,13.25,13.25,12.92,13.14,114390
1715054400,12.48,12.95,12.48,12.9,201957
1715140800,12.91,12.91,12.71,12.76,73267
1715227200,12.95,12.95,12.8901,12.92,184588
1715313600,13.1,13.4,12.6,13.18,862062
1715572800,13.29,13.29,12.86,12.86,247434
1715659200,13.2,13.2,12.886,12.95,129422
1715745600,12.9125,12.99,12.876,12.97,132818
1715832000,12.61,13.02,12.61,12.96,131929
1715918400,12.815,12.97,12.64,12.95,122625
1716177600,13,13.06,12.98,13.02,156522
1716264000,13.4,13.4,12.97,12.97,151918
1716350400,12.51,13.3,12.51,12.89,261782
1716436800,12.965,13.32,12.76,12.78,241838
1716523200,12.67,12.89,12.66,12.87,125669
1716868800,12.95,13.07,12.84,12.87,193418
1716955200,12.4301,12.82,12.4301,12.71,184472
1717041600,12.818,12.97,12.678,12.95,168520
1717128000,13.26,13.26,12.47,12.87,202473
1717387200,12.6,13.22,12.6,12.91,175029
1717473600,12.67,13.19,12.67,13.08,154796
1717560000,12.68,13.58,12.68,13.23,102008
1717646400,12.76,13.25,12.76,13.23,103880
1717732800,12.81,13.12,12.81,13.07,50808
1717992000,12.57,13.08,12.57,13.08,118452
1718078400,12.56,13.075,12.56,12.97,155693
1718164800,13.1075,13.43,12.94,12.95,146723
1718251200,12.5,12.88,12.5,12.82,125211
1718337600,12.79,12.838,12.61,12.67,116200
1718596800,13.03,13.03,12.61,12.7,162180
1718683200,11.96,12.71,11.96,12.37,365047
1718856000,11.91,12.55,11.91,12.15,175837
1718942400,11.79,12.16,11.79,12.12,373857
1719201600,12.11,12.5,12.11,12.12,569956
1719288000,12.1015,12.26,12,12.25,346978
1719374400,12.0675,12.29,12.0675,12.2506,177132
1719460800,11.81,12.24,11.81,12.14,224464
1719547200,12.55,12.55,11.908,12.2,301516
1719806400,12.1975,12.49,12.05,12.05,385630
1719892800,12.27,12.27,12,12.22,411014
1719979200,12.51,12.51,12.16,12.22,172332
1720152000,11.99,12.74,11.99,12.32,347577
1720411200,12.74,12.74,12.2,12.215,348537
1720497600,12.6,12.6,12.02,12.03,170197
1720584000,12.44,12.44,11.944,12.05,166852
1720670400,11.7,11.7,11.4,11.5,412224
1720756800,11.55,11.7,11.45,11.45,221203
1721016000,11.72,11.7965,11,11.42,388489
1721102400,11.08,11.323,11.08,11.27,540271
1721188800,11.5,11.5,11.32,11.36,175349
1721275200,11.505,11.54,11.39,11.43,246584
1721361600,11.43,11.43,11.34,11.37,276598
1721620800,11.25,11.92,11.25,11.4,470668
1721707200,11.45,11.51,11.43,11.46,292125
1721793600,11.84,11.84,11.29,11.29,228040
1721880000,11.26,11.39,11.26,11.35,477453
1721966400,11.35,11.67,11.2,11.27,454371
1722225600,11.99,11.99,11.41,11.47,717686
1722312000,11.9,12.05,11.57,11.64,471147
1722398400,12.17,12.17,11.8,11.95,258136
1722484800,11.936,11.936,11.82,11.84,283054
1722571200,11.56,12,11.56,11.945,355309
1722916800,11.19,12.09,11.19,11.56,463617
1723003200,12.13,12.13,11.48,11.48,401089
1723089600,11.95,11.95,11.355,11.5,455193
1723176000,11.4,11.42,11.3,11.42,767237
1723435200,11.87,11.87,11.3,11.42,527816
1723521600,12.11,12.11,11.65,11.8,392156
1723608000,11.88,11.88,11.77,11.81,122438
1723694400,11.88,11.95,11.676,11.9456,334753
1723780800,11.89,11.89,11.5,11.64,115789
1724040000,14.24,15.21,14.2,14.9,972978
1724126400,13.7,13.7,13.178,13.18,425778
1724212800,13.8,14.02,13.8,14.01,531272
1724299200,14.03,14.03,13.29,13.84,26363
1724385600,14.5,14.5,13.82,14.12,147611
1724644800,14.3,14.3,14.03,14.11,541048
1724731200,14.47,14.55,14.3,14.43,1275276
1724817600,14.23,15.28,14.23,14.32,136619
1724904000,15.22,15.22,14.62,14.73,558404
1724990400,14.51,14.51,14.28,14.46,198865
1725336000,14.8,15.2823,14.8,14.9,933520
1725422400,14.82,15.24,14.82,15.12,328333
1725508800,14.63,14.63,14.01,14.53,423335
1725595200,14.405,14.9,14.405,14.73,274655
1725854400,15.82,15.82,15.02,15.43,423944
1725940800,15.7,15.75,14.67,15.13,369947
1726027200,15.23,15.23,14.85,15,260211
1726113600,15.75,15.75,15.35,15.62,306021
1726200000,15.15,15.23,14.86,14.9,233522
1726459200,14.78,15.17,14.78,15.12,309721
1726545600,15.25,15.35,15.15,15.22,209921
1726632000,15.125,15.26,15.04,15.06,467771
1726718400,14.875,15.2,14.875,15.19,85310
1726804800,14.51,15.04,14.51,14.97,180403
1727064000,15.55,15.55,14.9,15.05,63796
1727150400,14.89,14.9,14.82,14.86,143698
1727236800,14.8,15.032,14.8,14.97,66139
1727323200,15.05,15.26,15.05,15.22,83826
1727409600,15.2738,15.2738,14.99,14.99,73207
1727668800,14.9985,15.1,14.82,14.97,65808
1727755200,14.45,15.9,14.45,14.9,155046
1727841600,14.81,14.84,14.7,14.82,70018
1727928000,14.5,14.71,14.42,14.58,59404
1728014400,14.936,15.015,14.83,14.9,92858
1728273600,14.95,14.96,14.9,14.9475,116455
1728446400,15.5,16,15.5,15.84,87210
1728532800,15.065,15.53,14.99,15.53,129821
1728619200,15.365,15.51,15.33,15.35,73277
1728878400,15.33,15.46,15.27,15.33,74190
1728964800,15.24,15.32,14.4,14.88,453211
