T,O,H,L,C,V
1713844800,89.5,91.12,89.43,90.74,1095537
1713931200,90.24,91.11,89.81,90.27,1282576
1714017600,89,89.825,87.38,88.83,2399245
1714104000,88.99,90.36,88.71,89.71,1484232
1714363200,90.47,91.735,90.33,90.96,1145721
1714449600,90.27,92.5,90.27,91.4,2636286
1714536000,90.98,93.51,89.9,91.9,2939477
1714622400,84.65,85.4,83.02,84.99,7178565
1714708800,86.5,88.3889,84.49,85.8,3145797
1714968000,87.17,87.63,86.56,87.01,2757337
1715054400,87.62,88.16,87.23,87.29,1501574
1715140800,86.41,86.4856,85.77,85.88,1450717
1715227200,85.78,88.41,85.77,88.16,1318213
1715313600,88.62,89.97,88.4359,89.84,1344375
1715572800,90.2,91.48,89.86,90.2,1061304
1715659200,91.17,92.31,91.1,91.8,1294480
1715745600,92.93,93.335,91.06,91.39,1528043
1715832000,91.02,91.02,89.38,89.79,1570355
1715918400,90.13,90.21,89.41,90.12,932231
1716177600,90.2,90.39,89.42,89.56,797076
1716264000,89.21,89.295,88.07,88.17,856317
1716350400,88.01,88.6,87.03,87.17,1166311
1716436800,87.19,87.365,85.35,86,1220498
1716523200,86.25,86.82,85.58,86.13,569831
1716868800,86.32,86.455,84.65,84.92,1389164
1716955200,84,84,82.89,82.94,1053195
1717041600,83.39,85.4,83.3,85.35,1098355
1717128000,85.5,87.28,85.3,87.17,1512081
1717387200,87.63,87.9,85.29,86.99,1720052
1717473600,84.39,84.905,82.97,83.02,2187568
1717560000,83.17,84.53,83.02,84.42,1004439
1717646400,84.02,84.233,82.94,83.49,1076661
1717732800,82.49,83.43,82.13,82.46,1123052
1717992000,81.69,82.55,81.31,82.02,1549933
1718078400,81.5,84.1,80.62,83.69,1941050
1718164800,86.16,89.07,86.14,86.98,2173429
1718251200,86.4,86.86,84,85.89,1548293
1718337600,84.71,85.44,82.62,83.55,855873
1718596800,83.2,84.78,83.2,84.36,944101
1718683200,84.36,85.28,83.51,84.13,1155724
1718856000,83.77,84.73,83.32,84.06,841267
