T,O,H,L,C,V
1713844800,97.91,99.96,97.615,99.3,2017045
1713931200,101.84,102.635,100.35,101.12,1904522
1714017600,100.74,103.555,100.305,102.95,2473410
1714104000,102.7,104.785,102.7,104.3,1578071
1714363200,104.75,108.04,104.745,107.86,2601659
1714449600,107.29,108.94,106.55,106.59,3594070
1714536000,91.07,94,89.78,90.3,9095630
1714622400,91.01,92.235,89.09,89.72,4018726
1714708800,92.19,93.49,90.9,92.51,3562773
1714968000,92.79,92.98,91.5,91.78,2145062
1715054400,92.44,93.465,92.08,92.56,1686143
1715140800,91.75,93.31,91.51,93.24,1845412
1715227200,92.8,93.215,92.03,92.25,2366993
1715313600,92.45,92.75,91.29,92.2,1772706
1715572800,92.39,94.085,92.39,93.9,1661813
1715659200,94.74,95.71,94.22,94.42,1815806
1715745600,95.25,95.25,93.37,94.39,2399549
1715832000,94.01,95.24,93.6,94.09,2197089
1715918400,94.8,94.8,92.81,93.62,1545698
1716177600,93.16,94.62,93.02,94.05,1806229
1716264000,92.68,93.44,91.55,92.45,1631425
1716350400,93.36,93.84,92.18,93.43,2314578
1716436800,94.09,94.11,90.61,91.21,2289643
1716523200,92.15,92.4799,91.38,92.16,1705901
1716868800,92.51,93.13,90.82,91.35,2568352
1716955200,90,91,89.88,90.02,2417383
1717041600,90.72,91.62,90,90.68,1914944
1717128000,91,92.75,89.53,92.66,2445549
1717387200,93.31,93.38,90.37,91.39,1756587
1717473600,91.41,91.45,89.58,90.68,2115508
1717560000,91.5,92.35,90.12,92.28,2075626
1717646400,91.72,92.3192,90.76,91.72,1556861
1717732800,91.59,91.805,90.49,90.81,1304145
1717992000,90.08,94.34,90,93.52,2431261
1718078400,93.06,96.43,91.76,96.22,3307459
1718164800,97.88,103.85,97.75,102.64,6255097
1718251200,102.89,106.9999,101.93,106.33,5540825
1718337600,105.27,105.89,103.98,104.37,3280343
1718596800,104.31,106.86,103.28,106.3,2293306
1718683200,106.16,107.075,105.45,106.46,2248872
1718856000,107.38,107.59,105.44,105.8,2672109
1718942400,105.3,106.67,104.7601,106.38,5346202
