T,O,H,L,C,V
1713844800,50,50.6,49.82,50.48,3368009
1713931200,50.8,51.255,50.3,50.6,3250090
1714017600,49.92,50.44,49.64,50.42,2555209
1714104000,51.755,51.89,50.35,50.6,4542364
1714363200,49,49.51,48.63,49.13,3834339
1714449600,48.89,49.22,48.24,48.26,2941646
1714536000,48.18,49.35,48.06,48.74,1722975
1714622400,50.1,51.29,49.795,50.94,4498734
1714708800,51.62,53.38,51.3,53.3,4988915
1714968000,53.4,54.29,53.12,53.87,3487845
1715054400,52.91,52.91,51.81,52.7,2807648
1715140800,52.42,53.555,52.38,53.29,3614787
1715227200,52.7,53.33,52.12,53.22,3757423
1715313600,53.39,53.96,53.15,53.56,3564660
1715572800,54,54.93,53.87,54.9,4473037
1715659200,54,55.72,53.89,55.7,3141638
1715745600,55.7,55.88,54.95,55.77,2544772
1715832000,55.5,56.445,55.37,56.41,3645287
1715918400,56.43,57.9,56.43,56.83,4218869
1716177600,56.5,58,56.29,57.05,4351451
1716264000,56.45,56.49,54.62,55.83,6450437
1716350400,55.86,56.08,53.665,54.5,4155074
1716436800,50.66,52.69,50.43,51.96,8866190
1716523200,52.06,53.13,52.06,52.75,2920676
1716868800,52.74,52.95,52.09,52.26,2731892
1716955200,50.73,51.61,50.56,51.38,2752640
1717041600,51.69,52.06,51.38,51.77,3322460
1717128000,50.61,51.64,50.55,51.51,3560105
1717387200,51.89,52.67,51,51.74,2540220
1717473600,49.7,50.81,49.68,50.16,4652991
1717560000,50.5,51.73,50.49,51.65,11613484
1717646400,52.21,52.43,51.82,52.045,2672314
1717732800,51.6,51.665,51.11,51.4,1944158
1717992000,51.26,51.99,51.01,51.64,2141832
1718078400,51.72,51.72,50.67,51.08,2549641
1718164800,51.2,51.2,50.62,50.78,2981445
1718251200,50.58,51.09,50.31,50.68,3628118
1718337600,50.16,50.44,49.75,50.27,2627474
1718596800,50.44,50.74,49.66,50.24,1991875
1718683200,49.5,50.32,49.42,49.95,2211172
1718856000,50.13,50.64,49.88,49.98,4291784
1718942400,49.25,49.98,48.16,48.35,4528208
1719201600,48.07,48.98,48.03,48.72,4253391
1719288000,48.63,49.2,48.3,48.47,2345962
1719374400,48.8,49.0922,48.2,48.87,3214896
1719460800,48.11,48.26,47.45,47.5,2888977
1719547200,47.21,47.72,46.5,47,3632427
1719806400,47.3,47.575,46.79,47.55,1477202
1719892800,47.78,47.85,46.86,47.71,2167600
1719979200,48.67,49.875,48.52,49.66,2692742
1720152000,49.46,50.295,49.38,49.76,2482153
1720411200,49.52,49.69,49.04,49.56,3410350
1720497600,49.85,51.44,49.71,50.91,3345709
1720584000,50.41,50.43,48.9,48.99,3441770
