T,O,H,L,C,V
1713844800,194.11,201.53,193.8803,199.44,957402
1713931200,198.54,202.05,198.01,199.01,838206
1714017600,195,199.6,191.83,198.41,2227904
1714104000,182.73,183.9,172.345,179.45,5866981
1714363200,180.51,182.37,175.09,177.07,2194900
1714449600,174.66,176.29,171,172.3,2670421
1714536000,173.36,178.395,168.2,172.77,1683650
1714622400,179.3,186.65,176.67,183.55,3234205
1714708800,186.3,189.48,182.02,183.52,1526433
1714968000,184.5,186.32,180.78,181.77,1468485
1715054400,181.29,185.34,178.95,184.12,1346665
1715140800,181.21,181.9999,178.08,178.52,1166697
1715227200,180,181.97,178.59,179.85,776834
1715313600,180,183,178.89,179.75,835330
1715572800,181.67,182.98,179.92,182.83,1254041
1715659200,182.83,186.085,182.255,184.08,1134089
1715745600,186.73,186.835,181.97,184.21,1424049
1715832000,183.35,184.03,179.94,182.21,1623884
1715918400,181.58,183.14,178.87,179.72,1204376
1716177600,179.71,180.25,177.91,179.84,1375758
1716264000,178.5,179.46,177.6,178.05,847779
1716350400,179,179,172.71,174.8,1638503
1716436800,175.9,176.58,172.6325,174.18,1055326
1716523200,172.95,173.6,168.71,168.86,1928281
1716868800,168.81,168.81,163.83,164.82,3895941
1716955200,160.68,166.93,159.495,165.76,4530239
1717041600,162.93,163.98,159.31,160.39,3053904
1717128000,160.24,161.47,154.02,156.86,4389794
1717387200,158.46,159.54,156.28,159.42,1550330
1717473600,158.01,161.9,157.05,157.94,1766872
1717560000,158.52,159.33,156.71,157.88,1587445
1717646400,158,164.69,157.5501,163.46,1752997
1717732800,161.75,163.6,159.52,163.36,1004552
1717992000,162.87,164.84,161.41,162.17,1098752
1718078400,161.82,163.5249,161.42,163.16,1083307
1718164800,166.01,166.345,162.38,162.83,1240458
1718251200,162.83,163.71,155.13,156.02,1738367
1718337600,157.49,160.3875,156.11,160.09,1444094
1718596800,157.5,158.525,154.48,156.62,1536273
1718683200,155.5,155.97,152.7,153.18,1302612
1718856000,153.42,157.88,152.3401,157.52,1492003
1718942400,158.72,163.44,157.15,162.46,3450250
1719201600,162.05,165.71,160.67,164.75,1753542
1719288000,165.49,168.19,163,167.45,1350125
1719374400,167.45,171.9,166.0601,171.66,1984521
1719460800,171.66,176.64,171.2,172.99,2128955
1719547200,173.52,178.39,172.91,176.88,1847166
1719806400,176.88,178.46,173.94,178.25,1114539
1719892800,183.49,186.315,179.17,182.28,1762402
1719979200,182.7,185.01,181.43,182.26,816031
1720152000,181.97,188.06,181.1034,187.32,938333
1720411200,185.26,185.87,180.05,181.8,1332086
1720497600,182.54,182.62,177.09,177.98,1747208
1720584000,178.49,178.49,168.37,174.45,1890732
1720670400,177.56,181.58,176.57,177.63,1304916
1720756800,176.73,182.76,176.73,181.45,1477612
1721016000,181.6,182.165,178.94,179.95,1040941
1721102400,179.95,184.5399,179.95,183.17,959323
1721188800,184.38,184.43,178.87,178.92,1401170
1721275200,179.7,182.38,175.49,176.1,1077027
1721361600,175,177.07,174.41,176.5,1024688
1721620800,178.14,178.72,174.34,175.55,1222300
1721707200,170.17,177.07,168.39,175.12,1549843
1721793600,172.59,174.26,167.25,167.6,1466520
1721880000,171.01,182.27,169.85,178.22,2336977
1721966400,179.69,179.69,174.58,177.32,1314394
1722225600,177.49,181.24,177.27,178.14,1037285
1722312000,178,179.49,172.58,174.38,1168270
1722398400,178.47,178.69,174.965,176.57,1178775
1722484800,176.73,179.19,170.11,173.24,2384811
1722571200,152.67,154.68,141.21,143.68,8355883
1722830400,136.69,149.56,135.29,142.85,4177267
1722916800,143.79,143.79,139.43,139.85,2630465
1723003200,142.09,145.3,137.34,137.41,2635896
1723089600,139,140.17,136.84,138.79,1527087
1723176000,138.33,142.76,137.27,141.43,1534231
1723435200,140.79,142.39,139.52,140.55,3059955
1723521600,141.34,146.17,139.23,143.2,3866102
1723608000,142.32,145.34,142.32,143.5,2110324
1723694400,145.1,147.2899,144.85,146.83,2072603
1723780800,146.08,154.74,145.88,154.21,2503515
1724040000,154.21,159.07,152.79,159,2052596
1724126400,158.4,158.62,154.41,156.29,1880246
1724212800,156.29,158.4,155.6,158.34,1408128
1724299200,156.65,161.12,154.91,155.87,1292709
1724385600,158.28,160.27,155.85,160,1307830
1724644800,160.34,165.98,160.34,165.02,1973769
1724731200,164.09,166.89,163.85,164.32,1503625
1724817600,163,163.87,159.935,161.94,1585288
1724904000,163.18,169.72,163.18,167.45,1198712
1724990400,167.84,168.31,165.39,165.6,1428699
1725336000,163.25,165.49,162.42,163.8,1514470
1725422400,161.29,165.39,160.6501,162.3,1540072
1725508800,160,162.7,159.1,161.9,1743559
1725595200,162.49,165.37,159,161.31,1947457
1725854400,162.64,165.84,161.98,162.69,1339939
1725940800,163.71,163.71,157.94,162.25,1465978
1726027200,163.01,167.2,161.39,166.1,1364879
1726113600,166.35,168.67,165.315,165.69,1077424
1726200000,165.78,166.37,162.81,163.74,1708587
1726459200,163.55,165.75,162.995,165.15,1411603
1726545600,159.875,161.9999,154.071,155.82,3328509
1726632000,156.68,163.31,156.01,159.84,2445466
1726718400,163.07,166.88,161.1,163.1,1963037
1726804800,163.11,163.92,161.52,163.08,2362319
1727064000,163.69,164.1272,160.8242,161.98,1291608
1727150400,161.77,165.155,161.01,162.62,2233741
1727236800,161.85,163.79,160.45,161.9,1723237
1727323200,163.99,164.675,160.75,163.14,1350580
1727409600,163.99,163.99,160.41,161.22,1428798
1727668800,161.13,162.235,157.95,158.81,1166229
1727755200,163.23,163.38,155.37,161.42,2568479
1727841600,161.92,162.625,159.025,160.24,926491
1727928000,158,161.19,157.79,160.44,974486
1728014400,162,171.84,161.08,171,1916991
1728273600,170.24,171.3,167.25,167.53,1673499
1728360000,167.18,170.9,165.92,168.02,1399270
1728446400,168.02,177.63,168.02,177.1,1904092
1728532800,176.73,184.5298,175.59,184,2056146
1728619200,185.5,192.3143,185.37,187.06,2969550
1728878400,189.81,196.25,189.35,194,3627723
1728964800,193,195.61,190.27,190.89,1849533
1729051200,191.9,193,187.24,189.35,1626648
1729137600,191.2,191.6694,186.1201,188.5,1213509
1729224000,188.79,193.88,186.53,191.7,1503496
1729483200,190.3,193.69,189.81,192.83,1731295
1729569600,190.84,195.95,190.35,193.87,1537347
1729656000,191.79,192.8599,186.985,188.76,1341708
1729742400,188,191.75,187.37,189.35,1404039
1729828800,190.54,192.97,188.23,188.73,1585653
1730088000,190,190.31,187.75,188.66,1429828
1730174400,190,193.3,187.575,191.74,1828614
1730260800,190.34,194.9427,190.26,190.44,1978849
1730347200,190.36,191.34,187.64,188.54,3718648
1730433600,225.45,229.16,214.69,224.35,9591126
1730696400,216.65,221.3799,215,218.96,3569874
1730782800,218.33,222.4,214.89,221.58,2935464
1730869200,223.99,228.25,221.49,225.57,2422900
1730955600,225.75,236.275,225.75,233.96,2725735
1731042000,233.89,238.29,231.83,237.8,2514459
1731301200,238,247.15,237.8,245.85,3007002
1731387600,242.01,248.5934,241.93,245.28,2267379
1731474000,245,255.01,244.3,252.78,2565379
1731560400,250.1201,256.39,248.73,249.99,2784556
1731646800,244.73,247.5699,238.38,240.04,2279443
1731906000,239.3,242.02,236.68,238.69,2227687
1731992400,238.38,248.0096,235.53,247.73,2677924
1732078800,247.33,249.92,241.82,245.45,1516253
1732165200,246.45,255.87,246.45,253.97,2142369
1732251600,254.99,262,253.26,260.58,2162105
1732510800,262.02,269.4,260,261,2699212
1732597200,261.49,264.63,260.21,262.23,1345808
1732683600,262,263.69,258,262.46,1422975
1732856400,262.41,265.89,261.84,263.58,828438
1733115600,263,267.61,262.845,265.88,1144296
1733202000,265,269.39,264,268.36,1389210
1733288400,275.185,287.97,268.3,287.5,3098451
1733374800,283.95,285.375,276,276.72,1809171
1733461200,279.31,280.88,276.74,278.5,2452579
1733720400,279.75,281.6576,272.33,273.14,2330366
1733806800,273,276.79,264.34,266.45,2381519
1733893200,269.45,274.9501,267.02,274.65,1738668
1733979600,271.75,279.81,271.75,279.18,1408555
1734066000,276.55,279.9,274.58,278.65,1528497
1734325200,276.29,280.44,274.85,278.09,1256991
1734411600,277.21,278.925,269.435,269.79,2849856
1734498000,269.31,270.275,249.62,250.19,3544999
1734584400,255.57,259.15,249.4,251.23,2026000
1734670800,247.08,257.805,246.01,257.26,3001768
1734930000,259.49,259.49,250.37,251.4,1559652
1735016400,252.69,257.72,251.02,257.49,844540
1735189200,255,256.9,254.19,254.24,1627573
1735275600,253.66,253.66,247.56,250.11,934044
1735534800,246.23,248.86,243.39,247.1,799477
1735621200,248.25,248.77,241.515,243.38,1146659
1735794000,244.53,246.37,239.92,242.39,2096799
1735880400,244.51,251,242.89,250.27,2125250
1736139600,255.25,259.5,251.43,254.63,2586288
1736226000,259.72,262.11,246.59,247.85,1599392
1736312400,245.37,248.545,239.96,244.49,1659846
1736485200,248.28,248.58,241.43,242.39,1809159
1736744400,238.39,239.79,235.44,236.24,1091869
1736830800,239.73,247.33,238.41,246.4,2049881
1736917200,255.02,258.78,248.085,250.03,1713723
1737003600,255.16,256.32,252.54,254.25,1819080
1737090000,259.85,259.85,251.49,252.36,1192862
1737435600,254.04,257.85,252.0501,256.19,1153285
1737522000,260.35,261.2,257.45,260.85,1341521
1737608400,261.66,269.38,258.635,265.7,1787031
1737694800,267.41,271.53,264.03,264.81,1143483
1737954000,262.59,277.15,260.45,268,2005117
1738040400,266.02,282,264.9,274.71,2530179
1738126800,273.49,274.7699,266.23,271.33,1652541
1738213200,264.65,270.87,262.38,266.95,4077010
1738299600,320.51,324.37,300.79,306.78,8332696
1738558800,299.11,315.67,296,311.4,3125070
1738645200,310.81,322,310.47,316.73,1928249
1738731600,316.74,321.525,314.4392,320.8,1603620
1738818000,320.41,324.2,318.0142,319,1406343
1738904400,320.45,322.5048,312.93,314.28,1206348
1739163600,319.84,325.9999,316.5,322.94,2042085
1739250000,318.48,324.16,314.81,315,1214708
1739336400,313.63,318.495,310.6375,318.45,1225725
1739422800,318.45,320.88,313.77,316,1460240
1739509200,312.58,314.35,307.31,313.1,2882532
1739854800,314,316.99,308.8,315.44,2265931
1739941200,311.27,315.03,302.52,303.72,2334849
1740027600,299.81,303.33,293.0501,298.49,1738936
1740114000,296.86,298.63,283.46,285.99,1717559
1740373200,286.19,286.77,274.7,284.06,1502433
1740459600,280.2,285.855,273.54,284.26,1551661
1740546000,286,293.53,286,288.76,2126581
1740632400,291.61,295.91,278.15,278.48,1480886
1740718800,277.3,284.35,273.9301,284.26,2208697
1740978000,284.69,287.2599,272.5,274.22,1641968
1741064400,270.1,278.11,262.27,273.62,2119290
1741150800,273.87,277.205,269,276.73,1853476
1741237200,268.69,271.46,249.54,250.66,2389670
1741323600,249.62,251,229.19,238.86,3872751
1741579200,230.58,231.105,212.97,215.89,4914662
1741665600,216.08,226.94,215.9,224.1,3752314
1741752000,231,233.2,224.39,226.44,2804139
1741838400,224.02,224.19,207.51,208,4236030
1741924800,214.3,221.24,212.695,218.44,3067073
1742184000,216.18,224.52,216.18,220.98,2116621
1742270400,219.99,221.47,213.04,219.45,2419233
1742356800,220.34,233.56,219.98,229.86,3164664
1742443200,226.33,230.89,224.28,226.16,2300618
1742529600,222.06,228.11,218.4207,227.34,2518446
1742788800,233.63,236.5,231.49,234.62,1897488
1742875200,235.36,238.7087,234.02,236.22,1531338
1742961600,235,237.315,227.44,229.65,1447189
1743048000,227.71,228.055,221.7801,222.64,1755362
1743134400,221.5,223.11,214.01,217.99,2418976
1743393600,212.17,213.5,205.42,212.21,2397698
1743480000,211.17,216.45,207.48,216.41,2425541
1743566400,215.47,227.31,214,223.96,2334475
1743652800,209.82,211.05,195.68,198.35,3317643
1743739200,193.775,194,181.78,187.67,3207103
1743998400,176.42,197.22,173.4585,186.61,3786042
1744084800,193.63,198.69,179.87,183.84,2513561
1744171200,183.72,213.08,178.66,209.62,4516329
1744257600,202,204.14,193.46,198.03,3850254
1744344000,199.36,201.405,190.95,198.37,2003603
1744603200,206.98,210.5,198.43,200.99,2031851
1744689600,199.84,208.37,199.84,207.25,2247235
1744776000,204.31,210.41,201.33,205.31,2731895
1744862400,205.18,206.66,201.2,202.75,1564467
1745208000,200,201.24,190.46,192.84,2297608
