T,O,H,L,C,V
1713844800,7.81,8.04,7.635,7.8,181829
1713931200,7.91,7.91,7.49,7.62,89291
1714017600,7.55,7.7,7.55,7.62,42170
1714104000,7.7,8.09,7.56,7.99,266514
1714363200,7.91,8.03,7.835,7.92,119427
1714449600,7.89,8.07,7.724,7.75,177700
1714536000,7.83,8,7.59,7.94,97544
1714622400,8.12,8.13,7.86,7.91,123349
1714708800,8.1,8.58,8,8.58,432909
1714968000,8.7,9,8.625,8.75,506507
1715054400,8.64,9.3299,8.64,9.23,675769
1715140800,9.29,9.7799,9.0903,9.65,573626
1715227200,9.65,9.97,9.2033,9.37,306980
1715313600,9.5,9.57,9.2895,9.47,218899
1715572800,9.5,9.5,8.89,8.97,173522
1715659200,8.9715,9.35,8.9423,9.33,213982
1715745600,9.44,9.59,9.2,9.43,255880
1715832000,9.33,9.49,9.07,9.18,186174
1715918400,9.22,9.2971,8.93,8.97,119450
1716177600,9,9.025,8.81,8.93,277694
1716264000,8.95,9.286,8.84,9.17,234233
1716350400,9.15,9.15,8.51,8.63,245788
1716436800,8.76,8.825,8.21,8.24,201978
1716523200,8.35,8.54,8.15,8.23,269842
1716868800,8.33,8.57,8.22,8.28,252884
1716955200,8.23,8.51,8.1505,8.44,190420
1717041600,8.57,8.99,8.51,8.85,482421
1717128000,8.89,9.05,8.577,8.76,741055
1717387200,8.73,8.77,8.18,8.32,183599
1717473600,8.21,8.245,7.76,7.89,322643
1717560000,7.88,8.07,7.75,7.8,336740
1717646400,7.87,7.87,7.43,7.5,288055
1717732800,7.43,7.59,7.17,7.17,185024
1717992000,7.15,7.37,6.82,7.3,301737
1718078400,7.2,7.29,7.11,7.13,121773
1718164800,7.28,7.38,7.05,7.06,252370
1718251200,7.45,7.6205,7.14,7.42,401327
1718337600,7.43,7.64,7.36,7.47,175767
1718596800,7.41,7.55,7.21,7.4,261945
1718683200,7.4,7.5799,7.28,7.36,172659
1718856000,7.29,7.41,6.87,7.03,413889
1718942400,7.03,7.04,6.65,6.89,264502
1719201600,6.94,7.11,6.89,7.05,125100
1719288000,6.96,7.2395,6.96,7.15,125141
1719374400,7.15,7.175,6.8,6.9,216793
1719460800,7.14,7.46,6.9163,7.45,177640
1719547200,7.5,7.54,7.21,7.23,134606
1719806400,7.2,7.255,6.85,6.85,195434
1719892800,6.87,7.02,6.76,6.9,295731
1719979200,6.9,7.1594,6.82,7.02,134997
1720152000,7.02,7.0799,6.85,6.89,121581
1720411200,6.91,6.99,6.765,6.97,183766
1720497600,6.84,7.39,6.84,7.2,203418
1720584000,7.21,7.44,7.18,7.23,201970
1720670400,7.41,7.41,7.22,7.28,140233
1720756800,7.33,7.34,7.07,7.17,67984
1721016000,7.25,7.3,6.78,6.88,273635
1721102400,6.9,6.95,6.73,6.83,312146
1721188800,6.74,6.85,6.712,6.74,201292
1721275200,6.7,6.84,6.53,6.55,135804
1721361600,6.53,6.77,6.5101,6.61,152427
1721620800,6.63,6.75,6.63,6.65,87357
1721707200,6.6,6.81,6.56,6.72,144783
1721793600,6.7,6.73,6.5,6.5,169227
1721880000,6.51,6.59,6.35,6.35,116134
1721966400,6.4,6.4813,6.28,6.32,149106
1722225600,6.19,6.32,6.11,6.2,131003
1722312000,6.2,6.3,6.11,6.2,103867
1722398400,6.24,6.48,6.22,6.34,150717
1722484800,6.25,6.36,6.13,6.18,95626
1722571200,6.07,6.09,5.9,5.9,166338
1722830400,5.7,5.89,5.52,5.86,201209
1722916800,5.97,6.1299,5.8,6.06,149375
1723003200,6.21,6.3499,6.11,6.27,150645
1723089600,6.22,6.83,6.22,6.72,196267
1723176000,6.79,7.07,6.74,7.05,160489
1723435200,7.05,7.22,6.9701,7.05,100525
1723521600,7.14,7.14,6.8366,7.07,228793
1723608000,6.98,7.37,6.97,7.15,190373
1723694400,7.26,7.38,7.18,7.2,193713
1723780800,7.23,7.33,7.1775,7.21,219234
1724040000,7.19,7.75,7.17,7.66,288686
1724126400,7.64,7.74,7.29,7.58,239940
1724212800,7.58,7.58,7.29,7.35,76620
1724299200,7.3,7.325,6.86,6.9,150301
1724385600,6.93,7.09,6.9101,7.06,67423
1724644800,7.04,7.1575,6.88,6.9,80114
1724731200,6.87,6.99,6.805,6.84,81708
1724817600,6.8,6.845,6.73,6.76,83019
1724904000,6.73,7.02,6.6,6.99,288921
1724990400,6.92,7.46,6.92,6.97,413894
1725336000,6.97,7.12,6.76,6.94,199989
1725422400,6.9,7.57,6.9,7.43,214192
1725508800,7.5,7.86,7.41,7.75,322121
1725595200,7.71,7.84,7.37,7.61,229911
1725854400,7.7,7.87,7.6,7.85,117693
1725940800,7.84,7.8686,7.44,7.7,95058
1726027200,7.75,8.22,7.675,8.05,191965
1726113600,8.06,8.075,7.8849,8.05,241595
1726200000,8.16,8.16,7.88,8.02,147669
1726459200,8.07,8.42,8.03,8.28,253960
1726545600,8.36,8.36,8.095,8.19,100391
1726632000,8.27,8.275,7.74,8.05,389099
1726718400,8.18,8.62,8.09,8.56,424789
1726804800,8.4,8.57,8.324,8.53,175790
1727064000,8.51,8.65,8.36,8.48,143752
1727150400,8.5,8.5591,8.19,8.19,134509
1727236800,8.22,8.3,8,8.03,117963
