T,O,H,L,C,V
1713844800,54.81,56.54,54.81,55.94,259421
1713931200,56.19,57.26,55.21,55.9,135446
1714017600,55.03,55.65,54.415,54.9,273045
1714104000,55.51,56.43,55.385,55.55,174170
1714363200,55.83,57.35,55.54,56.64,238588
1714449600,55.91,56.49,55.3,55.55,302546
1714536000,54.74,55.35,52.57,52.61,449963
1714622400,53.73,54.02,51.85,53.85,280775
1714708800,55.11,56.18,54.445,54.48,171830
1714968000,54.93,55.85,54.69,55.12,174130
1715054400,53.77,54.045,49.61,51.67,967771
1715140800,51.6,52.015,50.6,51.91,581322
1715227200,49.97,51.76,47.9958,51.67,801896
1715313600,51.63,53.7099,51.63,52.53,342568
1715572800,52.88,54.78,52.78,53.32,267698
1715659200,53.42,55.73,53.285,55.37,489164
1715745600,55.95,57.27,55.04,56.46,407352
1715832000,56.49,56.49,53.56,53.58,210636
1715918400,53.95,54.85,53.2175,54.83,312140
1716177600,55.07,55.69,54.9,55.61,221827
1716264000,55.51,55.88,54.83,55.52,176504
1716350400,55.32,55.57,54.4,55,203497
1716436800,55.35,56.1,54.48,55.49,183055
1716523200,55.96,56.98,55.675,55.95,200939
1716868800,56.29,56.92,53.46,53.76,385372
1716955200,53.14,53.355,51.24,51.53,334178
1717041600,51.55,52.23,50.94,51.97,290483
1717128000,52.44,52.78,50.795,52.61,411160
1717387200,52.91,53.1999,50.83,51.18,237928
1717473600,51.51,51.95,50.27,50.8,374752
1717560000,50.99,51.195,49.03,49.08,359899
1717646400,48.91,48.91,46.77,46.96,545499
1717732800,46.51,46.7,44.89,45.58,599821
1717992000,45.45,46.0875,44.67,45.75,694628
1718078400,45.55,45.555,44.27,44.73,712547
1718164800,45.94,47.195,45.55,46.52,591003
1718251200,46.35,46.48,45.08,45.18,282869
1718337600,44.57,45.29,43.43,45.05,279022
1718596800,45.04,45.04,43.71,44.39,395394
1718683200,44.39,44.44,43.25,44.06,397854
1718856000,44.24,44.4,41.93,42.21,457196
1718942400,42.43,42.71,41.47,42.67,380439
1719201600,42.56,43.19,41.79,42.22,520790
1719288000,42.16,42.16,40.94,41.03,439571
1719374400,48.33,50.27,47.5,49.89,2098968
1719460800,49.18,50.7499,48.75,49.62,795616
1719547200,49.33,50.44,49.33,50.18,3578328
1719806400,50.14,50.68,49.11,50.29,438055
1719892800,50.12,50.91,50.085,50.17,301917
1719979200,50.42,53.39,50.395,50.65,479334
1720152000,50.43,52.12,50.43,50.99,504373
1720411200,51.36,52.6,51.3,52.03,434817
1720497600,51.43,52.52,51.43,51.47,444834
1720584000,51.74,51.97,51.14,51.45,419243
1720670400,52.57,54.16,52.46,53.69,542189
1720756800,54.23,55.09,53.63,54.29,291062
1721016000,54.69,55.34,54.15,54.48,425014
1721102400,55.22,55.57,53.87,55.03,370775
1721188800,54.54,54.91,53.2401,53.47,329370
1721275200,53.23,54.03,52.45,52.45,282181
1721361600,52.51,52.73,51.02,51.45,281093
1721620800,51.48,52.75,50.95,52.57,265537
1721707200,52.04,53.76,51.88,53.17,250432
1721793600,52.69,54.35,51.23,51.24,273166
1721880000,51.6,53.6084,50.8,53.28,432106
1721966400,54.29,55.5,52.98,54.15,282160
1722225600,54.2,54.62,52.5,53.69,189525
1722312000,54,54.15,53.24,53.84,184794
1722398400,54.02,55.85,53.44,53.81,390882
1722484800,53.54,54.12,51.21,52.02,363381
1722571200,49.62,51.61,48.96,50.87,504005
1722830400,47.92,50.56,46.47,50.32,363053
1722916800,49.71,50.68,48.7,49.94,346008
1723003200,50.2,50.2,47.54,47.6,278461
1723089600,50.49,55.05,49.61,54.01,667271
1723176000,54.25,56.55,53.99,56.09,654333
1723435200,56.26,56.56,54.45,55.28,329983
1723521600,56.08,58.06,55.855,57.65,625229
1723608000,58.12,58.44,56.4,57.76,450087
1723694400,58.78,61.035,58.3167,59.96,916038
1723780800,59.65,60.39,58.03,58.91,408678
1724040000,59.02,59.5,58.17,58.72,184516
1724126400,59.07,59.99,58.88,59.02,176243
1724212800,59.48,60.11,58.6787,59.42,170709
1724299200,59.31,60.005,58.53,58.99,126048
1724385600,60.18,61.68,59.23,61.66,299989
1724644800,62.32,63.125,61.17,62.14,257430
1724731200,61.9,62.665,61.1992,62.59,235106
1724817600,62.07,62.81,61.3,62.11,142887
1724904000,62.42,62.96,61.53,62.22,290608
1724990400,62.82,62.82,61.29,61.97,216992
1725336000,61.45,61.7,59.04,59.65,243462
1725422400,59.52,60.29,58.4101,60.12,208183
1725508800,60.35,60.94,59.77,60.08,476396
1725595200,60.49,60.94,58.24,59.05,238411
1725854400,59.08,60.44,58.75,59.76,193424
1725940800,60.05,60.35,59.2,60.05,191718
1726027200,59.98,59.98,58.42,59.87,195628
1726113600,60.39,64.44,59.77,64.39,766972
1726200000,64.88,68,64.87,66.83,694155
1726459200,66.94,67.337,65.0615,66.78,263224
1726545600,67.15,68.67,66.39,67.57,466065
1726632000,67.82,68.95,66.6,66.99,328205
1726718400,69.04,69.79,67.88,68.9,377620
1726804800,68.92,69.55,68.43,68.65,362472
1727064000,67.05,67.98,65.3568,66.92,334275
1727150400,66.67,67.115,65.6,66.76,151178
1727236800,66.73,68.12,66.4051,66.69,128199
1727323200,67.91,68.72,67.28,67.67,142402
1727409600,68.17,69.2189,67.59,68.94,202436
1727668800,68.7,69.365,68.155,68.66,181735
1727755200,68.93,69.0999,67.24,68.74,115602
1727841600,68.4,70.21,67.39,69.5,198682
1727928000,69.21,70.35,68.68,69.61,347717
1728014400,71.01,71.01,68.63,69.66,224331
1728273600,69.05,70.43,68.52,69.12,322359
1728360000,69.53,72.6,69.36,72,391413
1728446400,72.61,72.85,71.66,72.66,292852
1728532800,73.21,73.58,71.02,72.56,301515
1728619200,72.85,75.07,72.75,74.66,301814
1728878400,74.74,76.25,74.74,75.79,254545
1728964800,75.83,77.02,75.065,75.5,277144
1729051200,76.51,77.85,75.67,76.36,217190
1729137600,76.86,78,75.16,77.12,298857
1729224000,77.72,78.82,76.83,78.1,186450
1729483200,80.51,80.51,75.34,75.67,362844
1729569600,73.2,73.685,68.58,68.71,584002
1729656000,68.69,70,68.0129,69.14,336484
1729742400,69.2,70.055,69.195,69.8,163348
1729828800,70.5,70.89,69.61,69.74,105189
1730088000,70,70.85,69.64,69.92,169860
1730174400,68.91,70.095,68.39,69,155738
1730260800,68.69,70.23,68.39,69.96,200620
1730347200,69.55,69.92,68.53,68.53,192785
1730433600,68.8,69.02,67.67,68.5,257023
1730696400,68.94,71.2199,68.92,69.65,230428
1730782800,69.29,70.345,69.225,70.26,229988
1730869200,71.68,72.72,69.595,70.25,510315
1730955600,71.05,73.4799,67.1777,70.4,621401
1731042000,71.89,76.31,70.91,76,374272
1731301200,77.25,79.64,76.86,79.37,234072
1731387600,73,74.05,70.24,73.94,1067046
1731474000,74.05,74.98,73.175,73.83,459362
1731560400,74,75.3,73.22,73.94,323324
1731646800,73.91,74.34,72.38,73.17,258577
1731906000,73.04,74.5,72.3,73.85,246876
1731992400,72.95,75.28,72.95,75.23,339921
1732078800,75.29,75.84,74.15,75.35,277347
1732165200,75.76,78.24,75.33,77.83,374607
1732251600,78.17,79.795,77.33,79.34,212179
1732510800,80.47,82.6775,79.775,81.38,271628
1732597200,80.37,80.895,78.56,78.94,255156
1732683600,79.43,79.91,78.53,79.66,207658
1732856400,81.01,82.52,79.86,81.05,170571
1733115600,80.38,81.03,79.27,79.95,219268
1733202000,79.89,81.93,78.815,81.84,253933
1733288400,81.84,82.49,81.12,81.73,197605
1733374800,81.63,83.75,81.135,82.18,167812
1733461200,83.06,83.6105,82.49,83.25,141607
1733720400,83.65,84.1823,82.35,82.59,186151
1733806800,81.86,83.0957,81.4,81.64,251188
1733893200,83.84,86.08,83.37,85.52,363814
1733979600,85,85.68,84.43,84.63,258931
1734066000,84.26,84.8,83.385,83.72,271332
1734325200,83.91,85.83,83.88,84.56,244903
1734411600,83.93,84.125,80.24,81.24,212580
1734498000,82.07,83.475,78.02,78.78,321778
1734584400,79.41,80.95,78.3016,79.3,232900
1734670800,78.63,82.89,78.01,80.06,445347
1734930000,79.68,80.07,79.115,79.9,153391
1735016400,80.45,81.87,79.915,81.72,121875
1735189200,81.33,82.58,81.15,82.58,208598
1735275600,82.02,82.8999,81.15,82.04,247614
1735534800,80.96,82.39,80.08,80.68,801791
1735621200,81.13,81.22,79.23,79.32,449768
1735794000,79.92,80.18,78.65,78.89,258507
1735880400,79.27,80.44,74.94,76.44,358957
1736139600,76.57,78.03,76.1593,77.83,203673
1736226000,76.86,77.53,72.935,74.61,371592
1736312400,74.09,74.61,73.15,74.45,236831
1736485200,73.88,74.73,73.405,74.28,128275
1736744400,73.52,75.875,73.4,74.98,342221
1736830800,76.55,78.99,76.48,77.7,217231
1736917200,80.72,81.79,79.52,80.75,270532
1737003600,80.9,81.99,80.9,81.28,174023
1737090000,82.76,84.59,82.59,84.05,287829
1737435600,85,86.35,84.38,86,211817
1737522000,86,86.9899,85.005,86.26,226707
1737608400,85.66,86.73,85.4501,86.11,224320
1737694800,86.06,86.18,84.28,84.47,346498
1737954000,82.04,82.04,74.16,78.9,859812
1738040400,79.2,79.2,76.6801,78.29,256168
1738126800,78.39,79.81,77.55,77.55,161155
1738213200,78.34,79.15,76.86,77.66,243475
1738299600,77.96,77.96,75.36,76,349721
1738558800,73.8,76.5075,73.13,75.2,356547
1738645200,75.64,76.73,75.0201,75.76,198695
1738731600,77.1,77.91,75.93,77.04,218300
1738818000,77.79,78.78,76.895,78.43,171093
1738904400,78.5,78.542,76.14,77.49,209331
1739163600,78.55,78.67,77.285,78.09,124273
1739250000,77.6,77.69,75.93,77.1,230244
1739336400,75.58,75.58,73.55,73.68,277868
1739422800,73.89,74.59,73.12,74.04,162421
1739509200,74.42,75.95,74.31,75.78,126818
1739854800,75.91,76.5405,74.385,75.1,142309
1739941200,74.26,74.26,71.58,72.49,313936
1740027600,72.07,72.41,70.42,70.99,399516
1740114000,72.49,72.49,69.125,69.24,339779
1740373200,69.02,69.78,66.41,68.7,515400
1740459600,68.66,69.37,67.41,68.73,362991
1740546000,70.19,72.81,69.1,69.98,508625
1740632400,72.91,78.4,72.91,76.29,632837
1740718800,75.66,75.66,72.615,73.66,390098
1740978000,73.56,74.82,70.74,71.3,357950
1741064400,69.56,70,68.52,69.17,645882
1741150800,69.76,70.8,68.75,68.85,316399
1741237200,67.7,67.71,65.73,66.45,538087
1741323600,66.37,67.08,63.8,65.94,602984
1741579200,64.48,66.07,63.87,64.89,518781
1741665600,65.13,65.615,63.721,64.71,431733
1741752000,66.11,67.94,64.8,67.9,357317
1741838400,67.64,68.435,65.82,66.41,475051
1741924800,67.75,68.465,67.45,68.23,362334
1742184000,69.63,72.4299,68.9,70.48,581366
1742270400,69.8,71.02,69.02,69.86,336349
1742356800,70.14,73.02,70.14,72.19,409030
1742443200,71.54,73.65,71.54,72.76,516800
1742529600,71.83,72.21,70.7,71.75,2563641
1742788800,72.66,74.26,72.01,74.25,239753
1742875200,74.23,75,73.685,73.94,254882
1742961600,74.22,74.58,72.45,72.72,159026
1743048000,72.97,72.97,71.05,71.94,155457
1743134400,71.24,71.36,69.91,70.7,247046
1743393600,69.46,71.84,68.76,71.55,452657
1743480000,71.46,71.945,70.28,71.93,207941
1743566400,70.8,74.68,70.3601,74.49,227869
1743652800,71.29,71.29,67.23,68.78,365744
1743739200,65.52,66.035,63.1358,64.76,556232
1743998400,60.99,67.75,60.25,64.54,443549
1744084800,66.58,67.16,62.18,62.7,426743
1744171200,62.28,70.97,62.035,69.56,587730
1744257600,67.52,70.4,66.365,69.01,599358
1744344000,68.18,71.335,67.64,71.31,329389
1744603200,72.77,73.44,71.5178,71.75,304367
1744689600,71.06,71.88,66.785,68.52,390092
1744776000,68.33,68.65,66.49,67.81,233079
1744862400,67.66,68.81,67.52,67.88,258178
1745208000,66.97,67.16,66.26,66.33,206534
