T,O,H,L,C,V
1713844800,16.65,16.92,16.59,16.84,247231
1713931200,16.67,16.92,16.592,16.86,434748
1714017600,16.7,16.96,16.675,16.86,366829
1714104000,17.04,17.21,16.98,17.09,363067
1714363200,17.13,17.395,17.1201,17.21,260119
1714449600,16.98,17.14,16.89,17.03,319867
1714536000,17.1,17.24,16.955,17.12,212276
1714622400,17.42,17.74,17.34,17.69,503050
1714708800,18.07,18.28,17.93,18.2,593897
1714968000,18.16,18.39,18.12,18.25,372694
1715054400,18.05,18.05,17.14,17.14,885705
1715140800,16.73,16.985,16.68,16.89,424350
1715227200,16.76,16.76,16.19,16.39,631548
1715313600,16.48,16.53,16.21,16.23,359944
1715572800,16.31,16.55,16.26,16.3,499397
1715659200,16.51,16.755,16.37,16.38,419101
1715745600,16.47,16.73,16.38,16.63,346730
1715832000,16.7,16.99,16.7,16.94,525650
1715918400,16.9,17.06,16.895,16.93,458829
1716177600,16.78,16.78,16.37,16.48,553857
1716264000,16.4,16.49,16.15,16.24,515475
1716350400,16.25,16.43,16.16,16.39,458575
1716436800,16.45,16.47,15.98,15.98,361793
1716523200,16.1,16.18,15.94,15.97,641260
1716868800,16,16.11,15.84,16,467726
1716955200,15.76,15.895,15.695,15.71,404634
1717041600,15.75,15.9,15.68,15.84,248807
1717128000,15.25,15.32,14.985,15.23,1093219
1717387200,15.25,15.38,15.148,15.23,465317
1717473600,15.08,15.38,15.075,15.38,358808
1717560000,15.47,15.635,15.37,15.49,393739
1717646400,15.53,15.74,15.53,15.63,235233
1717732800,15.41,15.45,15.12,15.21,374225
1717992000,15.02,15.075,14.85,14.89,333331
1718078400,14.93,15.09,14.9,14.99,293486
1718164800,14.91,14.91,14.465,14.59,506628
1718251200,14.56,14.695,14.47,14.56,358001
1718337600,14.52,14.83,14.49,14.81,321046
1718596800,14.56,14.56,14.27,14.41,355834
1718683200,14.3,14.66,14.27,14.51,299252
1718856000,14.53,14.67,14.375,14.4,301762
1718942400,14.42,14.61,14.42,14.56,501547
1719201600,14.64,14.88,14.595,14.69,379450
1719288000,14.43,14.64,14.43,14.64,456832
1719374400,14.26,14.59,14.1624,14.52,378010
1719460800,14.35,14.57,14.31,14.52,790237
1719547200,14.33,14.37,14.15,14.32,566656
1719806400,14.17,14.47,14.115,14.31,634515
1719892800,14.11,14.225,13.84,14.05,675282
1719979200,14.23,14.44,14.2,14.38,311417
1720152000,14.43,14.55,14.26,14.52,608309
1720411200,14.31,14.56,14.2,14.53,332722
1720497600,14.64,14.88,14.62,14.64,334892
1720584000,14.88,14.975,14.69,14.9,413200
