T,O,H,L,C,V
1731560400,15.99,19.99,14.81,15.15,33977
1731646800,14.9,15.9,14.85,14.85,40166
1731906000,15.4211,15.89,14.75,14.8807,20131
1731992400,15.54,16,15.1,15.3,23118
1732078800,15.3,15.6,15,15,10446
1732165200,14.8,14.8,14.4399,14.768,12180
1732251600,15,15.06,14.61,14.7,34166
1732510800,15.14,15.45,14.9,15.15,28899
1732597200,15.33,15.61,15.11,15.35,14781
1732683600,15.62,15.62,15.4,15.42,9483
1732856400,15.7,16.55,15.7,16.4931,16342
1733115600,17.7,17.9,16.1,16.19,59573
1733202000,16.9,16.9,16.19,16.19,20239
1733288400,16.42,17.2,16.25,16.35,39139
1733374800,16.3,16.3,16,16,18497
1733461200,16.34,17.15,16.01,16.7,13937
1733720400,16.4,17.3556,16.14,16.37,11845
1733806800,16,16.66,15.51,16.3,14039
1733893200,16,17.3,15.7,15.77,11862
1733979600,15.6,16.8,15.5,15.6,8592
1734066000,15.68,16.5,15.68,15.76,7303
1734325200,16.6752,16.6752,15.62,15.82,1933
1734411600,16.6,16.6,15.89,16,14479
1734498000,16,17.96,15.8583,16.01,10613
1734584400,16.45,16.7,16.3,16.34,7962
1734670800,16,17.57,15.6,15.82,10463
1734930000,15.8,17.2931,15.4,15.4,7467
1735016400,14.5645,16.314,14.5645,15.88,1096
1735189200,16,16.46,15.95,16.46,1377
1735275600,16.4,16.4,15.365,15.6,3847
1735534800,16.38,16.38,15.7,16.0999,14078
1735621200,15.8,16.0523,15.4,15.4,2138
1735794000,15.53,15.53,14.44,15,5325
1735880400,14.89,15.5,14.89,14.93,3749
1736139600,15.6749,16.0497,15.4135,15.61,7586
1736226000,15.8123,15.99,15.45,15.45,3848
1736312400,15.45,15.57,15.34,15.35,8403
1736485200,15.25,15.3438,14.63,14.63,11191
1736744400,14.25,14.9744,14.01,14.56,18875
1736830800,15.29,15.66,15.2383,15.5205,4668
1736917200,15.7175,16.2499,15.5365,15.61,1874
1737003600,16.15,16.25,15.7,16,18543
1737090000,16.4,18.04,16.4,16.78,31610
1737435600,18,18,16.77,16.86,17326
1737522000,17.12,17.95,16.81,17.04,16768
1737608400,17.04,17.99,17,17.13,28484
1737694800,17.88,19.12,17.64,18.24,8472
1737954000,18.9,19.1964,17.9,18.01,24738
1738040400,18.4,18.9615,18.11,18.11,19442
1738126800,18.8,18.8899,18.01,18.59,8646
1738213200,18.59,18.75,18.2,18.2,11407
1738299600,18.9,19.1899,18.3,18.6,29167
1738558800,18.25,18.625,17.99,18.36,50172
1738645200,18.45,19.1,18.45,18.9,16775
1738731600,18.63,19.0176,18.4,18.435,11508
1738818000,18.5,19.0204,18.01,18.29,13718
1738904400,18.44,19.0912,18.0201,18.05,7959
1739163600,18.7,18.8199,18.09,18.09,17377
1739250000,17.99,17.99,17.45,17.64,22069
1739336400,17.45,17.72,17.2307,17.6,17459
1739422800,17.55,18.3828,17.0701,17.29,18172
1739509200,17,17.855,17,17.19,24085
1739854800,17.53,18.7688,17.35,17.35,4624
1739941200,17.41,17.41,16.92,17.19,11912
1740027600,17.02,17.7502,17.02,17.41,18971
1740114000,19.13,20,19.01,19.5,39684
1740373200,19.5,30.36,19.5,20.93,387372
1740459600,19.84,20.5717,19.44,19.5,89470
1740546000,19.4,20.4,19.13,19.205,86319
1740632400,19.3,19.3,18.6,18.9,50502
1740718800,17.8,18.69,17.6001,17.98,41154
1740978000,18.18,18.6803,17.92,18.045,51458
1741064400,17.7,18.5,16.7495,17.51,49842
1741150800,17.51,17.978,17.35,17.7,23259
1741237200,17.8139,18.51,17.7736,18.2,24533
1741323600,18.05,19.8761,18,18.4,53629
1741579200,18,18.16,17.545,17.85,111359
1741665600,17.41,17.62,16.56,16.75,137410
1741752000,17.24,17.4,16.93,17.16,21837
1741838400,17.23,17.79,16.95,16.99,18233
1741924800,17.21,17.3816,17.02,17.3,15903
1742184000,17.39,17.6984,17.16,17.6,15729
1742270400,17.26,17.35,17.05,17.3,20997
1742356800,17.71,17.7379,17.4973,17.6,13712
1742443200,18.66,18.66,17.5,17.53,15314
1742529600,18.81,18.8562,17.51,17.79,24302
1742788800,18.19,18.545,18.0361,18.2377,16357
1742875200,18.52,18.52,18.2084,18.36,6123
1742961600,18.4,18.66,18.2,18.3,3270
1743048000,18.04,18.06,17.38,17.51,16510
1743134400,17.51,17.8199,17.24,17.24,27211
1743393600,17.24,17.97,16.518,16.76,25542
1743480000,16.63,17.505,16.5,16.71,22466
1743566400,16.09,16.3334,15.9,16.21,23895
1743652800,16.22,16.49,16,16.15,24490
1743739200,14.9,15.05,13.61,13.61,112377
1743998400,13.87,15.99,13.71,14.25,50399
1744084800,15.3,16.1212,14.31,14.31,36888
1744171200,14.72,15.91,14.35,15.91,25064
1744257600,16.2,17.15,15.89,16.4,50474
1744344000,16.25,16.9999,16.25,16.65,19686
1744603200,16.82,17.19,16.12,16.84,28821
1744689600,16.7012,17.1486,16.7,16.82,11779
1744776000,17.17,17.17,16.51,16.54,32727
1744862400,16.57,16.71,16.42,16.71,8572
1745208000,16.91,16.98,16.1404,16.21,17647
