T,O,H,L,C,V
1713844800,11.91,12.365,11.79,12.32,14927813
1713931200,12.5,12.62,12.41,12.53,7663014
1714017600,12.33,12.7,12.24,12.68,8300609
1714104000,12.76,12.925,12.71,12.88,6008560
1714363200,12.8,12.93,12.63,12.9,5385816
1714449600,12.73,12.82,12.475,12.55,7506480
1714536000,12.52,12.61,12.36,12.39,4178053
1714622400,12.75,13.155,12.64,13.05,7407233
1714708800,13.01,13.5,12.96,13.5,7235589
1714968000,13.49,13.66,13.43,13.57,4218585
1715054400,13.42,13.44,13.22,13.34,7489827
1715140800,13.12,13.37,12.96,13.25,6738737
1715227200,13.44,13.6,13.26,13.38,9264304
1715313600,13.4,13.48,13.26,13.34,7850931
1715572800,13.78,14.89,13.69,14.8,20684270
1715659200,14.44,14.86,14.38,14.66,9878423
1715745600,14.72,15.44,14.66,15.36,9164249
1715832000,15.25,15.77,15.14,15.49,6823908
1715918400,15.45,15.65,15.04,15.42,7987619
1716177600,15.1,15.46,14.955,15.27,8137269
1716264000,14.91,15.245,14.8459,14.99,7683738
1716350400,15.05,15.11,14.54,14.72,5802709
1716436800,14.55,14.7,14.31,14.5,8034299
1716523200,14.41,14.83,14.39,14.8,6446257
1716868800,14.98,15.28,14.75,14.89,6778945
1716955200,14.72,14.83,14.56,14.8,5895801
1717041600,14.8,15.22,14.6,15.17,8276563
1717128000,15,15.01,14.07,14.45,11049069
1717387200,14.57,14.765,13.55,14,7554629
1717473600,14.13,14.2,13.8,14,9549592
1717560000,14.19,14.67,14.12,14.63,10963194
1717646400,14.52,14.7,14.48,14.55,5249199
1717732800,14.41,14.48,13.96,14.07,7729922
1717992000,14.12,14.34,13.995,14.24,3447009
1718078400,14.34,14.64,14.26,14.35,6418928
1718164800,14.56,14.63,14.165,14.34,6669687
1718251200,14.39,15.04,14.39,14.85,9777209
1718337600,14.57,15.05,14.53,14.8,15860500
1718596800,14.7,14.77,14.055,14.16,7976337
1718683200,13.98,14.37,13.91,14.36,6443661
1718856000,14.5,14.67,13.82,14.06,5920301
1718942400,13.93,14.12,13.77,14.01,7529514
1719201600,14.01,14.335,13.97,14.28,4092059
1719288000,14.21,14.43,14.085,14.3,6057112
1719374400,14.27,14.355,14.11,14.32,4915073
1719460800,14.2,14.2,13.905,13.97,7199382
1719547200,14.07,14.16,13.93,14.05,6670518
1719806400,14.17,14.5199,14.11,14.34,6892593
1719892800,14.28,14.495,14.12,14.43,3012607
1719979200,14.57,15.04,14.57,14.94,6416157
1720152000,14.75,14.98,14.48,14.53,10921117
1720411200,14.38,14.53,14.07,14.51,9213447
1720497600,14.62,15.34,14.53,15.27,9772672
1720584000,15.2,15.53,14.98,15.06,7899070
1720670400,15,15.26,14.87,14.98,10027358
1720756800,15.05,15.32,14.96,15.13,7837852
1721016000,14.99,15.12,14.86,14.86,8460444
1721102400,14.79,15.18,14.71,15.13,7367015
1721188800,14.98,14.9899,14.69,14.77,6020902
1721275200,14.76,14.95,14.285,14.44,5444834
1721361600,14.4,14.45,14.26,14.26,5234790
1721620800,14.49,15.01,14.49,14.89,5450929
1721707200,14.79,15.28,14.76,15.28,6149357
1721793600,14.95,15.12,14.57,14.72,7895563
1721880000,14.59,14.615,14.21,14.43,8273759
1721966400,14.4,14.45,13.82,14.09,6582750
1722225600,14.21,14.33,13.93,13.99,7840374
1722312000,13.94,14.01,13.81,13.9,5480523
1722398400,14.3,14.44,14.09,14.18,4873444
1722484800,14.2,14.2,13.165,13.29,8800865
1722571200,12.83,12.93,12.36,12.62,10524387
1722830400,11.67,12.75,11.67,12.6,6171465
1722916800,12.89,13.585,12.8203,13.34,7657603
1723003200,13.66,13.83,13.175,13.26,3919323
1723089600,13.39,13.56,13.185,13.55,3566362
1723176000,13.48,13.515,12.82,12.96,10491807
1723435200,12.9,13.27,12.77,13.13,12267971
1723521600,11.36,11.56,10.81,11.12,41560842
1723608000,11.18,11.325,11.08,11.13,17198731
1723694400,11.13,11.27,10.87,10.97,11269317
1723780800,10.92,10.94,10.48,10.53,10637786
1724040000,10.62,10.68,10.49,10.64,11063189
1724126400,10.49,10.54,10.21,10.38,13905782
1724212800,10.39,10.54,10.27,10.44,6842222
1724299200,10.35,10.46,10.07,10.25,12301167
1724385600,10.27,10.29,10.13,10.24,7022651
1724644800,10.15,10.825,10.115,10.7,10035859
1724731200,10.9,11.03,10.7,10.73,10758694
1724817600,10.66,10.715,10.07,10.18,10117413
1724904000,10.43,10.58,10.3625,10.47,6261944
1724990400,10.68,10.72,10.305,10.44,8606364
1725336000,10.28,10.5,10.25,10.35,6452000
1725422400,10.41,10.53,10.335,10.46,5444152
1725508800,10.44,10.54,10.27,10.32,7806419
1725595200,10.27,10.485,10.13,10.18,4404447
1725854400,10.13,10.31,9.88,10.15,9992690
1725940800,10.16,10.25,9.62,9.65,12925257
1726027200,9.69,9.77,9.55,9.75,11006123
1726113600,9.74,9.86,9.655,9.75,6227211
1726200000,9.73,9.73,9.43,9.51,6663206
1726459200,9.59,9.63,9.44,9.48,5267267
1726545600,9.6,9.745,9.46,9.5,5171212
1726632000,9.48,9.55,9.41,9.46,5385524
1726718400,9.67,10.085,9.66,9.93,11459572
1726804800,10,10.06,9.8,9.86,11695897
1727064000,9.96,10.415,9.79,10.18,8249342
1727150400,11.51,12.0084,11.095,11.85,30514575
1727236800,11.37,11.59,11.27,11.28,20300421
1727323200,12.58,13.83,12.0099,12.27,29216100
1727409600,12.64,12.99,12.23,12.28,16793688
1727668800,12.71,12.84,11.91,12.05,16852407
1727755200,12.15,12.8,12.07,12.75,10007281
1727841600,13.78,14.0494,13.35,13.73,18489402
1727928000,12.93,13.705,12.9,13.51,14183535
1728014400,13.92,14.01,13.29,13.48,9092492
1728273600,13.57,13.75,13.07,13.34,10220648
1728360000,12.12,12.63,12.12,12.63,10620351
1728446400,11.99,12.42,11.99,12.36,9657946
1728532800,12.31,12.625,12.3,12.53,4906411
1728619200,12.3,13.385,12.245,12.78,13612525
1728878400,12.59,13.06,12.528,12.7,9217968
1728964800,12.35,12.38,12.01,12.25,8757954
1729051200,12.31,12.38,12.06,12.13,4558879
1729137600,11.92,11.92,11.55,11.64,4856285
1729224000,12,12.08,11.78,11.88,4358416
1729483200,11.86,11.995,11.63,11.77,4390102
1729569600,11.68,11.95,11.485,11.8,4127440
1729656000,11.8,11.9,11.49,11.59,4825152
1729742400,11.46,11.51,11.24,11.43,5993123
1729828800,11.55,11.65,11.415,11.49,4801891
1730088000,11.59,12.08,11.59,11.84,5226433
1730174400,11.9,12.03,11.54,11.56,5336383
1730260800,11.47,11.62,11.34,11.42,3699992
1730347200,11.41,11.415,11.08,11.13,5857494
1730433600,11.25,11.3025,11.05,11.12,3935120
1730696400,11.26,11.51,11.17,11.26,4246444
1730782800,11.64,11.805,11.54,11.73,5011575
1730869200,11.285,11.62,11.275,11.62,6396553
1730955600,11.98,12.11,11.61,11.78,6547599
1731042000,11.39,11.6,11.205,11.39,8103286
1731301200,11.67,11.765,11.51,11.55,8401754
1731387600,10.78,11.1,10.36,10.92,13649335
1731474000,10.92,10.985,10.37,10.67,8573189
1731560400,10.32,10.82,10.11,10.81,13205050
1731646800,10.88,11.245,10.88,11.07,9144251
1731906000,11.1,11.635,10.9,11.49,8349854
1731992400,11.33,11.47,11.1,11.15,4371105
1732078800,11.25,11.5,11.22,11.44,6482128
1732165200,11.33,11.73,11.26,11.52,6382082
1732251600,11.26,11.569,11.17,11.53,4641596
1732510800,11.64,11.71,11.16,11.19,9273479
1732597200,11.19,11.27,11.04,11.07,6010603
1732683600,11.36,11.64,11.27,11.51,5693570
1732856400,11.44,11.59,11.305,11.41,6029293
1733115600,11.5,12.26,11.475,12.19,9561614
1733202000,12.11,12.45,12.11,12.3,10039138
1733288400,12.2,12.37,12,12.19,6265966
1733374800,12.2,12.34,12.145,12.23,4078849
1733461200,12.46,12.63,12.36,12.55,4449508
1733720400,13.15,13.826,13.0803,13.16,10389990
1733806800,12.87,12.94,12.38,12.5,8181508
1733893200,12.24,12.37,11.67,11.78,12469237
1733979600,11.87,12.37,11.81,12.07,6303657
1734066000,11.9,12.06,11.54,11.98,9658326
1734325200,11.71,11.83,11.27,11.3,9054335
1734411600,11.44,11.91,11.3,11.78,10377018
1734498000,11.7,11.91,11.645,11.77,5639592
1734584400,11.9,12,11.74,11.79,5700162
1734670800,11.69,12.03,11.65,11.95,5065481
1734930000,11.76,11.9,11.58,11.75,5925320
1735016400,11.83,11.99,11.75,11.89,2021342
1735189200,11.84,12.04,11.84,11.92,2751354
1735275600,11.98,12.03,11.7,11.72,4078622
1735534800,11.65,11.65,11.33,11.34,2376320
1735621200,11.32,11.49,11.28,11.35,2358842
1735794000,11.26,11.59,11.22,11.32,5355623
1735880400,11.3,11.36,11.05,11.16,3850097
1736139600,11.34,11.5,10.835,10.91,10071111
1736226000,10.9,11.045,10.79,10.82,7968149
1736312400,10.73,10.97,10.64,10.92,6439227
1736485200,10.76,10.81,10.54,10.74,11163863
1736744400,10.6,10.7,10.26,10.28,8598495
1736830800,10.36,10.6,10.3,10.45,9470839
1736917200,10.51,10.585,10.3,10.5,6112550
1737003600,10.5,10.545,10.27,10.4,5446006
1737090000,10.45,11.22,10.44,10.78,7671692
1737435600,11.07,11.24,10.92,11.1,8794426
1737522000,11.09,11.24,10.95,11.15,5159753
1737608400,11.03,11.175,10.91,11.05,2499397
1737694800,11.2,11.64,11.08,11.59,6341173
1737954000,11.77,12.1299,11.71,11.8,10591825
1738040400,11.72,11.79,11.4,11.78,5212878
1738126800,11.91,11.96,11.54,11.64,4387607
1738213200,11.8,12.41,11.72,12.27,4870149
1738299600,12.11,12.21,11.91,11.98,6220992
1738558800,11.79,12.16,11.61,11.77,4220378
1738645200,11.98,12.34,11.92,12.01,9511666
1738731600,11.85,11.89,11.61,11.75,5916710
1738818000,12,12.16,11.925,12.07,4897183
1738904400,12.29,12.55,12.22,12.54,5909213
1739163600,12.88,12.98,12.385,12.47,6812248
1739250000,12.22,12.67,11.98,12.44,7610046
1739336400,12.4,12.91,12.22,12.66,6389823
1739422800,12.54,12.97,12.5,12.76,7812850
1739509200,13.5,13.65,13.135,13.61,13320338
1739854800,13.47,13.63,13.31,13.61,6432029
1739941200,13.56,13.57,13.02,13.1,10307535
1740027600,13.325,13.6,12.57,12.83,9053877
1740114000,13.38,14.685,13.37,14.38,24768288
1740373200,13.83,13.83,12.88,12.98,15347184
1740459600,13.165,13.24,12.575,12.71,9176327
1740546000,13.06,13.335,12.72,12.93,7185024
1740632400,12.63,12.96,12.575,12.75,8596822
1740718800,12.3,12.4,11.96,12.19,11201561
1740978000,12.2,12.61,12.18,12.34,7645006
