T,O,H,L,C,V
1713844800,44.87,46.15,44.87,46.06,1239423
1713931200,45.26,46.66,44.35,46.24,1245777
1714017600,45.95,46.22,45.52,45.69,588104
1714104000,45.78,46.645,45.625,45.81,691456
1714363200,45.89,46.67,44.95,45.38,887645
1714449600,45.01,45.055,43.5,43.54,754992
1714536000,43.45,44.67,43,43.73,481686
1714622400,44.35,44.655,43.69,44.5,388811
1714708800,45.33,45.69,44.52,44.7,361958
1714968000,45.14,45.57,45.13,45.47,455425
1715054400,45.62,46.37,45.42,45.45,501443
1715140800,45.16,45.665,44.82,44.91,418441
1715227200,44.98,45.63,44.54,45.52,246417
1715313600,45.64,45.64,44.85,45.46,333753
1715572800,45.86,46.27,45.39,45.57,357451
1715659200,45.91,46.33,45.74,45.94,409906
1715745600,46.2,46.33,45.48,45.64,395230
1715832000,46.47,46.5,45.95,46.11,376638
1715918400,46.11,46.17,45.04,45.05,348548
1716177600,45.01,45.66,45.01,45.64,979315
1716264000,45.4,45.59,44.77,45.06,386502
1716350400,44.87,45.07,44.02,44.2,370729
1716436800,44.31,44.31,42.85,42.9,705829
1716523200,43.22,44.39,43.22,44.15,482318
1716868800,44.61,44.75,43.72,44.03,642742
1716955200,43.43,43.51,42.84,43.21,431995
1717041600,43.41,43.7425,43.26,43.34,424626
1717128000,43.56,44.13,43.28,43.94,793383
1717387200,44.44,44.44,43.22,43.48,450264
1717473600,43.05,44.27,43.0448,43.43,468594
1717560000,43.63,43.98,43.29,43.7,497905
1717646400,43.58,44.24,43.46,43.87,452354
1717732800,43.35,44.25,43.05,43.99,565627
1717992000,43.52,44.6,43.52,44.47,785075
1718078400,44.04,44.33,43.75,43.89,414707
1718164800,44.76,45.88,44.76,45.73,602026
1718251200,45.52,45.665,44.7,45,567187
1718337600,43.87,43.98,43.32,43.7,452203
1718596800,43.63,44.29,43.44,44.28,678762
1718683200,44.39,44.88,44.14,44.44,590665
1718856000,44.25,44.69,43.895,44.02,480054
1718942400,44.09,44.235,43.85,44.15,953684
1719201600,44.28,45.061,44.28,44.82,450028
1719288000,44.79,45.01,44.3,44.63,423223
1719374400,44.29,44.39,43.57,44.03,474594
1719460800,44.23,44.27,43.52,43.86,476046
1719547200,43.89,45.155,43.89,44.98,1376074
1719806400,45.06,45.14,42.87,43.18,512983
1719892800,43.28,43.73,42.93,43.65,467790
1719979200,43.9,43.9899,43.3,43.4,587166
1720152000,43.2,43.3598,42.69,43.1,1058188
1720411200,43.4,43.86,43.31,43.32,501749
1720497600,43.08,43.63,42.9,43.31,613168
1720584000,43.63,45.04,43.6,45.03,530195
1720670400,45.43,46.83,45.12,46.69,566901
1720756800,47.09,47.74,46.9801,47.13,570631
1721016000,47.44,47.79,47.18,47.24,543886
1721102400,47.65,49.91,47.565,49.87,816512
1721188800,49.13,49.83,48.985,49.15,743592
1721275200,48.88,49.85,47.78,48.06,645909
1721361600,48.24,48.635,47.75,48.5,479862
1721620800,48.48,49.105,47.98,48.84,642848
1721707200,48.5,49.45,48.47,49.38,655425
1721793600,48.165,48.165,44.205,44.53,1217078
1721880000,44.46,46.135,44.46,45.26,1106217
1721966400,45.92,46.08,45.07,45.86,767736
1722225600,45.86,46.45,45.33,46.24,524195
1722312000,46.55,47.13,46.18,46.83,477048
1722398400,46.96,47.03,46,46.09,577176
1722484800,45.9,46.24,43.25,44.04,755687
1722571200,42.41,42.85,41.68,42.5,680719
1722830400,40.37,41.215,39.9101,40.55,602475
1722916800,40.68,42.06,40.41,41.43,549769
1723003200,42.11,42.11,40.74,41.26,479822
1723089600,41.56,41.56,40.2,40.89,1084366
1723176000,40.9,41.73,40.66,41.45,609125
1723435200,41.72,41.85,41,41.13,601893
1723521600,41.41,42.03,41.15,42.03,469852
1723608000,42.3,42.5,41.8,42.1,412520
1723694400,43.09,43.45,42.73,42.75,573785
1723780800,42.69,43.03,42.41,43.01,498027
1724040000,43.18,43.55,42.76,43.5,759784
1724126400,43.31,43.31,42.23,42.3,442647
1724212800,42.78,43.035,42.33,42.97,480769
1724299200,43.07,43.18,42.56,42.67,467961
1724385600,43,44.065,42.89,44.01,384323
1724644800,44.38,44.74,43.53,43.54,375428
1724731200,43.38,43.82,43.12,43.66,374837
1724817600,43.36,43.79,43.27,43.58,442875
1724904000,43.99,44.08,43.44,43.84,432484
1724990400,44.17,44.395,43.76,44.26,635194
1725336000,43.8,44.71,43.76,43.97,728848
1725422400,43.72,43.98,43.2401,43.49,455295
1725508800,43.8,43.98,42.94,43.49,635547
1725595200,43.67,44.02,42.5,42.7,568493
1725854400,42.78,42.91,42.29,42.37,565637
1725940800,42.35,42.405,40.981,41.32,822334
1726027200,41.18,41.895,40.61,41.73,764236
1726113600,42.08,42.38,41.75,42.29,674374
1726200000,42.13,42.91,42.12,42.43,573783
1726459200,42.7,43.03,41.97,42.02,609509
1726545600,42.49,43.14,42.27,42.63,939906
1726632000,42.14,43.26,42.14,42.67,904500
1726718400,43.74,44.53,43.475,44.19,1043147
1726804800,44.04,44.53,43.64,44.5,1597642
1727064000,44.34,45.295,44.1,45.02,998723
1727150400,45.47,45.94,45.22,45.91,768317
1727236800,46,46.0983,45.31,45.51,753654
1727323200,44.64,46.035,44.2299,45.94,790267
1727409600,46.47,47.01,46.24,46.59,851991
