T,O,H,L,C,V
1713844800,114.76,119.865,113.79,119.52,1367173
1713931200,119.48,121.665,117.19,118.7,825212
1714017600,116.12,118.15,114.3,117.36,967059
1714104000,118.29,120.94,118.29,120.22,735437
1714363200,121.3,122.71,121.01,121.61,999826
1714449600,120.08,121.83,119.02,119.11,822804
1714536000,119.08,123.45,117.91,119.52,1702358
1714622400,120.72,121.67,118.47,121.24,730219
1714708800,125,128.75,123.62,123.63,1116164
1714968000,125.12,127.82,124.3014,127.76,1354809
1715054400,128.18,128.69,126.36,126.41,1239221
1715140800,125.13,126.025,123.94,124.05,1297290
1715227200,124.29,126.63,123.73,126.48,1535684
1715313600,126.5,127.5272,126.0305,127.02,609190
1715572800,127.77,128.06,126.11,126.15,789089
1715659200,127.01,127.55,125.61,127.38,1030772
1715745600,131.56,135.37,131.05,134.92,2067172
1715832000,133.91,134.1,131.07,131.13,1633389
1715918400,131.24,132.14,130.26,130.74,1098223
1716177600,130.86,132.5201,130.61,131.06,1315498
1716264000,130.83,131,129.29,130.22,2032417
1716350400,127,127.585,118.51,119.2,4951641
1716436800,120.7,121.7,118.71,119.56,2108734
1716523200,120.87,123.07,120.54,122.91,1715738
1716868800,122.95,123.84,119.14,120.06,1507442
1716955200,118.55,120.13,117.4401,118.5,1333378
1717041600,119.64,121.275,119.21,120.68,1069604
1717128000,121.55,122.59,119.98,121.64,1594423
1717387200,122.8,123.21,119.18,120.03,1303837
1717473600,119.1,120.09,116.73,117.08,1319104
1717560000,117.85,120.28,116.4501,120.25,1357836
1717646400,120.09,121,118.63,118.79,922924
1717732800,116.53,117.78,115.6,117.09,920475
1717992000,116,119.365,115.67,119.33,1120916
1718078400,118.55,118.55,115.715,115.94,1185273
1718164800,121.15,123.68,118.92,120.07,1850813
1718251200,119.83,121.1,118.45,120.78,1114430
1718337600,118.46,119.935,118.1,119.32,1224486
1718596800,120,120.405,118.4004,120.37,1308842
1718683200,119.28,119.81,116.825,117.5,1533872
1718856000,117.42,118.6,114.8,115.68,1449452
1718942400,115.71,117.16,114.1,117.12,2260241
1719201600,117.36,119.33,116.66,118.42,1375448
1719288000,118.11,118.11,114.57,115.68,1183694
1719374400,114.86,116.24,114.7,116.01,886510
1719460800,116.03,116.085,114.5,115.17,1253322
1719547200,115.7,116.66,114.19,115.18,1617780
1719806400,115.59,115.9844,111.68,112.33,1328003
1719892800,110.48,111.35,109.31,111.21,1803452
1719979200,110.64,112.77,110.5,111.99,823379
1720152000,111.05,111.94,108.86,109.16,1410385
1720411200,110.37,111.21,109.13,110.75,1094829
1720497600,110.27,112.16,109.7,110.49,917684
1720584000,111.18,113.8599,110.88,113.29,1414882
1720670400,117.22,121.87,116.5,121.47,2448818
1720756800,122.3,125.4,122.3,123.15,1869958
1721016000,124,126.13,123.16,123.48,1249831
1721102400,125.76,132.69,125.58,132.38,1835729
1721188800,130.59,132.7997,128.13,128.17,1282918
1721275200,131.97,137.2,130.96,131.36,1658500
1721361600,130.52,132.56,129.74,131.55,995928
1721620800,131.94,134.68,129.73,134.12,1694489
1721707200,132.65,135.43,131.6,135.22,1203531
1721793600,134,135.59,130.24,130.28,1285170
1721880000,130.99,136.64,129.66,132.65,1252035
1721966400,136.6,140.5,135.46,139.45,2249724
1722225600,140.52,142.85,138.6,142.13,1277533
1722312000,142.6,144.46,141.22,143.09,887634
1722398400,144.55,146.75,140.63,142.71,1445266
1722484800,143.95,144.88,137.18,138.34,1453125
1722571200,134.1,136.9,131.74,135.05,1633657
1722830400,123.01,130.72,123.01,128.11,1937931
1722916800,127.33,132,125.29,129.19,1145532
1723003200,131.42,132.59,123.87,124.08,1758575
1723089600,126.23,127.5,124.05,126.66,1246694
1723176000,127.39,128.6,125.83,127.58,1073493
1723435200,127.52,128.8,125.98,127.65,865954
1723521600,128.79,130.76,127.8,129.07,1195948
1723608000,130.15,130.15,126.2101,126.78,1333602
1723694400,128.14,129.8602,126.52,128.96,958258
1723780800,128.75,131.5299,128.43,129.32,695641
1724040000,130.4,133.835,129.635,133.65,1380406
1724126400,134.18,135.974,132.94,133.52,2019295
1724212800,136.94,143.16,136.07,141.03,4163898
1724299200,141.5,143.71,140.93,141.27,1803215
1724385600,142.63,148.945,142.63,148.72,2498388
1724644800,149.74,149.77,144.6,144.9,1314906
1724731200,143.72,144.29,142.345,143.74,1116979
1724817600,142.68,144.8647,141.49,142.17,1322085
1724904000,142.73,143.91,140.76,142.29,714891
1724990400,143.9,144.68,141.1,144.07,1285371
1725336000,143.75,146.12,138.88,139.88,1236646
1725422400,138.54,140.33,136.94,139.88,1000849
1725508800,140.07,140.22,137.43,137.79,1111781
1725595200,138.48,143.5,138.29,138.78,1577450
1725854400,138.73,141.85,138.4792,139.35,1212145
1725940800,140.35,141.37,138.27,140.02,1197003
1726027200,138.32,139.8499,135.22,139.4,1873877
1726113600,140.08,145.46,139.51,144.85,1710326
1726200000,147,150.3,146.775,149.8,1744068
1726459200,150.17,151.2006,147.02,150.04,1395710
1726545600,151.9,151.96,148.32,150.66,1113580
1726632000,151.3,154.62,147.76,150.14,1807434
1726718400,154.3,154.52,150.7091,153.12,1811946
1726804800,150.95,152.92,149.545,150.44,5000753
1727064000,152.25,154.2662,150.26,153.5,1029939
1727150400,152.89,154.46,152.0638,153.32,950992
1727236800,151.7,153.06,150.23,150.34,1299566
1727323200,152.07,152.8898,150.3,150.62,1341774
1727409600,152.2,155.9999,151.3,155.35,1475783
1727668800,153.39,154.82,152,154.49,1282966
1727755200,154.68,156.08,152.04,154.75,965168
1727841600,153.7,154.3,151.24,153.03,895402
1727928000,152.69,153.98,151.06,153.74,851861
1728014400,154.93,155.18,147.8437,149.89,1212424
1728273600,147.49,150.55,146.5,150.49,1062118
1728360000,151,153.505,149.57,151.11,790200
1728446400,150.9,152.31,150.02,151.08,632328
1728532800,149,150.88,147.9,149.07,982934
